OBS_STATUS;TERRITORIO;TEMPORAL;RESITUR;INDICATOR;OBS_VALUE;FREQ
A;ES615;2019;55697;VIAJEROS;10718.954589274;A
A;ES615;2018;55698;VIAJEROS;96417.092824213;A
A;ES615;2018;55565;VIAJEROS;84801.995461192;A
A;ES615;2018;55697;VIAJEROS;11615.097363021;A
A;ES615;2017;55698;VIAJEROS;87182.722961854;A
A;ES615;2017;55565;VIAJEROS;80273.70540334;A
A;ES615;2017;55697;VIAJEROS;6909.017558514;A
A;ES615;2016;55698;VIAJEROS;70219.535138845;A
A;ES615;2016;55565;VIAJEROS;63268.107813837;A
A;ES615;2016;55697;VIAJEROS;6951.427325008;A
A;ES615;2015;55698;VIAJEROS;75676.695509904;A
A;ES615;2015;55565;VIAJEROS;70383.219629034;A
A;ES615;2015;55697;VIAJEROS;5293.47588087;A
A;ES615;2014;55698;VIAJEROS;72602.995665251;A
A;ES615;2014;55565;VIAJEROS;67301.165056807;A
A;ES615;2014;55697;VIAJEROS;5301.830608444;A
A;ES616;2020;55698;VIAJEROS;40267.859685749;A
A;ES616;2020;55565;VIAJEROS;39398.404885012;A
A;ES616;2020;55697;VIAJEROS;869.454800737;A
A;ES616;2019;55698;VIAJEROS;67575.888298483;A
A;ES616;2019;55565;VIAJEROS;65108.244226304;A
A;ES616;2019;55697;VIAJEROS;2467.644072179;A
A;ES616;2018;55698;VIAJEROS;64500.890730637;A
A;ES616;2018;55565;VIAJEROS;61851.533073647;A
A;ES616;2018;55697;VIAJEROS;2649.35765699;A
A;ES616;2017;55698;VIAJEROS;60608.163847603;A
A;ES616;2017;55565;VIAJEROS;58050.962717271;A
A;ES616;2017;55697;VIAJEROS;2557.201130332;A
A;ES616;2016;55698;VIAJEROS;57145.302772535;A
A;ES616;2016;55565;VIAJEROS;53620.871395516;A
A;ES616;2016;55697;VIAJEROS;3524.431377019;A
A;ES616;2015;55698;VIAJEROS;45949.096226142;A
A;ES616;2015;55565;VIAJEROS;43383.548572233;A
A;ES616;2015;55697;VIAJEROS;2565.547653909;A
A;ES616;2014;55698;VIAJEROS;39878.032487904;A
A;ES616;2014;55565;VIAJEROS;37908.11471695;A
A;ES616;2014;55697;VIAJEROS;1969.917770954;A
A;ES617;2020;55698;VIAJEROS;395301.304344756;A
A;ES617;2020;55565;VIAJEROS;222764.230276987;A
A;ES617;2020;55697;VIAJEROS;172537.074067769;A
A;ES617;2019;55698;VIAJEROS;1350138.776944469;A
A;ES617;2019;55565;VIAJEROS;424351.846558812;A
A;ES617;2019;55697;VIAJEROS;925786.930385657;A
A;ES617;2018;55698;VIAJEROS;1223039.64239058;A
A;ES617;2018;55565;VIAJEROS;335047.1336556;A
A;ES617;2018;55697;VIAJEROS;887992.50873498;A
A;ES617;2017;55698;VIAJEROS;1304498.3207938;A
A;ES617;2017;55565;VIAJEROS;374158.65632434;A
A;ES617;2017;55697;VIAJEROS;930339.66446946;A
A;ES617;2016;55698;VIAJEROS;1084574.86476315;A
A;ES617;2016;55565;VIAJEROS;292297.75511856;A
A;ES617;2016;55697;VIAJEROS;792277.10964459;A
A;ES617;2015;55698;VIAJEROS;971952.86568515;A
A;ES617;2015;55565;VIAJEROS;269900.9937469;A
A;ES617;2015;55697;VIAJEROS;702051.87193825;A
A;ES617;2014;55698;VIAJEROS;858621.82862341;A
A;ES617;2014;55565;VIAJEROS;231424.88355138;A
A;ES617;2014;55697;VIAJEROS;627196.94507203;A
A;ES618;2020;55698;VIAJEROS;126890.628260292;A
A;ES618;2020;55565;VIAJEROS;76030.223332602;A
A;ES618;2020;55697;VIAJEROS;50860.40492769;A
A;ES618;2019;55698;VIAJEROS;453585.392384393;A
A;ES618;2019;55565;VIAJEROS;188619.823647766;A
A;ES618;2019;55697;VIAJEROS;264965.568736627;A
A;ES618;2018;55698;VIAJEROS;441963.92863924;A
A;ES618;2018;55565;VIAJEROS;194604.88016318;A
A;ES618;2018;55697;VIAJEROS;247359.04847606;A
A;ES618;2017;55698;VIAJEROS;395047.70798107;A
A;ES618;2017;55565;VIAJEROS;176838.92979914;A
A;ES618;2017;55697;VIAJEROS;218208.77818193;A
A;ES618;2016;55698;VIAJEROS;310524.16505647;A
A;ES618;2016;55565;VIAJEROS;150422.5608983;A
A;ES618;2016;55697;VIAJEROS;160101.60415817;A
A;ES618;2015;55698;VIAJEROS;236773.80864796;A
A;ES618;2015;55565;VIAJEROS;113598.83250777;A
A;ES618;2015;55697;VIAJEROS;123174.97614019;A
A;ES618;2014;55698;VIAJEROS;218707.4373122;A
A;ES618;2014;55565;VIAJEROS;103641.9396871;A
A;ES618;2014;55697;VIAJEROS;115065.4976251;A
P;ES61;2021;55698;VIAJEROS;1586434.617223884;A
P;ES61;2021;55565;VIAJEROS;1124194.3065443;A
P;ES61;2021;55697;VIAJEROS;462240.310679584;A
P;ES611;2021;55698;VIAJEROS;170336.498104514;A
P;ES611;2021;55565;VIAJEROS;157552.745752578;A
P;ES611;2021;55697;VIAJEROS;12783.752351936;A
P;ES612;2021;55698;VIAJEROS;141964.373622323;A
P;ES612;2021;55565;VIAJEROS;111893.81225676;A
P;ES612;2021;55697;VIAJEROS;30070.561365563;A
P;ES613;2021;55698;VIAJEROS;40176.179597247;A
P;ES613;2021;55565;VIAJEROS;31923.940207696;A
P;ES613;2021;55697;VIAJEROS;8252.239389551;A
P;ES614;2021;55698;VIAJEROS;199643.253960212;A
P;ES614;2021;55565;VIAJEROS;161719.707135723;A
P;ES614;2021;55697;VIAJEROS;37923.546824489;A
P;ES615;2021;55698;VIAJEROS;66242.347975365;A
P;ES615;2021;55565;VIAJEROS;63479.173321929;A
P;ES615;2021;55697;VIAJEROS;2763.174653436;A
P;ES616;2021;55698;VIAJEROS;53508.18156897;A
P;ES616;2021;55565;VIAJEROS;51484.615338002;A
P;ES616;2021;55697;VIAJEROS;2023.566230968;A
P;ES617;2021;55698;VIAJEROS;694112.239666103;A
P;ES617;2021;55565;VIAJEROS;390396.617677534;A
P;ES617;2021;55697;VIAJEROS;303715.621988569;A
P;ES618;2021;55698;VIAJEROS;220451.54272915;A
P;ES618;2021;55565;VIAJEROS;155743.694854078;A
P;ES618;2021;55697;VIAJEROS;64707.847875072;A
A;ES61;2020;55698;PERNOCTACIONES;3751693.494411616;A
A;ES61;2020;55565;PERNOCTACIONES;2297618.552417355;A
A;ES61;2020;55697;PERNOCTACIONES;1454074.941994261;A
A;ES61;2019;55698;PERNOCTACIONES;10765780;A
A;ES61;2019;55565;PERNOCTACIONES;4006280.202531649;A
A;ES61;2019;55697;PERNOCTACIONES;6759499.422497697;A
A;ES61;2018;55698;PERNOCTACIONES;10313869;A
A;ES61;2018;55565;PERNOCTACIONES;3607508.52920128;A
A;ES61;2018;55697;PERNOCTACIONES;6706360.570808675;A
A;ES61;2017;55698;PERNOCTACIONES;10444941;A
