OBS_STATUS;RESITUR;TEMPORAL;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
A;55697;2015;ES615;VIAJEROS;5293.47588087;A
A;55697;2015;ES616;VIAJEROS;2565.547653909;A
A;55697;2015;ES617;VIAJEROS;702051.87193825;A
A;55697;2015;ES618;VIAJEROS;123174.97614019;A
A;55697;2014;ES61;VIAJEROS;865082.002261164;A
A;55697;2014;ES611;VIAJEROS;20200.607810241;A
A;55697;2014;ES612;VIAJEROS;29364.839150639;A
A;55697;2014;ES613;VIAJEROS;10888.081351743;A
A;55697;2014;ES614;VIAJEROS;55094.282872013;A
A;55697;2014;ES615;VIAJEROS;5301.830608444;A
A;55697;2014;ES616;VIAJEROS;1969.917770954;A
A;55697;2014;ES617;VIAJEROS;627196.94507203;A
A;55697;2014;ES618;VIAJEROS;115065.4976251;A
A;55577;2020;ES61;VIAJEROS;14481.726717076;A
A;55577;2020;ES611;VIAJEROS;513.341042876;A
A;55577;2020;ES612;VIAJEROS;1189.61873479;A
A;55577;2020;ES613;VIAJEROS;245.541111196;A
A;55577;2020;ES614;VIAJEROS;818.576134924;A
A;55577;2020;ES615;VIAJEROS;69.770461776;A
A;55577;2020;ES616;VIAJEROS;100.750961579;A
A;55577;2020;ES617;VIAJEROS;10343.229558147;A
A;55577;2020;ES618;VIAJEROS;1200.898711788;A
A;55577;2019;ES61;VIAJEROS;80972.225572344;A
A;55577;2019;ES611;VIAJEROS;1865.997801651;A
A;55577;2019;ES612;VIAJEROS;10847.492232608;A
A;55577;2019;ES613;VIAJEROS;1985.682807043;A
A;55577;2019;ES614;VIAJEROS;6261.396472338;A
A;55577;2019;ES615;VIAJEROS;426.030259636;A
A;55577;2019;ES616;VIAJEROS;231.08892119;A
A;55577;2019;ES617;VIAJEROS;48582.807442203;A
A;55577;2019;ES618;VIAJEROS;10771.729635675;A
A;55577;2018;ES61;VIAJEROS;78258.19349395;A
A;55577;2018;ES611;VIAJEROS;1214.0702643;A
A;55577;2018;ES612;VIAJEROS;10897.69925;A
A;55577;2018;ES613;VIAJEROS;1694.6154134;A
A;55577;2018;ES614;VIAJEROS;7127.564985;A
A;55577;2018;ES615;VIAJEROS;477.46167764;A
A;55577;2018;ES616;VIAJEROS;371.42107561;A
A;55577;2018;ES617;VIAJEROS;44922.996018;A
A;55577;2018;ES618;VIAJEROS;11552.36481;A
A;55577;2017;ES61;VIAJEROS;78052.97151073;A
A;55577;2017;ES611;VIAJEROS;1807.8183146;A
A;55577;2017;ES612;VIAJEROS;10456.167614;A
A;55577;2017;ES613;VIAJEROS;1938.5488627;A
A;55577;2017;ES614;VIAJEROS;5638.6123872;A
A;55577;2017;ES615;VIAJEROS;417.4027912;A
A;55577;2017;ES616;VIAJEROS;409.94582933;A
A;55577;2017;ES617;VIAJEROS;49069.551554;A
A;55577;2017;ES618;VIAJEROS;8314.9241577;A
A;55577;2016;ES61;VIAJEROS;65778.46659056;A
A;55577;2016;ES611;VIAJEROS;1389.9025451;A
A;55577;2016;ES612;VIAJEROS;7925.1057049;A
A;55577;2016;ES613;VIAJEROS;1470.2978648;A
A;55577;2016;ES614;VIAJEROS;7233.9911542;A
A;55577;2016;ES615;VIAJEROS;345.31335281;A
A;55577;2016;ES616;VIAJEROS;697.15497955;A
A;55577;2016;ES617;VIAJEROS;39924.658661;A
A;55577;2016;ES618;VIAJEROS;6792.0423282;A
A;55577;2015;ES61;VIAJEROS;56418.08626969;A
A;55577;2015;ES611;VIAJEROS;1215.0654075;A
A;55577;2015;ES612;VIAJEROS;7809.8449063;A
A;55577;2015;ES613;VIAJEROS;642.56624894;A
A;55577;2015;ES614;VIAJEROS;6364.8535457;A
A;55577;2015;ES615;VIAJEROS;217.58463995;A
A;55577;2015;ES616;VIAJEROS;486.3030395;A
A;55577;2015;ES617;VIAJEROS;32534.589127;A
A;55577;2015;ES618;VIAJEROS;7147.2793548;A
A;55577;2014;ES61;VIAJEROS;50151.44623802;A
A;55577;2014;ES611;VIAJEROS;1146.166225;A
A;55577;2014;ES612;VIAJEROS;8455.2255994;A
A;55577;2014;ES613;VIAJEROS;805.97372082;A
A;55577;2014;ES614;VIAJEROS;4267.1127612;A
A;55577;2014;ES615;VIAJEROS;242.03909859;A
A;55577;2014;ES616;VIAJEROS;454.15180861;A
A;55577;2014;ES617;VIAJEROS;29341.134743;A
A;55577;2014;ES618;VIAJEROS;5439.6422814;A
A;516705;2020;ES61;VIAJEROS;1256.237285511;A
A;516705;2020;ES611;VIAJEROS;42.865158366;A
A;516705;2020;ES612;VIAJEROS;101.912543891;A
A;516705;2020;ES614;VIAJEROS;28.980263158;A
A;516705;2020;ES617;VIAJEROS;857.20717486;A
A;516705;2020;ES618;VIAJEROS;218.46648867;A
A;516705;2019;ES61;VIAJEROS;7448.126870684;A
A;516705;2019;ES611;VIAJEROS;108.897074232;A
A;516705;2019;ES612;VIAJEROS;480.107871417;A
A;516705;2019;ES613;VIAJEROS;148.979944988;A
A;516705;2019;ES614;VIAJEROS;565.382889935;A
A;516705;2019;ES615;VIAJEROS;48.037327539;A
A;516705;2019;ES616;VIAJEROS;15.96895128;A
A;516705;2019;ES617;VIAJEROS;4873.622463826;A
A;516705;2019;ES618;VIAJEROS;1207.130347467;A
A;516705;2018;ES61;VIAJEROS;7679.087761819;A
A;516705;2018;ES611;VIAJEROS;66.170638629;A
A;516705;2018;ES612;VIAJEROS;647.74836209;A
A;516705;2018;ES613;VIAJEROS;224.1900755;A
A;516705;2018;ES614;VIAJEROS;475.8647624;A
A;516705;2018;ES615;VIAJEROS;34.0;A
A;516705;2018;ES617;VIAJEROS;4876.3685917;A
A;516705;2018;ES618;VIAJEROS;1354.7453315;A
A;516705;2017;ES61;VIAJEROS;6683.153356425;A
A;516705;2017;ES611;VIAJEROS;62.609489313;A
A;516705;2017;ES612;VIAJEROS;639.83834793;A
A;516705;2017;ES613;VIAJEROS;240.313678;A
A;516705;2017;ES614;VIAJEROS;351.08551657;A
A;516705;2017;ES615;VIAJEROS;28.235227912;A
A;516705;2017;ES617;VIAJEROS;4309.9371998;A
A;516705;2017;ES618;VIAJEROS;1051.1338969;A
A;516705;2016;ES61;VIAJEROS;5439.286301728;A
A;516705;2016;ES611;VIAJEROS;81.048685891;A
A;516705;2016;ES612;VIAJEROS;318.31730369;A
A;516705;2016;ES613;VIAJEROS;149.09121071;A
A;516705;2016;ES614;VIAJEROS;502.14414243;A
A;516705;2016;ES615;VIAJEROS;30.672893332;A
A;516705;2016;ES616;VIAJEROS;23.006265545;A
A;516705;2016;ES617;VIAJEROS;3632.6785833;A
A;516705;2016;ES618;VIAJEROS;702.32721683;A
A;516705;2015;ES61;VIAJEROS;5009.805667009;A
A;516705;2015;ES611;VIAJEROS;145.10744071;A
A;516705;2015;ES612;VIAJEROS;462.09464853;A
A;516705;2015;ES613;VIAJEROS;61.582941711;A
A;516705;2015;ES614;VIAJEROS;733.09206066;A
A;516705;2015;ES615;VIAJEROS;27.989765168;A
A;516705;2015;ES616;VIAJEROS;17.65211822;A
A;516705;2015;ES617;VIAJEROS;2982.8669545;A
A;516705;2015;ES618;VIAJEROS;579.41973751;A
A;516705;2014;ES61;VIAJEROS;4590.120740969;A
A;516705;2014;ES611;VIAJEROS;23.142361111;A
A;516705;2014;ES612;VIAJEROS;376.52274999;A
A;516705;2014;ES613;VIAJEROS;176.73365795;A
A;516705;2014;ES614;VIAJEROS;218.96031176;A
A;516705;2014;ES615;VIAJEROS;32.177486188;A
A;516705;2014;ES617;VIAJEROS;3148.523453;A
A;516705;2014;ES618;VIAJEROS;614.06072097;A
A;516706;2020;ES61;VIAJEROS;7171.229636353;A
A;516706;2020;ES611;VIAJEROS;347.272799998;A
A;516706;2020;ES612;VIAJEROS;221.684125851;A
A;516706;2020;ES613;VIAJEROS;85.64983926;A
A;516706;2020;ES614;VIAJEROS;474.511053981;A
A;516706;2020;ES615;VIAJEROS;47.068396931;A
A;516706;2020;ES616;VIAJEROS;20.298480028;A
A;516706;2020;ES617;VIAJEROS;4732.782285359;A
A;516706;2020;ES618;VIAJEROS;1241.962654945;A
A;516706;2019;ES61;VIAJEROS;28544.49785638;A
A;516706;2019;ES611;VIAJEROS;813.697857724;A
A;516706;2019;ES612;VIAJEROS;862.168061265;A
A;516706;2019;ES613;VIAJEROS;678.492934022;A
A;516706;2019;ES614;VIAJEROS;1469.365894045;A
A;516706;2019;ES615;VIAJEROS;179.193448781;A
A;516706;2019;ES616;VIAJEROS;83.994784196;A
A;516706;2019;ES617;VIAJEROS;20499.755874453;A
A;516706;2019;ES618;VIAJEROS;3957.829001894;A
A;516706;2018;ES61;VIAJEROS;28246.3369444;A
A;516706;2018;ES611;VIAJEROS;943.92573491;A
A;516706;2018;ES612;VIAJEROS;1145.1915574;A
A;516706;2018;ES613;VIAJEROS;452.80419303;A
A;516706;2018;ES614;VIAJEROS;3172.1947221;A
A;516706;2018;ES615;VIAJEROS;118.16831648;A
A;516706;2018;ES616;VIAJEROS;116.43898778;A
A;516706;2018;ES617;VIAJEROS;18835.777145;A
A;516706;2018;ES618;VIAJEROS;3461.8362877;A
A;516706;2017;ES61;VIAJEROS;28691.660829109;A
A;516706;2017;ES611;VIAJEROS;1175.1418901;A
A;516706;2017;ES612;VIAJEROS;938.37439004;A
A;516706;2017;ES613;VIAJEROS;593.78240861;A
A;516706;2017;ES614;VIAJEROS;1960.5855349;A
A;516706;2017;ES615;VIAJEROS;71.086357749;A
A;516706;2017;ES616;VIAJEROS;98.57509151;A
A;516706;2017;ES617;VIAJEROS;20536.51816;A
A;516706;2017;ES618;VIAJEROS;3317.5969962;A
A;516706;2016;ES61;VIAJEROS;23956.110343105;A
A;516706;2016;ES611;VIAJEROS;872.81113522;A
A;516706;2016;ES612;VIAJEROS;531.89382155;A
A;516706;2016;ES613;VIAJEROS;488.28188122;A
A;516706;2016;ES614;VIAJEROS;2865.9003574;A
A;516706;2016;ES615;VIAJEROS;149.90408178;A
A;516706;2016;ES616;VIAJEROS;61.071990535;A
A;516706;2016;ES617;VIAJEROS;16077.985502;A
A;516706;2016;ES618;VIAJEROS;2908.2615734;A
A;516706;2015;ES61;VIAJEROS;21930.37404716;A
A;516706;2015;ES611;VIAJEROS;613.81524561;A
A;516706;2015;ES612;VIAJEROS;713.66807701;A
A;516706;2015;ES613;VIAJEROS;316.72808575;A
A;516706;2015;ES614;VIAJEROS;2868.5609216;A
A;516706;2015;ES615;VIAJEROS;73.26007085;A
A;516706;2015;ES616;VIAJEROS;165.78304044;A
A;516706;2015;ES617;VIAJEROS;14779.863058;A
A;516706;2015;ES618;VIAJEROS;2398.6955479;A
A;516706;2014;ES61;VIAJEROS;18843.674103786;A
A;516706;2014;ES611;VIAJEROS;553.4038213;A
A;516706;2014;ES612;VIAJEROS;361.00843294;A
A;516706;2014;ES613;VIAJEROS;459.22664381;A
A;516706;2014;ES614;VIAJEROS;1287.4159611;A
A;516706;2014;ES615;VIAJEROS;102.7645345;A
A;516706;2014;ES616;VIAJEROS;66.213301736;A
A;516706;2014;ES617;VIAJEROS;12743.123109;A
A;516706;2014;ES618;VIAJEROS;3270.5182994;A
A;516707;2020;ES61;VIAJEROS;5226.508522902;A
A;516707;2020;ES611;VIAJEROS;118.232685628;A
A;516707;2020;ES612;VIAJEROS;148.36653661;A
A;516707;2020;ES613;VIAJEROS;33.735531803;A
A;516707;2020;ES614;VIAJEROS;280.432749966;A
A;516707;2020;ES615;VIAJEROS;26.09125449;A
A;516707;2020;ES617;VIAJEROS;4400.806147272;A
A;516707;2020;ES618;VIAJEROS;214.70075999;A
A;516707;2019;ES61;VIAJEROS;22996.872201806;A
A;516707;2019;ES611;VIAJEROS;312.401822679;A
A;516707;2019;ES612;VIAJEROS;607.549071811;A
A;516707;2019;ES613;VIAJEROS;203.640224749;A
A;516707;2019;ES614;VIAJEROS;916.478704754;A
A;516707;2019;ES615;VIAJEROS;24.884252408;A
A;516707;2019;ES617;VIAJEROS;19800.625593189;A
A;516707;2019;ES618;VIAJEROS;1131.292532216;A
A;516707;2018;ES61;VIAJEROS;25633.387406335;A
A;516707;2018;ES611;VIAJEROS;257.46323275;A
A;516707;2018;ES612;VIAJEROS;595.39915006;A
A;516707;2018;ES613;VIAJEROS;110.62830594;A
A;516707;2018;ES614;VIAJEROS;893.05285361;A
A;516707;2018;ES615;VIAJEROS;58.813983051;A
A;516707;2018;ES616;VIAJEROS;10.593132154;A
