OBS_STATUS;PUNTOS_TURISTICOS;RESITUR;TEMPORAL;INDICATOR;OBS_VALUE;FREQ
A;55107;516725;2020;VIAJEROS;90.133333333;A
A;55107;516725;2019;VIAJEROS;261.5;A
A;55107;516725;2018;VIAJEROS;130.4952381;A
A;55107;516725;2017;VIAJEROS;120.71625011;A
A;55107;516725;2016;VIAJEROS;22.333333333;A
A;55107;516725;2015;VIAJEROS;45.65;A
A;55107;516725;2014;VIAJEROS;34.158333333;A
A;55107;516726;2020;VIAJEROS;61.483333333;A
A;55107;516726;2019;VIAJEROS;94.4;A
A;55107;516726;2018;VIAJEROS;61.266666667;A
A;55107;516726;2016;VIAJEROS;21.570833333;A
A;55107;516727;2020;VIAJEROS;12.133333333;A
A;55107;516727;2019;VIAJEROS;32.666666667;A
A;55107;516727;2018;VIAJEROS;26.821428571;A
A;55107;516727;2017;VIAJEROS;22.315983584;A
A;55107;516727;2016;VIAJEROS;42.6;A
A;55107;516727;2015;VIAJEROS;18.266666667;A
A;55108;55698;2020;VIAJEROS;4619.406082763;A
A;55108;55698;2019;VIAJEROS;10497.631745742;A
A;55108;55698;2018;VIAJEROS;9921.271755274;A
A;55108;55698;2017;VIAJEROS;9706.002402766;A
A;55108;55698;2016;VIAJEROS;8953.512470993;A
A;55108;55698;2015;VIAJEROS;5342.797188926;A
A;55108;55565;2020;VIAJEROS;4573.900141231;A
A;55108;55565;2019;VIAJEROS;9039.714703112;A
A;55108;55565;2018;VIAJEROS;8496.544002411;A
A;55108;55565;2017;VIAJEROS;8058.863030826;A
A;55108;55565;2016;VIAJEROS;7582.661716867;A
A;55108;55565;2015;VIAJEROS;4747.194826393;A
A;55108;55697;2020;VIAJEROS;45.505941532;A
A;55108;55697;2019;VIAJEROS;1457.91704263;A
A;55108;55697;2018;VIAJEROS;1424.727752863;A
A;55108;55697;2017;VIAJEROS;1647.13937194;A
A;55108;55697;2016;VIAJEROS;1370.850754126;A
A;55108;55697;2015;VIAJEROS;595.602362533;A
A;55108;55577;2019;VIAJEROS;274.958287215;A
A;55108;55577;2018;VIAJEROS;191.02338685;A
A;55108;55577;2017;VIAJEROS;314.5144517;A
A;55108;55577;2016;VIAJEROS;228.16932673;A
A;55108;55577;2015;VIAJEROS;136.86158842;A
A;55108;516705;2018;VIAJEROS;18.218009479;A
A;55108;516705;2016;VIAJEROS;20.681372681;A
A;55108;516705;2015;VIAJEROS;61.564434143;A
A;55108;516706;2019;VIAJEROS;56.352527691;A
A;55108;516706;2018;VIAJEROS;18.805687204;A
A;55108;516706;2017;VIAJEROS;235.12688961;A
A;55108;516706;2016;VIAJEROS;50.198562827;A
A;55108;516706;2015;VIAJEROS;88.637340153;A
A;55108;516707;2019;VIAJEROS;10.961828859;A
A;55108;516707;2018;VIAJEROS;22.497037915;A
A;55108;516707;2015;VIAJEROS;10.108695652;A
A;55108;55568;2019;VIAJEROS;246.911076226;A
A;55108;55568;2018;VIAJEROS;289.64965771;A
A;55108;55568;2017;VIAJEROS;336.35768995;A
A;55108;55568;2016;VIAJEROS;285.06164897;A
A;55108;55568;2015;VIAJEROS;59.681864267;A
A;55108;516710;2019;VIAJEROS;44.66603304;A
A;55108;516710;2018;VIAJEROS;21.54028436;A
A;55108;516710;2017;VIAJEROS;33.174311927;A
A;55108;516710;2015;VIAJEROS;20.442028986;A
A;55108;516711;2019;VIAJEROS;108.352679392;A
A;55108;516711;2018;VIAJEROS;125.22527646;A
A;55108;516711;2017;VIAJEROS;93.79038741;A
A;55108;516711;2016;VIAJEROS;40.201999546;A
A;55108;516711;2015;VIAJEROS;31.326086957;A
A;55108;55571;2019;VIAJEROS;400.457753929;A
A;55108;55571;2018;VIAJEROS;401.69756725;A
A;55108;55571;2017;VIAJEROS;338.42186945;A
A;55108;55571;2016;VIAJEROS;415.89527704;A
A;55108;55571;2015;VIAJEROS;46.992412617;A
A;55108;516713;2019;VIAJEROS;20.623094745;A
A;55108;516715;2019;VIAJEROS;11.609395973;A
A;55108;516715;2016;VIAJEROS;19.969325153;A
A;55108;55574;2019;VIAJEROS;67.971156051;A
A;55108;55574;2018;VIAJEROS;187.14620452;A
A;55108;55574;2017;VIAJEROS;172.11222689;A
A;55108;55574;2016;VIAJEROS;146.67055934;A
A;55108;55574;2015;VIAJEROS;78.229667519;A
A;55108;516716;2019;VIAJEROS;25.850671141;A
A;55108;516716;2017;VIAJEROS;29.168616171;A
A;55108;516716;2016;VIAJEROS;15.384570482;A
A;55108;516716;2015;VIAJEROS;20.217391304;A
A;55108;516717;2019;VIAJEROS;17.306290765;A
A;55108;516717;2018;VIAJEROS;14.574407583;A
