OBS_STATUS;RESITUR;TEMPORAL;PARQUES_TURISMO;INDICATOR;OBS_VALUE;FREQ
A;516705;2019;55537;VIAJEROS;108.897074232;A
A;516705;2019;55538;VIAJEROS;410.138128748;A
A;516705;2019;55539;VIAJEROS;16.266666667;A
A;516705;2019;55540;VIAJEROS;48.037327539;A
A;516705;2019;55541;VIAJEROS;4405.698810846;A
A;516705;2020;55537;VIAJEROS;38.990158366;A
A;516705;2020;55538;VIAJEROS;101.912543891;A
A;516705;2020;55541;VIAJEROS;785.402397556;A
A;516706;2014;55537;VIAJEROS;553.4038213;A
A;516706;2014;55538;VIAJEROS;323.80229209;A
A;516706;2014;55539;VIAJEROS;327.74808786;A
A;516706;2014;55540;VIAJEROS;102.7645345;A
A;516706;2014;55541;VIAJEROS;12233.664837;A
A;516706;2015;55537;VIAJEROS;613.81524561;A
A;516706;2015;55538;VIAJEROS;713.66807701;A
A;516706;2015;55539;VIAJEROS;401.12399241;A
A;516706;2015;55540;VIAJEROS;73.26007085;A
A;516706;2015;55541;VIAJEROS;13588.030933;A
A;516706;2016;55537;VIAJEROS;872.81113522;A
A;516706;2016;55538;VIAJEROS;529.82715488;A
A;516706;2016;55539;VIAJEROS;300.62151568;A
A;516706;2016;55540;VIAJEROS;128.70293236;A
A;516706;2016;55541;VIAJEROS;15173.466884;A
A;516706;2017;55537;VIAJEROS;1175.1418901;A
A;516706;2017;55538;VIAJEROS;743.82690033;A
A;516706;2017;55539;VIAJEROS;318.42547287;A
A;516706;2017;55540;VIAJEROS;71.086357749;A
A;516706;2017;55541;VIAJEROS;19196.056969;A
A;516706;2018;55537;VIAJEROS;943.92573491;A
A;516706;2018;55538;VIAJEROS;757.93779669;A
A;516706;2018;55539;VIAJEROS;515.16666667;A
A;516706;2018;55540;VIAJEROS;114.55637619;A
A;516706;2018;55541;VIAJEROS;16212.700693;A
A;516706;2019;55537;VIAJEROS;813.697857724;A
A;516706;2019;55538;VIAJEROS;637.642720968;A
A;516706;2019;55539;VIAJEROS;266.875925926;A
A;516706;2019;55540;VIAJEROS;179.193448781;A
A;516706;2019;55541;VIAJEROS;16939.776286268;A
A;516706;2020;55537;VIAJEROS;339.522799998;A
A;516706;2020;55538;VIAJEROS;190.044519455;A
A;516706;2020;55539;VIAJEROS;49.547619048;A
A;516706;2020;55540;VIAJEROS;47.068396931;A
A;516706;2020;55541;VIAJEROS;4254.42112432;A
A;516707;2014;55537;VIAJEROS;520.175;A
A;516707;2014;55538;VIAJEROS;340.82090349;A
A;516707;2014;55539;VIAJEROS;170.8631137;A
A;516707;2014;55540;VIAJEROS;71.664342089;A
A;516707;2014;55541;VIAJEROS;13477.99834;A
A;516707;2015;55537;VIAJEROS;257.27292663;A
A;516707;2015;55538;VIAJEROS;204.22154217;A
A;516707;2015;55539;VIAJEROS;196.54441766;A
A;516707;2015;55540;VIAJEROS;41.510344828;A
A;516707;2015;55541;VIAJEROS;15155.272954;A
A;516707;2016;55537;VIAJEROS;261.75843276;A
A;516707;2016;55538;VIAJEROS;223.12940615;A
A;516707;2016;55539;VIAJEROS;356.92082739;A
A;516707;2016;55540;VIAJEROS;32.567254287;A
A;516707;2016;55541;VIAJEROS;17824.312848;A
A;516707;2017;55537;VIAJEROS;486.84050814;A
A;516707;2017;55538;VIAJEROS;605.36893811;A
A;516707;2017;55539;VIAJEROS;434.45070712;A
A;516707;2017;55540;VIAJEROS;17.0;A
A;516707;2017;55541;VIAJEROS;22277.781639;A
A;516707;2018;55537;VIAJEROS;257.46323275;A
A;516707;2018;55538;VIAJEROS;540.03413355;A
A;516707;2018;55539;VIAJEROS;149.13333333;A
A;516707;2018;55540;VIAJEROS;58.813983051;A
A;516707;2018;55541;VIAJEROS;21133.865069;A
A;516707;2019;55537;VIAJEROS;312.401822679;A
A;516707;2019;55538;VIAJEROS;468.286035595;A
