OBS_STATUS;TERRITORIO;TEMPORAL;INDICATOR;OBS_VALUE;FREQ
A;ES615;2019;PERS_MEDI_REMU_EVEN;34.441894794;A
A;ES615;2018;PERS_MEDI_REMU_EVEN;35.248606037;A
A;ES615;2017;PERS_MEDI_REMU_EVEN;34.428736406;A
A;ES615;2016;PERS_MEDI_REMU_EVEN;31.990950242;A
A;ES615;2015;PERS_MEDI_REMU_EVEN;40.86062607;A
A;ES615;2014;PERS_MEDI_REMU_EVEN;28.775845485;A
A;ES616;2020;PERS_MEDI_REMU_EVEN;21.566670112;A
A;ES616;2019;PERS_MEDI_REMU_EVEN;48.445680411;A
A;ES616;2018;PERS_MEDI_REMU_EVEN;42.071719674;A
A;ES616;2017;PERS_MEDI_REMU_EVEN;36.823030332;A
A;ES616;2016;PERS_MEDI_REMU_EVEN;47.846012871;A
A;ES616;2015;PERS_MEDI_REMU_EVEN;31.569937252;A
A;ES616;2014;PERS_MEDI_REMU_EVEN;38.118037311;A
A;ES617;2020;PERS_MEDI_REMU_EVEN;223.331909586;A
A;ES617;2019;PERS_MEDI_REMU_EVEN;652.335858405;A
A;ES617;2018;PERS_MEDI_REMU_EVEN;660.72264789;A
A;ES617;2017;PERS_MEDI_REMU_EVEN;628.49489673;A
A;ES617;2016;PERS_MEDI_REMU_EVEN;495.76047871;A
A;ES617;2015;PERS_MEDI_REMU_EVEN;500.22834318;A
A;ES617;2014;PERS_MEDI_REMU_EVEN;425.71212992;A
A;ES618;2020;PERS_MEDI_REMU_EVEN;41.311177025;A
A;ES618;2019;PERS_MEDI_REMU_EVEN;84.598164708;A
A;ES618;2018;PERS_MEDI_REMU_EVEN;96.002347419;A
A;ES618;2017;PERS_MEDI_REMU_EVEN;97.600248058;A
A;ES618;2016;PERS_MEDI_REMU_EVEN;71.782976336;A
A;ES618;2015;PERS_MEDI_REMU_EVEN;60.992736128;A
A;ES618;2014;PERS_MEDI_REMU_EVEN;75.899222465;A
P;ES61;2021;PERS_MEDI_REMU_EVEN;606.920366461;A
P;ES611;2021;PERS_MEDI_REMU_EVEN;101.354606539;A
P;ES612;2021;PERS_MEDI_REMU_EVEN;107.916518675;A
P;ES613;2021;PERS_MEDI_REMU_EVEN;15.648837773;A
P;ES614;2021;PERS_MEDI_REMU_EVEN;77.777626373;A
P;ES615;2021;PERS_MEDI_REMU_EVEN;23.52726642;A
P;ES616;2021;PERS_MEDI_REMU_EVEN;19.684139895;A
P;ES617;2021;PERS_MEDI_REMU_EVEN;214.896473402;A
P;ES618;2021;PERS_MEDI_REMU_EVEN;46.114897384;A
A;ES61;2020;PLAZAS;55688.374138547;A
A;ES61;2019;PLAZAS;80197.812189595;A
A;ES61;2018;PLAZAS;75579.3080709;A
A;ES61;2017;PLAZAS;73678.3511467;A
A;ES61;2016;PLAZAS;66534.6951538;A
A;ES61;2015;PLAZAS;66441.11544062;A
A;ES61;2014;PLAZAS;62707.63582552;A
A;ES611;2020;PLAZAS;6468.456327581;A
A;ES611;2019;PLAZAS;9399.436234933;A
A;ES611;2018;PLAZAS;9157.8004047;A
A;ES611;2017;PLAZAS;8367.2337134;A
A;ES611;2016;PLAZAS;7873.9707128;A
A;ES611;2015;PLAZAS;7467.2087464;A
A;ES611;2014;PLAZAS;7601.8552023;A
A;ES612;2020;PLAZAS;4071.897234057;A
A;ES612;2019;PLAZAS;5307.735075187;A
A;ES612;2018;PLAZAS;5199.6452482;A
A;ES612;2017;PLAZAS;4606.9995384;A
A;ES612;2016;PLAZAS;3971.1618005;A
A;ES612;2015;PLAZAS;4132.3851944;A
A;ES612;2014;PLAZAS;4724.9859421;A
A;ES613;2020;PLAZAS;988.43756353;A
A;ES613;2019;PLAZAS;1228.787003055;A
A;ES613;2018;PLAZAS;1154.7811984;A
A;ES613;2017;PLAZAS;1108.2015788;A
A;ES613;2016;PLAZAS;1011.4875665;A
A;ES613;2015;PLAZAS;949.65977612;A
A;ES613;2014;PLAZAS;987.29148752;A
A;ES614;2020;PLAZAS;4514.318114118;A
A;ES614;2019;PLAZAS;6424.012682911;A
A;ES614;2018;PLAZAS;5328.9247803;A
A;ES614;2017;PLAZAS;4368.5772933;A
A;ES614;2016;PLAZAS;4749.4099318;A
A;ES614;2015;PLAZAS;4876.1381327;A
A;ES614;2014;PLAZAS;4442.5039539;A
A;ES615;2020;PLAZAS;2248.997416819;A
A;ES615;2019;PLAZAS;3023.785684852;A
A;ES615;2018;PLAZAS;3301.142242;A
A;ES615;2017;PLAZAS;2971.8494857;A
A;ES615;2016;PLAZAS;2720.3851951;A
A;ES615;2015;PLAZAS;2752.4800238;A
A;ES615;2014;PLAZAS;2478.1081871;A
A;ES616;2020;PLAZAS;1728.83275548;A
A;ES616;2019;PLAZAS;2478.292206706;A
A;ES616;2018;PLAZAS;2423.3043655;A
A;ES616;2017;PLAZAS;2412.2741813;A
A;ES616;2016;PLAZAS;2174.4197783;A
A;ES616;2015;PLAZAS;2255.0188491;A
A;ES616;2014;PLAZAS;2260.3586331;A
A;ES617;2020;PLAZAS;31226.294333614;A
A;ES617;2019;PLAZAS;45948.593151093;A
A;ES617;2018;PLAZAS;42866.285496;A
A;ES617;2017;PLAZAS;44290.675435;A
A;ES617;2016;PLAZAS;39598.090556;A
A;ES617;2015;PLAZAS;39741.014972;A
A;ES617;2014;PLAZAS;35882.312;A
A;ES618;2020;PLAZAS;4441.140393348;A
A;ES618;2019;PLAZAS;6387.170150858;A
A;ES618;2018;PLAZAS;6147.4243358;A
A;ES618;2017;PLAZAS;5552.5399208;A
A;ES618;2016;PLAZAS;4435.7696128;A
A;ES618;2015;PLAZAS;4267.2097461;A
A;ES618;2014;PLAZAS;4330.2204195;A
P;ES61;2021;PLAZAS;69392.069232066;A
P;ES611;2021;PLAZAS;8079.517241693;A
P;ES612;2021;PLAZAS;6917.730312456;A
P;ES613;2021;PLAZAS;1166.064793232;A
P;ES614;2021;PLAZAS;5795.776619519;A
P;ES615;2021;PLAZAS;2316.067136864;A
P;ES616;2021;PLAZAS;1830.338097009;A
P;ES617;2021;PLAZAS;37232.915418073;A
P;ES618;2021;PLAZAS;6053.65961322;A
A;ES61;2020;APAR_ESTI;13763.229973479;A
A;ES61;2019;APAR_ESTI;20348.177314096;A
A;ES61;2018;APAR_ESTI;19214.8053212;A
A;ES61;2017;APAR_ESTI;18557.86685478;A
A;ES61;2016;APAR_ESTI;16639.66703734;A
A;ES61;2015;APAR_ESTI;16550.52008179;A
A;ES61;2014;APAR_ESTI;16001.97376592;A
A;ES611;2020;APAR_ESTI;1560.166678947;A
A;ES611;2019;APAR_ESTI;2194.88513011;A
A;ES611;2018;APAR_ESTI;2081.7251312;A
A;ES611;2017;APAR_ESTI;1908.8920071;A
A;ES611;2016;APAR_ESTI;1798.8361054;A
A;ES611;2015;APAR_ESTI;1677.593286;A
A;ES611;2014;APAR_ESTI;1778.3428655;A
A;ES612;2020;APAR_ESTI;1066.024645529;A
A;ES612;2019;APAR_ESTI;1363.863539803;A
A;ES612;2018;APAR_ESTI;1314.384474;A
A;ES612;2017;APAR_ESTI;1191.6425372;A
A;ES612;2016;APAR_ESTI;1038.9587675;A
A;ES612;2015;APAR_ESTI;1082.3314261;A
A;ES612;2014;APAR_ESTI;1256.1684361;A
A;ES613;2020;APAR_ESTI;263.549331547;A
A;ES613;2019;APAR_ESTI;340.60829557;A
A;ES613;2018;APAR_ESTI;319.25854656;A
A;ES613;2017;APAR_ESTI;299.67470064;A
A;ES613;2016;APAR_ESTI;268.78166517;A
A;ES613;2015;APAR_ESTI;260.15526383;A
A;ES613;2014;APAR_ESTI;256.3206951;A
A;ES614;2020;APAR_ESTI;1199.371062378;A
