OBS_STATUS;TERRITORIO;RESITUR;TEMPORAL;INDICATOR;OBS_VALUE;FREQ
A;ES61;55562;2017;VIAJEROS;2940.67925107;A
A;ES61;55562;2018;VIAJEROS;2993.99529923;A
A;ES61;55562;2019;VIAJEROS;3482.133543935;A
A;ES61;55562;2020;VIAJEROS;1645.730317969;A
A;ES611;55564;2014;VIAJEROS;107659.332069012;A
A;ES611;55564;2015;VIAJEROS;127023.061324258;A
A;ES611;55564;2016;VIAJEROS;130458.94968484;A
A;ES611;55564;2017;VIAJEROS;158325.30469054;A
A;ES611;55564;2018;VIAJEROS;149325.303027549;A
A;ES611;55564;2019;VIAJEROS;171976.706573538;A
A;ES611;55564;2020;VIAJEROS;82691.666529249;A
A;ES611;55543;2014;VIAJEROS;42654.833008;A
A;ES611;55543;2015;VIAJEROS;47161.452089;A
A;ES611;55543;2016;VIAJEROS;51620.618002;A
A;ES611;55543;2017;VIAJEROS;65256.724402;A
A;ES611;55543;2018;VIAJEROS;58204.459059;A
A;ES611;55543;2019;VIAJEROS;68768.629054217;A
A;ES611;55543;2020;VIAJEROS;37321.186847729;A
A;ES611;55563;2014;VIAJEROS;65004.499061012;A
A;ES611;55563;2015;VIAJEROS;79861.609235258;A
A;ES611;55563;2016;VIAJEROS;78838.33168284;A
A;ES611;55563;2017;VIAJEROS;93068.58028854;A
A;ES611;55563;2018;VIAJEROS;91120.843968549;A
A;ES611;55563;2019;VIAJEROS;103208.077519321;A
A;ES611;55563;2020;VIAJEROS;45370.47968152;A
A;ES611;55545;2014;VIAJEROS;1896.1134187;A
A;ES611;55545;2015;VIAJEROS;2134.3095036;A
A;ES611;55545;2016;VIAJEROS;2333.6676503;A
A;ES611;55545;2017;VIAJEROS;2304.9761625;A
A;ES611;55545;2018;VIAJEROS;2631.2461141;A
A;ES611;55545;2019;VIAJEROS;2048.874745299;A
A;ES611;55545;2020;VIAJEROS;576.937576258;A
A;ES611;55546;2014;VIAJEROS;22.433467742;A
A;ES611;55546;2015;VIAJEROS;96.833333333;A
A;ES611;55546;2016;VIAJEROS;2107.3548155;A
A;ES611;55546;2017;VIAJEROS;1337.3856994;A
A;ES611;55546;2018;VIAJEROS;1565.76085;A
A;ES611;55546;2019;VIAJEROS;1103.168164559;A
A;ES611;55546;2020;VIAJEROS;75.032590126;A
A;ES611;55547;2014;VIAJEROS;164.86923423;A
A;ES611;55547;2015;VIAJEROS;156.42050035;A
A;ES611;55547;2016;VIAJEROS;350.86847052;A
A;ES611;55547;2017;VIAJEROS;330.0460138;A
A;ES611;55547;2018;VIAJEROS;367.42121409;A
A;ES611;55547;2019;VIAJEROS;452.660816462;A
A;ES611;55547;2020;VIAJEROS;279.865316921;A
A;ES611;55548;2014;VIAJEROS;187.25;A
A;ES611;55548;2015;VIAJEROS;208.3552608;A
A;ES611;55548;2016;VIAJEROS;293.53644765;A
A;ES611;55548;2017;VIAJEROS;477.63041078;A
A;ES611;55548;2018;VIAJEROS;688.2938564;A
A;ES611;55548;2019;VIAJEROS;595.533327625;A
A;ES611;55548;2020;VIAJEROS;278.780564476;A
A;ES611;55549;2014;VIAJEROS;3345.9265996;A
A;ES611;55549;2015;VIAJEROS;2402.0341666;A
A;ES611;55549;2016;VIAJEROS;3165.8532279;A
A;ES611;55549;2017;VIAJEROS;4332.058343;A
A;ES611;55549;2018;VIAJEROS;4794.4148106;A
A;ES611;55549;2019;VIAJEROS;4954.676243945;A
A;ES611;55549;2020;VIAJEROS;2032.352367826;A
A;ES611;55550;2014;VIAJEROS;4437.7344351;A
A;ES611;55550;2015;VIAJEROS;5416.904849;A
A;ES611;55550;2016;VIAJEROS;4528.8589022;A
A;ES611;55550;2017;VIAJEROS;6727.299425;A
A;ES611;55550;2018;VIAJEROS;7153.4855558;A
A;ES611;55550;2019;VIAJEROS;9282.055813067;A
A;ES611;55550;2020;VIAJEROS;3268.700933588;A
A;ES611;55551;2014;VIAJEROS;4072.8103757;A
A;ES611;55551;2015;VIAJEROS;5705.0928258;A
A;ES611;55551;2016;VIAJEROS;7838.9000877;A
A;ES611;55551;2017;VIAJEROS;7006.1680244;A
