ESTADO_DATO;TERRITORIO;FORMA_JUR_SOCMER;TEMPORAL;INDICATOR;OBS_VALUE;FREQ;CNAE09;SEXO_SOCIOS
P;3054;46364;2021;SOC_CONST;24.0;A;_Z;_Z
P;3056;46367;2021;SOC_CONST;2.0;A;_Z;_Z
P;3056;46364;2021;SOC_CONST;2.0;A;_Z;_Z
P;3057;46367;2021;SOC_CONST;3.0;A;_Z;_Z
P;3057;46364;2021;SOC_CONST;3.0;A;_Z;_Z
P;3058;46367;2021;SOC_CONST;8.0;A;_Z;_Z
P;3058;46364;2021;SOC_CONST;8.0;A;_Z;_Z
P;3059;46367;2021;SOC_CONST;46.0;A;_Z;_Z
P;3059;46364;2021;SOC_CONST;46.0;A;_Z;_Z
P;3060;46367;2021;SOC_CONST;1.0;A;_Z;_Z
P;3060;46364;2021;SOC_CONST;1.0;A;_Z;_Z
P;3061;46367;2021;SOC_CONST;11.0;A;_Z;_Z
P;3061;46364;2021;SOC_CONST;11.0;A;_Z;_Z
P;3137;46367;2021;SOC_CONST;20.0;A;_Z;_Z
P;3137;46364;2021;SOC_CONST;20.0;A;_Z;_Z
P;3063;46367;2021;SOC_CONST;261.0;A;_Z;_Z
P;3063;46361;2021;SOC_CONST;7.0;A;_Z;_Z
P;3063;46364;2021;SOC_CONST;251.0;A;_Z;_Z
P;3063;46366;2021;SOC_CONST;3.0;A;_Z;_Z
P;3064;46367;2021;SOC_CONST;65.0;A;_Z;_Z
P;3064;46364;2021;SOC_CONST;65.0;A;_Z;_Z
P;3065;46367;2021;SOC_CONST;38.0;A;_Z;_Z
P;3065;46364;2021;SOC_CONST;37.0;A;_Z;_Z
P;3065;46366;2021;SOC_CONST;1.0;A;_Z;_Z
P;3066;46367;2021;SOC_CONST;7.0;A;_Z;_Z
P;3066;46364;2021;SOC_CONST;7.0;A;_Z;_Z
P;3067;46367;2021;SOC_CONST;12.0;A;_Z;_Z
P;3067;46364;2021;SOC_CONST;12.0;A;_Z;_Z
P;3068;46367;2021;SOC_CONST;2.0;A;_Z;_Z
P;3068;46364;2021;SOC_CONST;2.0;A;_Z;_Z
P;3069;46367;2021;SOC_CONST;24.0;A;_Z;_Z
P;3069;46364;2021;SOC_CONST;24.0;A;_Z;_Z
P;3070;46367;2021;SOC_CONST;6.0;A;_Z;_Z
P;3070;46364;2021;SOC_CONST;6.0;A;_Z;_Z
P;3071;46367;2021;SOC_CONST;3.0;A;_Z;_Z
P;3071;46364;2021;SOC_CONST;3.0;A;_Z;_Z
P;3072;46367;2021;SOC_CONST;23.0;A;_Z;_Z
P;3072;46364;2021;SOC_CONST;23.0;A;_Z;_Z
P;3073;46367;2021;SOC_CONST;2.0;A;_Z;_Z
P;3073;46364;2021;SOC_CONST;2.0;A;_Z;_Z
P;3074;46367;2021;SOC_CONST;32.0;A;_Z;_Z
P;3074;46364;2021;SOC_CONST;32.0;A;_Z;_Z
P;3075;46367;2021;SOC_CONST;12.0;A;_Z;_Z
P;3075;46364;2021;SOC_CONST;12.0;A;_Z;_Z
P;3076;46367;2021;SOC_CONST;4.0;A;_Z;_Z
P;3076;46364;2021;SOC_CONST;4.0;A;_Z;_Z
P;3136;46367;2021;SOC_CONST;5.0;A;_Z;_Z
P;3136;46364;2021;SOC_CONST;4.0;A;_Z;_Z
P;3136;46366;2021;SOC_CONST;1.0;A;_Z;_Z
P;3078;46367;2021;SOC_CONST;8.0;A;_Z;_Z
P;3078;46364;2021;SOC_CONST;7.0;A;_Z;_Z
P;3078;46366;2021;SOC_CONST;1.0;A;_Z;_Z
P;3080;46367;2021;SOC_CONST;48.0;A;_Z;_Z
P;3080;46364;2021;SOC_CONST;48.0;A;_Z;_Z
P;3081;46367;2021;SOC_CONST;2.0;A;_Z;_Z
P;3081;46364;2021;SOC_CONST;2.0;A;_Z;_Z
P;3082;46367;2021;SOC_CONST;23.0;A;_Z;_Z
P;3082;46364;2021;SOC_CONST;23.0;A;_Z;_Z
P;3083;46367;2021;SOC_CONST;2.0;A;_Z;_Z
P;3083;46364;2021;SOC_CONST;2.0;A;_Z;_Z
P;3085;46367;2021;SOC_CONST;31.0;A;_Z;_Z
P;3085;46364;2021;SOC_CONST;31.0;A;_Z;_Z
P;3086;46367;2021;SOC_CONST;151.0;A;_Z;_Z
P;3086;46364;2021;SOC_CONST;146.0;A;_Z;_Z
P;3086;46366;2021;SOC_CONST;5.0;A;_Z;_Z
P;3087;46367;2021;SOC_CONST;29.0;A;_Z;_Z
P;3087;46361;2021;SOC_CONST;1.0;A;_Z;_Z
P;3087;46364;2021;SOC_CONST;28.0;A;_Z;_Z
P;3088;46367;2021;SOC_CONST;1.0;A;_Z;_Z
P;3088;46364;2021;SOC_CONST;1.0;A;_Z;_Z
P;3089;46367;2021;SOC_CONST;4.0;A;_Z;_Z
P;3089;46364;2021;SOC_CONST;4.0;A;_Z;_Z
P;3090;46367;2021;SOC_CONST;6.0;A;_Z;_Z
P;3090;46364;2021;SOC_CONST;6.0;A;_Z;_Z
P;3091;46367;2021;SOC_CONST;12.0;A;_Z;_Z
P;3091;46364;2021;SOC_CONST;12.0;A;_Z;_Z
P;3092;46367;2021;SOC_CONST;15.0;A;_Z;_Z
P;3092;46364;2021;SOC_CONST;15.0;A;_Z;_Z
P;3094;46367;2021;SOC_CONST;9.0;A;_Z;_Z
P;3094;46364;2021;SOC_CONST;9.0;A;_Z;_Z
P;3095;46367;2021;SOC_CONST;16.0;A;_Z;_Z
P;3095;46364;2021;SOC_CONST;16.0;A;_Z;_Z
P;3096;46367;2021;SOC_CONST;73.0;A;_Z;_Z
P;3096;46364;2021;SOC_CONST;73.0;A;_Z;_Z
P;3097;46367;2021;SOC_CONST;16.0;A;_Z;_Z
P;3097;46364;2021;SOC_CONST;16.0;A;_Z;_Z
P;3098;46367;2021;SOC_CONST;7.0;A;_Z;_Z
P;3098;46364;2021;SOC_CONST;7.0;A;_Z;_Z
P;3099;46367;2021;SOC_CONST;7.0;A;_Z;_Z
P;3099;46364;2021;SOC_CONST;7.0;A;_Z;_Z
P;3100;46367;2021;SOC_CONST;4.0;A;_Z;_Z
P;3100;46364;2021;SOC_CONST;4.0;A;_Z;_Z
P;3101;46367;2021;SOC_CONST;2.0;A;_Z;_Z
P;3101;46364;2021;SOC_CONST;2.0;A;_Z;_Z
P;3102;46367;2021;SOC_CONST;18.0;A;_Z;_Z
P;3102;46364;2021;SOC_CONST;18.0;A;_Z;_Z
P;3103;46367;2021;SOC_CONST;1.0;A;_Z;_Z
P;3103;46364;2021;SOC_CONST;1.0;A;_Z;_Z
P;3104;46367;2021;SOC_CONST;17.0;A;_Z;_Z
P;3104;46364;2021;SOC_CONST;17.0;A;_Z;_Z
P;3105;46367;2021;SOC_CONST;2.0;A;_Z;_Z
P;3105;46364;2021;SOC_CONST;2.0;A;_Z;_Z
P;3108;46367;2021;SOC_CONST;12.0;A;_Z;_Z
P;3108;46364;2021;SOC_CONST;12.0;A;_Z;_Z
P;3109;46367;2021;SOC_CONST;3.0;A;_Z;_Z
P;3109;46364;2021;SOC_CONST;3.0;A;_Z;_Z
P;3110;46367;2021;SOC_CONST;88.0;A;_Z;_Z
P;3110;46364;2021;SOC_CONST;88.0;A;_Z;_Z
P;3111;46367;2021;SOC_CONST;8.0;A;_Z;_Z
P;3111;46364;2021;SOC_CONST;8.0;A;_Z;_Z
P;3112;46367;2021;SOC_CONST;1.0;A;_Z;_Z
P;3112;46364;2021;SOC_CONST;1.0;A;_Z;_Z
P;3113;46367;2021;SOC_CONST;5.0;A;_Z;_Z
P;3113;46364;2021;SOC_CONST;5.0;A;_Z;_Z
P;3114;46367;2021;SOC_CONST;23.0;A;_Z;_Z
P;3114;46364;2021;SOC_CONST;23.0;A;_Z;_Z
P;3115;46367;2021;SOC_CONST;24.0;A;_Z;_Z
P;3115;46364;2021;SOC_CONST;24.0;A;_Z;_Z
P;3116;46367;2021;SOC_CONST;22.0;A;_Z;_Z
P;3116;46364;2021;SOC_CONST;22.0;A;_Z;_Z
P;3118;46367;2021;SOC_CONST;8.0;A;_Z;_Z
P;3118;46364;2021;SOC_CONST;8.0;A;_Z;_Z
P;3119;46367;2021;SOC_CONST;3.0;A;_Z;_Z
P;3119;46364;2021;SOC_CONST;3.0;A;_Z;_Z
P;3120;46367;2021;SOC_CONST;2262.0;A;_Z;_Z
P;3120;46361;2021;SOC_CONST;8.0;A;_Z;_Z
P;3120;46364;2021;SOC_CONST;2233.0;A;_Z;_Z
P;3120;46366;2021;SOC_CONST;21.0;A;_Z;_Z
P;3121;46367;2021;SOC_CONST;12.0;A;_Z;_Z
P;3121;46364;2021;SOC_CONST;12.0;A;_Z;_Z
P;3122;46367;2021;SOC_CONST;78.0;A;_Z;_Z
P;3122;46364;2021;SOC_CONST;78.0;A;_Z;_Z
P;3123;46367;2021;SOC_CONST;14.0;A;_Z;_Z
P;3123;46364;2021;SOC_CONST;14.0;A;_Z;_Z
P;3124;46367;2021;SOC_CONST;95.0;A;_Z;_Z
P;3124;46364;2021;SOC_CONST;95.0;A;_Z;_Z
P;3126;46367;2021;SOC_CONST;36.0;A;_Z;_Z
P;3126;46364;2021;SOC_CONST;36.0;A;_Z;_Z
P;3127;46367;2021;SOC_CONST;8.0;A;_Z;_Z
P;3127;46364;2021;SOC_CONST;8.0;A;_Z;_Z
P;3128;46367;2021;SOC_CONST;11.0;A;_Z;_Z
P;3128;46364;2021;SOC_CONST;11.0;A;_Z;_Z
P;3129;46367;2021;SOC_CONST;4.0;A;_Z;_Z
P;3129;46364;2021;SOC_CONST;4.0;A;_Z;_Z
P;3131;46367;2021;SOC_CONST;18.0;A;_Z;_Z
P;3131;46364;2021;SOC_CONST;18.0;A;_Z;_Z
P;3132;46367;2021;SOC_CONST;37.0;A;_Z;_Z
P;3132;46364;2021;SOC_CONST;37.0;A;_Z;_Z
P;ES618;46367;2021;CAP_SUSCRITO;156752358;A;_Z;_Z
P;ES618;46361;2021;CAP_SUSCRITO;1246000.0;A;_Z;_Z
P;ES618;46364;2021;CAP_SUSCRITO;155436701;A;_Z;_Z
P;ES618;46366;2021;CAP_SUSCRITO;69656.53;A;_Z;_Z
P;3026;46367;2021;CAP_SUSCRITO;7000.0;A;_Z;_Z
P;3026;46364;2021;CAP_SUSCRITO;6000.0;A;_Z;_Z
P;3026;46366;2021;CAP_SUSCRITO;1000.0;A;_Z;_Z
P;3028;46367;2021;CAP_SUSCRITO;20871697;A;_Z;_Z
P;3028;46361;2021;CAP_SUSCRITO;60000.0;A;_Z;_Z
P;3028;46364;2021;CAP_SUSCRITO;20811697;A;_Z;_Z
P;3028;46366;2021;CAP_SUSCRITO;0.0;A;_Z;_Z
P;3029;46367;2021;CAP_SUSCRITO;275010.0;A;_Z;_Z
P;3029;46364;2021;CAP_SUSCRITO;275010.0;A;_Z;_Z
P;3030;46367;2021;CAP_SUSCRITO;73000.0;A;_Z;_Z
P;3030;46364;2021;CAP_SUSCRITO;73000.0;A;_Z;_Z
P;3031;46367;2021;CAP_SUSCRITO;124305.0;A;_Z;_Z
P;3031;46364;2021;CAP_SUSCRITO;124305.0;A;_Z;_Z
P;3032;46367;2021;CAP_SUSCRITO;7000.0;A;_Z;_Z
P;3032;46364;2021;CAP_SUSCRITO;7000.0;A;_Z;_Z
P;3034;46367;2021;CAP_SUSCRITO;18010.0;A;_Z;_Z
P;3034;46364;2021;CAP_SUSCRITO;18010.0;A;_Z;_Z
P;3035;46367;2021;CAP_SUSCRITO;98329.0;A;_Z;_Z
P;3035;46364;2021;CAP_SUSCRITO;98329.0;A;_Z;_Z
P;3037;46367;2021;CAP_SUSCRITO;34960.0;A;_Z;_Z
P;3037;46364;2021;CAP_SUSCRITO;34960.0;A;_Z;_Z
P;3038;46367;2021;CAP_SUSCRITO;34000.0;A;_Z;_Z
P;3038;46364;2021;CAP_SUSCRITO;34000.0;A;_Z;_Z
P;3039;46367;2021;CAP_SUSCRITO;31230.0;A;_Z;_Z
P;3039;46364;2021;CAP_SUSCRITO;31230.0;A;_Z;_Z
P;3040;46367;2021;CAP_SUSCRITO;36656.0;A;_Z;_Z
P;3040;46364;2021;CAP_SUSCRITO;36656.0;A;_Z;_Z
P;3041;46367;2021;CAP_SUSCRITO;871981.0;A;_Z;_Z
P;3041;46364;2021;CAP_SUSCRITO;871981.0;A;_Z;_Z
P;3042;46367;2021;CAP_SUSCRITO;8702176.0;A;_Z;_Z
P;3042;46364;2021;CAP_SUSCRITO;8702076.0;A;_Z;_Z
P;3042;46366;2021;CAP_SUSCRITO;100.0;A;_Z;_Z
P;3043;46367;2021;CAP_SUSCRITO;276658.0;A;_Z;_Z
P;3043;46364;2021;CAP_SUSCRITO;276658.0;A;_Z;_Z
P;3044;46367;2021;CAP_SUSCRITO;365000.0;A;_Z;_Z
P;3044;46364;2021;CAP_SUSCRITO;365000.0;A;_Z;_Z
P;3045;46367;2021;CAP_SUSCRITO;134560.0;A;_Z;_Z
P;3045;46364;2021;CAP_SUSCRITO;134560.0;A;_Z;_Z
P;3046;46367;2021;CAP_SUSCRITO;2051596.89;A;_Z;_Z
P;3046;46364;2021;CAP_SUSCRITO;2051596.89;A;_Z;_Z
P;3047;46367;2021;CAP_SUSCRITO;9200.0;A;_Z;_Z
P;3047;46364;2021;CAP_SUSCRITO;9200.0;A;_Z;_Z
P;3048;46367;2021;CAP_SUSCRITO;102914.0;A;_Z;_Z
P;3048;46364;2021;CAP_SUSCRITO;102914.0;A;_Z;_Z
P;3133;46367;2021;CAP_SUSCRITO;6160.0;A;_Z;_Z
P;3133;46364;2021;CAP_SUSCRITO;6160.0;A;_Z;_Z
P;3049;46367;2021;CAP_SUSCRITO;1784572.0;A;_Z;_Z
P;3049;46364;2021;CAP_SUSCRITO;1784572.0;A;_Z;_Z
P;3051;46367;2021;CAP_SUSCRITO;80562.0;A;_Z;_Z
P;3051;46364;2021;CAP_SUSCRITO;80562.0;A;_Z;_Z
P;3052;46367;2021;CAP_SUSCRITO;6100.0;A;_Z;_Z
P;3052;46364;2021;CAP_SUSCRITO;6100.0;A;_Z;_Z
P;3053;46367;2021;CAP_SUSCRITO;32734.48;A;_Z;_Z
P;3053;46364;2021;CAP_SUSCRITO;32734.48;A;_Z;_Z
P;3054;46367;2021;CAP_SUSCRITO;1027350.0;A;_Z;_Z
P;3054;46364;2021;CAP_SUSCRITO;1027350.0;A;_Z;_Z
P;3056;46367;2021;CAP_SUSCRITO;6000.0;A;_Z;_Z
P;3056;46364;2021;CAP_SUSCRITO;6000.0;A;_Z;_Z
P;3057;46367;2021;CAP_SUSCRITO;9200.0;A;_Z;_Z
P;3057;46364;2021;CAP_SUSCRITO;9200.0;A;_Z;_Z
P;3058;46367;2021;CAP_SUSCRITO;56020.0;A;_Z;_Z
P;3058;46364;2021;CAP_SUSCRITO;56020.0;A;_Z;_Z
P;3059;46367;2021;CAP_SUSCRITO;1578219.27;A;_Z;_Z
P;3059;46364;2021;CAP_SUSCRITO;1578219.27;A;_Z;_Z
P;3060;46367;2021;CAP_SUSCRITO;3000.0;A;_Z;_Z
P;3060;46364;2021;CAP_SUSCRITO;3000.0;A;_Z;_Z
P;3061;46367;2021;CAP_SUSCRITO;248840.0;A;_Z;_Z
P;3061;46364;2021;CAP_SUSCRITO;248840.0;A;_Z;_Z
P;3137;46367;2021;CAP_SUSCRITO;200500.0;A;_Z;_Z
P;3137;46364;2021;CAP_SUSCRITO;200500.0;A;_Z;_Z
P;3063;46367;2021;CAP_SUSCRITO;7269244.0;A;_Z;_Z
P;3063;46361;2021;CAP_SUSCRITO;426000.0;A;_Z;_Z
P;3063;46364;2021;CAP_SUSCRITO;6837244.0;A;_Z;_Z
P;3063;46366;2021;CAP_SUSCRITO;6000.0;A;_Z;_Z
P;3064;46367;2021;CAP_SUSCRITO;10513985;A;_Z;_Z
P;3064;46364;2021;CAP_SUSCRITO;10513985;A;_Z;_Z
P;3065;46367;2021;CAP_SUSCRITO;207060.0;A;_Z;_Z
P;3065;46364;2021;CAP_SUSCRITO;206460.0;A;_Z;_Z
P;3065;46366;2021;CAP_SUSCRITO;600.0;A;_Z;_Z
P;3066;46367;2021;CAP_SUSCRITO;28060.0;A;_Z;_Z
P;3066;46364;2021;CAP_SUSCRITO;28060.0;A;_Z;_Z
P;3067;46367;2021;CAP_SUSCRITO;97000.0;A;_Z;_Z
P;3067;46364;2021;CAP_SUSCRITO;97000.0;A;_Z;_Z
P;3068;46367;2021;CAP_SUSCRITO;6000.0;A;_Z;_Z
P;3068;46364;2021;CAP_SUSCRITO;6000.0;A;_Z;_Z
P;3069;46367;2021;CAP_SUSCRITO;211000.0;A;_Z;_Z
P;3069;46364;2021;CAP_SUSCRITO;211000.0;A;_Z;_Z
P;3070;46367;2021;CAP_SUSCRITO;21100.0;A;_Z;_Z
P;3070;46364;2021;CAP_SUSCRITO;21100.0;A;_Z;_Z
P;3071;46367;2021;CAP_SUSCRITO;20760.0;A;_Z;_Z
P;3071;46364;2021;CAP_SUSCRITO;20760.0;A;_Z;_Z
P;3072;46367;2021;CAP_SUSCRITO;2886629.0;A;_Z;_Z
P;3072;46364;2021;CAP_SUSCRITO;2886629.0;A;_Z;_Z
P;3073;46367;2021;CAP_SUSCRITO;12000.0;A;_Z;_Z
P;3073;46364;2021;CAP_SUSCRITO;12000.0;A;_Z;_Z
P;3074;46367;2021;CAP_SUSCRITO;4061102.0;A;_Z;_Z
P;3074;46364;2021;CAP_SUSCRITO;4061102.0;A;_Z;_Z
P;3075;46367;2021;CAP_SUSCRITO;616200.0;A;_Z;_Z
P;3075;46364;2021;CAP_SUSCRITO;616200.0;A;_Z;_Z
P;3076;46367;2021;CAP_SUSCRITO;86000.0;A;_Z;_Z
P;3076;46364;2021;CAP_SUSCRITO;86000.0;A;_Z;_Z
P;3136;46367;2021;CAP_SUSCRITO;25711.07;A;_Z;_Z
P;3136;46364;2021;CAP_SUSCRITO;22700.0;A;_Z;_Z
P;3136;46366;2021;CAP_SUSCRITO;3011.07;A;_Z;_Z
P;3078;46367;2021;CAP_SUSCRITO;1132622.0;A;_Z;_Z
P;3078;46364;2021;CAP_SUSCRITO;1129622.0;A;_Z;_Z
P;3078;46366;2021;CAP_SUSCRITO;3000.0;A;_Z;_Z
P;3080;46367;2021;CAP_SUSCRITO;481405.0;A;_Z;_Z
P;3080;46364;2021;CAP_SUSCRITO;481405.0;A;_Z;_Z
P;3081;46367;2021;CAP_SUSCRITO;253000.0;A;_Z;_Z
P;3081;46364;2021;CAP_SUSCRITO;253000.0;A;_Z;_Z
P;3082;46367;2021;CAP_SUSCRITO;101468.0;A;_Z;_Z
P;3082;46364;2021;CAP_SUSCRITO;101468.0;A;_Z;_Z
P;3083;46367;2021;CAP_SUSCRITO;7000.0;A;_Z;_Z
P;3083;46364;2021;CAP_SUSCRITO;7000.0;A;_Z;_Z
P;3085;46367;2021;CAP_SUSCRITO;161866.0;A;_Z;_Z
P;3085;46364;2021;CAP_SUSCRITO;161866.0;A;_Z;_Z
P;3086;46367;2021;CAP_SUSCRITO;1171084.0;A;_Z;_Z
P;3086;46364;2021;CAP_SUSCRITO;1171084.0;A;_Z;_Z
P;3086;46366;2021;CAP_SUSCRITO;0.0;A;_Z;_Z
P;3087;46367;2021;CAP_SUSCRITO;422030.0;A;_Z;_Z
P;3087;46361;2021;CAP_SUSCRITO;60000.0;A;_Z;_Z
P;3087;46364;2021;CAP_SUSCRITO;362030.0;A;_Z;_Z
P;3088;46367;2021;CAP_SUSCRITO;3000.0;A;_Z;_Z
P;3088;46364;2021;CAP_SUSCRITO;3000.0;A;_Z;_Z
P;3089;46367;2021;CAP_SUSCRITO;12050.0;A;_Z;_Z
P;3089;46364;2021;CAP_SUSCRITO;12050.0;A;_Z;_Z
P;3090;46367;2021;CAP_SUSCRITO;45100.0;A;_Z;_Z
P;3090;46364;2021;CAP_SUSCRITO;45100.0;A;_Z;_Z
P;3091;46367;2021;CAP_SUSCRITO;92021.06;A;_Z;_Z
P;3091;46364;2021;CAP_SUSCRITO;92021.06;A;_Z;_Z
P;3092;46367;2021;CAP_SUSCRITO;211250.0;A;_Z;_Z
P;3092;46364;2021;CAP_SUSCRITO;211250.0;A;_Z;_Z
P;3094;46367;2021;CAP_SUSCRITO;64000.0;A;_Z;_Z
P;3094;46364;2021;CAP_SUSCRITO;64000.0;A;_Z;_Z
P;3095;46367;2021;CAP_SUSCRITO;162500.0;A;_Z;_Z
P;3095;46364;2021;CAP_SUSCRITO;162500.0;A;_Z;_Z
P;3096;46367;2021;CAP_SUSCRITO;851557.0;A;_Z;_Z
P;3096;46364;2021;CAP_SUSCRITO;851557.0;A;_Z;_Z
P;3097;46367;2021;CAP_SUSCRITO;329500.0;A;_Z;_Z
P;3097;46364;2021;CAP_SUSCRITO;329500.0;A;_Z;_Z
P;3098;46367;2021;CAP_SUSCRITO;28000.0;A;_Z;_Z
P;3098;46364;2021;CAP_SUSCRITO;28000.0;A;_Z;_Z
P;3099;46367;2021;CAP_SUSCRITO;56600.0;A;_Z;_Z
P;3099;46364;2021;CAP_SUSCRITO;56600.0;A;_Z;_Z
P;3100;46367;2021;CAP_SUSCRITO;46925.0;A;_Z;_Z
P;3100;46364;2021;CAP_SUSCRITO;46925.0;A;_Z;_Z
P;3101;46367;2021;CAP_SUSCRITO;6000.0;A;_Z;_Z
P;3101;46364;2021;CAP_SUSCRITO;6000.0;A;_Z;_Z
P;3102;46367;2021;CAP_SUSCRITO;650176.0;A;_Z;_Z
P;3102;46364;2021;CAP_SUSCRITO;650176.0;A;_Z;_Z
P;3103;46367;2021;CAP_SUSCRITO;3000.0;A;_Z;_Z
P;3103;46364;2021;CAP_SUSCRITO;3000.0;A;_Z;_Z
P;3104;46367;2021;CAP_SUSCRITO;365346.0;A;_Z;_Z
P;3104;46364;2021;CAP_SUSCRITO;365346.0;A;_Z;_Z
P;3105;46367;2021;CAP_SUSCRITO;13000.0;A;_Z;_Z
P;3105;46364;2021;CAP_SUSCRITO;13000.0;A;_Z;_Z
P;3108;46367;2021;CAP_SUSCRITO;884420.37;A;_Z;_Z
P;3108;46364;2021;CAP_SUSCRITO;884420.37;A;_Z;_Z
P;3109;46367;2021;CAP_SUSCRITO;12001.0;A;_Z;_Z
P;3109;46364;2021;CAP_SUSCRITO;12001.0;A;_Z;_Z
P;3110;46367;2021;CAP_SUSCRITO;12211978;A;_Z;_Z
P;3110;46364;2021;CAP_SUSCRITO;12211978;A;_Z;_Z
P;3111;46367;2021;CAP_SUSCRITO;54500.0;A;_Z;_Z
P;3111;46364;2021;CAP_SUSCRITO;54500.0;A;_Z;_Z
P;3112;46367;2021;CAP_SUSCRITO;3000.0;A;_Z;_Z
P;3112;46364;2021;CAP_SUSCRITO;3000.0;A;_Z;_Z
P;3113;46367;2021;CAP_SUSCRITO;67000.0;A;_Z;_Z
P;3113;46364;2021;CAP_SUSCRITO;67000.0;A;_Z;_Z
P;3114;46367;2021;CAP_SUSCRITO;102178.0;A;_Z;_Z
P;3114;46364;2021;CAP_SUSCRITO;102178.0;A;_Z;_Z
P;3115;46367;2021;CAP_SUSCRITO;317436.0;A;_Z;_Z
P;3115;46364;2021;CAP_SUSCRITO;317436.0;A;_Z;_Z
P;3116;46367;2021;CAP_SUSCRITO;152250.0;A;_Z;_Z
P;3116;46364;2021;CAP_SUSCRITO;152250.0;A;_Z;_Z
P;3118;46367;2021;CAP_SUSCRITO;24300.0;A;_Z;_Z
P;3118;46364;2021;CAP_SUSCRITO;24300.0;A;_Z;_Z
P;3119;46367;2021;CAP_SUSCRITO;21010.0;A;_Z;_Z
P;3119;46364;2021;CAP_SUSCRITO;21010.0;A;_Z;_Z
