D_TEMPORAL_0;D_CNAE09_0;D_TERRITORIO_0;D_EPD_TAMANOEMPRESA_0;INDICATOR;OBS_VALUE;FREQ
2013;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Aplicaciones ofimáticas;33.37264420516405;A
2014;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Aplicaciones ofimáticas;38.84734230156996;A
2015;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Aplicaciones ofimáticas;40.85807594344242;A
2016;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Aplicaciones ofimáticas;45.157295927422524;A
2017;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Aplicaciones ofimáticas;42.952530751221126;A
2018;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Aplicaciones ofimáticas;45.17542179921237;A
2019;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Aplicaciones ofimáticas;;A
2020;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Aplicaciones ofimáticas;;A
2021;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Aplicaciones ofimáticas;40.69995824814093;A
2009;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Servidores de web/Internet (b);;A
2010;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Servidores de web/Internet (b);;A
2011;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Servidores de web/Internet (b);20.566478551750762;A
2012;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Servidores de web/Internet (b);20.86995920729985;A
2013;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Servidores de web/Internet (b);20.29910833272338;A
2014;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Servidores de web/Internet (b);15.377014687676185;A
2015;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Servidores de web/Internet (b);18.179010676756665;A
2016;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Servidores de web/Internet (b);21.765077330946177;A
2017;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Servidores de web/Internet (b);15.634570673312476;A
2018;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Servidores de web/Internet (b);22.50503994374068;A
2019;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Servidores de web/Internet (b);;A
2020;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Servidores de web/Internet (b);;A
2021;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Servidores de web/Internet (b);18.136809668943023;A
2009;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Servidores de web/Internet;;A
2010;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Servidores de web/Internet;;A
2011;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Servidores de web/Internet;9.59451475714888;A
2012;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Servidores de web/Internet;11.911512653244476;A
