D_TEMPORAL_0;D_CNAE09_0;D_ESTRATO_ASALARIADOS_0;D_TERRITORIO_0;D_EPD_TAMANOEMPRESA_0;INDICATOR;OBS_VALUE;FREQ
2018;838684;38221;3143;38435;% de empresas que utiliza algún tipo de robot;52.17391300378071;A
2018;838685;38221;3143;38435;% de empresas que utiliza algún tipo de robot;69.06474820143885;A
2018;7627;38221;3143;38435;% de empresas que utiliza algún tipo de robot;17.142857142857142;A
2018;7663;38221;3143;38435;% de empresas que utiliza algún tipo de robot;;A
2018;7716;38221;3143;38435;% de empresas que utiliza algún tipo de robot;12.775833132380868;A
2018;7859;38221;3143;38435;% de empresas que utiliza algún tipo de robot;23.118009301534723;A
2018;7958;38221;3143;38435;% de empresas que utiliza algún tipo de robot;5.992509363295881;A
2018;7888;38221;3143;38435;% de empresas que utiliza algún tipo de robot;;A
2018;8094;38221;3143;38435;% de empresas que utiliza algún tipo de robot;;A
2018;8165;38221;3143;38435;% de empresas que utiliza algún tipo de robot;8.333333333333332;A
2018;8255;38221;3143;38435;% de empresas que utiliza algún tipo de robot;5.758519989029582;A
2020;6949;38221;3143;38435;% de empresas que utiliza algún tipo de robot;23.161995731656788;A
2020;7058;38221;3143;38435;% de empresas que utiliza algún tipo de robot;53.918035603149086;A
2020;7605;38221;3143;38435;% de empresas que utiliza algún tipo de robot;40.749574105648975;A
2020;838683;38221;3143;38435;% de empresas que utiliza algún tipo de robot;77.27272727272727;A
2020;838684;38221;3143;38435;% de empresas que utiliza algún tipo de robot;75.4716981217515;A
2020;838685;38221;3143;38435;% de empresas que utiliza algún tipo de robot;85.23489932885904;A
2020;7627;38221;3143;38435;% de empresas que utiliza algún tipo de robot;11.25000000703125;A
2020;7663;38221;3143;38435;% de empresas que utiliza algún tipo de robot;9.230769237869822;A
2020;7716;38221;3143;38435;% de empresas que utiliza algún tipo de robot;14.461918149159795;A
2020;7859;38221;3143;38435;% de empresas que utiliza algún tipo de robot;28.874632771748903;A
2020;7958;38221;3143;38435;% de empresas que utiliza algún tipo de robot;4.7042052694495915;A
2020;7888;38221;3143;38435;% de empresas que utiliza algún tipo de robot;;A
2020;8031;38221;3143;38435;% de empresas que utiliza algún tipo de robot;;A
2020;8094;38221;3143;38435;% de empresas que utiliza algún tipo de robot;;A
2020;8165;38221;3143;38435;% de empresas que utiliza algún tipo de robot;14.736842113240996;A
2020;8255;38221;3143;38435;% de empresas que utiliza algún tipo de robot;4.339774557803549;A
2018;6949;38282;3143;38435;% de empresas que utilizan robots industriales (a);66.31656057422029;A
2018;7058;38282;3143;38435;% de empresas que utilizan robots industriales (a);85.54240087439199;A
2018;7605;38282;3143;38435;% de empresas que utilizan robots industriales (a);58.42213904698272;A
2018;838683;38282;3143;38435;% de empresas que utilizan robots industriales (a);100.0;A
2018;838684;38282;3143;38435;% de empresas que utilizan robots industriales (a);100.0;A
2018;838685;38282;3143;38435;% de empresas que utilizan robots industriales (a);100.0;A
2018;7627;38282;3143;38435;% de empresas que utilizan robots industriales (a);18.50322050981521;A
2018;7663;38282;3143;38435;% de empresas que utilizan robots industriales (a);100.0;A
2018;7716;38282;3143;38435;% de empresas que utilizan robots industriales (a);32.79347501556344;A
