ESTADO_DATO;TERRITORIO;RESITUR;TEMPORAL;INDICATOR;OBS_VALUE;FREQ;PARQUES_TURISMO;PUNTOS_TURISTICOS
A;ES611;55558;2020;VIAJEROS;1449.22151605;A;_Z;_Z
A;ES611;55559;2014;VIAJEROS;261.78333333;A;_Z;_Z
A;ES611;55559;2015;VIAJEROS;233.36665403;A;_Z;_Z
A;ES611;55559;2016;VIAJEROS;282.14580103;A;_Z;_Z
A;ES611;55559;2017;VIAJEROS;245.14657318;A;_Z;_Z
A;ES611;55559;2018;VIAJEROS;222.87361111;A;_Z;_Z
A;ES611;55559;2019;VIAJEROS;434.492180766;A;_Z;_Z
A;ES611;55559;2020;VIAJEROS;152.404962039;A;_Z;_Z
A;ES611;55544;2014;VIAJEROS;889.71673881;A;_Z;_Z
A;ES611;55544;2015;VIAJEROS;2059.9933491;A;_Z;_Z
A;ES611;55544;2016;VIAJEROS;1223.9333525;A;_Z;_Z
A;ES611;55544;2017;VIAJEROS;784.18144824;A;_Z;_Z
A;ES611;55544;2018;VIAJEROS;1242.8341502;A;_Z;_Z
A;ES611;55544;2019;VIAJEROS;1394.341798079;A;_Z;_Z
A;ES611;55544;2020;VIAJEROS;708.789309989;A;_Z;_Z
A;ES611;55561;2014;VIAJEROS;57.525;A;_Z;_Z
A;ES611;55561;2015;VIAJEROS;52.186832205;A;_Z;_Z
A;ES611;55561;2016;VIAJEROS;133.15306682;A;_Z;_Z
A;ES611;55561;2017;VIAJEROS;102.02910569;A;_Z;_Z
A;ES611;55561;2018;VIAJEROS;99.769452899;A;_Z;_Z
A;ES611;55561;2019;VIAJEROS;157.588738424;A;_Z;_Z
A;ES611;55561;2020;VIAJEROS;33.670010965;A;_Z;_Z
A;ES611;55562;2014;VIAJEROS;129.63163039;A;_Z;_Z
A;ES611;55562;2015;VIAJEROS;239.70317136;A;_Z;_Z
A;ES611;55562;2016;VIAJEROS;179.77014157;A;_Z;_Z
A;ES611;55562;2017;VIAJEROS;179.34049707;A;_Z;_Z
A;ES611;55562;2018;VIAJEROS;200.17285575;A;_Z;_Z
A;ES611;55562;2019;VIAJEROS;323.011941597;A;_Z;_Z
A;ES611;55562;2020;VIAJEROS;270.596200284;A;_Z;_Z
A;ES612;55564;2014;VIAJEROS;80942.60879773;A;_Z;_Z
A;ES612;55564;2015;VIAJEROS;81110.47038909;A;_Z;_Z
A;ES612;55564;2016;VIAJEROS;89890.889628882;A;_Z;_Z
A;ES612;55564;2017;VIAJEROS;100845.48170529;A;_Z;_Z
A;ES612;55564;2018;VIAJEROS;110468.516318538;A;_Z;_Z
A;ES612;55564;2019;VIAJEROS;120739.97646934;A;_Z;_Z
A;ES612;55564;2020;VIAJEROS;74957.775195725;A;_Z;_Z
A;ES612;55543;2014;VIAJEROS;44355.515702;A;_Z;_Z
A;ES612;55543;2015;VIAJEROS;44806.996105;A;_Z;_Z
A;ES612;55543;2016;VIAJEROS;52623.718046;A;_Z;_Z
A;ES612;55543;2017;VIAJEROS;62849.807305;A;_Z;_Z
A;ES612;55543;2018;VIAJEROS;63847.148906;A;_Z;_Z
A;ES612;55543;2019;VIAJEROS;72212.521858133;A;_Z;_Z
A;ES612;55543;2020;VIAJEROS;48496.784372383;A;_Z;_Z
A;ES612;55563;2014;VIAJEROS;36587.09309573;A;_Z;_Z
A;ES612;55563;2015;VIAJEROS;36303.47428409;A;_Z;_Z
A;ES612;55563;2016;VIAJEROS;37267.171582882;A;_Z;_Z
A;ES612;55563;2017;VIAJEROS;37995.67440029;A;_Z;_Z
A;ES612;55563;2018;VIAJEROS;46621.367412538;A;_Z;_Z
A;ES612;55563;2019;VIAJEROS;48527.454611207;A;_Z;_Z
A;ES612;55563;2020;VIAJEROS;26460.990823342;A;_Z;_Z
A;ES612;55545;2014;VIAJEROS;868.97080683;A;_Z;_Z
A;ES612;55545;2015;VIAJEROS;1269.0770631;A;_Z;_Z
A;ES612;55545;2016;VIAJEROS;1042.6664774;A;_Z;_Z
A;ES612;55545;2017;VIAJEROS;1179.7432339;A;_Z;_Z
A;ES612;55545;2018;VIAJEROS;1061.6140749;A;_Z;_Z
A;ES612;55545;2019;VIAJEROS;1153.148826299;A;_Z;_Z
A;ES612;55545;2020;VIAJEROS;438.898988555;A;_Z;_Z
A;ES612;55546;2014;VIAJEROS;318.28532743;A;_Z;_Z
A;ES612;55546;2015;VIAJEROS;586.30667939;A;_Z;_Z
A;ES612;55546;2016;VIAJEROS;320.03434202;A;_Z;_Z
A;ES612;55546;2017;VIAJEROS;217.28435032;A;_Z;_Z
A;ES612;55546;2018;VIAJEROS;462.31260518;A;_Z;_Z
A;ES612;55546;2019;VIAJEROS;491.630048527;A;_Z;_Z
A;ES612;55546;2020;VIAJEROS;839.044134809;A;_Z;_Z
A;ES612;55547;2014;VIAJEROS;523.74364724;A;_Z;_Z
A;ES612;55547;2015;VIAJEROS;898.02150742;A;_Z;_Z
A;ES612;55547;2016;VIAJEROS;696.83247296;A;_Z;_Z
A;ES612;55547;2017;VIAJEROS;578.44420106;A;_Z;_Z
A;ES612;55547;2018;VIAJEROS;1418.5210848;A;_Z;_Z
A;ES612;55547;2019;VIAJEROS;761.182432366;A;_Z;_Z
A;ES612;55547;2020;VIAJEROS;312.357460693;A;_Z;_Z
