REF_AREA;TIME_PERIOD;CNAE_09_CRA_NEW;OBS_STATUS;INDICATOR;OBS_VALUE;FREQ;MACROECO
ES61;2001;273133;A;CON_INTER_PREC_ADQ;1305934.0;A;_Z
ES61;2001;273180;A;CON_INTER_PREC_ADQ;494934.0;A;_Z
ES61;2001;273181;A;CON_INTER_PREC_ADQ;536111.0;A;_Z
ES61;2001;273182;A;CON_INTER_PREC_ADQ;274889.0;A;_Z
ES61;2001;273134;A;CON_INTER_PREC_ADQ;6645033.0;A;_Z
ES61;2001;273183;A;CON_INTER_PREC_ADQ;6295148.0;A;_Z
ES61;2001;273184;A;CON_INTER_PREC_ADQ;349885.0;A;_Z
ES61;2001;273135;A;CON_INTER_PREC_ADQ;178933.0;A;_Z
ES61;2001;273185;A;CON_INTER_PREC_ADQ;178933.0;A;_Z
ES61;2001;273136;A;CON_INTER_PREC_ADQ;2748500.0;A;_Z
ES61;2001;273186;A;CON_INTER_PREC_ADQ;503263.0;A;_Z
ES61;2001;273189;A;CON_INTER_PREC_ADQ;1600079.0;A;_Z
ES61;2001;273188;A;CON_INTER_PREC_ADQ;194078.0;A;_Z
ES61;2001;273187;A;CON_INTER_PREC_ADQ;451080.0;A;_Z
ES61;2001;273137;A;CON_INTER_PREC_ADQ;3122685.0;A;_Z
ES61;2001;273190;A;CON_INTER_PREC_ADQ;1935361.0;A;_Z
ES61;2001;273191;A;CON_INTER_PREC_ADQ;1187324.0;A;_Z
ES61;2001;273138;A;CON_INTER_PREC_ADQ;456340.0;A;_Z
ES61;2001;273192;A;CON_INTER_PREC_ADQ;456340.0;A;_Z
ES61;2001;273139;A;CON_INTER_PREC_ADQ;312552.0;A;_Z
ES61;2001;273193;A;CON_INTER_PREC_ADQ;312552.0;A;_Z
ES61;2001;273140;A;CON_INTER_PREC_ADQ;371990.0;A;_Z
ES61;2001;273194;A;CON_INTER_PREC_ADQ;371990.0;A;_Z
ES61;2001;273141;A;CON_INTER_PREC_ADQ;1640709.0;A;_Z
ES61;2001;273195;A;CON_INTER_PREC_ADQ;734168.0;A;_Z
ES61;2001;273196;A;CON_INTER_PREC_ADQ;583815.0;A;_Z
ES61;2001;273197;A;CON_INTER_PREC_ADQ;322726.0;A;_Z
ES61;2001;273142;A;CON_INTER_PREC_ADQ;2063868.0;A;_Z
ES61;2001;273198;A;CON_INTER_PREC_ADQ;898967.0;A;_Z
ES61;2001;273199;A;CON_INTER_PREC_ADQ;448168.0;A;_Z
