D_SEXO_0;D_EPD_RELACTIVIDAD_0;D_TEMPORAL_0;D_CERTIFICDISCAPAC_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
3691;5865;2016;5733;3143;Población;70713.90826;A
3691;5865;2015;5732;3143;Población;2679368.1163500003;A
3691;5865;2015;5733;3143;Población;67142.14859000001;A
3691;5865;2014;5732;3143;Población;2560142.58849;A
3691;5865;2014;5733;3143;Población;54831.56078;A
3691;5869;2020;5732;3143;Población;832991.10948;A
3691;5869;2020;5733;3143;Población;31772.847999999998;A
3691;5869;2019;5732;3143;Población;801224.25337;A
3691;5869;2019;5733;3143;Población;34527.30406;A
3691;5869;2018;5732;3143;Población;864105.862;A
3691;5869;2018;5733;3143;Población;38409.880489999996;A
3691;5869;2017;5732;3143;Población;970663.64973;A
3691;5869;2017;5733;3143;Población;38155.24036;A
3691;5869;2016;5732;3143;Población;1107373.9147599998;A
3691;5869;2016;5733;3143;Población;42473.4052;A
3691;5869;2015;5732;3143;Población;1232871.49674;A
3691;5869;2015;5733;3143;Población;40702.065689999996;A
3691;5869;2014;5732;3143;Población;1360920.18079;A
3691;5869;2014;5733;3143;Población;42017.38157;A
3691;5882;2020;5732;3143;Población;1443838.65809;A
3691;5882;2020;5733;3143;Población;271560.2518;A
3691;5882;2019;5732;3143;Población;1346018.4047299998;A
3691;5882;2019;5733;3143;Población;267614.63533;A
3691;5882;2018;5732;3143;Población;1337084.26257;A
3691;5882;2018;5733;3143;Población;269940.74;A
3691;5882;2017;5732;3143;Población;1323781.27292;A
3691;5882;2017;5733;3143;Población;259547.51964;A
3691;5882;2016;5732;3143;Población;1306505.2744;A
3691;5882;2016;5733;3143;Población;258097.24332;A
3691;5882;2015;5732;3143;Población;1276351.01876;A
3691;5882;2015;5733;3143;Población;244452.40391;A
3691;5882;2014;5732;3143;Población;1288558.3255399999;A
3691;5882;2014;5733;3143;Población;240668.46782;A
3691;5883;2020;5732;3143;Población;5186332.37613;A
3691;5883;2020;5733;3143;Población;380104.37389;A
3691;5883;2019;5732;3143;Población;5158340.82145;A
3691;5883;2019;5733;3143;Población;383540.92910999997;A
3691;5883;2018;5732;3143;Población;5133221.42824;A
3691;5883;2018;5733;3143;Población;384213.07175;A
3691;5883;2017;5732;3143;Población;5143195.08601;A
3691;5883;2017;5733;3143;Población;372652.16483;A
3691;5883;2016;5732;3143;Población;5155560.69442;A
3691;5883;2016;5733;3143;Población;371284.55678;A
3691;5883;2015;5732;3143;Población;5188590.6318500005;A
3691;5883;2015;5733;3143;Población;352296.61819;A
3691;5883;2014;5732;3143;Población;5209621.094819999;A
3691;5883;2014;5733;3143;Población;337517.41017;A
3689;5870;2020;5732;3143;Porcentaje;80.09016575227605;A
3689;5870;2020;5733;3143;Porcentaje;29.085713019548027;A
3689;5870;2019;5732;3143;Porcentaje;81.28498430252057;A
3689;5870;2019;5733;3143;Porcentaje;29.933388282886654;A
3689;5870;2018;5732;3143;Porcentaje;81.82067003122837;A
3689;5870;2018;5733;3143;Porcentaje;31.05742691142806;A
3689;5870;2017;5732;3143;Porcentaje;81.92621564850838;A
3689;5870;2017;5733;3143;Porcentaje;31.723229257724245;A
3689;5870;2016;5732;3143;Porcentaje;82.20575724464243;A
3689;5870;2016;5733;3143;Porcentaje;30.60540196878409;A
3689;5870;2015;5732;3143;Porcentaje;82.92581105015246;A
3689;5870;2015;5733;3143;Porcentaje;29.07723606133839;A
3689;5870;2014;5732;3143;Porcentaje;82.95232157764444;A
3689;5870;2014;5733;3143;Porcentaje;28.03791861251792;A
3689;5865;2020;5732;3143;Porcentaje;65.13057391969602;A
3689;5865;2020;5733;3143;Porcentaje;20.604687743549672;A
3689;5865;2019;5732;3143;Porcentaje;67.04714040013351;A
3689;5865;2019;5733;3143;Porcentaje;20.75132076822751;A
3689;5865;2018;5732;3143;Porcentaje;65.92051273282551;A
3689;5865;2018;5733;3143;Porcentaje;21.20497502502225;A
3689;5865;2017;5732;3143;Porcentaje;63.21345130450209;A
3689;5865;2017;5733;3143;Porcentaje;21.92206938915835;A
3689;5865;2016;5732;3143;Porcentaje;60.840844507130086;A
3689;5865;2016;5733;3143;Porcentaje;19.264035532922783;A
3689;5865;2015;5732;3143;Porcentaje;58.94169250350958;A
