D_SEXO_0;D_EPD_GRUPOSEDAD_0;D_TEMPORAL_0;D_CERTIFICDISCAPAC_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
3689;5838;2019;5732;3143;Porcentaje;43.44664414873477;A
3689;5838;2019;5733;3143;Porcentaje;23.607424842197776;A
3689;5838;2018;5732;3143;Porcentaje;44.13543159387003;A
3689;5838;2018;5733;3143;Porcentaje;25.581116303722634;A
3689;5838;2017;5732;3143;Porcentaje;44.80911812591112;A
3689;5838;2017;5733;3143;Porcentaje;26.377708951810757;A
3689;5838;2016;5732;3143;Porcentaje;45.76515183963596;A
3689;5838;2016;5733;3143;Porcentaje;25.195206004102655;A
3689;5838;2015;5732;3143;Porcentaje;46.67257084910079;A
3689;5838;2015;5733;3143;Porcentaje;25.057357405048425;A
3689;5838;2014;5732;3143;Porcentaje;47.21335610841865;A
3689;5838;2014;5733;3143;Porcentaje;27.437302517641637;A
3689;5840;2020;5732;3143;Porcentaje;41.494319277762564;A
3689;5840;2020;5733;3143;Porcentaje;72.38173324148772;A
3689;5840;2019;5732;3143;Porcentaje;40.908974326179894;A
3689;5840;2019;5733;3143;Porcentaje;70.29267108673915;A
3689;5840;2018;5732;3143;Porcentaje;40.21358393774759;A
3689;5840;2018;5733;3143;Porcentaje;69.26190719338446;A
3689;5840;2017;5732;3143;Porcentaje;39.550450942857566;A
3689;5840;2017;5733;3143;Porcentaje;68.63773821284973;A
3689;5840;2016;5732;3143;Porcentaje;38.49207702280275;A
3689;5840;2016;5733;3143;Porcentaje;69.95183546921294;A
3689;5840;2015;5732;3143;Porcentaje;37.52470715152834;A
3689;5840;2015;5733;3143;Porcentaje;69.41124336936055;A
3689;5840;2014;5732;3143;Porcentaje;36.78166337285104;A
3689;5840;2014;5733;3143;Porcentaje;67.78339822277513;A
3689;5835;2020;5732;3143;Porcentaje;100.0;A
3689;5835;2020;5733;3143;Porcentaje;100.0;A
3689;5835;2019;5732;3143;Porcentaje;100.0;A
3689;5835;2019;5733;3143;Porcentaje;100.0;A
3689;5835;2018;5732;3143;Porcentaje;100.0;A
3689;5835;2018;5733;3143;Porcentaje;100.0;A
3689;5835;2017;5732;3143;Porcentaje;100.0;A
3689;5835;2017;5733;3143;Porcentaje;100.0;A
3689;5835;2016;5732;3143;Porcentaje;100.0;A
3689;5835;2016;5733;3143;Porcentaje;100.0;A
3689;5835;2015;5732;3143;Porcentaje;100.0;A
3689;5835;2015;5733;3143;Porcentaje;100.0;A
3689;5835;2014;5732;3143;Porcentaje;100.0;A
3689;5835;2014;5733;3143;Porcentaje;100.0;A
3690;5837;2020;5732;3143;Porcentaje;14.796723822609966;A
3690;5837;2020;5733;3143;Porcentaje;4.887454473993412;A
3690;5837;2019;5732;3143;Porcentaje;14.693789836555037;A
3690;5837;2019;5733;3143;Porcentaje;4.3303528867940235;A
3690;5837;2018;5732;3143;Porcentaje;14.579907660557339;A
3690;5837;2018;5733;3143;Porcentaje;5.488265356694203;A
3690;5837;2017;5732;3143;Porcentaje;14.655834884602434;A
3690;5837;2017;5733;3143;Porcentaje;5.1168528209610065;A
3690;5837;2016;5732;3143;Porcentaje;14.765302819459581;A
3690;5837;2016;5733;3143;Porcentaje;5.098153663773372;A
3690;5837;2015;5732;3143;Porcentaje;14.979704256206624;A
3690;5837;2015;5733;3143;Porcentaje;4.0386615390562675;A
3690;5837;2014;5732;3143;Porcentaje;15.120258111677968;A
3690;5837;2014;5733;3143;Porcentaje;4.8164687896723635;A
3690;5838;2020;5732;3143;Porcentaje;41.74549838640637;A
3690;5838;2020;5733;3143;Porcentaje;24.78549605338746;A
3690;5838;2019;5732;3143;Porcentaje;42.70359143586499;A
3690;5838;2019;5733;3143;Porcentaje;23.656015989848093;A
3690;5838;2018;5732;3143;Porcentaje;43.49385774463812;A
3690;5838;2018;5733;3143;Porcentaje;23.946609605522966;A
3690;5838;2017;5732;3143;Porcentaje;44.29284231842263;A
3690;5838;2017;5733;3143;Porcentaje;22.758145316484345;A
3690;5838;2016;5732;3143;Porcentaje;44.9037635229371;A
3690;5838;2016;5733;3143;Porcentaje;25.348403897782667;A
3690;5838;2015;5732;3143;Porcentaje;45.57375743590405;A
3690;5838;2015;5733;3143;Porcentaje;27.465908583378827;A
3690;5838;2014;5732;3143;Porcentaje;46.296343427046494;A
3690;5838;2014;5733;3143;Porcentaje;26.412305524332236;A
3690;5840;2020;5732;3143;Porcentaje;43.45777779098367;A
3690;5840;2020;5733;3143;Porcentaje;70.32704947261912;A
3690;5840;2019;5732;3143;Porcentaje;42.60261872757998;A
3690;5840;2019;5733;3143;Porcentaje;72.01363112335788;A
3690;5840;2018;5732;3143;Porcentaje;41.926234594804534;A
3690;5840;2018;5733;3143;Porcentaje;70.56512503778282;A
3690;5840;2017;5732;3143;Porcentaje;41.05132279697492;A
3690;5840;2017;5733;3143;Porcentaje;72.12500186255465;A
3690;5840;2016;5732;3143;Porcentaje;40.33093365760331;A
3690;5840;2016;5733;3143;Porcentaje;69.55344243844395;A
3690;5840;2015;5732;3143;Porcentaje;39.44653830788933;A
3690;5840;2015;5733;3143;Porcentaje;68.4954298775649;A
3690;5840;2014;5732;3143;Porcentaje;38.58339846127555;A
3690;5840;2014;5733;3143;Porcentaje;68.7712256859954;A
3690;5835;2020;5732;3143;Porcentaje;100.0;A
3690;5835;2020;5733;3143;Porcentaje;100.0;A
3690;5835;2019;5732;3143;Porcentaje;100.0;A
3690;5835;2019;5733;3143;Porcentaje;100.0;A
3690;5835;2018;5732;3143;Porcentaje;100.0;A
3690;5835;2018;5733;3143;Porcentaje;100.0;A
3690;5835;2017;5732;3143;Porcentaje;100.0;A
3690;5835;2017;5733;3143;Porcentaje;100.0;A
3690;5835;2016;5732;3143;Porcentaje;100.0;A
3690;5835;2016;5733;3143;Porcentaje;100.0;A
3690;5835;2015;5732;3143;Porcentaje;100.0;A
3690;5835;2015;5733;3143;Porcentaje;100.0;A
3690;5835;2014;5732;3143;Porcentaje;100.0;A
3690;5835;2014;5733;3143;Porcentaje;100.0;A
3691;5837;2020;5732;3143;Porcentaje;15.308260104271021;A
3691;5837;2020;5733;3143;Porcentaje;5.579848980148236;A
3691;5837;2019;5732;3143;Porcentaje;15.16470173679047;A
3691;5837;2019;5733;3143;Porcentaje;5.359336766925527;A
3691;5837;2018;5732;3143;Porcentaje;15.110555055988414;A
3691;5837;2018;5733;3143;Porcentaje;5.294653281145164;A
3691;5837;2017;5732;3143;Porcentaje;15.144621046336207;A
3691;5837;2017;5733;3143;Porcentaje;5.039980024956508;A
3691;5837;2016;5732;3143;Porcentaje;15.250290838025945;A
3691;5837;2016;5733;3143;Porcentaje;4.953747629449141;A
3691;5837;2015;5732;3143;Porcentaje;15.388125510401265;A
3691;5837;2015;5733;3143;Porcentaje;4.927285839184002;A
3691;5837;2014;5732;3143;Porcentaje;15.559649185734257;A
3691;5837;2014;5733;3143;Porcentaje;4.794266334838771;A
3691;5838;2020;5732;3143;Porcentaje;42.205765979915135;A
3691;5838;2020;5733;3143;Porcentaje;22.89409177785034;A
3691;5838;2019;5732;3143;Porcentaje;43.071690977671004;A
3691;5838;2019;5733;3143;Porcentaje;23.627760515751756;A
3691;5838;2018;5732;3143;Porcentaje;43.81171496046462;A
3691;5838;2018;5733;3143;Porcentaje;24.901849212005633;A
3691;5838;2017;5732;3143;Porcentaje;44.54913876730877;A
3691;5838;2017;5733;3143;Porcentaje;24.861289739793726;A
3691;5838;2016;5732;3143;Porcentaje;45.33115641659458;A
3691;5838;2016;5733;3143;Porcentaje;25.258179024011497;A
3691;5838;2015;5732;3143;Porcentaje;46.11904185543344;A
3691;5838;2015;5733;3143;Porcentaje;26.032102011418974;A
3691;5838;2014;5732;3143;Porcentaje;46.75177123556533;A
3691;5838;2014;5733;3143;Porcentaje;27.024566410976615;A
3691;5840;2020;5732;3143;Porcentaje;42.485973915813844;A
