D_SEXO_0;D_EPD_SITUACIONDEPEND_0;D_TEMPORAL_0;D_CERTIFICDISCAPAC_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
3691;38403;2015;5732;3143;Porcentaje;0.06573789651206013;A
3691;38403;2015;5733;3143;Porcentaje;15.26352931125762;A
3691;38403;2014;5732;3143;Porcentaje;0.06258804989180616;A
3691;38403;2014;5733;3143;Porcentaje;17.409019780758765;A
3691;38402;2020;5732;3143;Porcentaje;99.94809475550797;A
3691;38402;2020;5733;3143;Porcentaje;80.1088846923187;A
3691;38402;2019;5732;3143;Porcentaje;99.90247569472182;A
3691;38402;2019;5733;3143;Porcentaje;81.27997690452275;A
3691;38402;2018;5732;3143;Porcentaje;99.96874952030757;A
3691;38402;2018;5733;3143;Porcentaje;81.91632897247983;A
3691;38402;2017;5732;3143;Porcentaje;99.94668682007692;A
3691;38402;2017;5733;3143;Porcentaje;83.3432132164544;A
3691;38402;2016;5732;3143;Porcentaje;99.94502507606849;A
3691;38402;2016;5733;3143;Porcentaje;82.84296799671486;A
3691;38402;2015;5732;3143;Porcentaje;99.93426210348795;A
3691;38402;2015;5733;3143;Porcentaje;84.73647068874239;A
3691;38402;2014;5732;3143;Porcentaje;99.9374119501082;A
3691;38402;2014;5733;3143;Porcentaje;82.59098021924123;A
3691;38404;2020;5732;3143;Porcentaje;100.0;A
3691;38404;2020;5733;3143;Porcentaje;100.0;A
3691;38404;2019;5732;3143;Porcentaje;100.0;A
3691;38404;2019;5733;3143;Porcentaje;100.0;A
3691;38404;2018;5732;3143;Porcentaje;100.0;A
3691;38404;2018;5733;3143;Porcentaje;100.0;A
3691;38404;2017;5732;3143;Porcentaje;100.0;A
3691;38404;2017;5733;3143;Porcentaje;100.0;A
3691;38404;2016;5732;3143;Porcentaje;100.0;A
3691;38404;2016;5733;3143;Porcentaje;100.0;A
3691;38404;2015;5732;3143;Porcentaje;100.0;A
3691;38404;2015;5733;3143;Porcentaje;100.0;A
3691;38404;2014;5732;3143;Porcentaje;100.0;A
3691;38404;2014;5733;3143;Porcentaje;100.0;A
