D_SEXO_0;D_EPD_NIVELESTUDIOSTER_0;D_TEMPORAL_0;D_CERTIFICDISCAPAC_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
3690;38333;2019;5733;3143;Población;160514.07522;A
3690;38333;2018;5732;3143;Población;2590051.26419;A
3690;38333;2018;5733;3143;Población;159670.98583000002;A
3690;38333;2017;5732;3143;Población;2589942.31423;A
3690;38333;2017;5733;3143;Población;156122.9361;A
3690;38333;2016;5732;3143;Población;2597538.9974700003;A
3690;38333;2016;5733;3143;Población;152619.00294;A
3690;38333;2015;5732;3143;Población;2613760.73181;A
3690;38333;2015;5733;3143;Población;142575.01834;A
3690;38333;2014;5732;3143;Población;2622299.93054;A
3690;38333;2014;5733;3143;Población;135908.32238;A
3691;38326;2020;5732;3143;Población;3604714.62866;A
3691;38326;2020;5733;3143;Población;327441.56364;A
3691;38326;2019;5732;3143;Población;591893.26911;A
3691;38326;2019;5733;3143;Población;122321.63356;A
3691;38326;2018;5732;3143;Población;636310.97882;A
3691;38326;2018;5733;3143;Población;129020.85857;A
3691;38326;2017;5732;3143;Población;665574.83268;A
3691;38326;2017;5733;3143;Población;121025.38004;A
3691;38326;2016;5732;3143;Población;692145.2896199999;A
3691;38326;2016;5733;3143;Población;127502.36789000001;A
3691;38326;2015;5732;3143;Población;756631.93385;A
3691;38326;2015;5733;3143;Población;139398.40803000002;A
3691;38326;2014;5732;3143;Población;803830.90525;A
3691;38326;2014;5733;3143;Población;137305.519;A
3691;38324;2020;5732;3143;Población;559376.33414;A
3691;38324;2020;5733;3143;Población;120548.10518;A
3691;38324;2019;5732;3143;Población;25693.37368;A
3691;38324;2019;5733;3143;Población;21881.70261;A
3691;38324;2018;5732;3143;Población;27540.30727;A
3691;38324;2018;5733;3143;Población;23655.31039;A
3691;38324;2017;5732;3143;Población;34841.14198;A
3691;38324;2017;5733;3143;Población;22027.4411;A
3691;38324;2016;5732;3143;Población;35356.80933;A
3691;38324;2016;5733;3143;Población;26586.440599999998;A
3691;38324;2015;5732;3143;Población;38558.573950000005;A
3691;38324;2015;5733;3143;Población;28542.57881;A
3691;38324;2014;5732;3143;Población;45208.92872;A
3691;38324;2014;5733;3143;Población;29284.69726;A
3691;38325;2020;5732;3143;Población;3045338.29452;A
3691;38325;2020;5733;3143;Población;206893.45846;A
3691;38325;2019;5732;3143;Población;566199.8954299999;A
3691;38325;2019;5733;3143;Población;100439.93095000001;A
3691;38325;2018;5732;3143;Población;608770.67155;A
3691;38325;2018;5733;3143;Población;105365.54818;A
3691;38325;2017;5732;3143;Población;630733.6907;A
3691;38325;2017;5733;3143;Población;98997.93894;A
3691;38325;2016;5732;3143;Población;656788.4802900001;A
3691;38325;2016;5733;3143;Población;100915.92728999999;A
3691;38325;2015;5732;3143;Población;718073.3599;A
3691;38325;2015;5733;3143;Población;110855.82922;A
3691;38325;2014;5732;3143;Población;758621.97653;A
3691;38325;2014;5733;3143;Población;108020.82174;A
3691;38332;2020;5732;3143;Población;1581617.74747;A
3691;38332;2020;5733;3143;Población;52662.81025;A
3691;38332;2019;5732;3143;Población;4566447.55234;A
3691;38332;2019;5733;3143;Población;261219.29555000004;A
3691;38332;2018;5732;3143;Población;4496910.44942;A
3691;38332;2018;5733;3143;Población;255192.21318000002;A
3691;38332;2017;5732;3143;Población;4477620.25333;A
3691;38332;2017;5733;3143;Población;251626.78478999998;A
3691;38332;2016;5732;3143;Población;4463415.4048;A
3691;38332;2016;5733;3143;Población;243782.18889;A
3691;38332;2015;5732;3143;Población;4431958.698000001;A
3691;38332;2015;5733;3143;Población;212898.21016;A
3691;38332;2014;5732;3143;Población;4405790.189569999;A
3691;38332;2014;5733;3143;Población;200211.89117;A
3691;38328;2020;5732;3143;Población;1581617.74747;A
3691;38328;2020;5733;3143;Población;52662.81025;A
3691;38328;2019;5732;3143;Población;3052840.25618;A
3691;38328;2019;5733;3143;Población;208121.52443;A
3691;38328;2018;5732;3143;Población;3030666.79711;A
3691;38328;2018;5733;3143;Población;199585.21558000002;A
3691;38328;2017;5732;3143;Población;3053561.36385;A
3691;38328;2017;5733;3143;Población;191222.60494;A
3691;38328;2016;5732;3143;Población;3042803.90186;A
3691;38328;2016;5733;3143;Población;196980.00768;A
3691;38328;2015;5732;3143;Población;3047079.01655;A
3691;38328;2015;5733;3143;Población;173591.1386;A
3691;38328;2014;5732;3143;Población;3058762.29954;A
3691;38328;2014;5733;3143;Población;160898.66376;A
3691;38330;2019;5732;3143;Población;1513607.2961600001;A
3691;38330;2019;5733;3143;Población;53097.77112;A
3691;38330;2018;5732;3143;Población;1466243.65231;A
3691;38330;2018;5733;3143;Población;55606.9976;A
3691;38330;2017;5732;3143;Población;1424058.8894800001;A
3691;38330;2017;5733;3143;Población;60404.17985;A
3691;38330;2016;5732;3143;Población;1420611.50294;A
3691;38330;2016;5733;3143;Población;46802.18121;A
3691;38330;2015;5732;3143;Población;1384879.6814499998;A
3691;38330;2015;5733;3143;Población;39307.07156;A
3691;38330;2014;5732;3143;Población;1347027.89003;A
3691;38330;2014;5733;3143;Población;39313.22741000001;A
3691;38333;2020;5732;3143;Población;5186332.37613;A
3691;38333;2020;5733;3143;Población;380104.37389;A
3691;38333;2019;5732;3143;Población;5158340.82145;A
3691;38333;2019;5733;3143;Población;383540.92910999997;A
3691;38333;2018;5732;3143;Población;5133221.42824;A
3691;38333;2018;5733;3143;Población;384213.07175;A
3691;38333;2017;5732;3143;Población;5143195.08601;A
3691;38333;2017;5733;3143;Población;372652.16483;A
3691;38333;2016;5732;3143;Población;5155560.69442;A
3691;38333;2016;5733;3143;Población;371284.55678;A
3691;38333;2015;5732;3143;Población;5188590.6318500005;A
3691;38333;2015;5733;3143;Población;352296.61819;A
3691;38333;2014;5732;3143;Población;5209621.094819999;A
3691;38333;2014;5733;3143;Población;337517.41017;A
3689;38326;2020;5732;3143;Porcentaje;72.12406285459217;A
3689;38326;2020;5733;3143;Porcentaje;89.24600116361458;A
3689;38326;2019;5732;3143;Porcentaje;11.76238793636662;A
3689;38326;2019;5733;3143;Porcentaje;31.503415267945158;A
3689;38326;2018;5732;3143;Porcentaje;12.777659865767879;A
3689;38326;2018;5733;3143;Porcentaje;33.681659591843875;A
3689;38326;2017;5732;3143;Porcentaje;13.468252567107372;A
