D_TEMPORAL_0;D_SEXO_0;D_EDAD_0;D_EPA_RELACTIVIDAD_0;D_EPA_NIVEL_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2006;3689;4191;48936;46593;3143;Población;236.28781;M
2006;3689;4191;48937;46593;3143;Población;12.95454;M
2006;3689;4191;48939;46593;3143;Población;48.406765;M
2006;3689;4191;48940;46593;3143;Población;284.694575;M
2006;3689;4191;48946;46593;3143;Población;204.2775075;M
2006;3689;272250;48952;46593;3143;Población;690.9505525;M
2006;3689;272250;48934;46593;3143;Población;39.73914;M
2006;3689;272250;48936;46593;3143;Población;562.20987;M
2006;3689;272250;48937;46593;3143;Población;4.2494575;M
2006;3689;272250;48939;46593;3143;Población;62.3787575;M
2006;3689;272250;48940;46593;3143;Población;624.5886275;M
2006;3689;272250;48946;46593;3143;Población;66.361925;M
2006;3689;4210;48952;46593;3143;Población;647.2616325;M
2006;3689;4210;48934;46593;3143;Población;35.7752;M
2006;3689;4210;48936;46593;3143;Población;554.881965;M
2006;3689;4210;48937;46593;3143;Población;0.387275;M
2006;3689;4210;48939;46593;3143;Población;42.19142;M
2006;3689;4210;48940;46593;3143;Población;597.073385;M
2006;3689;4210;48946;46593;3143;Población;50.1882475;M
2006;3689;272251;48952;46593;3143;Población;498.80761;M
2006;3689;272251;48934;46593;3143;Población;19.17975;M
2006;3689;272251;48936;46593;3143;Población;402.7464725;M
2006;3689;272251;48937;46593;3143;Población;0.099325;M
2006;3689;272251;48939;46593;3143;Población;28.7274775;M
2006;3689;272251;48940;46593;3143;Población;431.47395;M
2006;3689;272251;48946;46593;3143;Población;67.33366;M
2006;3689;4235;48952;46593;3143;Población;372.51071;M
2006;3689;4235;48934;46593;3143;Población;3.81739;M
2006;3689;4235;48936;46593;3143;Población;191.3494;M
2006;3689;4235;48937;46593;3143;Población;;M
2006;3689;4235;48939;46593;3143;Población;18.274005;M
2006;3689;4235;48940;46593;3143;Población;209.623405;M
2006;3689;4235;48946;46593;3143;Población;162.887305;M
2006;3689;4305;48952;46593;3143;Población;481.8612425;M
2006;3689;4305;48934;46593;3143;Población;0.200605;M
2006;3689;4305;48936;46593;3143;Población;11.0782325;M
2006;3689;4305;48937;46593;3143;Población;;M
2006;3689;4305;48939;46593;3143;Población;0.1654725;M
2006;3689;4305;48940;46593;3143;Población;11.243705;M
2006;3689;4305;48946;46593;3143;Población;470.6175375;M
2006;3689;4306;48952;46593;3143;Población;3180.36383;M
2006;3689;4306;48934;46593;3143;Población;119.986525;M
2006;3689;4306;48936;46593;3143;Población;1958.55375;M
2006;3689;4306;48937;46593;3143;Población;17.6905975;M
2006;3689;4306;48939;46593;3143;Población;200.1438975;M
2006;3689;4306;48940;46593;3143;Población;2158.6976475;M
2006;3689;4306;48946;46593;3143;Población;1021.6661825;M
2006;3690;4191;48952;46593;3143;Población;464.27255;M
2006;3690;4191;48934;46593;3143;Población;27.716615;M
2006;3690;4191;48936;46593;3143;Población;155.1531225;M
2006;3690;4191;48937;46593;3143;Población;20.5031675;M
2006;3690;4191;48939;46593;3143;Población;59.892975;M
2006;3690;4191;48940;46593;3143;Población;215.0460975;M
2006;3690;4191;48946;46593;3143;Población;249.2264525;M
2006;3690;272250;48952;46593;3143;Población;654.91267;M
2006;3690;272250;48934;46593;3143;Población;46.0274875;M
2006;3690;272250;48936;46593;3143;Población;387.5829575;M
2006;3690;272250;48937;46593;3143;Población;10.0803125;M
2006;3690;272250;48939;46593;3143;Población;87.500835;M
2006;3690;272250;48940;46593;3143;Población;475.0837925;M
2006;3690;272250;48946;46593;3143;Población;179.8288775;M
2006;3690;4210;48952;46593;3143;Población;635.8911475;M
2006;3690;4210;48934;46593;3143;Población;43.5084275;M
2006;3690;4210;48936;46593;3143;Población;334.4996575;M
2006;3690;4210;48937;46593;3143;Población;2.9125775;M
2006;3690;4210;48939;46593;3143;Población;59.2946;M
2006;3690;4210;48940;46593;3143;Población;393.7942575;M
2006;3690;4210;48946;46593;3143;Población;242.09689;M
2006;3690;272251;48952;46593;3143;Población;499.8708375;M
2006;3690;272251;48934;46593;3143;Población;21.42284;M
2006;3690;272251;48936;46593;3143;Población;220.53259;M
2006;3690;272251;48937;46593;3143;Población;1.55482;M
2006;3690;272251;48939;46593;3143;Población;34.1904625;M
2006;3690;272251;48940;46593;3143;Población;254.7230525;M
2006;3690;272251;48946;46593;3143;Población;245.147785;M
2006;3690;4235;48952;46593;3143;Población;391.96977;M
2006;3690;4235;48934;46593;3143;Población;5.3326825;M
2006;3690;4235;48936;46593;3143;Población;78.008575;M
2006;3690;4235;48937;46593;3143;Población;1.311635;M
2006;3690;4235;48939;46593;3143;Población;11.8866975;M
2006;3690;4235;48940;46593;3143;Población;89.8952725;M
2006;3690;4235;48946;46593;3143;Población;302.0744975;M
2006;3690;4305;48952;46593;3143;Población;645.0345825;M
2006;3690;4305;48934;46593;3143;Población;0.8636675;M
2006;3690;4305;48936;46593;3143;Población;4.17141;M
2006;3690;4305;48937;46593;3143;Población;;M
2006;3690;4305;48939;46593;3143;Población;0.446575;M
2006;3690;4305;48940;46593;3143;Población;4.617985;M
2006;3690;4305;48946;46593;3143;Población;640.4165975;M
2006;3690;4306;48952;46593;3143;Población;3291.9515575;M
2006;3690;4306;48934;46593;3143;Población;144.87172;M
2006;3690;4306;48936;46593;3143;Población;1179.9483125;M
2006;3690;4306;48937;46593;3143;Población;36.3625125;M
2006;3690;4306;48939;46593;3143;Población;253.212145;M
2006;3690;4306;48940;46593;3143;Población;1433.1604575;M
2006;3690;4306;48946;46593;3143;Población;1858.7911;M
2006;3691;4191;48952;46593;3143;Población;953.2446325;M
2006;3691;4191;48934;46593;3143;Población;48.991055;M
2006;3691;4191;48936;46593;3143;Población;391.4409325;M
2006;3691;4191;48937;46593;3143;Población;33.4577075;M
2006;3691;4191;48939;46593;3143;Población;108.29974;M
2006;3691;4191;48940;46593;3143;Población;499.7406725;M
2006;3691;4191;48946;46593;3143;Población;453.50396;M
2006;3691;272250;48952;46593;3143;Población;1345.8632225;M
2006;3691;272250;48934;46593;3143;Población;85.7666275;M
2006;3691;272250;48936;46593;3143;Población;949.7928275;M
2006;3691;272250;48937;46593;3143;Población;14.32977;M
2006;3691;272250;48939;46593;3143;Población;149.8795925;M
2006;3691;272250;48940;46593;3143;Población;1099.67242;M
2006;3691;272250;48946;46593;3143;Población;246.1908025;M
2006;3691;4210;48952;46593;3143;Población;1283.15278;M
2006;3691;4210;48934;46593;3143;Población;79.2836275;M
2006;3691;4210;48936;46593;3143;Población;889.3816225;M
2006;3691;4210;48937;46593;3143;Población;3.2998525;M
2006;3691;4210;48939;46593;3143;Población;101.48602;M
2006;3691;4210;48940;46593;3143;Población;990.8676425;M
2006;3691;4210;48946;46593;3143;Población;292.2851375;M
2006;3691;272251;48952;46593;3143;Población;998.6784475;M
2006;3691;272251;48934;46593;3143;Población;40.60259;M
2006;3691;272251;48936;46593;3143;Población;623.2790625;M
2006;3691;272251;48937;46593;3143;Población;1.654145;M
2006;3691;272251;48939;46593;3143;Población;62.91794;M
2006;3691;272251;48940;46593;3143;Población;686.1970025;M
2006;3691;272251;48946;46593;3143;Población;312.481445;M
2006;3691;4235;48952;46593;3143;Población;764.48048;M
2006;3691;4235;48934;46593;3143;Población;9.1500725;M
2006;3691;4235;48936;46593;3143;Población;269.357975;M
2006;3691;4235;48937;46593;3143;Población;1.311635;M
2006;3691;4235;48939;46593;3143;Población;30.1607025;M
2006;3691;4235;48940;46593;3143;Población;299.5186775;M
2006;3691;4235;48946;46593;3143;Población;464.9618025;M
2006;3691;4305;48952;46593;3143;Población;1126.895825;M
2006;3691;4305;48934;46593;3143;Población;1.0642725;M
2006;3691;4305;48936;46593;3143;Población;15.2496425;M
2006;3691;4305;48937;46593;3143;Población;;M
2006;3691;4305;48939;46593;3143;Población;0.6120475;M
2006;3691;4305;48940;46593;3143;Población;15.86169;M
2006;3691;4305;48946;46593;3143;Población;1111.034135;M
2006;3691;4306;48952;46593;3143;Población;6472.3153875;M
2006;3691;4306;48934;46593;3143;Población;264.858245;M
2006;3691;4306;48936;46593;3143;Población;3138.5020625;M
2006;3691;4306;48937;46593;3143;Población;54.05311;M
2006;3691;4306;48939;46593;3143;Población;453.3560425;M
2006;3691;4306;48940;46593;3143;Población;3591.858105;M
2006;3691;4306;48946;46593;3143;Población;2880.4572825;M
2007;3689;4191;48952;46593;3143;Población;483.338465;M
2007;3689;4191;48934;46593;3143;Población;20.3616;M
2007;3689;4191;48936;46593;3143;Población;223.0869125;M
2007;3689;4191;48937;46593;3143;Población;13.260505;M
2007;3689;4191;48939;46593;3143;Población;54.1581325;M
2007;3689;4191;48940;46593;3143;Población;277.245045;M
2007;3689;4191;48946;46593;3143;Población;206.09342;M
2007;3689;272250;48952;46593;3143;Población;695.11233;M
2007;3689;272250;48934;46593;3143;Población;45.1200125;M
2007;3689;272250;48936;46593;3143;Población;571.80005;M
2007;3689;272250;48937;46593;3143;Población;3.5694775;M
2007;3689;272250;48939;46593;3143;Población;57.09255;M
2007;3689;272250;48940;46593;3143;Población;628.8926;M
2007;3689;272250;48946;46593;3143;Población;66.21973;M
2007;3689;4210;48952;46593;3143;Población;664.2774975;M
2007;3689;4210;48934;46593;3143;Población;27.55732;M
2007;3689;4210;48936;46593;3143;Población;565.6252125;M
2007;3689;4210;48937;46593;3143;Población;0.258225;M
2007;3689;4210;48939;46593;3143;Población;43.0512625;M
2007;3689;4210;48940;46593;3143;Población;608.676475;M
2007;3689;4210;48946;46593;3143;Población;55.6010225;M
2007;3689;272251;48952;46593;3143;Población;518.149405;M
2007;3689;272251;48934;46593;3143;Población;15.0149475;M
2007;3689;272251;48936;46593;3143;Población;419.0863325;M
2007;3689;272251;48937;46593;3143;Población;0.286055;M
2007;3689;272251;48939;46593;3143;Población;35.7953525;M
2007;3689;272251;48940;46593;3143;Población;454.881685;M
2007;3689;272251;48946;46593;3143;Población;63.26772;M
2007;3689;4235;48952;46593;3143;Población;386.17626;M
2007;3689;4235;48934;46593;3143;Población;5.3051375;M
2007;3689;4235;48936;46593;3143;Población;197.8833325;M
2007;3689;4235;48937;46593;3143;Población;;M
2007;3689;4235;48939;46593;3143;Población;19.860005;M
2007;3689;4235;48940;46593;3143;Población;217.7433375;M
2007;3689;4235;48946;46593;3143;Población;168.4329225;M
2007;3689;4305;48952;46593;3143;Población;488.1810725;M
2007;3689;4305;48934;46593;3143;Población;0.418355;M
2007;3689;4305;48936;46593;3143;Población;12.272315;M
2007;3689;4305;48937;46593;3143;Población;;M
2007;3689;4305;48939;46593;3143;Población;0.24976;M
2007;3689;4305;48940;46593;3143;Población;12.522075;M
2007;3689;4305;48946;46593;3143;Población;475.6589975;M
