D_TEMPORAL_0;D_CNO11_0;D_SEXO_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2013;6744;3690;3143;Parados;323.577195;M
2013;6744;3691;3143;Parados;665.5696175;M
2013;6727;3689;3143;Parados;767.942955;M
2013;6727;3690;3143;Parados;692.6170925;M
2013;6727;3691;3143;Parados;1460.5600475;M
2014;6038;3689;3143;Parados;1.6608025;M
2014;6038;3690;3143;Parados;0.43004;M
2014;6038;3691;3143;Parados;2.0908425;M
2014;6203;3689;3143;Parados;9.26325;M
2014;6203;3690;3143;Parados;17.723985;M
2014;6203;3691;3143;Parados;26.987235;M
2014;6333;3689;3143;Parados;12.9020125;M
2014;6333;3690;3143;Parados;11.7987925;M
2014;6333;3691;3143;Parados;24.700805;M
2014;6375;3689;3143;Parados;8.358425;M
2014;6375;3690;3143;Parados;17.5194925;M
2014;6375;3691;3143;Parados;25.8779175;M
2014;6463;3689;3143;Parados;54.258605;M
2014;6463;3690;3143;Parados;81.927425;M
2014;6463;3691;3143;Parados;136.18603;M
2014;6489;3689;3143;Parados;7.7407925;M
2014;6489;3690;3143;Parados;1.9032775;M
2014;6489;3691;3143;Parados;9.64407;M
2014;6601;3689;3143;Parados;79.755755;M
2014;6601;3690;3143;Parados;11.7804025;M
2014;6601;3691;3143;Parados;91.5361575;M
2014;6667;3689;3143;Parados;26.7063525;M
2014;6667;3690;3143;Parados;2.7713475;M
2014;6667;3691;3143;Parados;29.4777;M
2014;6726;3689;3143;Parados;140.6590875;M
2014;6726;3690;3143;Parados;136.86092;M
2014;6726;3691;3143;Parados;277.5200075;M
2014;5989;3689;3143;Parados;0.542055;M
2014;5989;3690;3143;Parados;;M
2014;5989;3691;3143;Parados;0.542055;M
2014;6728;3689;3143;Parados;56.9199175;M
2014;6728;3690;3143;Parados;71.1140625;M
2014;6728;3691;3143;Parados;128.03398;M
2014;6744;3689;3143;Parados;325.75244;M
2014;6744;3690;3143;Parados;326.2766875;M
2014;6744;3691;3143;Parados;652.0291275;M
2014;6727;3689;3143;Parados;724.519495;M
2014;6727;3690;3143;Parados;680.1064325;M
2014;6727;3691;3143;Parados;1404.6259275;M
2015;6038;3689;3143;Parados;2.1629475;M
2015;6038;3690;3143;Parados;0.4962325;M
2015;6038;3691;3143;Parados;2.65918;M
2015;6203;3689;3143;Parados;12.4001475;M
2015;6203;3690;3143;Parados;18.5684025;M
2015;6203;3691;3143;Parados;30.96855;M
2015;6333;3689;3143;Parados;14.903555;M
2015;6333;3690;3143;Parados;12.0788275;M
2015;6333;3691;3143;Parados;26.9823825;M
2015;6375;3689;3143;Parados;6.632615;M
2015;6375;3690;3143;Parados;15.12042;M
2015;6375;3691;3143;Parados;21.753035;M
2015;6463;3689;3143;Parados;54.296355;M
2015;6463;3690;3143;Parados;78.64536;M
2015;6463;3691;3143;Parados;132.941715;M
2015;6489;3689;3143;Parados;8.9369175;M
2015;6489;3690;3143;Parados;2.2866025;M
2015;6489;3691;3143;Parados;11.22352;M
2015;6601;3689;3143;Parados;67.675215;M
2015;6601;3690;3143;Parados;8.1767725;M
2015;6601;3691;3143;Parados;75.8519875;M
2015;6667;3689;3143;Parados;18.823385;M
2015;6667;3690;3143;Parados;1.9780275;M
2015;6667;3691;3143;Parados;20.8014125;M
2015;6726;3689;3143;Parados;140.1569575;M
2015;6726;3690;3143;Parados;132.3713975;M
2015;6726;3691;3143;Parados;272.528355;M
2015;6728;3689;3143;Parados;48.85454;M
2015;6728;3690;3143;Parados;70.6846625;M
2015;6728;3691;3143;Parados;119.5392025;M
2015;6744;3689;3143;Parados;267.181205;M
2015;6744;3690;3143;Parados;292.52772;M
2015;6744;3691;3143;Parados;559.708925;M
2015;6727;3689;3143;Parados;642.02384;M
2015;6727;3690;3143;Parados;632.934425;M
2015;6727;3691;3143;Parados;1274.958265;M
2016;6038;3689;3143;Parados;2.3634175;M
2016;6038;3690;3143;Parados;0.5194975;M
2016;6038;3691;3143;Parados;2.882915;M
2016;6203;3689;3143;Parados;11.4827;M
2016;6203;3690;3143;Parados;16.515715;M
2016;6203;3691;3143;Parados;27.998415;M
2016;6333;3689;3143;Parados;15.4614825;M
2016;6333;3690;3143;Parados;12.0253875;M
2016;6333;3691;3143;Parados;27.48687;M
2016;6375;3689;3143;Parados;5.635515;M
2016;6375;3690;3143;Parados;13.8965025;M
2016;6375;3691;3143;Parados;19.5320175;M
2016;6463;3689;3143;Parados;51.837865;M
2016;6463;3690;3143;Parados;71.6581575;M
2016;6463;3691;3143;Parados;123.4960225;M
2016;6489;3689;3143;Parados;7.2856125;M
2016;6489;3690;3143;Parados;2.900485;M
2016;6489;3691;3143;Parados;10.1860975;M
2016;6601;3689;3143;Parados;64.1337775;M
2016;6601;3690;3143;Parados;12.1789575;M
2016;6601;3691;3143;Parados;76.312735;M
2016;6667;3689;3143;Parados;18.27037;M
2016;6667;3690;3143;Parados;3.1003725;M
2016;6667;3691;3143;Parados;21.3707425;M
2016;6726;3689;3143;Parados;134.647555;M
2016;6726;3690;3143;Parados;125.4867375;M
2016;6726;3691;3143;Parados;260.1342925;M
2016;5989;3689;3143;Parados;0.0447975;M
2016;5989;3690;3143;Parados;;M
2016;5989;3691;3143;Parados;0.0447975;M
2016;6728;3689;3143;Parados;43.942365;M
2016;6728;3690;3143;Parados;61.44577;M
2016;6728;3691;3143;Parados;105.388135;M
2016;6744;3689;3143;Parados;216.554835;M
2016;6744;3690;3143;Parados;259.6919975;M
2016;6744;3691;3143;Parados;476.2468325;M
2016;6727;3689;3143;Parados;571.6602925;M
2016;6727;3690;3143;Parados;579.41958;M
2016;6727;3691;3143;Parados;1151.0798725;M
