D_TEMPORAL_0;D_SEXO_0;D_CNO11_0;D_EDAD_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2010;3690;6667;4235;3143;Ocupados;4.1997;M
2010;3690;6667;4305;3143;Ocupados;;M
2010;3690;6667;4306;3143;Ocupados;14.15607;M
2010;3690;6726;4191;3143;Ocupados;48.8856725;M
2010;3690;6726;4210;3143;Ocupados;106.1839075;M
2010;3690;6726;4235;3143;Ocupados;94.720815;M
2010;3690;6726;4305;3143;Ocupados;1.5483325;M
2010;3690;6726;4306;3143;Ocupados;251.3387275;M
2010;3690;5989;4191;3143;Ocupados;2.4645825;M
2010;3690;5989;4210;3143;Ocupados;1.5520875;M
2010;3690;5989;4235;3143;Ocupados;;M
2010;3690;5989;4305;3143;Ocupados;;M
2010;3690;5989;4306;3143;Ocupados;4.01667;M
2010;3690;6727;4191;3143;Ocupados;276.9583975;M
2010;3690;6727;4210;3143;Ocupados;567.3798975;M
2010;3690;6727;4235;3143;Ocupados;370.74053;M
2010;3690;6727;4305;3143;Ocupados;11.095575;M
2010;3690;6727;4306;3143;Ocupados;1226.1744;M
2010;3691;6038;4191;3143;Ocupados;7.3121075;M
2010;3691;6038;4210;3143;Ocupados;62.3286975;M
2010;3691;6038;4235;3143;Ocupados;52.89845;M
2010;3691;6038;4305;3143;Ocupados;1.9583525;M
2010;3691;6038;4306;3143;Ocupados;124.4976075;M
2010;3691;6203;4191;3143;Ocupados;55.8910025;M
2010;3691;6203;4210;3143;Ocupados;197.7821475;M
2010;3691;6203;4235;3143;Ocupados;147.8350375;M
2010;3691;6203;4305;3143;Ocupados;4.387535;M
2010;3691;6203;4306;3143;Ocupados;405.8957225;M
2010;3691;6333;4191;3143;Ocupados;53.7691475;M
2010;3691;6333;4210;3143;Ocupados;165.33798;M
2010;3691;6333;4235;3143;Ocupados;108.0915925;M
2010;3691;6333;4305;3143;Ocupados;2.1838875;M
2010;3691;6333;4306;3143;Ocupados;329.3826075;M
2010;3691;6375;4191;3143;Ocupados;41.90245;M
2010;3691;6375;4210;3143;Ocupados;104.01391;M
2010;3691;6375;4235;3143;Ocupados;56.1205475;M
2010;3691;6375;4305;3143;Ocupados;0.43394;M
2010;3691;6375;4306;3143;Ocupados;202.4708475;M
2010;3691;6463;4191;3143;Ocupados;173.364205;M
2010;3691;6463;4210;3143;Ocupados;316.893125;M
2010;3691;6463;4235;3143;Ocupados;243.538275;M
2010;3691;6463;4305;3143;Ocupados;6.82819;M
2010;3691;6463;4306;3143;Ocupados;740.623795;M
2010;3691;6489;4191;3143;Ocupados;7.2082575;M
2010;3691;6489;4210;3143;Ocupados;27.552785;M
2010;3691;6489;4235;3143;Ocupados;35.3943525;M
2010;3691;6489;4305;3143;Ocupados;2.203295;M
2010;3691;6489;4306;3143;Ocupados;72.35869;M
2010;3691;6601;4191;3143;Ocupados;73.863945;M
2010;3691;6601;4210;3143;Ocupados;154.3225325;M
2010;3691;6601;4235;3143;Ocupados;104.1693475;M
2010;3691;6601;4305;3143;Ocupados;0.3751225;M
2010;3691;6601;4306;3143;Ocupados;332.7309475;M
2010;3691;6667;4191;3143;Ocupados;26.3365325;M
2010;3691;6667;4210;3143;Ocupados;86.64193;M
2010;3691;6667;4235;3143;Ocupados;61.41653;M
2010;3691;6667;4305;3143;Ocupados;1.1837525;M
2010;3691;6667;4306;3143;Ocupados;175.578745;M
2010;3691;6726;4191;3143;Ocupados;110.213065;M
2010;3691;6726;4210;3143;Ocupados;205.3111225;M
2010;3691;6726;4235;3143;Ocupados;146.225855;M
2010;3691;6726;4305;3143;Ocupados;1.719105;M
2010;3691;6726;4306;3143;Ocupados;463.4691475;M
2010;3691;5989;4191;3143;Ocupados;13.5281575;M
2010;3691;5989;4210;3143;Ocupados;9.96745;M
2010;3691;5989;4235;3143;Ocupados;3.431255;M
2010;3691;5989;4305;3143;Ocupados;;M
2010;3691;5989;4306;3143;Ocupados;26.9268625;M
2010;3691;6727;4191;3143;Ocupados;563.38887;M
2010;3691;6727;4210;3143;Ocupados;1330.15168;M
2010;3691;6727;4235;3143;Ocupados;959.1212425;M
2010;3691;6727;4305;3143;Ocupados;21.27318;M
2010;3691;6727;4306;3143;Ocupados;2873.9349725;M
2011;3689;6038;4191;3143;Ocupados;2.4672175;M
2011;3689;6038;4210;3143;Ocupados;36.887485;M
2011;3689;6038;4235;3143;Ocupados;38.7978325;M
2011;3689;6038;4305;3143;Ocupados;2.5507275;M
2011;3689;6038;4306;3143;Ocupados;80.7032625;M
2011;3689;6203;4191;3143;Ocupados;21.1985475;M
2011;3689;6203;4210;3143;Ocupados;80.63096;M
2011;3689;6203;4235;3143;Ocupados;80.25975;M
2011;3689;6203;4305;3143;Ocupados;3.0895925;M
2011;3689;6203;4306;3143;Ocupados;185.17885;M
2011;3689;6333;4191;3143;Ocupados;22.3667925;M
2011;3689;6333;4210;3143;Ocupados;83.1004325;M
2011;3689;6333;4235;3143;Ocupados;59.7283425;M
2011;3689;6333;4305;3143;Ocupados;0.3149975;M
2011;3689;6333;4306;3143;Ocupados;165.510565;M
2011;3689;6375;4191;3143;Ocupados;11.6049175;M
2011;3689;6375;4210;3143;Ocupados;45.7223;M
2011;3689;6375;4235;3143;Ocupados;41.124095;M
2011;3689;6375;4305;3143;Ocupados;0.2468325;M
2011;3689;6375;4306;3143;Ocupados;98.698145;M
2011;3689;6463;4191;3143;Ocupados;54.5145;M
2011;3689;6463;4210;3143;Ocupados;126.447385;M
2011;3689;6463;4235;3143;Ocupados;116.53403;M
2011;3689;6463;4305;3143;Ocupados;2.836865;M
2011;3689;6463;4306;3143;Ocupados;300.33278;M
2011;3689;6489;4191;3143;Ocupados;8.676345;M
2011;3689;6489;4210;3143;Ocupados;23.060665;M
2011;3689;6489;4235;3143;Ocupados;30.18461;M
2011;3689;6489;4305;3143;Ocupados;0.7648325;M
2011;3689;6489;4306;3143;Ocupados;62.6864525;M
2011;3689;6601;4191;3143;Ocupados;54.7447775;M
2011;3689;6601;4210;3143;Ocupados;151.424295;M
2011;3689;6601;4235;3143;Ocupados;97.444275;M
2011;3689;6601;4305;3143;Ocupados;0.5920675;M
2011;3689;6601;4306;3143;Ocupados;304.205415;M
2011;3689;6667;4191;3143;Ocupados;25.0685975;M
2011;3689;6667;4210;3143;Ocupados;83.2808025;M
2011;3689;6667;4235;3143;Ocupados;60.1393525;M
2011;3689;6667;4305;3143;Ocupados;0.6827275;M
2011;3689;6667;4306;3143;Ocupados;169.17148;M
2011;3689;6726;4191;3143;Ocupados;56.465105;M
2011;3689;6726;4210;3143;Ocupados;95.3365875;M
2011;3689;6726;4235;3143;Ocupados;60.4263025;M
2011;3689;6726;4305;3143;Ocupados;0.3136275;M
2011;3689;6726;4306;3143;Ocupados;212.5416225;M
2011;3689;5989;4191;3143;Ocupados;8.7037075;M
2011;3689;5989;4210;3143;Ocupados;11.410605;M
2011;3689;5989;4235;3143;Ocupados;3.195755;M
2011;3689;5989;4305;3143;Ocupados;;M
2011;3689;5989;4306;3143;Ocupados;23.3100675;M
2011;3689;6727;4191;3143;Ocupados;265.8105075;M
2011;3689;6727;4210;3143;Ocupados;737.3015175;M
2011;3689;6727;4235;3143;Ocupados;587.834345;M
2011;3689;6727;4305;3143;Ocupados;11.39227;M
2011;3689;6727;4306;3143;Ocupados;1602.33864;M
2011;3690;6038;4191;3143;Ocupados;3.41288;M
2011;3690;6038;4210;3143;Ocupados;15.9805675;M
2011;3690;6038;4235;3143;Ocupados;11.6778875;M
2011;3690;6038;4305;3143;Ocupados;0.8099075;M
2011;3690;6038;4306;3143;Ocupados;31.8812425;M
2011;3690;6203;4191;3143;Ocupados;33.867645;M
2011;3690;6203;4210;3143;Ocupados;107.099235;M
2011;3690;6203;4235;3143;Ocupados;74.72051;M
2011;3690;6203;4305;3143;Ocupados;1.108905;M
2011;3690;6203;4306;3143;Ocupados;216.796295;M
2011;3690;6333;4191;3143;Ocupados;16.8540375;M
2011;3690;6333;4210;3143;Ocupados;49.326735;M
2011;3690;6333;4235;3143;Ocupados;24.10292;M
2011;3690;6333;4305;3143;Ocupados;0.8363175;M
2011;3690;6333;4306;3143;Ocupados;91.12001;M
2011;3690;6375;4191;3143;Ocupados;34.9049525;M
2011;3690;6375;4210;3143;Ocupados;82.44735;M
2011;3690;6375;4235;3143;Ocupados;37.5570625;M
2011;3690;6375;4305;3143;Ocupados;0.498325;M
2011;3690;6375;4306;3143;Ocupados;155.40769;M
2011;3690;6463;4191;3143;Ocupados;105.913555;M
2011;3690;6463;4210;3143;Ocupados;169.0352425;M
2011;3690;6463;4235;3143;Ocupados;115.8753775;M
2011;3690;6463;4305;3143;Ocupados;4.7662125;M
2011;3690;6463;4306;3143;Ocupados;395.5903875;M
2011;3690;6489;4191;3143;Ocupados;0.3590375;M
2011;3690;6489;4210;3143;Ocupados;3.1549525;M
2011;3690;6489;4235;3143;Ocupados;7.6251375;M
2011;3690;6489;4305;3143;Ocupados;0.0942625;M
2011;3690;6489;4306;3143;Ocupados;11.23339;M
2011;3690;6601;4191;3143;Ocupados;5.6886225;M
2011;3690;6601;4210;3143;Ocupados;13.434365;M
2011;3690;6601;4235;3143;Ocupados;8.719745;M
