D_TEMPORAL_0;D_EPA_ESTRUCHOGAR_0;D_EPA_RELACTIVIDAD_0;D_SEXO_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2005;48995;48939;3690;3143;Población;20.1413975;M
2005;48995;48939;3691;3143;Población;32.014315;M
2005;48995;48946;3689;3143;Población;8.4192075;M
2005;48995;48946;3690;3143;Población;95.568595;M
2005;48995;48946;3691;3143;Población;103.9878025;M
2005;48996;48952;3689;3143;Población;302.35122;M
2005;48996;48952;3690;3143;Población;283.6287975;M
2005;48996;48952;3691;3143;Población;585.9800175;M
2005;48996;48940;3689;3143;Población;151.10522;M
2005;48996;48940;3690;3143;Población;84.6382725;M
2005;48996;48940;3691;3143;Población;235.7434925;M
2005;48996;48936;3689;3143;Población;137.528725;M
2005;48996;48936;3690;3143;Población;65.41646;M
2005;48996;48936;3691;3143;Población;202.945185;M
2005;48996;48939;3689;3143;Población;13.576495;M
2005;48996;48939;3690;3143;Población;19.2218125;M
2005;48996;48939;3691;3143;Población;32.7983075;M
2005;48996;48946;3689;3143;Población;11.439295;M
2005;48996;48946;3690;3143;Población;74.61564;M
2005;48996;48946;3691;3143;Población;86.054935;M
2005;48997;48952;3689;3143;Población;775.2441575;M
2005;48997;48952;3690;3143;Población;741.287095;M
2005;48997;48952;3691;3143;Población;1516.5312525;M
2005;48997;48940;3689;3143;Población;407.5332175;M
2005;48997;48940;3690;3143;Población;243.4809525;M
2005;48997;48940;3691;3143;Población;651.01417;M
2005;48997;48936;3689;3143;Población;372.47627;M
2005;48997;48936;3690;3143;Población;191.595705;M
2005;48997;48936;3691;3143;Población;564.071975;M
2005;48997;48939;3689;3143;Población;35.0569475;M
2005;48997;48939;3690;3143;Población;51.8852475;M
2005;48997;48939;3691;3143;Población;86.942195;M
2005;48997;48946;3689;3143;Población;85.973745;M
2005;48997;48946;3690;3143;Población;230.8048125;M
2005;48997;48946;3691;3143;Población;316.7785575;M
2005;48998;48952;3689;3143;Población;479.82108;M
2005;48998;48952;3690;3143;Población;447.305785;M
2005;48998;48952;3691;3143;Población;927.126865;M
2005;48998;48940;3689;3143;Población;330.44989;M
2005;48998;48940;3690;3143;Población;196.2429825;M
2005;48998;48940;3691;3143;Población;526.6928725;M
2005;48998;48936;3689;3143;Población;292.33987;M
2005;48998;48936;3690;3143;Población;156.875865;M
2005;48998;48936;3691;3143;Población;449.215735;M
2005;48998;48939;3689;3143;Población;38.11002;M
2005;48998;48939;3690;3143;Población;39.3671175;M
2005;48998;48939;3691;3143;Población;77.4771375;M
2005;48998;48946;3689;3143;Población;149.37119;M
2005;48998;48946;3690;3143;Población;251.0628025;M
2005;48998;48946;3691;3143;Población;400.4339925;M
2005;48999;48952;3689;3143;Población;439.832185;M
2005;48999;48952;3690;3143;Población;373.7714825;M
2005;48999;48952;3691;3143;Población;813.6036675;M
2005;48999;48940;3689;3143;Población;261.825505;M
2005;48999;48940;3690;3143;Población;152.9813525;M
2005;48999;48940;3691;3143;Población;414.8068575;M
2005;48999;48936;3689;3143;Población;231.06609;M
2005;48999;48936;3690;3143;Población;127.47059;M
2005;48999;48936;3691;3143;Población;358.53668;M
2005;48999;48939;3689;3143;Población;30.759415;M
2005;48999;48939;3690;3143;Población;25.5107625;M
2005;48999;48939;3691;3143;Población;56.2701775;M
2005;48999;48946;3689;3143;Población;178.00668;M
2005;48999;48946;3690;3143;Población;220.79013;M
2005;48999;48946;3691;3143;Población;398.79681;M
2005;49006;48952;3689;3143;Población;317.6444525;M
2005;49006;48952;3690;3143;Población;351.8281875;M
2005;49006;48952;3691;3143;Población;669.47264;M
2005;49006;48940;3689;3143;Población;164.6379775;M
2005;49006;48940;3690;3143;Población;112.8038625;M
2005;49006;48940;3691;3143;Población;277.44184;M
2005;49006;48936;3689;3143;Población;146.733345;M
2005;49006;48936;3690;3143;Población;85.4128375;M
2005;49006;48936;3691;3143;Población;232.1461825;M
2005;49006;48939;3689;3143;Población;17.9046325;M
2005;49006;48939;3690;3143;Población;27.391025;M
2005;49006;48939;3691;3143;Población;45.2956575;M
2005;49006;48946;3689;3143;Población;90.9433975;M
2005;49006;48946;3690;3143;Población;176.0222925;M
2005;49006;48946;3691;3143;Población;266.96569;M
2005;49001;48952;3689;3143;Población;30.21612;M
2005;49001;48952;3690;3143;Población;26.8056725;M
2005;49001;48952;3691;3143;Población;57.0217925;M
2005;49001;48940;3689;3143;Población;15.57236;M
2005;49001;48940;3690;3143;Población;8.6596975;M
2005;49001;48940;3691;3143;Población;24.2320575;M
2005;49001;48936;3689;3143;Población;13.89852;M
2005;49001;48936;3690;3143;Población;6.39028;M
2005;49001;48936;3691;3143;Población;20.2888;M
2005;49001;48939;3689;3143;Población;1.67384;M
2005;49001;48939;3690;3143;Población;2.2694175;M
2005;49001;48939;3691;3143;Población;3.9432575;M
2005;49001;48946;3689;3143;Población;5.706975;M
2005;49001;48946;3690;3143;Población;11.1352525;M
2005;49001;48946;3691;3143;Población;16.8422275;M
2005;49002;48952;3689;3143;Población;23.5780075;M
2005;49002;48952;3690;3143;Población;28.38405;M
2005;49002;48952;3691;3143;Población;51.9620575;M
2005;49002;48940;3689;3143;Población;12.4952025;M
2005;49002;48940;3690;3143;Población;9.5339375;M
2005;49002;48940;3691;3143;Población;22.02914;M
2005;49002;48936;3689;3143;Población;12.404195;M
2005;49002;48936;3690;3143;Población;8.09103;M
2005;49002;48936;3691;3143;Población;20.495225;M
2005;49002;48939;3689;3143;Población;0.0910075;M
2005;49002;48939;3690;3143;Población;1.4429075;M
2005;49002;48939;3691;3143;Población;1.533915;M
2005;49002;48946;3689;3143;Población;3.3901925;M
2005;49002;48946;3690;3143;Población;12.2372325;M
2005;49002;48946;3691;3143;Población;15.627425;M
2005;49003;48952;3689;3143;Población;78.433115;M
2005;49003;48952;3690;3143;Población;88.0738725;M
2005;49003;48952;3691;3143;Población;166.5069875;M
2005;49003;48940;3689;3143;Población;37.778965;M
2005;49003;48940;3690;3143;Población;23.0468225;M
2005;49003;48940;3691;3143;Población;60.8257875;M
2005;49003;48936;3689;3143;Población;33.333855;M
2005;49003;48936;3690;3143;Población;16.3158725;M
2005;49003;48936;3691;3143;Población;49.6497275;M
2005;49003;48939;3689;3143;Población;4.44511;M
2005;49003;48939;3690;3143;Población;6.73095;M
2005;49003;48939;3691;3143;Población;11.17606;M
2005;49003;48946;3689;3143;Población;17.9662;M
2005;49003;48946;3690;3143;Población;41.438495;M
2005;49003;48946;3691;3143;Población;59.404695;M
2005;49004;48952;3689;3143;Población;78.50169;M
2005;49004;48952;3690;3143;Población;90.1234625;M
2005;49004;48952;3691;3143;Población;168.6251525;M
2005;49004;48940;3689;3143;Población;48.67042;M
2005;49004;48940;3690;3143;Población;34.9043925;M
2005;49004;48940;3691;3143;Población;83.5748125;M
2005;49004;48936;3689;3143;Población;41.727315;M
2005;49004;48936;3690;3143;Población;25.259155;M
2005;49004;48936;3691;3143;Población;66.98647;M
2005;49004;48939;3689;3143;Población;6.943105;M
2005;49004;48939;3690;3143;Población;9.6452375;M
2005;49004;48939;3691;3143;Población;16.5883425;M
2005;49004;48946;3689;3143;Población;23.5397025;M
2005;49004;48946;3690;3143;Población;47.3863575;M
2005;49004;48946;3691;3143;Población;70.92606;M
2005;49005;48952;3689;3143;Población;106.91552;M
2005;49005;48952;3690;3143;Población;118.44113;M
2005;49005;48952;3691;3143;Población;225.35665;M
2005;49005;48940;3689;3143;Población;50.12103;M
2005;49005;48940;3690;3143;Población;36.6590125;M
2005;49005;48940;3691;3143;Población;86.7800425;M
2005;49005;48936;3689;3143;Población;45.36946;M
2005;49005;48936;3690;3143;Población;29.3565;M
2005;49005;48936;3691;3143;Población;74.72596;M
2005;49005;48939;3689;3143;Población;4.75157;M
2005;49005;48939;3690;3143;Población;7.3025125;M
2005;49005;48939;3691;3143;Población;12.0540825;M
2005;49005;48946;3689;3143;Población;40.3403275;M
2005;49005;48946;3690;3143;Población;63.824955;M
2005;49005;48946;3691;3143;Población;104.1652825;M
2005;49007;48952;3689;3143;Población;3843.129715;M
2005;49007;48952;3690;3143;Población;3916.6661475;M
2005;49007;48952;3691;3143;Población;7759.7958625;M
2005;49007;48940;3689;3143;Población;2114.9653175;M
2005;49007;48940;3690;3143;Población;1365.273755;M
2005;49007;48940;3691;3143;Población;3480.2390725;M
2005;49007;48936;3689;3143;Población;1895.4381975;M
2005;49007;48936;3690;3143;Población;1103.6779975;M
2005;49007;48936;3691;3143;Población;2999.116195;M
2005;49007;48939;3689;3143;Población;219.52712;M
2005;49007;48939;3690;3143;Población;261.5957575;M
2005;49007;48939;3691;3143;Población;481.1228775;M
2005;49007;48946;3689;3143;Población;1011.017205;M
2005;49007;48946;3690;3143;Población;1875.134405;M
2005;49007;48946;3691;3143;Población;2886.15161;M
2006;48981;48952;3689;3143;Población;234.76202;M
2006;48981;48952;3690;3143;Población;311.53973;M
2006;48981;48952;3691;3143;Población;546.30175;M
2006;48981;48940;3689;3143;Población;131.6282825;M
2006;48981;48940;3690;3143;Población;75.2045425;M
2006;48981;48940;3691;3143;Población;206.832825;M
2006;48981;48936;3689;3143;Población;116.01517;M
2006;48981;48936;3690;3143;Población;67.9354075;M
2006;48981;48936;3691;3143;Población;183.9505775;M
2006;48981;48939;3689;3143;Población;15.6131125;M
2006;48981;48939;3690;3143;Población;7.269135;M
2006;48981;48939;3691;3143;Población;22.8822475;M
2006;48981;48946;3689;3143;Población;103.1337375;M
2006;48981;48946;3690;3143;Población;236.3351875;M
