D_TEMPORAL_0;D_SEXO_0;D_EPA_NACIONALIDAD_0;D_EDAD_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2010;3689;46925;4191;3143;Activos;450.9721775;M
2010;3689;46925;4210;3143;Activos;865.52142;M
2010;3689;46925;4235;3143;Activos;705.816905;M
2010;3689;46925;4305;3143;Activos;10.38903;M
2010;3689;46925;4306;3143;Activos;2032.6995325;M
2010;3689;46943;4191;3143;Activos;49.7659075;M
2010;3689;46943;4210;3143;Activos;121.2237275;M
2010;3689;46943;4235;3143;Activos;43.48129;M
2010;3689;46943;4305;3143;Activos;0.6449225;M
2010;3689;46943;4306;3143;Activos;215.1158475;M
2010;3689;46944;4191;3143;Activos;500.738085;M
2010;3689;46944;4210;3143;Activos;986.7451475;M
2010;3689;46944;4235;3143;Activos;749.298195;M
2010;3689;46944;4305;3143;Activos;11.0339525;M
2010;3689;46944;4306;3143;Activos;2247.81538;M
2010;3690;46925;4191;3143;Activos;390.93752;M
2010;3690;46925;4210;3143;Activos;678.21983;M
2010;3690;46925;4235;3143;Activos;459.234445;M
2010;3690;46925;4305;3143;Activos;9.404055;M
2010;3690;46925;4306;3143;Activos;1537.79585;M
2010;3690;46943;4191;3143;Activos;59.2104025;M
2010;3690;46943;4210;3143;Activos;96.90251;M
2010;3690;46943;4235;3143;Activos;35.38781;M
2010;3690;46943;4305;3143;Activos;1.840265;M
2010;3690;46943;4306;3143;Activos;193.3409875;M
2010;3690;46944;4191;3143;Activos;450.1479225;M
2010;3690;46944;4210;3143;Activos;775.12234;M
2010;3690;46944;4235;3143;Activos;494.622255;M
2010;3690;46944;4305;3143;Activos;11.24432;M
2010;3690;46944;4306;3143;Activos;1731.1368375;M
2010;3691;46925;4191;3143;Activos;841.9096975;M
2010;3691;46925;4210;3143;Activos;1543.74125;M
2010;3691;46925;4235;3143;Activos;1165.05135;M
2010;3691;46925;4305;3143;Activos;19.793085;M
2010;3691;46925;4306;3143;Activos;3570.4953825;M
2010;3691;46943;4191;3143;Activos;108.97631;M
2010;3691;46943;4210;3143;Activos;218.1262375;M
2010;3691;46943;4235;3143;Activos;78.8691;M
2010;3691;46943;4305;3143;Activos;2.4851875;M
2010;3691;46943;4306;3143;Activos;408.456835;M
2010;3691;46944;4191;3143;Activos;950.8860075;M
2010;3691;46944;4210;3143;Activos;1761.8674875;M
2010;3691;46944;4235;3143;Activos;1243.92045;M
2010;3691;46944;4305;3143;Activos;22.2782725;M
2010;3691;46944;4306;3143;Activos;3978.9522175;M
2011;3689;46925;4191;3143;Activos;421.7252475;M
2011;3689;46925;4210;3143;Activos;882.8588075;M
2011;3689;46925;4235;3143;Activos;726.52606;M
2011;3689;46925;4305;3143;Activos;10.8662175;M
2011;3689;46925;4306;3143;Activos;2041.9763325;M
2011;3689;46943;4191;3143;Activos;54.682445;M
2011;3689;46943;4210;3143;Activos;106.0242325;M
2011;3689;46943;4235;3143;Activos;43.5994875;M
2011;3689;46943;4305;3143;Activos;0.6447225;M
2011;3689;46943;4306;3143;Activos;204.9508875;M
2011;3689;46944;4191;3143;Activos;476.4076925;M
2011;3689;46944;4210;3143;Activos;988.88304;M
2011;3689;46944;4235;3143;Activos;770.1255475;M
2011;3689;46944;4305;3143;Activos;11.51094;M
2011;3689;46944;4306;3143;Activos;2246.92722;M
2011;3690;46925;4191;3143;Activos;367.2520875;M
2011;3690;46925;4210;3143;Activos;694.7264875;M
2011;3690;46925;4235;3143;Activos;489.3780075;M
2011;3690;46925;4305;3143;Activos;9.164565;M
2011;3690;46925;4306;3143;Activos;1560.5211475;M
2011;3690;46943;4191;3143;Activos;52.8609825;M
2011;3690;46943;4210;3143;Activos;97.249085;M
2011;3690;46943;4235;3143;Activos;45.99829;M
2011;3690;46943;4305;3143;Activos;0.87957;M
2011;3690;46943;4306;3143;Activos;196.9879275;M
2011;3690;46944;4191;3143;Activos;420.11307;M
2011;3690;46944;4210;3143;Activos;791.9755725;M
2011;3690;46944;4235;3143;Activos;535.3762975;M
2011;3690;46944;4305;3143;Activos;10.044135;M
2011;3690;46944;4306;3143;Activos;1757.509075;M
2011;3691;46925;4191;3143;Activos;788.977335;M
2011;3691;46925;4210;3143;Activos;1577.585295;M
2011;3691;46925;4235;3143;Activos;1215.9040675;M
2011;3691;46925;4305;3143;Activos;20.0307825;M
2011;3691;46925;4306;3143;Activos;3602.49748;M
2011;3691;46943;4191;3143;Activos;107.5434275;M
2011;3691;46943;4210;3143;Activos;203.2733175;M
2011;3691;46943;4235;3143;Activos;89.5977775;M
2011;3691;46943;4305;3143;Activos;1.5242925;M
2011;3691;46943;4306;3143;Activos;401.938815;M
2011;3691;46944;4191;3143;Activos;896.5207625;M
2011;3691;46944;4210;3143;Activos;1780.8586125;M
2011;3691;46944;4235;3143;Activos;1305.501845;M
2011;3691;46944;4305;3143;Activos;21.555075;M
2011;3691;46944;4306;3143;Activos;4004.436295;M
2012;3689;46925;4191;3143;Activos;397.244865;M
2012;3689;46925;4210;3143;Activos;868.638505;M
2012;3689;46925;4235;3143;Activos;748.9686225;M
2012;3689;46925;4305;3143;Activos;5.6726125;M
2012;3689;46925;4306;3143;Activos;2020.524605;M
2012;3689;46943;4191;3143;Activos;44.7897775;M
2012;3689;46943;4210;3143;Activos;114.2424375;M
2012;3689;46943;4235;3143;Activos;46.440025;M
2012;3689;46943;4305;3143;Activos;0.4164675;M
2012;3689;46943;4306;3143;Activos;205.8887075;M
2012;3689;46944;4191;3143;Activos;442.0346425;M
2012;3689;46944;4210;3143;Activos;982.8809425;M
2012;3689;46944;4235;3143;Activos;795.4086475;M
2012;3689;46944;4305;3143;Activos;6.08908;M
2012;3689;46944;4306;3143;Activos;2226.4133125;M
2012;3690;46925;4191;3143;Activos;361.63014;M
2012;3690;46925;4210;3143;Activos;716.23136;M
2012;3690;46925;4235;3143;Activos;521.55513;M
2012;3690;46925;4305;3143;Activos;6.2988;M
2012;3690;46925;4306;3143;Activos;1605.71543;M
2012;3690;46943;4191;3143;Activos;42.4080475;M
2012;3690;46943;4210;3143;Activos;108.4398025;M
2012;3690;46943;4235;3143;Activos;62.15783;M
2012;3690;46943;4305;3143;Activos;;M
2012;3690;46943;4306;3143;Activos;213.00568;M
2012;3690;46944;4191;3143;Activos;404.0381875;M
2012;3690;46944;4210;3143;Activos;824.6711625;M
2012;3690;46944;4235;3143;Activos;583.71296;M
2012;3690;46944;4305;3143;Activos;6.2988;M
2012;3690;46944;4306;3143;Activos;1818.72111;M
2012;3691;46925;4191;3143;Activos;758.875005;M
2012;3691;46925;4210;3143;Activos;1584.869865;M
2012;3691;46925;4235;3143;Activos;1270.5237525;M
2012;3691;46925;4305;3143;Activos;11.9714125;M
2012;3691;46925;4306;3143;Activos;3626.240035;M
2012;3691;46943;4191;3143;Activos;87.197825;M
2012;3691;46943;4210;3143;Activos;222.68224;M
2012;3691;46943;4235;3143;Activos;108.597855;M
2012;3691;46943;4305;3143;Activos;0.4164675;M
2012;3691;46943;4306;3143;Activos;418.8943875;M
2012;3691;46944;4191;3143;Activos;846.07283;M
2012;3691;46944;4210;3143;Activos;1807.552105;M
2012;3691;46944;4235;3143;Activos;1379.1216075;M
2012;3691;46944;4305;3143;Activos;12.38788;M
2012;3691;46944;4306;3143;Activos;4045.1344225;M
2013;3689;46925;4191;3143;Activos;386.1980875;M
2013;3689;46925;4210;3143;Activos;863.674425;M
2013;3689;46925;4235;3143;Activos;762.7880225;M
2013;3689;46925;4305;3143;Activos;5.98129;M
2013;3689;46925;4306;3143;Activos;2018.641825;M
2013;3689;46943;4191;3143;Activos;38.0733775;M
2013;3689;46943;4210;3143;Activos;98.830665;M
2013;3689;46943;4235;3143;Activos;51.38932;M
2013;3689;46943;4305;3143;Activos;1.2696775;M
2013;3689;46943;4306;3143;Activos;189.56304;M
2013;3689;46944;4191;3143;Activos;424.271465;M
2013;3689;46944;4210;3143;Activos;962.50509;M
2013;3689;46944;4235;3143;Activos;814.1773425;M
2013;3689;46944;4305;3143;Activos;7.2509675;M
2013;3689;46944;4306;3143;Activos;2208.204865;M
2013;3690;46925;4191;3143;Activos;355.6928775;M
2013;3690;46925;4210;3143;Activos;717.1911625;M
2013;3690;46925;4235;3143;Activos;544.6789425;M
2013;3690;46925;4305;3143;Activos;6.5813325;M
2013;3690;46925;4306;3143;Activos;1624.144315;M
2013;3690;46943;4191;3143;Activos;33.72503;M
2013;3690;46943;4210;3143;Activos;112.1639525;M
2013;3690;46943;4235;3143;Activos;53.7997425;M
2013;3690;46943;4305;3143;Activos;;M
2013;3690;46943;4306;3143;Activos;199.688725;M
2013;3690;46944;4191;3143;Activos;389.4179075;M
2013;3690;46944;4210;3143;Activos;829.355115;M
2013;3690;46944;4235;3143;Activos;598.478685;M
2013;3690;46944;4305;3143;Activos;6.5813325;M
2013;3690;46944;4306;3143;Activos;1823.83304;M
2013;3691;46925;4191;3143;Activos;741.890965;M
2013;3691;46925;4210;3143;Activos;1580.8655875;M
2013;3691;46925;4235;3143;Activos;1307.466965;M
2013;3691;46925;4305;3143;Activos;12.5626225;M
2013;3691;46925;4306;3143;Activos;3642.78614;M
2013;3691;46943;4191;3143;Activos;71.7984075;M
2013;3691;46943;4210;3143;Activos;210.9946175;M
2013;3691;46943;4235;3143;Activos;105.1890625;M
2013;3691;46943;4305;3143;Activos;1.2696775;M
2013;3691;46943;4306;3143;Activos;389.251765;M
2013;3691;46944;4191;3143;Activos;813.6893725;M
2013;3691;46944;4210;3143;Activos;1791.860205;M
2013;3691;46944;4235;3143;Activos;1412.6560275;M
2013;3691;46944;4305;3143;Activos;13.8323;M
2013;3691;46944;4306;3143;Activos;4032.037905;M
2014;3689;46925;4191;3143;Activos;372.575805;M
2014;3689;46925;4210;3143;Activos;843.0392625;M
2014;3689;46925;4235;3143;Activos;795.6181925;M
2014;3689;46925;4305;3143;Activos;9.546975;M
2014;3689;46925;4306;3143;Activos;2020.780235;M
2014;3689;46943;4191;3143;Activos;41.89469;M
2014;3689;46943;4210;3143;Activos;105.6481475;M
2014;3689;46943;4235;3143;Activos;43.9939625;M
2014;3689;46943;4305;3143;Activos;3.0828725;M
2014;3689;46943;4306;3143;Activos;194.6196725;M
2014;3689;46944;4191;3143;Activos;414.470495;M
2014;3689;46944;4210;3143;Activos;948.68741;M
2014;3689;46944;4235;3143;Activos;839.612155;M
2014;3689;46944;4305;3143;Activos;12.6298475;M
2014;3689;46944;4306;3143;Activos;2215.3999075;M
2014;3690;46925;4191;3143;Activos;330.1991875;M
2014;3690;46925;4210;3143;Activos;717.5143325;M
2014;3690;46925;4235;3143;Activos;579.3558425;M
2014;3690;46925;4305;3143;Activos;7.203815;M
2014;3690;46925;4306;3143;Activos;1634.2731775;M
2014;3690;46943;4191;3143;Activos;36.8107875;M
2014;3690;46943;4210;3143;Activos;106.196835;M
2014;3690;46943;4235;3143;Activos;45.064805;M
2014;3690;46943;4305;3143;Activos;0.9235;M
2014;3690;46943;4306;3143;Activos;188.9959275;M
2014;3690;46944;4191;3143;Activos;367.009975;M
2014;3690;46944;4210;3143;Activos;823.7111675;M
2014;3690;46944;4235;3143;Activos;624.4206475;M
2014;3690;46944;4305;3143;Activos;8.127315;M
2014;3690;46944;4306;3143;Activos;1823.269105;M
2014;3691;46925;4191;3143;Activos;702.7749925;M
2014;3691;46925;4210;3143;Activos;1560.553595;M
2014;3691;46925;4235;3143;Activos;1374.974035;M
2014;3691;46925;4305;3143;Activos;16.75079;M
2014;3691;46925;4306;3143;Activos;3655.0534125;M
2014;3691;46943;4191;3143;Activos;78.7054775;M
2014;3691;46943;4210;3143;Activos;211.8449825;M
2014;3691;46943;4235;3143;Activos;89.0587675;M
2014;3691;46943;4305;3143;Activos;4.0063725;M
2014;3691;46943;4306;3143;Activos;383.6156;M
2014;3691;46944;4191;3143;Activos;781.48047;M
2014;3691;46944;4210;3143;Activos;1772.3985775;M
2014;3691;46944;4235;3143;Activos;1464.0328025;M
2014;3691;46944;4305;3143;Activos;20.7571625;M
2014;3691;46944;4306;3143;Activos;4038.6690125;M
2015;3689;46925;4191;3143;Activos;353.7235175;M
2015;3689;46925;4210;3143;Activos;831.8583425;M
2015;3689;46925;4235;3143;Activos;820.648505;M
2015;3689;46925;4305;3143;Activos;10.6410175;M
2015;3689;46925;4306;3143;Activos;2016.8713825;M
2015;3689;46943;4191;3143;Activos;34.429335;M
2015;3689;46943;4210;3143;Activos;107.75256;M
2015;3689;46943;4235;3143;Activos;47.76748;M
2015;3689;46943;4305;3143;Activos;0.59626;M
2015;3689;46943;4306;3143;Activos;190.545635;M
