D_TEMPORAL_0;D_CNAE09_0;D_SEXO_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2015;7716;3691;3143;Parados;136.52665;M
2015;7889;3689;3143;Parados;12.31717;M
2015;7889;3690;3143;Parados;4.331665;M
2015;7889;3691;3143;Parados;16.648835;M
2015;8032;3689;3143;Parados;18.5385825;M
2015;8032;3690;3143;Parados;18.7504325;M
2015;8032;3691;3143;Parados;37.289015;M
2015;8256;3689;3143;Parados;46.405375;M
2015;8256;3690;3143;Parados;70.803815;M
2015;8256;3691;3143;Parados;117.20919;M
2015;8346;3689;3143;Parados;17.8418675;M
2015;8346;3690;3143;Parados;33.9930825;M
2015;8346;3691;3143;Parados;51.83495;M
2015;8456;3689;3143;Parados;267.181205;M
2015;8456;3690;3143;Parados;292.52772;M
2015;8456;3691;3143;Parados;559.708925;M
2015;6950;3689;3143;Parados;48.85454;M
2015;6950;3690;3143;Parados;70.6846625;M
2015;6950;3691;3143;Parados;119.5392025;M
2015;6949;3689;3143;Parados;642.02384;M
2015;6949;3690;3143;Parados;632.934425;M
2015;6949;3691;3143;Parados;1274.958265;M
2016;6980;3689;3143;Parados;90.85982;M
2016;6980;3690;3143;Parados;55.739095;M
2016;6980;3691;3143;Parados;146.598915;M
2016;7057;3689;3143;Parados;21.2854425;M
2016;7057;3690;3143;Parados;8.81951;M
2016;7057;3691;3143;Parados;30.1049525;M
2016;7662;3689;3143;Parados;53.35628;M
2016;7662;3690;3143;Parados;0.850245;M
2016;7662;3691;3143;Parados;54.206525;M
2016;7715;3689;3143;Parados;145.66155;M
2016;7715;3690;3143;Parados;192.8729625;M
2016;7715;3691;3143;Parados;338.5345125;M
2016;7716;3689;3143;Parados;62.0870675;M
2016;7716;3690;3143;Parados;77.0741475;M
2016;7716;3691;3143;Parados;139.161215;M
2016;7889;3689;3143;Parados;11.655755;M
2016;7889;3690;3143;Parados;4.1344025;M
2016;7889;3691;3143;Parados;15.7901575;M
2016;8032;3689;3143;Parados;16.4947925;M
2016;8032;3690;3143;Parados;20.83228;M
2016;8032;3691;3143;Parados;37.3270725;M
2016;8256;3689;3143;Parados;40.4603625;M
2016;8256;3690;3143;Parados;62.6657875;M
2016;8256;3691;3143;Parados;103.12615;M
2016;8346;3689;3143;Parados;14.9635725;M
2016;8346;3690;3143;Parados;28.166345;M
2016;8346;3691;3143;Parados;43.1299175;M
2016;8456;3689;3143;Parados;216.554835;M
2016;8456;3690;3143;Parados;259.6919975;M
2016;8456;3691;3143;Parados;476.2468325;M
2016;6950;3689;3143;Parados;43.942365;M
