D_TEMPORAL_0;D_TERRITORIO_0;D_SEXO_0;D_EPA_RELACTIVIDAD_0;D_EPA_NIVEL_0;INDICATOR;OBS_VALUE;FREQ
2012;2797;3691;48952;46593;Población;426.4683375;M
2012;2797;3691;48940;46593;Población;258.1468275;M
2012;2797;3691;48936;46593;Población;168.359695;M
2012;2797;3691;48934;46593;Población;28.5880075;M
2012;2797;3691;48939;46593;Población;89.7871325;M
2012;2797;3691;48937;46593;Población;5.0063975;M
2012;2797;3691;48946;46593;Población;168.32151;M
2012;2911;3689;48952;46593;Población;273.4467975;M
2012;2911;3689;48940;46593;Población;172.7307575;M
2012;2911;3689;48936;46593;Población;115.406865;M
2012;2911;3689;48934;46593;Población;10.2462625;M
2012;2911;3689;48939;46593;Población;57.3238925;M
2012;2911;3689;48937;46593;Población;3.91339;M
2012;2911;3689;48946;46593;Población;100.71604;M
2012;2911;3690;48952;46593;Población;277.2416725;M
2012;2911;3690;48940;46593;Población;127.57244;M
2012;2911;3690;48936;46593;Población;77.35959;M
2012;2911;3690;48934;46593;Población;12.644465;M
2012;2911;3690;48939;46593;Población;50.21285;M
2012;2911;3690;48937;46593;Población;6.02472;M
2012;2911;3690;48946;46593;Población;149.6692325;M
2012;2911;3691;48952;46593;Población;550.68847;M
2012;2911;3691;48940;46593;Población;300.3031975;M
2012;2911;3691;48936;46593;Población;192.766455;M
2012;2911;3691;48934;46593;Población;22.8907275;M
2012;2911;3691;48939;46593;Población;107.5367425;M
2012;2911;3691;48937;46593;Población;9.93811;M
2012;2911;3691;48946;46593;Población;250.3852725;M
2012;3023;3689;48952;46593;Población;645.612845;M
2012;3023;3689;48940;46593;Población;417.9702;M
2012;3023;3689;48936;46593;Población;271.5644025;M
2012;3023;3689;48934;46593;Población;23.5080775;M
2012;3023;3689;48939;46593;Población;146.4057975;M
2012;3023;3689;48937;46593;Población;6.5824425;M
2012;3023;3689;48946;46593;Población;227.642645;M
2012;3023;3690;48952;46593;Población;673.6740125;M
2012;3023;3690;48940;46593;Población;365.206875;M
2012;3023;3690;48936;46593;Población;243.0923725;M
2012;3023;3690;48934;46593;Población;48.95347;M
2012;3023;3690;48939;46593;Población;122.1145025;M
2012;3023;3690;48937;46593;Población;11.7155225;M
2012;3023;3690;48946;46593;Población;308.4671375;M
2012;3023;3691;48952;46593;Población;1319.2868575;M
2012;3023;3691;48940;46593;Población;783.177075;M
2012;3023;3691;48936;46593;Población;514.656775;M
2012;3023;3691;48934;46593;Población;72.4615475;M
2012;3023;3691;48939;46593;Población;268.5203;M
2012;3023;3691;48937;46593;Población;18.297965;M
2012;3023;3691;48946;46593;Población;536.1097825;M
2012;3142;3689;48952;46593;Población;761.160135;M
2012;3142;3689;48940;46593;Población;517.133785;M
2012;3142;3689;48936;46593;Población;359.59027;M
2012;3142;3689;48934;46593;Población;55.9558075;M
2012;3142;3689;48939;46593;Población;157.543515;M
2012;3142;3689;48937;46593;Población;11.9528225;M
2012;3142;3689;48946;46593;Población;244.02635;M
2012;3142;3690;48952;46593;Población;808.2188175;M
2012;3142;3690;48940;46593;Población;423.3208575;M
2012;3142;3690;48936;46593;Población;284.7066625;M
2012;3142;3690;48934;46593;Población;53.6968075;M
2012;3142;3690;48939;46593;Población;138.614195;M
2012;3142;3690;48937;46593;Población;15.6217125;M
2012;3142;3690;48946;46593;Población;384.89796;M
2012;3142;3691;48952;46593;Población;1569.3789525;M
2012;3142;3691;48940;46593;Población;940.4546425;M
2012;3142;3691;48936;46593;Población;644.2969325;M
2012;3142;3691;48934;46593;Población;109.652615;M
2012;3142;3691;48939;46593;Población;296.15771;M
2012;3142;3691;48937;46593;Población;27.574535;M
2012;3142;3691;48946;46593;Población;628.92431;M
2012;3143;3689;48952;46593;Población;3364.3076375;M
2012;3143;3689;48940;46593;Población;2226.4133125;M
2012;3143;3689;48936;46593;Población;1482.3507925;M
2012;3143;3689;48934;46593;Población;187.9901575;M
2012;3143;3689;48939;46593;Población;744.06252;M
2012;3143;3689;48937;46593;Población;51.1674725;M
2012;3143;3689;48946;46593;Población;1137.894325;M
2012;3143;3690;48952;46593;Población;3487.5842525;M
2012;3143;3690;48940;46593;Población;1818.72111;M
2012;3143;3690;48936;46593;Población;1173.1182375;M
2012;3143;3690;48934;46593;Población;224.1507125;M
2012;3143;3690;48939;46593;Población;645.6028725;M
2012;3143;3690;48937;46593;Población;69.1066275;M
2012;3143;3690;48946;46593;Población;1668.8631425;M
2012;3143;3691;48952;46593;Población;6851.89189;M
2012;3143;3691;48940;46593;Población;4045.1344225;M
2012;3143;3691;48936;46593;Población;2655.46903;M
2012;3143;3691;48934;46593;Población;412.14087;M
2012;3143;3691;48939;46593;Población;1389.6653925;M
2012;3143;3691;48937;46593;Población;120.2741;M
2012;3143;3691;48946;46593;Población;2806.7574675;M
2013;2352;3689;48952;46593;Población;281.9042975;M
2013;2352;3689;48940;46593;Población;204.370405;M
2013;2352;3689;48936;46593;Población;132.7315975;M
2013;2352;3689;48934;46593;Población;18.5159975;M
2013;2352;3689;48939;46593;Población;71.6388075;M
2013;2352;3689;48937;46593;Población;3.2999;M
2013;2352;3689;48946;46593;Población;77.5338925;M
2013;2352;3690;48952;46593;Población;277.44009;M
2013;2352;3690;48940;46593;Población;153.533545;M
2013;2352;3690;48936;46593;Población;96.1993925;M
2013;2352;3690;48934;46593;Población;20.5582025;M
2013;2352;3690;48939;46593;Población;57.3341525;M
2013;2352;3690;48937;46593;Población;3.3257625;M
2013;2352;3690;48946;46593;Población;123.906545;M
2013;2352;3691;48952;46593;Población;559.3443875;M
2013;2352;3691;48940;46593;Población;357.90395;M
2013;2352;3691;48936;46593;Población;228.93099;M
2013;2352;3691;48934;46593;Población;39.0742;M
2013;2352;3691;48939;46593;Población;128.97296;M
2013;2352;3691;48937;46593;Población;6.6256625;M
2013;2352;3691;48946;46593;Población;201.4404375;M
2013;2402;3689;48952;46593;Población;499.3736875;M
2013;2402;3689;48940;46593;Población;323.155555;M
2013;2402;3689;48936;46593;Población;204.63264;M
2013;2402;3689;48934;46593;Población;21.9032725;M
2013;2402;3689;48939;46593;Población;118.522915;M
2013;2402;3689;48937;46593;Población;8.8209975;M
2013;2402;3689;48946;46593;Población;176.2181325;M
2013;2402;3690;48952;46593;Población;513.025685;M
2013;2402;3690;48940;46593;Población;255.95283;M
2013;2402;3690;48936;46593;Población;145.14093;M
2013;2402;3690;48934;46593;Población;28.891925;M
2013;2402;3690;48939;46593;Población;110.8119;M
2013;2402;3690;48937;46593;Población;17.2305975;M
2013;2402;3690;48946;46593;Población;257.072855;M
2013;2402;3691;48952;46593;Población;1012.3993725;M
2013;2402;3691;48940;46593;Población;579.108385;M
2013;2402;3691;48936;46593;Población;349.77357;M
2013;2402;3691;48934;46593;Población;50.7951975;M
2013;2402;3691;48939;46593;Población;229.334815;M
2013;2402;3691;48937;46593;Población;26.051595;M
2013;2402;3691;48946;46593;Población;433.2909875;M
2013;2482;3689;48952;46593;Población;319.739735;M
2013;2482;3689;48940;46593;Población;209.6739725;M
2013;2482;3689;48936;46593;Población;142.8541275;M
2013;2482;3689;48934;46593;Población;20.746485;M
2013;2482;3689;48939;46593;Población;66.819845;M
2013;2482;3689;48937;46593;Población;6.3745725;M
2013;2482;3689;48946;46593;Población;110.0657625;M
2013;2482;3690;48952;46593;Población;338.1138025;M
2013;2482;3690;48940;46593;Población;170.13112;M
2013;2482;3690;48936;46593;Población;103.4154675;M
2013;2482;3690;48934;46593;Población;21.74628;M
2013;2482;3690;48939;46593;Población;66.7156525;M
2013;2482;3690;48937;46593;Población;8.2619225;M
2013;2482;3690;48946;46593;Población;167.9826825;M
2013;2482;3691;48952;46593;Población;657.8535375;M
2013;2482;3691;48940;46593;Población;379.8050925;M
2013;2482;3691;48936;46593;Población;246.269595;M
2013;2482;3691;48934;46593;Población;42.492765;M
2013;2482;3691;48939;46593;Población;133.5354975;M
2013;2482;3691;48937;46593;Población;14.636495;M
2013;2482;3691;48946;46593;Población;278.048445;M
2013;2713;3689;48952;46593;Población;371.7416875;M
2013;2713;3689;48940;46593;Población;239.9429575;M
2013;2713;3689;48936;46593;Población;153.64553;M
2013;2713;3689;48934;46593;Población;17.890935;M
2013;2713;3689;48939;46593;Población;86.2974275;M
2013;2713;3689;48937;46593;Población;6.707735;M
2013;2713;3689;48946;46593;Población;131.79873;M
2013;2713;3690;48952;46593;Población;384.283285;M
2013;2713;3690;48940;46593;Población;204.2920075;M
2013;2713;3690;48936;46593;Población;126.0472975;M
2013;2713;3690;48934;46593;Población;24.27015;M
2013;2713;3690;48939;46593;Población;78.24471;M
2013;2713;3690;48937;46593;Población;8.9223925;M
2013;2713;3690;48946;46593;Población;179.9912775;M
2013;2713;3691;48952;46593;Población;756.0249725;M
2013;2713;3691;48940;46593;Población;444.234965;M
2013;2713;3691;48936;46593;Población;279.6928275;M
2013;2713;3691;48934;46593;Población;42.161085;M
2013;2713;3691;48939;46593;Población;164.5421375;M
2013;2713;3691;48937;46593;Población;15.6301275;M
2013;2713;3691;48946;46593;Población;311.7900075;M
2013;2797;3689;48952;46593;Población;209.798955;M
2013;2797;3689;48940;46593;Población;137.1145575;M
2013;2797;3689;48936;46593;Población;92.535295;M
2013;2797;3689;48934;46593;Población;11.70352;M
2013;2797;3689;48939;46593;Población;44.5792625;M
2013;2797;3689;48937;46593;Población;2.8919025;M
2013;2797;3689;48946;46593;Población;72.6843975;M
2013;2797;3690;48952;46593;Población;217.3182375;M
2013;2797;3690;48940;46593;Población;113.5463025;M
2013;2797;3690;48936;46593;Población;70.833105;M
2013;2797;3690;48934;46593;Población;14.88554;M
2013;2797;3690;48939;46593;Población;42.7131975;M
2013;2797;3690;48937;46593;Población;3.0556425;M
2013;2797;3690;48946;46593;Población;103.771935;M
2013;2797;3691;48952;46593;Población;427.1171925;M
2013;2797;3691;48940;46593;Población;250.66086;M
2013;2797;3691;48936;46593;Población;163.3684;M
2013;2797;3691;48934;46593;Población;26.58906;M
2013;2797;3691;48939;46593;Población;87.29246;M
2013;2797;3691;48937;46593;Población;5.947545;M
2013;2797;3691;48946;46593;Población;176.4563325;M
2013;2911;3689;48952;46593;Población;269.9545425;M
2013;2911;3689;48940;46593;Población;172.7227025;M
2013;2911;3689;48936;46593;Población;110.04066;M
2013;2911;3689;48934;46593;Población;10.96251;M
2013;2911;3689;48939;46593;Población;62.6820425;M
2013;2911;3689;48937;46593;Población;4.6375575;M
2013;2911;3689;48946;46593;Población;97.23184;M
2013;2911;3690;48952;46593;Población;276.2540025;M
2013;2911;3690;48940;46593;Población;134.0997375;M
2013;2911;3690;48936;46593;Población;76.046975;M
2013;2911;3690;48934;46593;Población;13.2910125;M
2013;2911;3690;48939;46593;Población;58.0527625;M
2013;2911;3690;48937;46593;Población;7.217245;M
2013;2911;3690;48946;46593;Población;142.154265;M
2013;2911;3691;48952;46593;Población;546.208545;M
2013;2911;3691;48940;46593;Población;306.82244;M
2013;2911;3691;48936;46593;Población;186.087635;M
2013;2911;3691;48934;46593;Población;24.2535225;M
2013;2911;3691;48939;46593;Población;120.734805;M
2013;2911;3691;48937;46593;Población;11.8548025;M
2013;2911;3691;48946;46593;Población;239.386105;M
2013;3023;3689;48952;46593;Población;648.9946325;M
2013;3023;3689;48940;46593;Población;418.455155;M
2013;3023;3689;48936;46593;Población;264.434355;M
2013;3023;3689;48934;46593;Población;32.748055;M
2013;3023;3689;48939;46593;Población;154.0208;M
2013;3023;3689;48937;46593;Población;7.322345;M
2013;3023;3689;48946;46593;Población;230.5394775;M
2013;3023;3690;48952;46593;Población;678.365265;M
2013;3023;3690;48940;46593;Población;360.18589;M
2013;3023;3690;48936;46593;Población;235.978595;M
2013;3023;3690;48934;46593;Población;50.9817;M
2013;3023;3690;48939;46593;Población;124.207295;M
2013;3023;3690;48937;46593;Población;11.865055;M
2013;3023;3690;48946;46593;Población;318.179375;M
2013;3023;3691;48952;46593;Población;1327.3598975;M
2013;3023;3691;48940;46593;Población;778.641045;M
2013;3023;3691;48936;46593;Población;500.41295;M
2013;3023;3691;48934;46593;Población;83.729755;M
2013;3023;3691;48939;46593;Población;278.228095;M
2013;3023;3691;48937;46593;Población;19.1874;M
2013;3023;3691;48946;46593;Población;548.7188525;M
2013;3142;3689;48952;46593;Población;760.9257475;M
2013;3142;3689;48940;46593;Población;502.76956;M
2013;3142;3689;48936;46593;Población;339.387705;M
2013;3142;3689;48934;46593;Población;51.1335675;M
2013;3142;3689;48939;46593;Población;163.381855;M
2013;3142;3689;48937;46593;Población;10.8495275;M
2013;3142;3689;48946;46593;Población;258.1561875;M
2013;3142;3690;48952;46593;Población;809.2209425;M
2013;3142;3690;48940;46593;Población;432.0916075;M
2013;3142;3690;48936;46593;Población;277.554185;M
2013;3142;3690;48934;46593;Población;59.059005;M
2013;3142;3690;48939;46593;Población;154.5374225;M
2013;3142;3690;48937;46593;Población;14.4135825;M
2013;3142;3690;48946;46593;Población;377.129335;M
2013;3142;3691;48952;46593;Población;1570.14669;M
2013;3142;3691;48940;46593;Población;934.8611675;M
2013;3142;3691;48936;46593;Población;616.94189;M
2013;3142;3691;48934;46593;Población;110.1925725;M
2013;3142;3691;48939;46593;Población;317.9192775;M
2013;3142;3691;48937;46593;Población;25.26311;M
2013;3142;3691;48946;46593;Población;635.2855225;M
2013;3143;3689;48952;46593;Población;3362.433285;M
2013;3143;3689;48940;46593;Población;2208.204865;M
2013;3143;3689;48936;46593;Población;1440.26191;M
2013;3143;3689;48934;46593;Población;185.6043425;M
2013;3143;3689;48939;46593;Población;767.942955;M
2013;3143;3689;48937;46593;Población;50.9045375;M
2013;3143;3689;48946;46593;Población;1154.22842;M
2013;3143;3690;48952;46593;Población;3494.02131;M
2013;3143;3690;48940;46593;Población;1823.83304;M
2013;3143;3690;48936;46593;Población;1131.2159475;M
2013;3143;3690;48934;46593;Población;233.683815;M
2013;3143;3690;48939;46593;Población;692.6170925;M
2013;3143;3690;48937;46593;Población;74.2922;M
2013;3143;3690;48946;46593;Población;1670.18827;M
2013;3143;3691;48952;46593;Población;6856.454595;M
2013;3143;3691;48940;46593;Población;4032.037905;M
2013;3143;3691;48936;46593;Población;2571.4778575;M
2013;3143;3691;48934;46593;Población;419.2881575;M
2013;3143;3691;48939;46593;Población;1460.5600475;M
2013;3143;3691;48937;46593;Población;125.1967375;M
2013;3143;3691;48946;46593;Población;2824.41669;M
2014;2352;3689;48952;46593;Población;280.07019;M
2014;2352;3689;48940;46593;Población;201.760185;M
2014;2352;3689;48936;46593;Población;134.891545;M
2014;2352;3689;48934;46593;Población;12.1415275;M
2014;2352;3689;48939;46593;Población;66.86864;M
2014;2352;3689;48937;46593;Población;5.7523775;M
2014;2352;3689;48946;46593;Población;78.310005;M
2014;2352;3690;48952;46593;Población;277.30718;M
2014;2352;3690;48940;46593;Población;152.6647625;M
2014;2352;3690;48936;46593;Población;93.44132;M
2014;2352;3690;48934;46593;Población;14.440945;M
2014;2352;3690;48939;46593;Población;59.2234425;M
2014;2352;3690;48937;46593;Población;6.883435;M
2014;2352;3690;48946;46593;Población;124.6424175;M
2014;2352;3691;48952;46593;Población;557.37737;M
2014;2352;3691;48940;46593;Población;354.4249475;M
2014;2352;3691;48936;46593;Población;228.332865;M
2014;2352;3691;48934;46593;Población;26.5824725;M
2014;2352;3691;48939;46593;Población;126.0920825;M
2014;2352;3691;48937;46593;Población;12.6358125;M
2014;2352;3691;48946;46593;Población;202.9524225;M
2014;2402;3689;48952;46593;Población;500.1099625;M
2014;2402;3689;48940;46593;Población;325.298965;M
2014;2402;3689;48936;46593;Población;194.2703875;M
2014;2402;3689;48934;46593;Población;19.188295;M
2014;2402;3689;48939;46593;Población;131.0285775;M
2014;2402;3689;48937;46593;Población;10.183885;M
2014;2402;3689;48946;46593;Población;174.8109975;M
2014;2402;3690;48952;46593;Población;513.959025;M
2014;2402;3690;48940;46593;Población;262.259475;M
2014;2402;3690;48936;46593;Población;144.7230175;M
