TIME_PERIOD,REF_AREA,D_REL_RESIDENANT_0,INDICATOR,OBS_VALUE,FREQ
2020,2368,61634,MARRIAGE,9.0,A
2020,2368,61636,MARRIAGE,115.0,A
2020,2369,61638,MARRIAGE,41.0,A
2020,2369,61631,MARRIAGE,1.0,A
2020,2369,61635,MARRIAGE,4.0,A
2020,2369,61633,MARRIAGE,1.0,A
2020,2369,61634,MARRIAGE,3.0,A
2020,2369,61636,MARRIAGE,36.0,A
2020,2367,61638,MARRIAGE,48.0,A
2020,2367,61635,MARRIAGE,8.0,A
2020,2367,61633,MARRIAGE,5.0,A
2020,2367,61634,MARRIAGE,3.0,A
2020,2367,61636,MARRIAGE,40.0,A
2020,2370,61638,MARRIAGE,8.0,A
2020,2370,61635,MARRIAGE,2.0,A
2020,2370,61633,MARRIAGE,2.0,A
2020,2370,61636,MARRIAGE,6.0,A
2020,2372,61638,MARRIAGE,4.0,A
2020,2372,61636,MARRIAGE,4.0,A
2020,2373,61638,MARRIAGE,393.0,A
2020,2373,61631,MARRIAGE,15.0,A
2020,2373,61635,MARRIAGE,36.0,A
2020,2373,61633,MARRIAGE,22.0,A
2020,2373,61634,MARRIAGE,14.0,A
2020,2373,61636,MARRIAGE,342.0,A
2020,2374,61638,MARRIAGE,10.0,A
2020,2374,61636,MARRIAGE,10.0,A
2020,2375,61638,MARRIAGE,116.0,A
2020,2375,61631,MARRIAGE,1.0,A
2020,2375,61635,MARRIAGE,4.0,A
2020,2375,61633,MARRIAGE,2.0,A
2020,2375,61634,MARRIAGE,2.0,A
2020,2375,61636,MARRIAGE,111.0,A
2020,2376,61638,MARRIAGE,27.0,A
2020,2376,61635,MARRIAGE,3.0,A
2020,2376,61633,MARRIAGE,1.0,A
2020,2376,61634,MARRIAGE,2.0,A
2020,2376,61636,MARRIAGE,24.0,A
2020,2377,61638,MARRIAGE,13.0,A
2020,2377,61635,MARRIAGE,1.0,A
2020,2377,61633,MARRIAGE,1.0,A
2020,2377,61636,MARRIAGE,12.0,A
2020,2378,61638,MARRIAGE,10.0,A
2020,2378,61636,MARRIAGE,10.0,A
2020,2379,61638,MARRIAGE,15.0,A
2020,2379,61635,MARRIAGE,2.0,A
2020,2379,61633,MARRIAGE,2.0,A
2020,2379,61636,MARRIAGE,13.0,A
2020,2380,61638,MARRIAGE,221.0,A
2020,2380,61631,MARRIAGE,13.0,A
2020,2380,61635,MARRIAGE,20.0,A
2020,2380,61633,MARRIAGE,9.0,A
2020,2380,61634,MARRIAGE,11.0,A
2020,2380,61636,MARRIAGE,188.0,A
2020,2381,61638,MARRIAGE,102.0,A
2020,2381,61631,MARRIAGE,4.0,A
2020,2381,61635,MARRIAGE,18.0,A
2020,2381,61633,MARRIAGE,12.0,A
2020,2381,61634,MARRIAGE,6.0,A
2020,2381,61636,MARRIAGE,80.0,A
2020,2382,61638,MARRIAGE,11.0,A
2020,2382,61635,MARRIAGE,1.0,A
2020,2382,61633,MARRIAGE,1.0,A
2020,2382,61636,MARRIAGE,10.0,A
2020,2383,61638,MARRIAGE,50.0,A
2020,2383,61631,MARRIAGE,4.0,A
2020,2383,61635,MARRIAGE,8.0,A
2020,2383,61633,MARRIAGE,4.0,A
2020,2383,61634,MARRIAGE,4.0,A
2020,2383,61636,MARRIAGE,38.0,A
2020,2384,61638,MARRIAGE,168.0,A
2020,2384,61631,MARRIAGE,7.0,A
2020,2384,61635,MARRIAGE,23.0,A
2020,2384,61633,MARRIAGE,13.0,A
2020,2384,61634,MARRIAGE,10.0,A
2020,2384,61636,MARRIAGE,138.0,A
2020,2398,61638,MARRIAGE,5.0,A
2020,2398,61631,MARRIAGE,1.0,A
2020,2398,61636,MARRIAGE,4.0,A
2020,280346,61638,MARRIAGE,8.0,A
2020,280346,61631,MARRIAGE,1.0,A
2020,280346,61635,MARRIAGE,2.0,A
2020,280346,61634,MARRIAGE,2.0,A
2020,280346,61636,MARRIAGE,5.0,A
2020,2386,61638,MARRIAGE,52.0,A
2020,2386,61631,MARRIAGE,3.0,A
2020,2386,61635,MARRIAGE,10.0,A
2020,2386,61633,MARRIAGE,7.0,A
2020,2386,61634,MARRIAGE,3.0,A
2020,2386,61636,MARRIAGE,39.0,A
2020,2385,61638,MARRIAGE,110.0,A
2020,2385,61631,MARRIAGE,3.0,A
2020,2385,61635,MARRIAGE,8.0,A
2020,2385,61633,MARRIAGE,5.0,A
