D_TEMPORAL_0;D_SEXO_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2020;3690;2435;Nacimientos;6.0;A
2020;3690;280348;Nacimientos;1.0;A
2020;3690;2436;Nacimientos;;A
2020;3690;2437;Nacimientos;24.0;A
2020;3690;2438;Nacimientos;22.0;A
2020;3690;2439;Nacimientos;8.0;A
2020;3690;2440;Nacimientos;152.0;A
2020;3690;2441;Nacimientos;11.0;A
2020;3690;2442;Nacimientos;15.0;A
2020;3690;2443;Nacimientos;19.0;A
2020;3690;2444;Nacimientos;81.0;A
2020;3690;2445;Nacimientos;40.0;A
2020;3690;2446;Nacimientos;11.0;A
2020;3690;2447;Nacimientos;12.0;A
2020;3690;2448;Nacimientos;25.0;A
2020;3690;2449;Nacimientos;6.0;A
2020;3690;2450;Nacimientos;2.0;A
2020;3690;2451;Nacimientos;75.0;A
2020;3690;2452;Nacimientos;8.0;A
2020;3690;2453;Nacimientos;2.0;A
2020;3690;2454;Nacimientos;30.0;A
2020;3690;2455;Nacimientos;24.0;A
2020;3690;2456;Nacimientos;67.0;A
2020;3690;2457;Nacimientos;73.0;A
2020;3690;2458;Nacimientos;142.0;A
2020;3690;2459;Nacimientos;23.0;A
2020;3690;2460;Nacimientos;26.0;A
2020;3690;2461;Nacimientos;5.0;A
2020;3690;2463;Nacimientos;;A
2020;3690;2462;Nacimientos;22.0;A
2020;3690;2464;Nacimientos;1.0;A
2020;3690;2465;Nacimientos;1.0;A
2020;3690;2466;Nacimientos;;A
2020;3690;2467;Nacimientos;8.0;A
2020;3690;2468;Nacimientos;26.0;A
2020;3690;2469;Nacimientos;20.0;A
2020;3690;2470;Nacimientos;2.0;A
2020;3690;2471;Nacimientos;31.0;A
2020;3690;2472;Nacimientos;3.0;A
2020;3690;2473;Nacimientos;;A
2020;3690;2474;Nacimientos;5.0;A
2020;3690;2475;Nacimientos;6.0;A
2020;3690;2476;Nacimientos;8.0;A
2020;3690;2477;Nacimientos;1.0;A
2020;3690;2713;Nacimientos;3555.0;A
2020;3690;2483;Nacimientos;;A
2020;3690;2484;Nacimientos;3.0;A
2020;3690;2485;Nacimientos;77.0;A
2020;3690;2486;Nacimientos;2.0;A
2020;3690;2487;Nacimientos;2.0;A
2020;3690;2488;Nacimientos;41.0;A
2020;3690;2489;Nacimientos;1.0;A
2020;3690;2493;Nacimientos;1.0;A
2020;3690;2494;Nacimientos;18.0;A
2020;3690;2495;Nacimientos;7.0;A
2020;3690;2496;Nacimientos;26.0;A
2020;3690;2497;Nacimientos;44.0;A
2020;3690;2498;Nacimientos;2.0;A
2020;3690;2499;Nacimientos;;A
2020;3690;2500;Nacimientos;76.0;A
2020;3690;2699;Nacimientos;3.0;A
2020;3690;2501;Nacimientos;;A
2020;3690;2503;Nacimientos;1.0;A
2020;3690;2504;Nacimientos;114.0;A
2020;3690;2505;Nacimientos;86.0;A
2020;3690;2506;Nacimientos;77.0;A
2020;3690;2507;Nacimientos;3.0;A
2020;3690;2508;Nacimientos;1.0;A
2020;3690;2511;Nacimientos;13.0;A
2020;3690;2512;Nacimientos;5.0;A
2020;3690;2513;Nacimientos;15.0;A
2020;3690;2514;Nacimientos;2.0;A
2020;3690;2516;Nacimientos;;A
2020;3690;2517;Nacimientos;;A
2020;3690;2518;Nacimientos;;A
2020;3690;2519;Nacimientos;5.0;A
2020;3690;2520;Nacimientos;18.0;A
2020;3690;2602;Nacimientos;2.0;A
2020;3690;2521;Nacimientos;2.0;A
2020;3690;2522;Nacimientos;4.0;A
2020;3690;2523;Nacimientos;17.0;A
2020;3690;2524;Nacimientos;2.0;A
2020;3690;2526;Nacimientos;;A
2020;3690;2528;Nacimientos;1.0;A
2020;3690;2529;Nacimientos;4.0;A
2020;3690;2530;Nacimientos;2.0;A
2020;3690;2531;Nacimientos;35.0;A
2020;3690;2544;Nacimientos;26.0;A
2020;3690;2546;Nacimientos;3.0;A
2020;3690;2548;Nacimientos;77.0;A
2020;3690;2532;Nacimientos;19.0;A
2020;3690;2533;Nacimientos;2.0;A
2020;3690;2534;Nacimientos;6.0;A
2020;3690;2535;Nacimientos;5.0;A
2020;3690;2537;Nacimientos;6.0;A
2020;3690;2538;Nacimientos;2.0;A
2020;3690;2707;Nacimientos;5.0;A
2020;3690;2541;Nacimientos;12.0;A
2020;3690;2542;Nacimientos;27.0;A
2020;3690;2549;Nacimientos;9.0;A
2020;3690;2550;Nacimientos;4.0;A
2020;3690;2551;Nacimientos;;A
2020;3690;2553;Nacimientos;16.0;A
2020;3690;2554;Nacimientos;3.0;A
2020;3690;2555;Nacimientos;3.0;A
2020;3690;2556;Nacimientos;1.0;A
2020;3690;9565;Nacimientos;2.0;A
2020;3690;2557;Nacimientos;1.0;A
2020;3690;2558;Nacimientos;27.0;A
2020;3690;2559;Nacimientos;1.0;A
2020;3690;2561;Nacimientos;;A
2020;3690;2563;Nacimientos;;A
2020;3690;2564;Nacimientos;1.0;A
2020;3690;2565;Nacimientos;2.0;A
2020;3690;2566;Nacimientos;24.0;A
2020;3690;2700;Nacimientos;96.0;A
2020;3690;2569;Nacimientos;2.0;A
2020;3690;2570;Nacimientos;3.0;A
2020;3690;2571;Nacimientos;21.0;A
2020;3690;2572;Nacimientos;2.0;A
2020;3690;2573;Nacimientos;;A
