D_TEMPORAL_0;D_TERRITORIO_0;D_EDAD_0;D_SEXO_0;INDICATOR;OBS_VALUE;FREQ
2014;2257;215041;3690;Nacimientos;1.0;A
2014;2257;4210;3691;Nacimientos;1.0;A
2014;2257;4210;3689;Nacimientos;1.0;A
2014;2258;4306;3691;Nacimientos;1.0;A
2014;2258;4306;3689;Nacimientos;1.0;A
2014;2258;215040;3691;Nacimientos;1.0;A
2014;2258;215040;3689;Nacimientos;1.0;A
2014;2259;4306;3691;Nacimientos;3.0;A
2014;2259;4306;3689;Nacimientos;2.0;A
2014;2259;4306;3690;Nacimientos;1.0;A
2014;2259;215039;3691;Nacimientos;1.0;A
2014;2259;215039;3689;Nacimientos;1.0;A
2014;2259;215040;3691;Nacimientos;1.0;A
2014;2259;215040;3689;Nacimientos;1.0;A
2014;2259;4210;3691;Nacimientos;1.0;A
2014;2259;4210;3690;Nacimientos;1.0;A
2014;2260;4306;3691;Nacimientos;1.0;A
2014;2260;4306;3689;Nacimientos;1.0;A
2014;2260;215040;3691;Nacimientos;1.0;A
2014;2260;215040;3689;Nacimientos;1.0;A
2014;2262;4306;3691;Nacimientos;6.0;A
2014;2262;4306;3689;Nacimientos;1.0;A
2014;2262;4306;3690;Nacimientos;5.0;A
2014;2262;215040;3691;Nacimientos;5.0;A
2014;2262;215040;3689;Nacimientos;1.0;A
2014;2262;215040;3690;Nacimientos;4.0;A
2014;2262;215041;3691;Nacimientos;1.0;A
2014;2262;215041;3690;Nacimientos;1.0;A
2014;2264;4306;3691;Nacimientos;48.0;A
2014;2264;4306;3689;Nacimientos;19.0;A
2014;2264;4306;3690;Nacimientos;29.0;A
2014;2264;215038;3691;Nacimientos;4.0;A
2014;2264;215038;3689;Nacimientos;1.0;A
2014;2264;215038;3690;Nacimientos;3.0;A
2014;2264;215039;3691;Nacimientos;7.0;A
2014;2264;215039;3689;Nacimientos;3.0;A
2014;2264;215039;3690;Nacimientos;4.0;A
2014;2264;215040;3691;Nacimientos;22.0;A
2014;2264;215040;3689;Nacimientos;8.0;A
2014;2264;215040;3690;Nacimientos;14.0;A
2014;2264;215041;3691;Nacimientos;14.0;A
2014;2264;215041;3689;Nacimientos;7.0;A
2014;2264;215041;3690;Nacimientos;7.0;A
2014;2264;4210;3691;Nacimientos;1.0;A
2014;2264;4210;3690;Nacimientos;1.0;A
2014;2267;4306;3691;Nacimientos;1.0;A
2014;2267;4306;3689;Nacimientos;1.0;A
2014;2267;215040;3691;Nacimientos;1.0;A
2014;2267;215040;3689;Nacimientos;1.0;A
2014;2268;4306;3691;Nacimientos;2.0;A
2014;2268;4306;3689;Nacimientos;1.0;A
2014;2268;4306;3690;Nacimientos;1.0;A
2014;2268;215040;3691;Nacimientos;1.0;A
2014;2268;215040;3689;Nacimientos;1.0;A
2014;2268;215041;3691;Nacimientos;1.0;A
2014;2268;215041;3690;Nacimientos;1.0;A
2014;2269;4306;3691;Nacimientos;149.0;A
2014;2269;4306;3689;Nacimientos;72.0;A
2014;2269;4306;3690;Nacimientos;77.0;A
2014;2269;4191;3691;Nacimientos;7.0;A
2014;2269;4191;3689;Nacimientos;4.0;A
2014;2269;4191;3690;Nacimientos;3.0;A
2014;2269;215038;3691;Nacimientos;22.0;A
2014;2269;215038;3689;Nacimientos;10.0;A
2014;2269;215038;3690;Nacimientos;12.0;A
2014;2269;215039;3691;Nacimientos;34.0;A
2014;2269;215039;3689;Nacimientos;17.0;A
2014;2269;215039;3690;Nacimientos;17.0;A
2014;2269;215040;3691;Nacimientos;49.0;A
2014;2269;215040;3689;Nacimientos;20.0;A
2014;2269;215040;3690;Nacimientos;29.0;A
2014;2269;215041;3691;Nacimientos;29.0;A
2014;2269;215041;3689;Nacimientos;16.0;A
2014;2269;215041;3690;Nacimientos;13.0;A
2014;2269;4210;3691;Nacimientos;8.0;A
2014;2269;4210;3689;Nacimientos;5.0;A
2014;2269;4210;3690;Nacimientos;3.0;A
2014;2270;4306;3691;Nacimientos;10.0;A
2014;2270;4306;3689;Nacimientos;9.0;A
2014;2270;4306;3690;Nacimientos;1.0;A
2014;2270;4191;3691;Nacimientos;1.0;A
2014;2270;4191;3689;Nacimientos;1.0;A
2014;2270;215038;3691;Nacimientos;2.0;A
2014;2270;215038;3689;Nacimientos;2.0;A
2014;2270;215039;3691;Nacimientos;3.0;A
2014;2270;215039;3689;Nacimientos;3.0;A
2014;2270;215040;3691;Nacimientos;2.0;A
2014;2270;215040;3689;Nacimientos;1.0;A
2014;2270;215040;3690;Nacimientos;1.0;A
2014;2270;215041;3691;Nacimientos;1.0;A
2014;2270;215041;3689;Nacimientos;1.0;A
2014;2270;4235;3691;Nacimientos;1.0;A
2014;2270;4235;3689;Nacimientos;1.0;A
2014;2271;4306;3691;Nacimientos;23.0;A
2014;2271;4306;3689;Nacimientos;9.0;A
2014;2271;4306;3690;Nacimientos;14.0;A
2014;2271;4191;3691;Nacimientos;1.0;A
2014;2271;4191;3690;Nacimientos;1.0;A
2014;2271;215038;3691;Nacimientos;1.0;A
2014;2271;215038;3689;Nacimientos;1.0;A
2014;2271;215039;3691;Nacimientos;6.0;A
2014;2271;215039;3689;Nacimientos;3.0;A
2014;2271;215039;3690;Nacimientos;3.0;A
2014;2271;215040;3691;Nacimientos;7.0;A
2014;2271;215040;3689;Nacimientos;2.0;A
2014;2271;215040;3690;Nacimientos;5.0;A
2014;2271;215041;3691;Nacimientos;7.0;A
2014;2271;215041;3689;Nacimientos;2.0;A
2014;2271;215041;3690;Nacimientos;5.0;A
2014;2271;4210;3691;Nacimientos;1.0;A
2014;2271;4210;3689;Nacimientos;1.0;A
2014;2272;4306;3691;Nacimientos;88.0;A
2014;2272;4306;3689;Nacimientos;39.0;A
2014;2272;4306;3690;Nacimientos;49.0;A
2014;2272;4191;3691;Nacimientos;2.0;A
2014;2272;4191;3689;Nacimientos;1.0;A
2014;2272;4191;3690;Nacimientos;1.0;A
2014;2272;215038;3691;Nacimientos;8.0;A
2014;2272;215038;3689;Nacimientos;5.0;A
2014;2272;215038;3690;Nacimientos;3.0;A
2014;2272;215039;3691;Nacimientos;32.0;A
2014;2272;215039;3689;Nacimientos;10.0;A
2014;2272;215039;3690;Nacimientos;22.0;A
2014;2272;215040;3691;Nacimientos;22.0;A
2014;2272;215040;3689;Nacimientos;9.0;A
2014;2272;215040;3690;Nacimientos;13.0;A
2014;2272;215041;3691;Nacimientos;22.0;A
2014;2272;215041;3689;Nacimientos;13.0;A
2014;2272;215041;3690;Nacimientos;9.0;A
2014;2272;4210;3691;Nacimientos;2.0;A
2014;2272;4210;3689;Nacimientos;1.0;A
2014;2272;4210;3690;Nacimientos;1.0;A
2014;2277;4306;3691;Nacimientos;4.0;A
2014;2277;4306;3689;Nacimientos;2.0;A
2014;2277;4306;3690;Nacimientos;2.0;A
2014;2277;215040;3691;Nacimientos;2.0;A
2014;2277;215040;3689;Nacimientos;1.0;A
2014;2277;215040;3690;Nacimientos;1.0;A
2014;2277;4210;3691;Nacimientos;2.0;A
2014;2277;4210;3689;Nacimientos;1.0;A
2014;2277;4210;3690;Nacimientos;1.0;A
2014;2278;4306;3691;Nacimientos;4.0;A
2014;2278;4306;3689;Nacimientos;3.0;A
2014;2278;4306;3690;Nacimientos;1.0;A
2014;2278;215039;3691;Nacimientos;2.0;A
2014;2278;215039;3689;Nacimientos;2.0;A
2014;2278;215040;3691;Nacimientos;1.0;A
2014;2278;215040;3690;Nacimientos;1.0;A
2014;2278;4210;3691;Nacimientos;1.0;A
2014;2278;4210;3689;Nacimientos;1.0;A
2014;2276;4306;3691;Nacimientos;174.0;A
2014;2276;4306;3689;Nacimientos;90.0;A
2014;2276;4306;3690;Nacimientos;84.0;A
2014;2276;4191;3691;Nacimientos;6.0;A
2014;2276;4191;3689;Nacimientos;3.0;A
2014;2276;4191;3690;Nacimientos;3.0;A
2014;2276;215038;3691;Nacimientos;21.0;A
2014;2276;215038;3689;Nacimientos;10.0;A
2014;2276;215038;3690;Nacimientos;11.0;A
2014;2276;215039;3691;Nacimientos;49.0;A
2014;2276;215039;3689;Nacimientos;23.0;A
2014;2276;215039;3690;Nacimientos;26.0;A
2014;2276;215040;3691;Nacimientos;48.0;A
2014;2276;215040;3689;Nacimientos;25.0;A
2014;2276;215040;3690;Nacimientos;23.0;A
2014;2276;215041;3691;Nacimientos;44.0;A
2014;2276;215041;3689;Nacimientos;26.0;A
2014;2276;215041;3690;Nacimientos;18.0;A
2014;2276;4210;3691;Nacimientos;5.0;A
2014;2276;4210;3689;Nacimientos;2.0;A
2014;2276;4210;3690;Nacimientos;3.0;A
2014;2276;4235;3691;Nacimientos;1.0;A
2014;2276;4235;3689;Nacimientos;1.0;A
2014;2279;4306;3691;Nacimientos;44.0;A
2014;2279;4306;3689;Nacimientos;20.0;A
2014;2279;4306;3690;Nacimientos;24.0;A
2014;2279;4191;3691;Nacimientos;1.0;A
2014;2279;4191;3690;Nacimientos;1.0;A
2014;2279;215038;3691;Nacimientos;5.0;A
2014;2279;215038;3689;Nacimientos;2.0;A
2014;2279;215038;3690;Nacimientos;3.0;A
2014;2279;215039;3691;Nacimientos;5.0;A
2014;2279;215039;3689;Nacimientos;4.0;A
2014;2279;215039;3690;Nacimientos;1.0;A
2014;2279;215040;3691;Nacimientos;22.0;A
2014;2279;215040;3689;Nacimientos;11.0;A
2014;2279;215040;3690;Nacimientos;11.0;A
2014;2279;215041;3691;Nacimientos;10.0;A
