D_TEMPORAL_0;D_TERRITORIO_0;D_DISTRIBUCION_MNP_0;INDICATOR;OBS_VALUE;FREQ
2011;2482;70394;Muertes fetales tardías;23.0;A
2011;2713;70395;Muertes fetales tardías;69.0;A
2011;2713;70391;Muertes fetales tardías;33.0;A
2011;2713;70394;Muertes fetales tardías;36.0;A
2011;2797;70395;Muertes fetales tardías;7.0;A
2011;2797;70391;Muertes fetales tardías;4.0;A
2011;2797;70394;Muertes fetales tardías;3.0;A
2011;2911;70395;Muertes fetales tardías;56.0;A
2011;2911;70391;Muertes fetales tardías;28.0;A
2011;2911;70394;Muertes fetales tardías;28.0;A
2011;3023;70395;Muertes fetales tardías;127.0;A
2011;3023;70391;Muertes fetales tardías;62.0;A
2011;3023;70394;Muertes fetales tardías;65.0;A
2011;3142;70395;Muertes fetales tardías;127.0;A
2011;3142;70391;Muertes fetales tardías;63.0;A
2011;3142;70394;Muertes fetales tardías;64.0;A
2011;3143;70395;Muertes fetales tardías;552.0;A
2011;3143;70391;Muertes fetales tardías;275.0;A
2011;3143;70394;Muertes fetales tardías;277.0;A
2010;2352;70395;Muertes fetales tardías;42.0;A
2010;2352;70391;Muertes fetales tardías;22.0;A
2010;2352;70394;Muertes fetales tardías;20.0;A
2010;2402;70395;Muertes fetales tardías;124.0;A
2010;2402;70391;Muertes fetales tardías;62.0;A
2010;2402;70394;Muertes fetales tardías;62.0;A
2010;2482;70395;Muertes fetales tardías;50.0;A
2010;2482;70391;Muertes fetales tardías;26.0;A
2010;2482;70394;Muertes fetales tardías;24.0;A
2010;2713;70395;Muertes fetales tardías;82.0;A
2010;2713;70391;Muertes fetales tardías;38.0;A
2010;2713;70394;Muertes fetales tardías;44.0;A
2010;2797;70395;Muertes fetales tardías;1.0;A
2010;2797;70391;Muertes fetales tardías;1.0;A
2010;2911;70395;Muertes fetales tardías;37.0;A
2010;2911;70391;Muertes fetales tardías;19.0;A
2010;2911;70394;Muertes fetales tardías;18.0;A
2010;3023;70395;Muertes fetales tardías;104.0;A
2010;3023;70391;Muertes fetales tardías;49.0;A
2010;3023;70394;Muertes fetales tardías;55.0;A
2010;3142;70395;Muertes fetales tardías;156.0;A
2010;3142;70391;Muertes fetales tardías;79.0;A
2010;3142;70394;Muertes fetales tardías;77.0;A
2010;3143;70395;Muertes fetales tardías;596.0;A
2010;3143;70391;Muertes fetales tardías;296.0;A
