D_TEMPORAL_0;D_TERRITORIO_0;D_SEXO_0;D_EDAD_0;INDICATOR;OBS_VALUE;FREQ
2020;2243;3689;58927;Defunciones;13.0;A
2020;2243;3689;4277;Defunciones;1.0;A
2020;2243;3690;4306;Defunciones;101.0;A
2020;2243;3690;4203;Defunciones;1.0;A
2020;2243;3690;4216;Defunciones;1.0;A
2020;2243;3690;4222;Defunciones;4.0;A
2020;2243;3690;4228;Defunciones;8.0;A
2020;2243;3690;4234;Defunciones;5.0;A
2020;2243;3690;4241;Defunciones;4.0;A
2020;2243;3690;4247;Defunciones;7.0;A
2020;2243;3690;4253;Defunciones;10.0;A
2020;2243;3690;4259;Defunciones;19.0;A
2020;2243;3690;58926;Defunciones;20.0;A
2020;2243;3690;58927;Defunciones;17.0;A
2020;2243;3690;4277;Defunciones;5.0;A
2020;2244;3691;4306;Defunciones;13.0;A
2020;2244;3691;4253;Defunciones;1.0;A
2020;2244;3691;4259;Defunciones;2.0;A
2020;2244;3691;58926;Defunciones;6.0;A
2020;2244;3691;58927;Defunciones;4.0;A
2020;2244;3689;4306;Defunciones;5.0;A
2020;2244;3689;4253;Defunciones;1.0;A
2020;2244;3689;4259;Defunciones;1.0;A
2020;2244;3689;58926;Defunciones;2.0;A
2020;2244;3689;58927;Defunciones;1.0;A
2020;2244;3690;4306;Defunciones;8.0;A
2020;2244;3690;4259;Defunciones;1.0;A
2020;2244;3690;58926;Defunciones;4.0;A
2020;2244;3690;58927;Defunciones;3.0;A
2020;2245;3691;4306;Defunciones;8.0;A
2020;2245;3691;4253;Defunciones;2.0;A
2020;2245;3691;4259;Defunciones;3.0;A
2020;2245;3691;58927;Defunciones;3.0;A
2020;2245;3689;4306;Defunciones;6.0;A
2020;2245;3689;4253;Defunciones;2.0;A
2020;2245;3689;4259;Defunciones;2.0;A
2020;2245;3689;58927;Defunciones;2.0;A
2020;2245;3690;4306;Defunciones;2.0;A
2020;2245;3690;4259;Defunciones;1.0;A
2020;2245;3690;58927;Defunciones;1.0;A
2020;2246;3691;4306;Defunciones;132.0;A
2020;2246;3691;4178;Defunciones;2.0;A
2020;2246;3691;4184;Defunciones;1.0;A
2020;2246;3691;4203;Defunciones;4.0;A
2020;2246;3691;4209;Defunciones;1.0;A
2020;2246;3691;4216;Defunciones;2.0;A
2020;2246;3691;4222;Defunciones;4.0;A
2020;2246;3691;4228;Defunciones;2.0;A
2020;2246;3691;4234;Defunciones;8.0;A
2020;2246;3691;4241;Defunciones;10.0;A
2020;2246;3691;4247;Defunciones;23.0;A
2020;2246;3691;4253;Defunciones;8.0;A
2020;2246;3691;4259;Defunciones;20.0;A
2020;2246;3691;58926;Defunciones;26.0;A
2020;2246;3691;58927;Defunciones;15.0;A
2020;2246;3691;4277;Defunciones;6.0;A
2020;2246;3689;4306;Defunciones;77.0;A
2020;2246;3689;4178;Defunciones;2.0;A
2020;2246;3689;4203;Defunciones;2.0;A
2020;2246;3689;4209;Defunciones;1.0;A
2020;2246;3689;4216;Defunciones;1.0;A
2020;2246;3689;4222;Defunciones;2.0;A
2020;2246;3689;4234;Defunciones;6.0;A
2020;2246;3689;4241;Defunciones;8.0;A
2020;2246;3689;4247;Defunciones;16.0;A
2020;2246;3689;4253;Defunciones;7.0;A
2020;2246;3689;4259;Defunciones;13.0;A
2020;2246;3689;58926;Defunciones;11.0;A
2020;2246;3689;58927;Defunciones;6.0;A
2020;2246;3689;4277;Defunciones;2.0;A
2020;2246;3690;4306;Defunciones;55.0;A
2020;2246;3690;4184;Defunciones;1.0;A
2020;2246;3690;4203;Defunciones;2.0;A
2020;2246;3690;4216;Defunciones;1.0;A
2020;2246;3690;4222;Defunciones;2.0;A
2020;2246;3690;4228;Defunciones;2.0;A
2020;2246;3690;4234;Defunciones;2.0;A
2020;2246;3690;4241;Defunciones;2.0;A
2020;2246;3690;4247;Defunciones;7.0;A
2020;2246;3690;4253;Defunciones;1.0;A
2020;2246;3690;4259;Defunciones;7.0;A
2020;2246;3690;58926;Defunciones;15.0;A
2020;2246;3690;58927;Defunciones;9.0;A
2020;2246;3690;4277;Defunciones;4.0;A
2020;2247;3691;4306;Defunciones;9.0;A
2020;2247;3691;4241;Defunciones;1.0;A
2020;2247;3691;4247;Defunciones;2.0;A
2020;2247;3691;4259;Defunciones;1.0;A
2020;2247;3691;58926;Defunciones;2.0;A
2020;2247;3691;58927;Defunciones;2.0;A
2020;2247;3691;4277;Defunciones;1.0;A
2020;2247;3689;4306;Defunciones;3.0;A
2020;2247;3689;4241;Defunciones;1.0;A
2020;2247;3689;4247;Defunciones;1.0;A
2020;2247;3689;4259;Defunciones;1.0;A
2020;2247;3690;4306;Defunciones;6.0;A
2020;2247;3690;4247;Defunciones;1.0;A
2020;2247;3690;58926;Defunciones;2.0;A
2020;2247;3690;58927;Defunciones;2.0;A
2020;2247;3690;4277;Defunciones;1.0;A
2020;2248;3691;4306;Defunciones;6.0;A
2020;2248;3691;4228;Defunciones;1.0;A
2020;2248;3691;4234;Defunciones;1.0;A
2020;2248;3691;4241;Defunciones;1.0;A
2020;2248;3691;58926;Defunciones;1.0;A
2020;2248;3691;58927;Defunciones;2.0;A
2020;2248;3689;4306;Defunciones;5.0;A
2020;2248;3689;4228;Defunciones;1.0;A
2020;2248;3689;4234;Defunciones;1.0;A
2020;2248;3689;58926;Defunciones;1.0;A
2020;2248;3689;58927;Defunciones;2.0;A
2020;2248;3690;4306;Defunciones;1.0;A
2020;2248;3690;4241;Defunciones;1.0;A
2020;2249;3691;4306;Defunciones;2.0;A
2020;2249;3691;4259;Defunciones;1.0;A
2020;2249;3691;4277;Defunciones;1.0;A
2020;2249;3689;4306;Defunciones;2.0;A
2020;2249;3689;4259;Defunciones;1.0;A
2020;2249;3689;4277;Defunciones;1.0;A
2020;2250;3691;4306;Defunciones;13.0;A
2020;2250;3691;4228;Defunciones;1.0;A
2020;2250;3691;4234;Defunciones;1.0;A
2020;2250;3691;4241;Defunciones;2.0;A
2020;2250;3691;4247;Defunciones;2.0;A
2020;2250;3691;4253;Defunciones;1.0;A
2020;2250;3691;58926;Defunciones;1.0;A
2020;2250;3691;58927;Defunciones;4.0;A
2020;2250;3691;4277;Defunciones;1.0;A
2020;2250;3689;4306;Defunciones;2.0;A
2020;2250;3689;4247;Defunciones;2.0;A
2020;2250;3690;4306;Defunciones;11.0;A
2020;2250;3690;4228;Defunciones;1.0;A
2020;2250;3690;4234;Defunciones;1.0;A
2020;2250;3690;4241;Defunciones;2.0;A
2020;2250;3690;4253;Defunciones;1.0;A
2020;2250;3690;58926;Defunciones;1.0;A
2020;2250;3690;58927;Defunciones;4.0;A
2020;2250;3690;4277;Defunciones;1.0;A
2020;2251;3691;4306;Defunciones;48.0;A
2020;2251;3691;4216;Defunciones;1.0;A
2020;2251;3691;4222;Defunciones;1.0;A
2020;2251;3691;4228;Defunciones;3.0;A
2020;2251;3691;4234;Defunciones;1.0;A
2020;2251;3691;4241;Defunciones;2.0;A
2020;2251;3691;4253;Defunciones;5.0;A
2020;2251;3691;4259;Defunciones;8.0;A
2020;2251;3691;58926;Defunciones;15.0;A
2020;2251;3691;58927;Defunciones;8.0;A
2020;2251;3691;4277;Defunciones;3.0;A
2020;2251;3691;4304;Defunciones;1.0;A
2020;2251;3689;4306;Defunciones;23.0;A
2020;2251;3689;4216;Defunciones;1.0;A
