D_TEMPORAL_0;D_TERRITORIO_0;D_NACIONACONYUGES_0;INDICATOR;OBS_VALUE;FREQ
2019;3142;5620;Divorcios;3802.42187;A
2019;3142;5629;Divorcios;257.13233;A
2019;3142;5625;Divorcios;185.90416;A
2019;3142;5623;Divorcios;104.01196;A
2019;3142;5624;Divorcios;81.8922;A
2019;3142;5628;Divorcios;71.22817;A
2019;3142;5626;Divorcios;55.06982;A
2019;3142;5627;Divorcios;16.15835;A
2018;3143;5630;Divorcios;16934.828;A
2018;3143;5622;Divorcios;15157.9698;A
2018;3143;5621;Divorcios;15157.9698;A
2018;3143;5620;Divorcios;15157.9698;A
2018;3143;5629;Divorcios;1776.8582;A
2018;3143;5625;Divorcios;1213.5974;A
2018;3143;5623;Divorcios;612.1401;A
2018;3143;5624;Divorcios;601.4573;A
2018;3143;5628;Divorcios;563.2608;A
2018;3143;5626;Divorcios;385.7729;A
2018;3143;5627;Divorcios;177.4879;A
2018;2352;5630;Divorcios;1456.1395;A
2018;2352;5622;Divorcios;1158.9961;A
2018;2352;5621;Divorcios;1158.9961;A
2018;2352;5620;Divorcios;1158.9961;A
2018;2352;5629;Divorcios;297.1434;A
2018;2352;5625;Divorcios;173.1565;A
2018;2352;5623;Divorcios;118.1505;A
2018;2352;5624;Divorcios;55.006;A
2018;2352;5628;Divorcios;123.9869;A
2018;2352;5626;Divorcios;82.8448;A
2018;2352;5627;Divorcios;41.1421;A
2018;2402;5630;Divorcios;2490.3415;A
2018;2402;5622;Divorcios;2355.8524;A
2018;2402;5621;Divorcios;2355.8524;A
2018;2402;5620;Divorcios;2355.8524;A
2018;2402;5629;Divorcios;134.4891;A
2018;2402;5625;Divorcios;93.4413;A
2018;2402;5623;Divorcios;38.7506;A
2018;2402;5624;Divorcios;54.6907;A
2018;2402;5628;Divorcios;41.0478;A
2018;2402;5626;Divorcios;30.6125;A
2018;2402;5627;Divorcios;10.4353;A
2018;2482;5630;Divorcios;1405.7198;A
2018;2482;5622;Divorcios;1358.376;A
2018;2482;5621;Divorcios;1358.376;A
2018;2482;5620;Divorcios;1358.376;A
2018;2482;5629;Divorcios;47.3438;A
2018;2482;5625;Divorcios;31.1252;A
2018;2482;5623;Divorcios;23.2532;A
2018;2482;5624;Divorcios;7.872;A
2018;2482;5628;Divorcios;16.2186;A
2018;2482;5626;Divorcios;14.9066;A
2018;2482;5627;Divorcios;1.312;A
2018;2713;5630;Divorcios;1684.5826;A
2018;2713;5622;Divorcios;1518.3562;A
2018;2713;5621;Divorcios;1518.3562;A
2018;2713;5620;Divorcios;1518.3562;A
2018;2713;5629;Divorcios;166.2264;A
2018;2713;5625;Divorcios;119.0099;A
2018;2713;5623;Divorcios;69.0555;A
2018;2713;5624;Divorcios;49.9544;A
2018;2713;5628;Divorcios;47.2165;A
2018;2713;5626;Divorcios;39.8034;A
2018;2713;5627;Divorcios;7.4131;A
2018;2797;5630;Divorcios;986.218;A
2018;2797;5622;Divorcios;902.256;A
2018;2797;5621;Divorcios;902.256;A
2018;2797;5620;Divorcios;902.256;A
2018;2797;5629;Divorcios;83.962;A
2018;2797;5625;Divorcios;65.614;A
2018;2797;5623;Divorcios;47.153;A
2018;2797;5624;Divorcios;18.461;A
2018;2797;5628;Divorcios;18.348;A
2018;2797;5626;Divorcios;12.232;A
2018;2797;5627;Divorcios;6.116;A
2018;2911;5630;Divorcios;1108.2069;A
2018;2911;5622;Divorcios;1060.2113;A
2018;2911;5621;Divorcios;1060.2113;A
2018;2911;5620;Divorcios;1060.2113;A
2018;2911;5629;Divorcios;47.9956;A
2018;2911;5625;Divorcios;41.0677;A
2018;2911;5623;Divorcios;19.153;A
2018;2911;5624;Divorcios;21.9147;A
2018;2911;5628;Divorcios;6.9279;A
2018;2911;5626;Divorcios;6.9279;A
2018;3023;5630;Divorcios;3718.358;A
2018;3023;5622;Divorcios;2958.0385;A
2018;3023;5621;Divorcios;2958.0385;A
2018;3023;5620;Divorcios;2958.0385;A
2018;3023;5629;Divorcios;760.3195;A
2018;3023;5625;Divorcios;507.8219;A
2018;3023;5623;Divorcios;211.8609;A
2018;3023;5624;Divorcios;295.961;A
2018;3023;5628;Divorcios;252.4976;A
2018;3023;5626;Divorcios;152.2384;A
2018;3023;5627;Divorcios;100.2592;A
2018;3142;5630;Divorcios;4085.2617;A
2018;3142;5622;Divorcios;3845.8833;A
2018;3142;5621;Divorcios;3845.8833;A
2018;3142;5620;Divorcios;3845.8833;A
2018;3142;5629;Divorcios;239.3784;A
2018;3142;5625;Divorcios;182.3609;A
2018;3142;5623;Divorcios;84.7634;A
2018;3142;5624;Divorcios;97.5975;A
2018;3142;5628;Divorcios;57.0175;A
2018;3142;5626;Divorcios;46.2073;A
2018;3142;5627;Divorcios;10.8102;A
2017;3143;5630;Divorcios;17436.6101;A
2017;3143;5622;Divorcios;15730.167;A
2017;3143;5621;Divorcios;15730.167;A
2017;3143;5620;Divorcios;15730.167;A
2017;3143;5629;Divorcios;1706.4431;A
2017;3143;5625;Divorcios;1258.9772;A
2017;3143;5623;Divorcios;652.5236;A
2017;3143;5624;Divorcios;606.4536;A
2017;3143;5628;Divorcios;447.4659;A
2017;3143;5626;Divorcios;302.8462;A
2017;3143;5627;Divorcios;144.6197;A
2017;2352;5630;Divorcios;1454.7143;A
2017;2352;5622;Divorcios;1118.7922;A
2017;2352;5621;Divorcios;1118.7922;A
2017;2352;5620;Divorcios;1118.7922;A
2017;2352;5629;Divorcios;335.9221;A
2017;2352;5625;Divorcios;214.3138;A
2017;2352;5623;Divorcios;126.1172;A
2017;2352;5624;Divorcios;88.1966;A
2017;2352;5628;Divorcios;121.6083;A
2017;2352;5626;Divorcios;75.6988;A
2017;2352;5627;Divorcios;45.9095;A
2017;2402;5630;Divorcios;2406.3281;A
2017;2402;5622;Divorcios;2261.2608;A
2017;2402;5621;Divorcios;2261.2608;A
2017;2402;5620;Divorcios;2261.2608;A
2017;2402;5629;Divorcios;145.0673;A
2017;2402;5625;Divorcios;114.7099;A
2017;2402;5623;Divorcios;61.8585;A
2017;2402;5624;Divorcios;52.8514;A
2017;2402;5628;Divorcios;30.3574;A
2017;2402;5626;Divorcios;25.282;A
2017;2402;5627;Divorcios;5.0754;A
2017;2482;5630;Divorcios;1426.032;A
2017;2482;5622;Divorcios;1357.9605;A
2017;2482;5621;Divorcios;1357.9605;A
2017;2482;5620;Divorcios;1357.9605;A
2017;2482;5629;Divorcios;68.0715;A
2017;2482;5625;Divorcios;54.3645;A
2017;2482;5623;Divorcios;28.447;A
2017;2482;5624;Divorcios;25.9175;A
2017;2482;5628;Divorcios;13.707;A
2017;2482;5626;Divorcios;12.184;A
2017;2482;5627;Divorcios;1.523;A
2017;2713;5630;Divorcios;1990.6668;A
2017;2713;5622;Divorcios;1846.5006;A
2017;2713;5621;Divorcios;1846.5006;A
2017;2713;5620;Divorcios;1846.5006;A
2017;2713;5629;Divorcios;144.1662;A
2017;2713;5625;Divorcios;112.812;A
2017;2713;5623;Divorcios;65.099;A
2017;2713;5624;Divorcios;47.713;A
2017;2713;5628;Divorcios;31.3542;A
2017;2713;5626;Divorcios;24.9332;A
2017;2713;5627;Divorcios;6.421;A
2017;2797;5630;Divorcios;1060.4795;A
2017;2797;5622;Divorcios;1005.5401;A
2017;2797;5621;Divorcios;1005.5401;A
2017;2797;5620;Divorcios;1005.5401;A
2017;2797;5629;Divorcios;54.9394;A
2017;2797;5625;Divorcios;42.4815;A
2017;2797;5623;Divorcios;32.0044;A
2017;2797;5624;Divorcios;10.4771;A
2017;2797;5628;Divorcios;12.4579;A
2017;2797;5626;Divorcios;5.9424;A
2017;2797;5627;Divorcios;6.5155;A
2017;2911;5630;Divorcios;1127.8821;A
2017;2911;5622;Divorcios;1085.5227;A
2017;2911;5621;Divorcios;1085.5227;A
2017;2911;5620;Divorcios;1085.5227;A
2017;2911;5629;Divorcios;42.3594;A
2017;2911;5625;Divorcios;40.3122;A
2017;2911;5623;Divorcios;14.8022;A
2017;2911;5624;Divorcios;25.51;A
2017;2911;5628;Divorcios;2.0472;A
2017;2911;5626;Divorcios;2.0472;A
2017;3023;5630;Divorcios;3652.1307;A
2017;3023;5622;Divorcios;3018.8079;A
2017;3023;5621;Divorcios;3018.8079;A
2017;3023;5620;Divorcios;3018.8079;A
2017;3023;5629;Divorcios;633.3228;A
2017;3023;5625;Divorcios;462.9495;A
2017;3023;5623;Divorcios;218.3118;A
2017;3023;5624;Divorcios;244.6377;A
2017;3023;5628;Divorcios;170.3733;A
2017;3023;5626;Divorcios;111.1689;A
2017;3023;5627;Divorcios;59.2044;A
2017;3142;5630;Divorcios;4318.3766;A
2017;3142;5622;Divorcios;4035.7822;A
2017;3142;5621;Divorcios;4035.7822;A
2017;3142;5620;Divorcios;4035.7822;A
2017;3142;5629;Divorcios;282.5944;A
2017;3142;5625;Divorcios;217.0338;A
2017;3142;5623;Divorcios;105.8835;A
2017;3142;5624;Divorcios;111.1503;A
2017;3142;5628;Divorcios;65.5606;A
2017;3142;5626;Divorcios;45.5897;A
2017;3142;5627;Divorcios;19.9709;A
2016;3143;5630;Divorcios;16968.2676;A
2016;3143;5622;Divorcios;15428.564;A
2016;3143;5621;Divorcios;15428.564;A
2016;3143;5620;Divorcios;15428.564;A
2016;3143;5629;Divorcios;1539.7036;A
2016;3143;5625;Divorcios;1101.5788;A
2016;3143;5623;Divorcios;564.954;A
2016;3143;5624;Divorcios;536.6248;A
2016;3143;5628;Divorcios;438.1248;A
2016;3143;5626;Divorcios;292.2994;A
2016;3143;5627;Divorcios;145.8254;A
2016;2352;5630;Divorcios;1425.5804;A
2016;2352;5622;Divorcios;1186.1984;A
2016;2352;5621;Divorcios;1186.1984;A
2016;2352;5620;Divorcios;1186.1984;A
2016;2352;5629;Divorcios;239.382;A
2016;2352;5625;Divorcios;154.2684;A
2016;2352;5623;Divorcios;87.7734;A
2016;2352;5624;Divorcios;66.495;A
2016;2352;5628;Divorcios;85.1136;A
2016;2352;5626;Divorcios;53.196;A
2016;2352;5627;Divorcios;31.9176;A
2016;2402;5630;Divorcios;2275.825;A
2016;2402;5622;Divorcios;2156.0034;A
2016;2402;5621;Divorcios;2156.0034;A
2016;2402;5620;Divorcios;2156.0034;A
2016;2402;5629;Divorcios;119.8216;A
2016;2402;5625;Divorcios;96.1726;A
2016;2402;5623;Divorcios;59.9108;A
2016;2402;5624;Divorcios;36.2618;A
2016;2402;5628;Divorcios;23.649;A
2016;2402;5626;Divorcios;17.3426;A
2016;2402;5627;Divorcios;6.3064;A
2016;2482;5630;Divorcios;1473.292;A
2016;2482;5622;Divorcios;1421.096;A
2016;2482;5621;Divorcios;1421.096;A
2016;2482;5620;Divorcios;1421.096;A
2016;2482;5629;Divorcios;52.196;A
2016;2482;5625;Divorcios;41.7568;A
2016;2482;5623;Divorcios;16.9637;A
2016;2482;5624;Divorcios;24.7931;A
2016;2482;5628;Divorcios;10.4392;A
2016;2482;5626;Divorcios;9.1343;A
2016;2482;5627;Divorcios;1.3049;A
2016;2713;5630;Divorcios;1937.4432;A
2016;2713;5622;Divorcios;1783.3088;A
2016;2713;5621;Divorcios;1783.3088;A
2016;2713;5620;Divorcios;1783.3088;A
2016;2713;5629;Divorcios;154.1344;A
2016;2713;5625;Divorcios;109.1856;A
2016;2713;5623;Divorcios;58.7792;A
2016;2713;5624;Divorcios;50.4064;A
2016;2713;5628;Divorcios;44.9488;A
2016;2713;5626;Divorcios;29.3896;A
2016;2713;5627;Divorcios;15.5592;A
2016;2797;5630;Divorcios;1053.5608;A
2016;2797;5622;Divorcios;978.9344;A
2016;2797;5621;Divorcios;978.9344;A
2016;2797;5620;Divorcios;978.9344;A
2016;2797;5629;Divorcios;74.6264;A
2016;2797;5625;Divorcios;52.1468;A
2016;2797;5623;Divorcios;29.3964;A
2016;2797;5624;Divorcios;22.7504;A
2016;2797;5628;Divorcios;22.4796;A
2016;2797;5626;Divorcios;15.5628;A
2016;2797;5627;Divorcios;6.9168;A
2016;2911;5630;Divorcios;1120.7404;A
2016;2911;5622;Divorcios;1099.8132;A
2016;2911;5621;Divorcios;1099.8132;A
2016;2911;5620;Divorcios;1099.8132;A
2016;2911;5629;Divorcios;20.9272;A
2016;2911;5625;Divorcios;13.4532;A
2016;2911;5623;Divorcios;10.4636;A
2016;2911;5624;Divorcios;2.9896;A
2016;2911;5628;Divorcios;7.474;A
2016;2911;5626;Divorcios;5.9792;A
2016;2911;5627;Divorcios;1.4948;A
2016;3023;5630;Divorcios;3657.8326;A
2016;3023;5622;Divorcios;3043.092;A
2016;3023;5621;Divorcios;3043.092;A
2016;3023;5620;Divorcios;3043.092;A
2016;3023;5629;Divorcios;614.7406;A
2016;3023;5625;Divorcios;446.6734;A
2016;3023;5623;Divorcios;213.0828;A
2016;3023;5624;Divorcios;233.5906;A
2016;3023;5628;Divorcios;168.0672;A
2016;3023;5626;Divorcios;103.5414;A
2016;3023;5627;Divorcios;64.5258;A
2016;3142;5630;Divorcios;4023.9932;A
2016;3142;5622;Divorcios;3760.1178;A
2016;3142;5621;Divorcios;3760.1178;A
2016;3142;5620;Divorcios;3760.1178;A
2016;3142;5629;Divorcios;263.8754;A
2016;3142;5625;Divorcios;187.922;A
2016;3142;5623;Divorcios;88.5841;A
2016;3142;5624;Divorcios;99.3379;A
2016;3142;5628;Divorcios;75.9534;A
2016;3142;5626;Divorcios;58.1535;A
2016;3142;5627;Divorcios;17.7999;A
2015;3143;5630;Divorcios;17029.5907;A
2015;3143;5622;Divorcios;15280.9178;A
2015;3143;5621;Divorcios;15280.9178;A
