D_TEMPORAL_0;D_TERRITORIO_0;D_NUMHIJOSMENORED_0;INDICATOR;OBS_VALUE;FREQ
2016;2402;5636;Divorcios;733.119;A
2016;2402;5638;Divorcios;550.2334;A
2016;2402;5640;Divorcios;77.2534;A
2016;2402;5642;Divorcios;6.3064;A
2016;2482;5661;Divorcios;1473.292;A
2016;2482;5634;Divorcios;606.8384;A
2016;2482;5636;Divorcios;444.9709;A
2016;2482;5638;Divorcios;388.8602;A
2016;2482;5640;Divorcios;27.4029;A
2016;2482;5642;Divorcios;3.9147;A
2016;2482;5660;Divorcios;1.3049;A
2016;2713;5661;Divorcios;1937.4432;A
2016;2713;5634;Divorcios;927.824;A
2016;2713;5636;Divorcios;463.3184;A
2016;2713;5638;Divorcios;463.3184;A
2016;2713;5640;Divorcios;76.0672;A
2016;2713;5642;Divorcios;6.9152;A
2016;2797;5661;Divorcios;1053.5608;A
2016;2797;5634;Divorcios;420.6736;A
2016;2797;5636;Divorcios;332.0064;A
2016;2797;5638;Divorcios;264.5676;A
2016;2797;5640;Divorcios;32.8548;A
2016;2797;5642;Divorcios;1.7292;A
2016;2797;5660;Divorcios;1.7292;A
2016;2911;5661;Divorcios;1120.7404;A
2016;2911;5634;Divorcios;528.7996;A
2016;2911;5636;Divorcios;287.0016;A
2016;2911;5638;Divorcios;261.59;A
2016;2911;5640;Divorcios;40.3596;A
2016;2911;5642;Divorcios;1.4948;A
2016;2911;5660;Divorcios;1.4948;A
2016;3023;5661;Divorcios;3657.8326;A
2016;3023;5634;Divorcios;1798.5892;A
2016;3023;5636;Divorcios;951.3804;A
2016;3023;5638;Divorcios;780.312;A
2016;3023;5640;Divorcios;117.0468;A
2016;3023;5642;Divorcios;9.0036;A
2016;3023;5660;Divorcios;1.5006;A
2016;3142;5661;Divorcios;4023.9932;A
2016;3142;5634;Divorcios;1709.4839;A
2016;3142;5636;Divorcios;1178.5776;A
2016;3142;5638;Divorcios;978.2711;A
2016;3142;5640;Divorcios;139.5684;A
2016;3142;5642;Divorcios;15.5076;A
2016;3142;5660;Divorcios;2.5846;A
2015;3143;5661;Divorcios;17029.5907;A
2015;3143;5634;Divorcios;7637.8795;A
2015;3143;5636;Divorcios;4781.808;A
2015;3143;5638;Divorcios;4063.8332;A
2015;3143;5640;Divorcios;495.7448;A
