D_TEMPORAL_0;D_TERRITORIO_0;D_CUSTODIA_0;INDICATOR;OBS_VALUE;FREQ
2012;2352;5107;Divorcios;794.03702;A
2012;2402;5105;Divorcios;2751.43454;A
2012;2402;5101;Divorcios;98.60454;A
2012;2402;5102;Divorcios;1388.50168;A
2012;2402;5103;Divorcios;71.711;A
2012;2402;5107;Divorcios;1192.61732;A
2012;2482;5105;Divorcios;1519.27045;A
2012;2482;5101;Divorcios;74.13726;A
2012;2482;5102;Divorcios;712.95915;A
2012;2482;5103;Divorcios;51.37428;A
2012;2482;5104;Divorcios;3.36138;A
2012;2482;5107;Divorcios;677.43838;A
2012;2713;5105;Divorcios;2194.10578;A
2012;2713;5101;Divorcios;53.80998;A
2012;2713;5102;Divorcios;1129.7353;A
2012;2713;5103;Divorcios;108.10692;A
2012;2713;5104;Divorcios;4.32532;A
2012;2713;5107;Divorcios;898.12826;A
2012;2797;5105;Divorcios;1090.26737;A
2012;2797;5101;Divorcios;82.51772;A
2012;2797;5102;Divorcios;536.25886;A
2012;2797;5103;Divorcios;34.88886;A
2012;2797;5104;Divorcios;1.38016;A
2012;2797;5107;Divorcios;435.22177;A
2012;2911;5105;Divorcios;1282.34085;A
2012;2911;5101;Divorcios;33.68789;A
2012;2911;5102;Divorcios;652.21769;A
2012;2911;5103;Divorcios;36.88057;A
2012;2911;5104;Divorcios;10.07522;A
2012;2911;5107;Divorcios;549.47948;A
2012;3023;5105;Divorcios;4090.46015;A
2012;3023;5101;Divorcios;199.22993;A
2012;3023;5102;Divorcios;1851.2963;A
2012;3023;5103;Divorcios;177.071;A
2012;3023;5104;Divorcios;10.23833;A
2012;3023;5107;Divorcios;1852.62459;A
2012;3142;5105;Divorcios;4498.89142;A
2012;3142;5101;Divorcios;306.92435;A
2012;3142;5102;Divorcios;2072.08057;A
2012;3142;5103;Divorcios;218.53416;A
2012;3142;5104;Divorcios;23.22508;A
2012;3142;5107;Divorcios;1878.12726;A
2011;3143;5105;Divorcios;18257.58564089;A
2011;3143;5101;Divorcios;466.42685669;A
2011;3143;5102;Divorcios;9132.30887594;A
2011;3143;5103;Divorcios;762.26395284;A
2011;3143;5104;Divorcios;50.53662143;A
2011;3143;5107;Divorcios;7846.04933399;A
2011;2352;5105;Divorcios;1426.82187464;A
2011;2352;5101;Divorcios;158.05278008;A
2011;2352;5102;Divorcios;632.51038614;A
2011;2352;5103;Divorcios;45.65696522;A
2011;2352;5104;Divorcios;7.07533328;A
2011;2352;5107;Divorcios;583.52640992;A
2011;2402;5105;Divorcios;2822.48660103;A
2011;2402;5101;Divorcios;24.41874951;A
2011;2402;5102;Divorcios;1448.8048699;A
2011;2402;5103;Divorcios;138.81229135;A
2011;2402;5104;Divorcios;8.13958317;A
2011;2402;5107;Divorcios;1202.3111071;A
