TEMPORAL;TERRITORIO;CNAE09;INDICATOR;OBS_VALUE;FREQ
2020;ES618;7689;ESTABLECIMIENTO;159.0;A
2020;ES618;7678;ESTABLECIMIENTO;75.0;A
2020;ES618;7682;ESTABLECIMIENTO;48.0;A
2020;ES618;7686;ESTABLECIMIENTO;36.0;A
2020;ES618;7713;ESTABLECIMIENTO;6771.0;A
2020;ES618;7694;ESTABLECIMIENTO;398.0;A
2020;ES618;7699;ESTABLECIMIENTO;2839.0;A
2020;ES618;7706;ESTABLECIMIENTO;1843.0;A
2020;ES618;7710;ESTABLECIMIENTO;1691.0;A
2020;ES618;7715;ESTABLECIMIENTO;116689.0;A
2020;ES618;7716;ESTABLECIMIENTO;53066.0;A
2020;ES618;7859;ESTABLECIMIENTO;40830.0;A
2020;ES618;7733;ESTABLECIMIENTO;4618.0;A
2020;ES618;7720;ESTABLECIMIENTO;1748.0;A
2020;ES618;7723;ESTABLECIMIENTO;2334.0;A
2020;ES618;7727;ESTABLECIMIENTO;524.0;A
2020;ES618;7730;ESTABLECIMIENTO;12.0;A
2020;ES618;7800;ESTABLECIMIENTO;10272.0;A
2020;ES618;7744;ESTABLECIMIENTO;3451.0;A
2020;ES618;7750;ESTABLECIMIENTO;612.0;A
2020;ES618;7761;ESTABLECIMIENTO;2289.0;A
2020;ES618;7772;ESTABLECIMIENTO;1723.0;A
2020;ES618;7776;ESTABLECIMIENTO;278.0;A
2020;ES618;7785;ESTABLECIMIENTO;540.0;A
2020;ES618;7794;ESTABLECIMIENTO;998.0;A
2020;ES618;7797;ESTABLECIMIENTO;381.0;A
2020;ES618;7858;ESTABLECIMIENTO;25940.0;A
2020;ES618;7804;ESTABLECIMIENTO;5286.0;A
2020;ES618;7813;ESTABLECIMIENTO;4094.0;A
2020;ES618;7816;ESTABLECIMIENTO;482.0;A
2020;ES618;7821;ESTABLECIMIENTO;545.0;A
2020;ES618;7828;ESTABLECIMIENTO;4911.0;A
2020;ES618;7835;ESTABLECIMIENTO;1481.0;A
2020;ES618;7846;ESTABLECIMIENTO;7085.0;A
2020;ES618;7851;ESTABLECIMIENTO;1629.0;A
2020;ES618;7855;ESTABLECIMIENTO;427.0;A
2020;ES618;7888;ESTABLECIMIENTO;12236.0;A
2020;ES618;7874;ESTABLECIMIENTO;1132.0;A
2020;ES618;7862;ESTABLECIMIENTO;465.0;A
2020;ES618;7865;ESTABLECIMIENTO;599.0;A
2020;ES618;7868;ESTABLECIMIENTO;13.0;A
2020;ES618;7871;ESTABLECIMIENTO;55.0;A
2020;ES618;7887;ESTABLECIMIENTO;11104.0;A
2020;ES618;7877;ESTABLECIMIENTO;1290.0;A
2020;ES618;7881;ESTABLECIMIENTO;816.0;A
2020;ES618;7884;ESTABLECIMIENTO;8998.0;A
2020;ES618;7889;ESTABLECIMIENTO;9645.0;A
2020;ES618;7958;ESTABLECIMIENTO;6847.0;A
2020;ES618;7910;ESTABLECIMIENTO;5413.0;A
2020;ES618;7892;ESTABLECIMIENTO;4.0;A
2020;ES618;7895;ESTABLECIMIENTO;4.0;A
2020;ES618;7900;ESTABLECIMIENTO;2197.0;A
2020;ES618;7904;ESTABLECIMIENTO;3204.0;A
2020;ES618;7907;ESTABLECIMIENTO;4.0;A
2020;ES618;7925;ESTABLECIMIENTO;20.0;A
2020;ES618;7913;ESTABLECIMIENTO;2.0;A
2020;ES618;7916;ESTABLECIMIENTO;6.0;A
2020;ES618;7919;ESTABLECIMIENTO;11.0;A
2020;ES618;7922;ESTABLECIMIENTO;1.0;A
2020;ES618;7935;ESTABLECIMIENTO;11.0;A
2020;ES618;7928;ESTABLECIMIENTO;8.0;A
2020;ES618;7932;ESTABLECIMIENTO;3.0;A
2020;ES618;7948;ESTABLECIMIENTO;630.0;A
2020;ES618;7938;ESTABLECIMIENTO;119.0;A
2020;ES618;7945;ESTABLECIMIENTO;511.0;A
2020;ES618;7957;ESTABLECIMIENTO;773.0;A
2020;ES618;7951;ESTABLECIMIENTO;6.0;A
2020;ES618;7954;ESTABLECIMIENTO;767.0;A
2020;ES618;8031;ESTABLECIMIENTO;2798.0;A
2020;ES618;7972;ESTABLECIMIENTO;390.0;A
2020;ES618;7965;ESTABLECIMIENTO;385.0;A
2020;ES618;7969;ESTABLECIMIENTO;5.0;A
2020;ES618;7986;ESTABLECIMIENTO;467.0;A
2020;ES618;7980;ESTABLECIMIENTO;404.0;A
2020;ES618;7983;ESTABLECIMIENTO;63.0;A
2020;ES618;7995;ESTABLECIMIENTO;88.0;A
2020;ES618;7989;ESTABLECIMIENTO;40.0;A
2020;ES618;7992;ESTABLECIMIENTO;48.0;A
2020;ES618;8010;ESTABLECIMIENTO;284.0;A
2020;ES618;7998;ESTABLECIMIENTO;42.0;A
2020;ES618;8001;ESTABLECIMIENTO;27.0;A
2020;ES618;8004;ESTABLECIMIENTO;4.0;A
2020;ES618;8007;ESTABLECIMIENTO;211.0;A
2020;ES618;8019;ESTABLECIMIENTO;1395.0;A
2020;ES618;8016;ESTABLECIMIENTO;1395.0;A
2020;ES618;8030;ESTABLECIMIENTO;174.0;A
2020;ES618;8023;ESTABLECIMIENTO;145.0;A
2020;ES618;8027;ESTABLECIMIENTO;29.0;A
2020;ES618;8032;ESTABLECIMIENTO;31596.0;A
2020;ES618;8080;ESTABLECIMIENTO;4237.0;A
2020;ES618;8050;ESTABLECIMIENTO;876.0;A
2020;ES618;8036;ESTABLECIMIENTO;778.0;A
2020;ES618;8039;ESTABLECIMIENTO;17.0;A
2020;ES618;8042;ESTABLECIMIENTO;12.0;A
2020;ES618;8047;ESTABLECIMIENTO;69.0;A
2020;ES618;8063;ESTABLECIMIENTO;172.0;A
2020;ES618;8054;ESTABLECIMIENTO;171.0;A
2020;ES618;8057;ESTABLECIMIENTO;1.0;A
2020;ES618;8079;ESTABLECIMIENTO;3189.0;A
2020;ES618;8068;ESTABLECIMIENTO;475.0;A
2020;ES618;8073;ESTABLECIMIENTO;2707.0;A
2020;ES618;8076;ESTABLECIMIENTO;7.0;A
2020;ES618;8094;ESTABLECIMIENTO;6337.0;A
2020;ES618;8093;ESTABLECIMIENTO;6337.0;A
2020;ES618;8083;ESTABLECIMIENTO;15.0;A
2020;ES618;8086;ESTABLECIMIENTO;4629.0;A
2020;ES618;8090;ESTABLECIMIENTO;1693.0;A
2020;ES618;8165;ESTABLECIMIENTO;15495.0;A
2020;ES618;8103;ESTABLECIMIENTO;5669.0;A
2020;ES618;8097;ESTABLECIMIENTO;3107.0;A
2020;ES618;8100;ESTABLECIMIENTO;2562.0;A
2020;ES618;8113;ESTABLECIMIENTO;704.0;A
2020;ES618;8106;ESTABLECIMIENTO;6.0;A
2020;ES618;8110;ESTABLECIMIENTO;698.0;A
2020;ES618;8123;ESTABLECIMIENTO;3969.0;A
2020;ES618;8117;ESTABLECIMIENTO;3931.0;A
2020;ES618;8120;ESTABLECIMIENTO;38.0;A
2020;ES618;8133;ESTABLECIMIENTO;981.0;A
2020;ES618;8127;ESTABLECIMIENTO;268.0;A
2020;ES618;8130;ESTABLECIMIENTO;713.0;A
2020;ES618;8143;ESTABLECIMIENTO;1268.0;A
2020;ES618;8137;ESTABLECIMIENTO;1185.0;A
2020;ES618;8140;ESTABLECIMIENTO;83.0;A
2020;ES618;8158;ESTABLECIMIENTO;2497.0;A
2020;ES618;8146;ESTABLECIMIENTO;102.0;A
2020;ES618;8149;ESTABLECIMIENTO;436.0;A
2020;ES618;8152;ESTABLECIMIENTO;293.0;A
2020;ES618;8155;ESTABLECIMIENTO;1666.0;A
2020;ES618;8164;ESTABLECIMIENTO;407.0;A
2020;ES618;8161;ESTABLECIMIENTO;407.0;A
2020;ES618;8255;ESTABLECIMIENTO;5527.0;A
2020;ES618;8188;ESTABLECIMIENTO;815.0;A
2020;ES618;8169;ESTABLECIMIENTO;135.0;A
2020;ES618;8174;ESTABLECIMIENTO;109.0;A
2020;ES618;8182;ESTABLECIMIENTO;521.0;A
2020;ES618;8185;ESTABLECIMIENTO;50.0;A
2020;ES618;8200;ESTABLECIMIENTO;260.0;A
2020;ES618;8191;ESTABLECIMIENTO;156.0;A
2020;ES618;8194;ESTABLECIMIENTO;67.0;A
2020;ES618;8197;ESTABLECIMIENTO;37.0;A
2020;ES618;8210;ESTABLECIMIENTO;783.0;A
2020;ES618;8204;ESTABLECIMIENTO;506.0;A
2020;ES618;8207;ESTABLECIMIENTO;277.0;A
2020;ES618;8222;ESTABLECIMIENTO;199.0;A
2020;ES618;8213;ESTABLECIMIENTO;115.0;A
2020;ES618;8216;ESTABLECIMIENTO;26.0;A
2020;ES618;8219;ESTABLECIMIENTO;58.0;A
2020;ES618;8236;ESTABLECIMIENTO;1307.0;A
2020;ES618;8225;ESTABLECIMIENTO;63.0;A
2020;ES618;8230;ESTABLECIMIENTO;1177.0;A
2020;ES618;8233;ESTABLECIMIENTO;67.0;A
2020;ES618;8254;ESTABLECIMIENTO;2163.0;A
2020;ES618;8240;ESTABLECIMIENTO;212.0;A
2020;ES618;8243;ESTABLECIMIENTO;16.0;A
2020;ES618;8246;ESTABLECIMIENTO;331.0;A
2020;ES618;8251;ESTABLECIMIENTO;1604.0;A
2020;ES618;8256;ESTABLECIMIENTO;12529.0;A
2020;ES618;8303;ESTABLECIMIENTO;6096.0;A
2020;ES618;8302;ESTABLECIMIENTO;6096.0;A
2020;ES618;8278;ESTABLECIMIENTO;865.0;A
2020;ES618;8281;ESTABLECIMIENTO;590.0;A
2020;ES618;8285;ESTABLECIMIENTO;983.0;A
2020;ES618;8290;ESTABLECIMIENTO;207.0;A
2020;ES618;8296;ESTABLECIMIENTO;3409.0;A
2020;ES618;8299;ESTABLECIMIENTO;42.0;A
2020;ES618;8345;ESTABLECIMIENTO;6433.0;A
2020;ES618;8317;ESTABLECIMIENTO;5759.0;A
2020;ES618;8306;ESTABLECIMIENTO;50.0;A
2020;ES618;8311;ESTABLECIMIENTO;3465.0;A
2020;ES618;8314;ESTABLECIMIENTO;2244.0;A
