TEMPORAL;TERRITORIO;IPC_GRUPOSESPECIALES;INDICATOR;OBS_VALUE;FREQ
2021-04;ES61;62105;INX;106.338;M
2021-04;ES61;62115;INX;107.205;M
2021-04;ES61;62116;INX;102.737;M
2021-04;ES61;62097;INX;104.597;M
2021-04;ES61;62099;INX;105.919;M
2021-04;ES61;62091;INX;106.803;M
2021-04;ES61;62092;INX;115.48;M
2021-04;ES61;62098;INX;101.857;M
2021-04;ES61;62117;INX;105.699;M
2021-05;ES;62089;INX;104.433;M
2021-05;ES;62090;INX;114.435;M
2021-05;ES;62093;INX;107.493;M
2021-05;ES;62100;INX;105.631;M
2021-05;ES;62096;INX;117.277;M
2021-05;ES;62094;INX;99.509;M
2021-05;ES;62095;INX;118.262;M
2021-05;ES;62101;INX;106.581;M
2021-05;ES;62102;INX;106.854;M
2021-05;ES;62106;INX;105.981;M
2021-05;ES;62103;INX;105.458;M
2021-05;ES;62104;INX;104.617;M
2021-05;ES;62107;INX;107.416;M
2021-05;ES;62108;INX;107.503;M
2021-05;ES;62109;INX;106.63;M
2021-05;ES;62110;INX;105.403;M
2021-05;ES;62111;INX;104.618;M
2021-05;ES;62112;INX;107.357;M
2021-05;ES;62113;INX;107.493;M
2021-05;ES;62114;INX;110.896;M
2021-05;ES;62105;INX;106.87;M
2021-05;ES;62115;INX;108.008;M
2021-05;ES;62116;INX;103.439;M
2021-05;ES;62097;INX;106.174;M
2021-05;ES;62099;INX;105.598;M
2021-05;ES;62091;INX;107.653;M
2021-05;ES;62092;INX;116.343;M
2021-05;ES;62098;INX;102.887;M
2021-05;ES;62117;INX;105.961;M
2021-05;ES61;62089;INX;103.505;M
2021-05;ES61;62090;INX;115.477;M
2021-05;ES61;62093;INX;107.109;M
2021-05;ES61;62100;INX;106.048;M
2021-05;ES61;62096;INX;117.593;M
2021-05;ES61;62094;INX;99.312;M
2021-05;ES61;62095;INX;118.444;M
2021-05;ES61;62101;INX;106.635;M
2021-05;ES61;62102;INX;106.787;M
2021-05;ES61;62106;INX;105.953;M
2021-05;ES61;62103;INX;105.394;M
2021-05;ES61;62104;INX;104.438;M
2021-05;ES61;62107;INX;107.01;M
2021-05;ES61;62108;INX;107.076;M
2021-05;ES61;62109;INX;106.689;M
2021-05;ES61;62110;INX;105.496;M
2021-05;ES61;62111;INX;104.641;M
2021-05;ES61;62112;INX;107.002;M
2021-05;ES61;62113;INX;107.109;M
2021-05;ES61;62114;INX;110.527;M
2021-05;ES61;62105;INX;106.836;M
2021-05;ES61;62115;INX;107.515;M
2021-05;ES61;62116;INX;102.803;M
2021-05;ES61;62097;INX;105.704;M
2021-05;ES61;62099;INX;105.965;M
2021-05;ES61;62091;INX;107.086;M
2021-05;ES61;62092;INX;116.872;M
2021-05;ES61;62098;INX;102.625;M
2021-05;ES61;62117;INX;106.065;M
2021-06;ES;62089;INX;104.583;M
2021-06;ES;62090;INX;114.025;M
2021-06;ES;62093;INX;108.607;M
2021-06;ES;62100;INX;105.976;M
2021-06;ES;62096;INX;119.666;M
2021-06;ES;62094;INX;99.581;M
2021-06;ES;62095;INX;122.455;M
2021-06;ES;62101;INX;107.285;M
2021-06;ES;62102;INX;107.376;M
2021-06;ES;62106;INX;106.345;M
2021-06;ES;62103;INX;105.522;M
2021-06;ES;62104;INX;104.732;M
2021-06;ES;62107;INX;108.014;M
2021-06;ES;62108;INX;108.126;M
2021-06;ES;62109;INX;107.36;M
2021-06;ES;62110;INX;105.925;M
2021-06;ES;62111;INX;104.723;M
2021-06;ES;62112;INX;108.392;M
2021-06;ES;62113;INX;108.607;M
2021-06;ES;62114;INX;112.447;M
2021-06;ES;62105;INX;107.388;M
2021-06;ES;62115;INX;107.972;M
2021-06;ES;62116;INX;103.735;M
2021-06;ES;62097;INX;106.529;M
2021-06;ES;62099;INX;105.922;M
2021-06;ES;62091;INX;107.622;M
2021-06;ES;62092;INX;118.49;M
2021-06;ES;62098;INX;102.648;M
2021-06;ES;62117;INX;106.331;M
2021-06;ES61;62089;INX;103.626;M
2021-06;ES61;62090;INX;114.322;M
2021-06;ES61;62093;INX;108.179;M
2021-06;ES61;62100;INX;106.408;M
2021-06;ES61;62096;INX;120.148;M
2021-06;ES61;62094;INX;99.399;M
2021-06;ES61;62095;INX;122.919;M
2021-06;ES61;62101;INX;107.347;M
2021-06;ES61;62102;INX;107.229;M
2021-06;ES61;62106;INX;106.239;M
2021-06;ES61;62103;INX;105.355;M
2021-06;ES61;62104;INX;104.518;M
2021-06;ES61;62107;INX;107.482;M
2021-06;ES61;62108;INX;107.56;M
2021-06;ES61;62109;INX;107.42;M
2021-06;ES61;62110;INX;106.021;M
2021-06;ES61;62111;INX;104.707;M
2021-06;ES61;62112;INX;108.018;M
2021-06;ES61;62113;INX;108.179;M
2021-06;ES61;62114;INX;112.016;M
2021-06;ES61;62105;INX;107.281;M
2021-06;ES61;62115;INX;107.225;M
2021-06;ES61;62116;INX;102.938;M
