D_TEMPORAL_0;D_CNAE09_0;D_PUB_PRIV_0;D_TERRITORIO_0;D_TIPO_EMPRESA_0;D_TIPO_ESTAB_0;INDICATOR;OBS_VALUE;FREQ
2012;217308;215136;3143;215124;213227;Unidades;11.599831648;A
2012;217309;215134;3143;215124;213227;Unidades;13.684212857;A
2012;217309;215135;3143;215124;213227;Unidades;;A
2012;217309;215136;3143;215124;213227;Unidades;13.684212857;A
2012;217310;215134;3143;215124;213227;Unidades;17.461300011;A
2012;217310;215135;3143;215124;213227;Unidades;;A
2012;217310;215136;3143;215124;213227;Unidades;17.461300011;A
2012;217311;215134;3143;215124;213227;Unidades;16.754370961;A
2012;217311;215135;3143;215124;213227;Unidades;;A
2012;217311;215136;3143;215124;213227;Unidades;16.754370961;A
2012;217312;215134;3143;215124;213227;Unidades;31.535313401;A
2012;217312;215135;3143;215124;213227;Unidades;;A
2012;217312;215136;3143;215124;213227;Unidades;31.535313401;A
2012;217313;215134;3143;215124;213227;Unidades;11.952876414;A
2012;217313;215135;3143;215124;213227;Unidades;;A
2012;217313;215136;3143;215124;213227;Unidades;11.952876414;A
2012;217314;215134;3143;215124;213227;Unidades;15.913203462;A
2012;217314;215135;3143;215124;213227;Unidades;;A
2012;217314;215136;3143;215124;213227;Unidades;15.913203462;A
2012;217315;215134;3143;215124;213227;Unidades;5.341599842;A
2012;217315;215135;3143;215124;213227;Unidades;;A
2012;217315;215136;3143;215124;213227;Unidades;5.341599842;A
2012;217316;215134;3143;215124;213227;Unidades;2.068493151;A
2012;217316;215135;3143;215124;213227;Unidades;;A
2012;217316;215136;3143;215124;213227;Unidades;2.068493151;A
2012;7605;215134;3143;215124;213227;Unidades;3.130434783;A
2012;7605;215135;3143;215124;213227;Unidades;;A
2012;7605;215136;3143;215124;213227;Unidades;3.130434783;A
2012;7627;215134;3143;215124;213227;Unidades;8.424242424;A
2012;7627;215135;3143;215124;213227;Unidades;5.090909091;A
2012;7627;215136;3143;215124;213227;Unidades;3.333333333;A
2012;7661;215134;3143;215124;213227;Unidades;9.0;A
2012;7661;215135;3143;215124;213227;Unidades;1.0;A
2012;7661;215136;3143;215124;213227;Unidades;8.0;A
2013;7109;215134;3143;215124;213227;Unidades;3.081081081;A
2013;7109;215135;3143;215124;213227;Unidades;;A
2013;7109;215136;3143;215124;213227;Unidades;3.081081081;A
2013;217302;215134;3143;215124;213227;Unidades;62.032015197;A
2013;217302;215135;3143;215124;213227;Unidades;;A
2013;217302;215136;3143;215124;213227;Unidades;62.032015197;A
2013;217304;215134;3143;215124;213227;Unidades;2.0;A
2013;217304;215135;3143;215124;213227;Unidades;;A
2013;217304;215136;3143;215124;213227;Unidades;2.0;A
2013;217305;215134;3143;215124;213227;Unidades;3.403597309;A
2013;217305;215135;3143;215124;213227;Unidades;;A
2013;217305;215136;3143;215124;213227;Unidades;3.403597309;A
2013;217306;215134;3143;215124;213227;Unidades;54.438153848;A
2013;217306;215135;3143;215124;213227;Unidades;;A
2013;217306;215136;3143;215124;213227;Unidades;54.438153848;A
2013;217307;215134;3143;215124;213227;Unidades;13.090394466;A
2013;217307;215135;3143;215124;213227;Unidades;;A
2013;217307;215136;3143;215124;213227;Unidades;13.090394466;A
2013;217308;215134;3143;215124;213227;Unidades;10.295792879;A
2013;217308;215135;3143;215124;213227;Unidades;;A
2013;217308;215136;3143;215124;213227;Unidades;10.295792879;A
2013;217309;215134;3143;215124;213227;Unidades;20.16964486;A
2013;217309;215135;3143;215124;213227;Unidades;;A
2013;217309;215136;3143;215124;213227;Unidades;20.16964486;A
2013;217310;215134;3143;215124;213227;Unidades;15.779411765;A
2013;217310;215135;3143;215124;213227;Unidades;;A
2013;217310;215136;3143;215124;213227;Unidades;15.779411765;A
2013;217311;215134;3143;215124;213227;Unidades;10.498983575;A
2013;217311;215135;3143;215124;213227;Unidades;;A
2013;217311;215136;3143;215124;213227;Unidades;10.498983575;A
2013;217312;215134;3143;215124;213227;Unidades;32.34297653;A
2013;217312;215135;3143;215124;213227;Unidades;;A
2013;217312;215136;3143;215124;213227;Unidades;32.34297653;A
2013;217313;215134;3143;215124;213227;Unidades;8.271390375;A
2013;217313;215135;3143;215124;213227;Unidades;;A
2013;217313;215136;3143;215124;213227;Unidades;8.271390375;A
2013;217314;215134;3143;215124;213227;Unidades;18.032567052;A
2013;217314;215135;3143;215124;213227;Unidades;;A
2013;217314;215136;3143;215124;213227;Unidades;18.032567052;A
2013;217315;215134;3143;215124;213227;Unidades;6.52027027;A
2013;217315;215135;3143;215124;213227;Unidades;;A
2013;217315;215136;3143;215124;213227;Unidades;6.52027027;A
2013;217316;215134;3143;215124;213227;Unidades;1.037974684;A
2013;217316;215135;3143;215124;213227;Unidades;;A
2013;217316;215136;3143;215124;213227;Unidades;1.037974684;A
2013;7605;215134;3143;215124;213227;Unidades;6.4;A
2013;7605;215135;3143;215124;213227;Unidades;;A
2013;7605;215136;3143;215124;213227;Unidades;6.4;A
2013;7627;215134;3143;215124;213227;Unidades;11.466346152;A
2013;7627;215135;3143;215124;213227;Unidades;5.153846152;A
2013;7627;215136;3143;215124;213227;Unidades;6.3125;A
2013;7661;215134;3143;215124;213227;Unidades;9.0;A
2013;7661;215135;3143;215124;213227;Unidades;1.0;A
2013;7661;215136;3143;215124;213227;Unidades;8.0;A
2014;7109;215134;3143;215124;213227;Unidades;3.090909091;A
2014;7109;215135;3143;215124;213227;Unidades;;A
2014;7109;215136;3143;215124;213227;Unidades;3.090909091;A
