D_TEMPORAL_0;D_TIPO_EMPRESA_0;D_NAT_GASTO_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2014;215125;215177;3143;Importe;1317453.0170463251;A
2014;215125;215183;3143;Importe;148286.729123938;A
2014;215117;215185;3143;Importe;302498.411;A
2014;215117;215177;3143;Importe;279101.9393504492;A
2014;215117;215183;3143;Importe;23396.471649550775;A
2014;215120;215185;3143;Importe;631153.867;A
2014;215120;215177;3143;Importe;545378.8736091357;A
2014;215120;215183;3143;Importe;85774.99339086427;A
2014;215122;215185;3143;Importe;2109.039;A
2014;215122;215177;3143;Importe;2093.142;A
2014;215122;215183;3143;Importe;15.897;A
2014;215124;215185;3143;Importe;529978.4291702632;A
2014;215124;215177;3143;Importe;490879.0620867402;A
2014;215124;215183;3143;Importe;39099.36708352298;A
2015;215125;215185;3143;Importe;1476451.2739640963;A
2015;215125;215177;3143;Importe;1308664.2968933387;A
2015;215125;215183;3143;Importe;167786.9770707575;A
2015;215117;215185;3143;Importe;318515.75;A
2015;215117;215177;3143;Importe;289835.5413869606;A
2015;215117;215183;3143;Importe;28680.20861303944;A
2015;215120;215185;3143;Importe;650765.818;A
2015;215120;215177;3143;Importe;548112.2510354399;A
2015;215120;215183;3143;Importe;102653.56696456019;A
2015;215122;215185;3143;Importe;1498.742;A
2015;215122;215177;3143;Importe;1497.762;A
2015;215122;215183;3143;Importe;0.98;A
2015;215124;215185;3143;Importe;505670.96396409627;A
2015;215124;215177;3143;Importe;469218.74247093836;A
2015;215124;215183;3143;Importe;36452.2214931579;A
2016;215125;215185;3143;Importe;1359795.2861462834;A
2016;215125;215177;3143;Importe;1271118.3763207747;A
2016;215125;215183;3143;Importe;88676.90982550899;A
2016;215117;215185;3143;Importe;276330.68;A
2016;215117;215177;3143;Importe;265278.04065512674;A
2016;215117;215183;3143;Importe;11052.639344873223;A
2016;215120;215185;3143;Importe;579023.012;A
2016;215120;215177;3143;Importe;550111.0235745246;A
2016;215120;215183;3143;Importe;28911.98842547552;A
2016;215122;215185;3143;Importe;2684.588;A
2016;215122;215177;3143;Importe;2680.165;A
2016;215122;215183;3143;Importe;4.423;A
2016;215124;215185;3143;Importe;501757.00614628353;A
2016;215124;215177;3143;Importe;453049.1470911232;A
2016;215124;215183;3143;Importe;48707.859055160254;A
2017;215125;215185;3143;Importe;1422969.2197231506;A
2017;215125;215177;3143;Importe;1316779.7358116948;A
2017;215125;215183;3143;Importe;106189.48391145577;A
2017;215117;215185;3143;Importe;274306.8120000002;A
2017;215117;215177;3143;Importe;258383.63774206914;A
2017;215117;215183;3143;Importe;15923.17425793108;A
2017;215120;215185;3143;Importe;616955.8740000004;A
2017;215120;215177;3143;Importe;559558.7622477401;A
2017;215120;215183;3143;Importe;57397.1117522604;A
2017;215122;215185;3143;Importe;2180.879;A
2017;215122;215177;3143;Importe;2160.879;A
2017;215122;215183;3143;Importe;20.0;A
2017;215124;215185;3143;Importe;529525.6547231498;A
2017;215124;215177;3143;Importe;496676.45682188554;A
2017;215124;215183;3143;Importe;32849.19790126429;A
2018;215125;215185;3143;Importe;1479416.7041501442;A
2018;215125;215177;3143;Importe;1369610.2519707864;A
2018;215125;215183;3143;Importe;109806.45217935788;A
2018;215117;215185;3143;Importe;282778.72500000003;A
2018;215117;215177;3143;Importe;271205.2643436827;A
2018;215117;215183;3143;Importe;11573.460656317355;A
2018;215120;215185;3143;Importe;644584.952;A
2018;215120;215177;3143;Importe;590018.2965331939;A
2018;215120;215183;3143;Importe;54566.65546680603;A
2018;215122;215185;3143;Importe;2754.869;A
2018;215122;215177;3143;Importe;2749.028126401043;A
2018;215122;215183;3143;Importe;5.840873598957;A
2018;215124;215185;3143;Importe;549298.1581501442;A
2018;215124;215177;3143;Importe;505637.6629675085;A
2018;215124;215183;3143;Importe;43660.49518263554;A
2019;215125;215185;3143;Importe;1538407.9745705796;A
2019;215125;215177;3143;Importe;1441660.516787245;A
2019;215125;215183;3143;Importe;96747.45778333461;A
2019;215117;215185;3143;Importe;297855.091;A
2019;215117;215177;3143;Importe;285862.52402843744;A
2019;215117;215183;3143;Importe;11992.566971562568;A
2019;215120;215185;3143;Importe;678502.4880000001;A
2019;215120;215177;3143;Importe;644221.300603441;A
2019;215120;215183;3143;Importe;34281.1873965591;A
2019;215122;215185;3143;Importe;3122.889;A
2019;215122;215177;3143;Importe;3115.7482977382742;A
2019;215122;215183;3143;Importe;7.140702261726;A
2019;215124;215185;3143;Importe;558927.5065705793;A
2019;215124;215177;3143;Importe;508460.9438576281;A
2019;215124;215183;3143;Importe;50466.56271295123;A
2020;215125;215185;3143;Importe;1627247.4870011802;A
2020;215125;215177;3143;Importe;1499137.9799076703;A
2020;215125;215183;3143;Importe;128109.5070935098;A
2020;215117;215185;3143;Importe;305839.5130000002;A
2020;215117;215177;3143;Importe;287870.8199333681;A
2020;215117;215183;3143;Importe;17968.693066632055;A
2020;215120;215185;3143;Importe;727876.3120000004;A
2020;215120;215177;3143;Importe;670268.8306453432;A
2020;215120;215183;3143;Importe;57607.48135465709;A
2020;215122;215185;3143;Importe;3272.145;A
2020;215122;215177;3143;Importe;3233.453441982545;A
2020;215122;215183;3143;Importe;38.691558017455;A
2020;215124;215185;3143;Importe;590259.5170011796;A
2020;215124;215177;3143;Importe;537764.8758869764;A
2020;215124;215183;3143;Importe;52494.641114203216;A
