D_TEMPORAL_0;D_TIPO_PERSONAL_0;D_TIPO_EMPRESA_0;D_DISCIPLINA_0;D_SEXO_0;D_TERRITORIO_0;D_TIPO_ESTAB_0;D_ESTUDIOS_0;INDICATOR;OBS_VALUE;FREQ
2008;215155;215124;215128;3691;3143;213227;215166;Personas;;A
2008;215155;215124;215128;3689;3143;213227;215166;Personas;;A
2008;215155;215124;215128;3690;3143;213227;215166;Personas;;A
2008;215155;215124;215129;3691;3143;213227;215166;Personas;;A
2008;215155;215124;215129;3689;3143;213227;215166;Personas;;A
2008;215155;215124;215129;3690;3143;213227;215166;Personas;;A
2008;215155;215124;215130;3691;3143;213227;215166;Personas;;A
2008;215155;215124;215130;3689;3143;213227;215166;Personas;;A
2008;215155;215124;215130;3690;3143;213227;215166;Personas;;A
2008;215155;215124;215131;3691;3143;213227;215166;Personas;;A
2008;215155;215124;215131;3689;3143;213227;215166;Personas;;A
2008;215155;215124;215131;3690;3143;213227;215166;Personas;;A
2008;215156;215117;215132;3691;3143;213227;215166;Personas;553.999999999;A
2008;215156;215117;215132;3689;3143;213227;215166;Personas;269.999999999;A
2008;215156;215117;215132;3690;3143;213227;215166;Personas;284.0;A
2008;215156;215117;215126;3691;3143;213227;215166;Personas;18.058729228;A
2008;215156;215117;215126;3689;3143;213227;215166;Personas;10.557228739;A
2008;215156;215117;215126;3690;3143;213227;215166;Personas;7.501500489;A
2008;215156;215117;215127;3691;3143;213227;215166;Personas;86.484659881;A
2008;215156;215117;215127;3689;3143;213227;215166;Personas;80.628361221;A
2008;215156;215117;215127;3690;3143;213227;215166;Personas;5.85629866;A
2008;215156;215117;215128;3691;3143;213227;215166;Personas;243.21873915;A
2008;215156;215117;215128;3689;3143;213227;215166;Personas;104.57108023;A
2008;215156;215117;215128;3690;3143;213227;215166;Personas;138.64765892;A
2008;215156;215117;215129;3691;3143;213227;215166;Personas;158.494545454;A
2008;215156;215117;215129;3689;3143;213227;215166;Personas;44.319090909;A
2008;215156;215117;215129;3690;3143;213227;215166;Personas;114.175454545;A
2008;215156;215117;215130;3691;3143;213227;215166;Personas;43.51986586;A
2008;215156;215117;215130;3689;3143;213227;215166;Personas;26.48461945;A
2008;215156;215117;215130;3690;3143;213227;215166;Personas;17.03524641;A
2008;215156;215117;215131;3691;3143;213227;215166;Personas;4.223460426;A
2008;215156;215117;215131;3689;3143;213227;215166;Personas;3.43961945;A
2008;215156;215117;215131;3690;3143;213227;215166;Personas;0.783840976;A
2008;215156;215120;215132;3691;3143;213227;215166;Personas;1989.999999999;A
2008;215156;215120;215132;3689;3143;213227;215166;Personas;1031.999999999;A
2008;215156;215120;215132;3690;3143;213227;215166;Personas;958.0;A
2008;215156;215120;215126;3691;3143;213227;215166;Personas;384.051339405;A
2008;215156;215120;215126;3689;3143;213227;215166;Personas;202.821390513;A
2008;215156;215120;215126;3690;3143;213227;215166;Personas;181.229948892;A
2008;215156;215120;215127;3691;3143;213227;215166;Personas;392.991525261;A
2008;215156;215120;215127;3689;3143;213227;215166;Personas;220.391984808;A
2008;215156;215120;215127;3690;3143;213227;215166;Personas;172.599540453;A
