TEMPORAL;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2016;ES612;ESTANCIA_MEDIA;6.853439269;A
2016;ES613;ESTANCIA_MEDIA;3.736471681;A
2016;ES614;ESTANCIA_MEDIA;5.400591539;A
2016;ES615;ESTANCIA_MEDIA;7.211072673;A
2016;ES616;ESTANCIA_MEDIA;2.74697781;A
2016;ES617;ESTANCIA_MEDIA;10.037081858;A
2016;ES618;ESTANCIA_MEDIA;3.335339214;A
2017;ES61;ESTANCIA_MEDIA;8.517037301;A
2017;ES611;ESTANCIA_MEDIA;7.727249312;A
2017;ES612;ESTANCIA_MEDIA;6.710435602;A
2017;ES613;ESTANCIA_MEDIA;3.513520491;A
2017;ES614;ESTANCIA_MEDIA;5.277157965;A
2017;ES615;ESTANCIA_MEDIA;7.922150312;A
2017;ES616;ESTANCIA_MEDIA;2.893068814;A
2017;ES617;ESTANCIA_MEDIA;9.346365672;A
2017;ES618;ESTANCIA_MEDIA;3.396748613;A
2018;ES61;ESTANCIA_MEDIA;8.287717311;A
2018;ES611;ESTANCIA_MEDIA;7.748381503;A
2018;ES612;ESTANCIA_MEDIA;6.419398763;A
2018;ES613;ESTANCIA_MEDIA;3.285272929;A
2018;ES614;ESTANCIA_MEDIA;5.14958622;A
2018;ES615;ESTANCIA_MEDIA;8.099847631;A
2018;ES616;ESTANCIA_MEDIA;2.617284229;A
2018;ES617;ESTANCIA_MEDIA;9.423299042;A
2018;ES618;ESTANCIA_MEDIA;3.366455537;A
2019;ES61;ESTANCIA_MEDIA;8.199248489;A
2019;ES611;ESTANCIA_MEDIA;7.880081035;A
2019;ES612;ESTANCIA_MEDIA;6.313648648;A
2019;ES613;ESTANCIA_MEDIA;3.193263974;A
2019;ES614;ESTANCIA_MEDIA;5.102416195;A
2019;ES615;ESTANCIA_MEDIA;7.885910264;A
2019;ES616;ESTANCIA_MEDIA;2.553770834;A
2019;ES617;ESTANCIA_MEDIA;9.172520795;A
2019;ES618;ESTANCIA_MEDIA;3.347058817;A
2020;ES61;ESTANCIA_MEDIA;7.877292242;A
2020;ES611;ESTANCIA_MEDIA;7.637934931;A
2020;ES612;ESTANCIA_MEDIA;7.700182133;A
2020;ES613;ESTANCIA_MEDIA;3.07691389;A
2020;ES614;ESTANCIA_MEDIA;5.314756321;A
2020;ES615;ESTANCIA_MEDIA;8.921770479;A
2020;ES616;ESTANCIA_MEDIA;2.527505882;A
2020;ES617;ESTANCIA_MEDIA;10.365794561;A
2020;ES618;ESTANCIA_MEDIA;3.08683828;A
2021;ES61;ESTANCIA_MEDIA;6.948186352;A
2021;ES611;ESTANCIA_MEDIA;7.495866901;A
2021;ES612;ESTANCIA_MEDIA;7.116561237;A
2021;ES613;ESTANCIA_MEDIA;2.996690272;A
2021;ES614;ESTANCIA_MEDIA;4.788631946;A
2021;ES615;ESTANCIA_MEDIA;7.486889155;A
2021;ES616;ESTANCIA_MEDIA;2.722747838;A
2021;ES617;ESTANCIA_MEDIA;8.253430997;A
2021;ES618;ESTANCIA_MEDIA;3.781085625;A
1998;ES61;TASA_VARI_INTE;-5.227710564667834;A
1998;ES611;TASA_VARI_INTE;-23.28140988142885;A
1998;ES612;TASA_VARI_INTE;-31.059569244228392;A
1998;ES613;TASA_VARI_INTE;-29.096907655939496;A
1998;ES614;TASA_VARI_INTE;-20.93219436649384;A
1998;ES615;TASA_VARI_INTE;-24.35033850896275;A
1998;ES616;TASA_VARI_INTE;-12.821421183544974;A
1998;ES617;TASA_VARI_INTE;-5.90415727880436;A
1998;ES618;TASA_VARI_INTE;-28.56883279689052;A
1999;ES61;TASA_VARI_INTE;-13.022084241454104;A
1999;ES611;TASA_VARI_INTE;-3.826891921670319;A
1999;ES612;TASA_VARI_INTE;-14.108892599585502;A
1999;ES613;TASA_VARI_INTE;-45.995645206806756;A
1999;ES614;TASA_VARI_INTE;-35.69836830216769;A
1999;ES615;TASA_VARI_INTE;7.877366004508142;A
1999;ES616;TASA_VARI_INTE;-22.635410613074473;A
1999;ES617;TASA_VARI_INTE;-19.270666478733254;A
1999;ES618;TASA_VARI_INTE;-40.34057572875935;A
2000;ES61;TASA_VARI_INTE;3.779367890964839;A
2000;ES611;TASA_VARI_INTE;-13.461199883912176;A
2000;ES612;TASA_VARI_INTE;6.772826081200926;A
2000;ES613;TASA_VARI_INTE;-9.450836577314723;A
2000;ES614;TASA_VARI_INTE;8.656501873500385;A
2000;ES615;TASA_VARI_INTE;-14.48710798872975;A
2000;ES616;TASA_VARI_INTE;-12.493947331617786;A
2000;ES617;TASA_VARI_INTE;8.890116464271891;A
2000;ES618;TASA_VARI_INTE;19.37653929548966;A
2001;ES61;TASA_VARI_INTE;5.093504926133665;A
2001;ES611;TASA_VARI_INTE;40.31536978636662;A
2001;ES612;TASA_VARI_INTE;-6.602366863214873;A
2001;ES613;TASA_VARI_INTE;13.234783497839873;A
2001;ES614;TASA_VARI_INTE;-9.931823458074938;A
2001;ES615;TASA_VARI_INTE;32.238199613374306;A
2001;ES616;TASA_VARI_INTE;4.57848243628415;A
2001;ES617;TASA_VARI_INTE;18.804248395741528;A
2001;ES618;TASA_VARI_INTE;31.6940487777427;A
2002;ES61;TASA_VARI_INTE;1.2267562478373397;A
2002;ES611;TASA_VARI_INTE;9.328876636340505;A
2002;ES612;TASA_VARI_INTE;0.3050243093484936;A
2002;ES613;TASA_VARI_INTE;1.508702864890945;A
2002;ES614;TASA_VARI_INTE;1.2927896606605447;A
2002;ES615;TASA_VARI_INTE;-17.690477425398612;A
2002;ES616;TASA_VARI_INTE;10.438294627957454;A
2002;ES617;TASA_VARI_INTE;-4.509951841859708;A
2002;ES618;TASA_VARI_INTE;-23.13419178608122;A
2003;ES61;TASA_VARI_INTE;-9.183091854847952;A
2003;ES611;TASA_VARI_INTE;-11.804160691357186;A
2003;ES612;TASA_VARI_INTE;3.981902867509547;A
2003;ES613;TASA_VARI_INTE;46.61560707566101;A
2003;ES614;TASA_VARI_INTE;2.2106477190963965;A
2003;ES615;TASA_VARI_INTE;-2.608976268372242;A
2003;ES616;TASA_VARI_INTE;16.27087658523126;A
2003;ES617;TASA_VARI_INTE;-12.650566178333325;A
2003;ES618;TASA_VARI_INTE;7.101175090661776;A
2004;ES61;TASA_VARI_INTE;-5.160524484148588;A
2004;ES611;TASA_VARI_INTE;-24.697650635318258;A
2004;ES612;TASA_VARI_INTE;-19.461400101703944;A
2004;ES613;TASA_VARI_INTE;22.461898529492654;A
2004;ES614;TASA_VARI_INTE;-1.479111933945537;A
2004;ES615;TASA_VARI_INTE;-3.97491235749647;A
2004;ES616;TASA_VARI_INTE;23.535041410879053;A
2004;ES617;TASA_VARI_INTE;10.101807663950616;A
2004;ES618;TASA_VARI_INTE;5.107363382646092;A
2005;ES61;TASA_VARI_INTE;-24.47979564525535;A
2005;ES611;TASA_VARI_INTE;-28.23320361224468;A
2005;ES612;TASA_VARI_INTE;11.263040047400356;A
2005;ES613;TASA_VARI_INTE;-28.377078243743153;A
2005;ES614;TASA_VARI_INTE;-0.014916481647772914;A
2005;ES615;TASA_VARI_INTE;-1.5405664500349667;A
2005;ES616;TASA_VARI_INTE;-3.813134004935744;A
2005;ES617;TASA_VARI_INTE;-5.72763625108318;A
2005;ES618;TASA_VARI_INTE;1.2970478963867347;A
2006;ES61;TASA_VARI_INTE;18.980465791234042;A
2006;ES611;TASA_VARI_INTE;20.64953594281926;A
2006;ES612;TASA_VARI_INTE;-7.102867116204579;A
2006;ES613;TASA_VARI_INTE;7.1300566142199555;A
2006;ES614;TASA_VARI_INTE;-18.26929838372784;A
2006;ES615;TASA_VARI_INTE;20.18166801406976;A
2006;ES616;TASA_VARI_INTE;4.2898759682634715;A
2006;ES617;TASA_VARI_INTE;-15.633285796204929;A
2006;ES618;TASA_VARI_INTE;-9.212781597924156;A
