TEMPORAL;PROCEDENCIA_ECTA;INDICATOR;OBS_VALUE;FREQ
2007;6782;TASA_VARI_INTE;4.693909142857414;A
2007;6775;TASA_VARI_INTE;2.5958073114129623;A
2007;6776;TASA_VARI_INTE;5.035337100909485;A
2007;6778;TASA_VARI_INTE;9.788578625562076;A
2007;6779;TASA_VARI_INTE;2.9203656256549073;A
2008;6782;TASA_VARI_INTE;2.7938224303274937;A
2008;6775;TASA_VARI_INTE;2.6513100854846243;A
2008;6776;TASA_VARI_INTE;-0.4699402239036009;A
2008;6778;TASA_VARI_INTE;3.951815364603939;A
2008;6779;TASA_VARI_INTE;0.8057759756927897;A
2009;6782;TASA_VARI_INTE;2.042772681369819;A
2009;6775;TASA_VARI_INTE;4.399097180196139;A
2009;6776;TASA_VARI_INTE;1.4450455440752346;A
2009;6778;TASA_VARI_INTE;2.6279411794436025;A
2009;6779;TASA_VARI_INTE;6.099059183908138;A
2010;6782;TASA_VARI_INTE;0.881305813857897;A
2010;6775;TASA_VARI_INTE;-0.78111781898968;A
2010;6776;TASA_VARI_INTE;2.800278096967841;A
2010;6778;TASA_VARI_INTE;0.8778276589351526;A
2010;6779;TASA_VARI_INTE;8.69178121964397;A
2011;6782;TASA_VARI_INTE;-0.28644910281477654;A
2011;6775;TASA_VARI_INTE;-2.189658128465769;A
2011;6776;TASA_VARI_INTE;-0.7039468399767553;A
2011;6778;TASA_VARI_INTE;6.555907524861894;A
2011;6779;TASA_VARI_INTE;1.8918391028175736;A
2012;6782;TASA_VARI_INTE;-1.188895623520463;A
2012;6775;TASA_VARI_INTE;-2.0158248338165117;A
2012;6776;TASA_VARI_INTE;1.0792405292585712;A
2012;6778;TASA_VARI_INTE;-1.3104258560175341;A
2012;6779;TASA_VARI_INTE;12.489493879193569;A
2013;6782;TASA_VARI_INTE;2.0575383377330074;A
2013;6775;TASA_VARI_INTE;-1.9944239790395728;A
2013;6776;TASA_VARI_INTE;-1.381786441961547;A
2013;6778;TASA_VARI_INTE;-1.0464435502851481;A
2013;6779;TASA_VARI_INTE;-8.008450856428187;A
2014;6782;TASA_VARI_INTE;1.90688881638531;A
2014;6775;TASA_VARI_INTE;4.110220811590825;A
2014;6776;TASA_VARI_INTE;1.3180651937643801;A
2014;6778;TASA_VARI_INTE;1.3022997067576065;A
2014;6779;TASA_VARI_INTE;7.023337327711674;A
2015;6782;TASA_VARI_INTE;1.9629736296841078;A
2015;6775;TASA_VARI_INTE;0.12831645965038085;A
2015;6776;TASA_VARI_INTE;-0.4110918933335651;A
2015;6778;TASA_VARI_INTE;-2.781163961132182;A
2015;6779;TASA_VARI_INTE;-0.9765595163449736;A
2016;6782;TASA_VARI_INTE;2.558865860857561;A
2016;6775;TASA_VARI_INTE;1.7027842042663857;A
2016;6776;TASA_VARI_INTE;4.901253558829659;A
2016;6778;TASA_VARI_INTE;7.093185681374998;A
2016;6779;TASA_VARI_INTE;2.1526476055577164;A
2017;6782;TASA_VARI_INTE;2.146058331099759;A
2017;6775;TASA_VARI_INTE;2.4216809288969308;A
2017;6776;TASA_VARI_INTE;0.676910733014366;A
2017;6778;TASA_VARI_INTE;1.4280849192711327;A
2017;6779;TASA_VARI_INTE;4.116528644690084;A
2018;6782;TASA_VARI_INTE;1.013040799718839;A
2018;6775;TASA_VARI_INTE;-0.7356674788465175;A
2018;6776;TASA_VARI_INTE;-0.4478917234583964;A
2018;6778;TASA_VARI_INTE;4.626402232846676;A
2018;6779;TASA_VARI_INTE;1.5907654596685263;A
2019;6782;TASA_VARI_INTE;1.2119716032772272;A
2019;6775;TASA_VARI_INTE;2.1306645174677716;A
2019;6776;TASA_VARI_INTE;0.14117283445035797;A
2019;6778;TASA_VARI_INTE;2.1012527409058213;A
2019;6779;TASA_VARI_INTE;0.4894294909463933;A
2020;6782;TASA_VARI_INTE;-5.838055216922441;A
2020;6775;TASA_VARI_INTE;-4.486794683597515;A
2020;6776;TASA_VARI_INTE;-0.43394238001206376;A
2020;6778;TASA_VARI_INTE;-3.9176087780448685;A
2020;6779;TASA_VARI_INTE;-5.289758368589722;A
2021;6782;TASA_VARI_INTE;7.7517716093464974;A
2021;6775;TASA_VARI_INTE;11.61037655296186;A
2021;6776;TASA_VARI_INTE;9.707004304477946;A
2021;6778;TASA_VARI_INTE;7.053565025861221;A
2021;6779;TASA_VARI_INTE;8.774757665859207;A
