TEMPORAL;TERRITORIO;EDAD;EDADC2;INDICATOR;OBS_VALUE;FREQ;SEXO;SEXOC2;ESTADOCIVIL;ESTADOCIVILC2;DURACMATRIM;NUMHIJOSMENORED;CUSTODIA;NACIONACONYUGES;TIPOMATRIMONIO
2020;ES61;Y70-74;4851;DIV;7.82798;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y70-74;4858;DIV;3.49487;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y70-74;4864;DIV;13.25317;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y70-74;4870;DIV;15.26842;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y70-74;4876;DIV;19.68489;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y70-74;4882;DIV;82.99499;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y70-74;4888;DIV;46.76735;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y70-74;4947;DIV;8.54803;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y_GE50;4948;DIV;142.57527;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y_GE50;4858;DIV;3.82225;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y_GE50;4864;DIV;3.82225;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y_GE50;4870;DIV;12.58098;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y_GE50;4876;DIV;7.68745;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y_GE50;4882;DIV;16.11648;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y_GE50;4888;DIV;37.51043;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y_GE50;4947;DIV;61.03543;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;TOTAL;4948;DIV;1287.5417;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;TOTAL;4826;DIV;2.13486;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;TOTAL;4832;DIV;32.05972;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;TOTAL;4839;DIV;148.29918;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;TOTAL;4845;DIV;211.13032;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;TOTAL;4851;DIV;269.39728;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;TOTAL;4858;DIV;257.54514;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;TOTAL;4864;DIV;178.26086;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;TOTAL;4870;DIV;111.45446;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;TOTAL;4876;DIV;30.21932;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;TOTAL;4882;DIV;35.74052;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;TOTAL;4947;DIV;11.30004;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;Y15-19;4948;DIV;2.13486;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;Y15-19;4832;DIV;2.13486;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;Y25-29;4948;DIV;28.08446;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;Y25-29;4826;DIV;2.13486;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;Y25-29;4832;DIV;16.48996;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;Y25-29;4839;DIV;4.26972;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;Y25-29;4851;DIV;5.18992;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;Y30-34;4948;DIV;107.73684;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;Y30-34;4832;DIV;5.18992;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;Y30-34;4839;DIV;59.8129;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;Y30-34;4845;DIV;29.29912;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;Y30-34;4851;DIV;13.4349;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;Y35-39;4948;DIV;165.70934;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;Y35-39;4832;DIV;3.05506;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;Y35-39;4839;DIV;43.02848;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;Y35-39;4845;DIV;77.81198;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;Y35-39;4851;DIV;27.45872;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;Y35-39;4858;DIV;8.24498;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;Y35-39;4864;DIV;3.05506;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;Y35-39;4870;DIV;3.05506;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;Y40-44;4948;DIV;271.23768;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;Y40-44;4832;DIV;5.18992;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;Y40-44;4839;DIV;27.45872;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;Y40-44;4845;DIV;70.15592;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;Y40-44;4851;DIV;126.6193;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;Y40-44;4858;DIV;31.43398;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;Y40-44;4864;DIV;8.24498;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;Y40-44;4870;DIV;2.13486;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;Y45-49;4948;DIV;240.39262;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;Y45-49;4839;DIV;7.32478;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;Y45-49;4845;DIV;31.72844;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;Y45-49;4851;DIV;72.29078;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;Y45-49;4858;DIV;106.77982;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;Y45-49;4864;DIV;15.86422;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;Y45-49;4870;DIV;4.26972;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;Y45-49;4876;DIV;2.13486;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;Y50-54;4948;DIV;197.76906;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;Y50-54;4839;DIV;6.40458;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;Y50-54;4845;DIV;2.13486;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;Y50-54;4851;DIV;17.07888;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;Y50-54;4858;DIV;83.62764;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;Y50-54;4864;DIV;74.79374;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;Y50-54;4870;DIV;9.45964;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;Y50-54;4876;DIV;4.26972;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;Y55-59;4948;DIV;120.58282;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;Y55-59;4851;DIV;3.05506;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;Y55-59;4858;DIV;17.99908;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;Y55-59;4864;DIV;46.08354;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;Y55-59;4870;DIV;44.27996;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;Y55-59;4876;DIV;9.16518;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;Y60-64;4948;DIV;97.39382;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;Y60-64;4858;DIV;9.45964;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;Y60-64;4864;DIV;30.21932;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;Y60-64;4870;DIV;42.1451;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;Y60-64;4876;DIV;12.5147;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
