TEMPORAL;TERRITORIO;ESTADOCIVIL;ESTADOCIVILC2;INDICATOR;OBS_VALUE;FREQ;EDAD;EDADC2;SEXO;SEXOC2;DURACMATRIM;NUMHIJOSMENORED;CUSTODIA;NACIONACONYUGES;TIPOMATRIMONIO
2020;ES616;4316;4958;DIV;772.10263;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES616;4316;4965;DIV;24.64202;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES616;4320;4967;DIV;9.39845;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES616;4320;4958;DIV;9.39845;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES616;4323;4967;DIV;80.63324;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES616;4323;4958;DIV;58.28301;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES616;4323;4965;DIV;22.35023;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES617;TOTAL;4967;DIV;3009.31704;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES617;TOTAL;4958;DIV;2751.77361;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES617;TOTAL;4962;DIV;11.69204;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES617;TOTAL;4965;DIV;245.85139;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES617;4316;4967;DIV;2701.25574;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES617;4316;4958;DIV;2550.21181;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES617;4316;4962;DIV;11.69204;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES617;4316;4965;DIV;139.35189;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES617;4320;4967;DIV;35.07612;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES617;4320;4958;DIV;25.73523;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES617;4320;4965;DIV;9.34089;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES617;4323;4967;DIV;272.98518;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES617;4323;4958;DIV;175.82657;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES617;4323;4965;DIV;97.15861;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES618;TOTAL;4967;DIV;3390.26529;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES618;TOTAL;4958;DIV;3188.19408;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES618;TOTAL;4962;DIV;9.58339;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES618;TOTAL;4965;DIV;192.48782;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES618;4316;4967;DIV;3129.6944;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
