TEMPORAL;TERRITORIO;INDICATOR;OBS_VALUE;FREQ;SEXO;PROCEDENCIA_ECTA;TIPO_ALOJAM_ECTA
2000;ES616;TASA_VARI_INTE;-12.493947331617786;A;_Z;_Z;_Z
2000;ES617;TASA_VARI_INTE;8.890116464271891;A;_Z;_Z;_Z
2000;ES618;TASA_VARI_INTE;19.37653929548966;A;_Z;_Z;_Z
2001;;TASA_VARI_INTE;5.093504926133665;A;_Z;_Z;_Z
2001;ES611;TASA_VARI_INTE;40.31536978636662;A;_Z;_Z;_Z
2001;ES612;TASA_VARI_INTE;-6.602366863214873;A;_Z;_Z;_Z
2001;ES613;TASA_VARI_INTE;13.234783497839873;A;_Z;_Z;_Z
2001;ES614;TASA_VARI_INTE;-9.931823458074938;A;_Z;_Z;_Z
2001;ES615;TASA_VARI_INTE;32.238199613374306;A;_Z;_Z;_Z
2001;ES616;TASA_VARI_INTE;4.57848243628415;A;_Z;_Z;_Z
2001;ES617;TASA_VARI_INTE;18.804248395741528;A;_Z;_Z;_Z
2001;ES618;TASA_VARI_INTE;31.6940487777427;A;_Z;_Z;_Z
2002;;TASA_VARI_INTE;1.2267562478373397;A;_Z;_Z;_Z
2002;ES611;TASA_VARI_INTE;9.328876636340505;A;_Z;_Z;_Z
2002;ES612;TASA_VARI_INTE;0.3050243093484936;A;_Z;_Z;_Z
2002;ES613;TASA_VARI_INTE;1.508702864890945;A;_Z;_Z;_Z
2002;ES614;TASA_VARI_INTE;1.2927896606605447;A;_Z;_Z;_Z
2002;ES615;TASA_VARI_INTE;-17.690477425398612;A;_Z;_Z;_Z
2002;ES616;TASA_VARI_INTE;10.438294627957454;A;_Z;_Z;_Z
2002;ES617;TASA_VARI_INTE;-4.509951841859708;A;_Z;_Z;_Z
2002;ES618;TASA_VARI_INTE;-23.13419178608122;A;_Z;_Z;_Z
2003;;TASA_VARI_INTE;-9.183091854847952;A;_Z;_Z;_Z
2003;ES611;TASA_VARI_INTE;-11.804160691357186;A;_Z;_Z;_Z
2003;ES612;TASA_VARI_INTE;3.981902867509547;A;_Z;_Z;_Z
2003;ES613;TASA_VARI_INTE;46.61560707566101;A;_Z;_Z;_Z
2003;ES614;TASA_VARI_INTE;2.2106477190963965;A;_Z;_Z;_Z
2003;ES615;TASA_VARI_INTE;-2.608976268372242;A;_Z;_Z;_Z
2003;ES616;TASA_VARI_INTE;16.27087658523126;A;_Z;_Z;_Z
2003;ES617;TASA_VARI_INTE;-12.650566178333325;A;_Z;_Z;_Z
2003;ES618;TASA_VARI_INTE;7.101175090661776;A;_Z;_Z;_Z
2004;;TASA_VARI_INTE;-5.160524484148588;A;_Z;_Z;_Z
2004;ES611;TASA_VARI_INTE;-24.697650635318258;A;_Z;_Z;_Z
2004;ES612;TASA_VARI_INTE;-19.461400101703944;A;_Z;_Z;_Z
2004;ES613;TASA_VARI_INTE;22.461898529492654;A;_Z;_Z;_Z
2004;ES614;TASA_VARI_INTE;-1.479111933945537;A;_Z;_Z;_Z
2004;ES615;TASA_VARI_INTE;-3.97491235749647;A;_Z;_Z;_Z
2004;ES616;TASA_VARI_INTE;23.535041410879053;A;_Z;_Z;_Z
2004;ES617;TASA_VARI_INTE;10.101807663950616;A;_Z;_Z;_Z
2004;ES618;TASA_VARI_INTE;5.107363382646092;A;_Z;_Z;_Z
2005;;TASA_VARI_INTE;-24.47979564525535;A;_Z;_Z;_Z
2005;ES611;TASA_VARI_INTE;-28.23320361224468;A;_Z;_Z;_Z
2005;ES612;TASA_VARI_INTE;11.263040047400356;A;_Z;_Z;_Z
