D_ESTADO_DATO_0;D_PARQUES_TURISMO_0;D_RESITUR_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
40123;55126;55543;2017;Viajeros;11285.0923715;A
40123;55126;55543;2016;Viajeros;10286.5378583;A
40123;55126;55543;2015;Viajeros;9883.3515287;A
40123;55126;55543;2010;Viajeros;10880.94297323;A
40123;55126;55563;2020;Viajeros;1632.028677266;A
40123;55126;55563;2019;Viajeros;4881.682196566;A
40123;55126;55563;2018;Viajeros;4915.903511195;A
40123;55126;55563;2017;Viajeros;4768.978320179;A
40123;55126;55563;2016;Viajeros;3677.429902386;A
40123;55126;55563;2015;Viajeros;2737.11390127;A
40123;55126;55563;2010;Viajeros;5622.270152802;A
40123;55126;55545;2020;Viajeros;-;A
40123;55126;55545;2019;Viajeros;-;A
40123;55126;55545;2018;Viajeros;-;A
40123;55126;55545;2017;Viajeros;-;A
40123;55126;55545;2016;Viajeros;-;A
40123;55126;55545;2015;Viajeros;-;A
40123;55126;55545;2010;Viajeros;-;A
40123;55126;55546;2019;Viajeros;-;A
40123;55126;55546;2018;Viajeros;-;A
40123;55126;55546;2017;Viajeros;-;A
40123;55126;55546;2016;Viajeros;-;A
40123;55126;55546;2015;Viajeros;-;A
40123;55126;55546;2010;Viajeros;-;A
40123;55126;55547;2020;Viajeros;-;A
40123;55126;55547;2019;Viajeros;-;A
40123;55126;55547;2018;Viajeros;155.766781051;A
40123;55126;55547;2017;Viajeros;173.597590081;A
40123;55126;55547;2016;Viajeros;-;A
40123;55126;55547;2015;Viajeros;-;A
40123;55126;55547;2010;Viajeros;-;A
40123;55126;55548;2020;Viajeros;-;A
40123;55126;55548;2019;Viajeros;-;A
40123;55126;55548;2018;Viajeros;249.821690572;A
40123;55126;55548;2017;Viajeros;-;A
40123;55126;55548;2016;Viajeros;-;A
40123;55126;55548;2015;Viajeros;-;A
40123;55126;55548;2010;Viajeros;166.519713313;A
40123;55126;55549;2020;Viajeros;-;A
40123;55126;55549;2019;Viajeros;586.291191771;A
40123;55126;55549;2018;Viajeros;233.37718622;A
40123;55126;55549;2017;Viajeros;110.45663222;A
40123;55126;55549;2016;Viajeros;255.7530528;A
