D_TEMPORAL_0;D_TERRITORIO_0;D_CNAE09_0;INDICATOR;OBS_VALUE;FREQ
2020;3023;8009;Empresas;;A
2020;3023;8019;Empresas;1182.0;A
2020;3023;8016;Empresas;1182.0;A
2020;3023;8018;Empresas;;A
2020;3023;8030;Empresas;385.0;A
2020;3023;8023;Empresas;326.0;A
2020;3023;8027;Empresas;59.0;A
2020;3023;8029;Empresas;;A
2020;3023;8032;Empresas;33200.0;A
2020;3023;8080;Empresas;2671.0;A
2020;3023;8050;Empresas;171.0;A
2020;3023;8036;Empresas;7.0;A
2020;3023;8039;Empresas;77.0;A
2020;3023;8042;Empresas;6.0;A
2020;3023;8047;Empresas;81.0;A
2020;3023;8049;Empresas;;A
2020;3023;8063;Empresas;33.0;A
2020;3023;8054;Empresas;29.0;A
2020;3023;8057;Empresas;3.0;A
2020;3023;8060;Empresas;1.0;A
2020;3023;8062;Empresas;;A
2020;3023;8079;Empresas;2467.0;A
2020;3023;8068;Empresas;344.0;A
2020;3023;8073;Empresas;2120.0;A
2020;3023;8076;Empresas;3.0;A
2020;3023;8078;Empresas;;A
2020;3023;8094;Empresas;10140.0;A
2020;3023;8093;Empresas;10140.0;A
2020;3023;8083;Empresas;477.0;A
2020;3023;8086;Empresas;4581.0;A
2020;3023;8090;Empresas;5082.0;A
2020;3023;8092;Empresas;;A
2020;3023;8165;Empresas;13717.0;A
2020;3023;8103;Empresas;5357.0;A
2020;3023;8097;Empresas;2717.0;A
2020;3023;8100;Empresas;2640.0;A
2020;3023;8102;Empresas;;A
2020;3023;8113;Empresas;777.0;A
2020;3023;8106;Empresas;10.0;A
2020;3023;8110;Empresas;767.0;A
2020;3023;8112;Empresas;;A
2020;3023;8123;Empresas;2598.0;A
2020;3023;8117;Empresas;2434.0;A
2020;3023;8120;Empresas;164.0;A
2020;3023;8122;Empresas;;A
2020;3023;8133;Empresas;572.0;A
2020;3023;8127;Empresas;116.0;A
2020;3023;8130;Empresas;456.0;A
2020;3023;8132;Empresas;;A
2020;3023;8143;Empresas;1717.0;A
2020;3023;8137;Empresas;1614.0;A
2020;3023;8140;Empresas;103.0;A
2020;3023;8142;Empresas;;A
2020;3023;8158;Empresas;2320.0;A
2020;3023;8146;Empresas;167.0;A
2020;3023;8149;Empresas;459.0;A
2020;3023;8152;Empresas;380.0;A
2020;3023;8155;Empresas;1314.0;A
2020;3023;8157;Empresas;;A
2020;3023;8164;Empresas;376.0;A
2020;3023;8161;Empresas;376.0;A
2020;3023;8163;Empresas;;A
2020;3023;8255;Empresas;6672.0;A
2020;3023;8188;Empresas;1178.0;A
2020;3023;8169;Empresas;446.0;A
