ESTADO_DATO;TERRITORIO;TEMPORAL;INDICATOR;OBS_VALUE;FREQ;RESITUR;PARQUES_TURISMO
A;ES612;2015;ESTA_MEDI_ABIE_ESTI;20.618237168;A;_Z;_Z
A;ES612;2014;ESTA_MEDI_ABIE_ESTI;20.725610254;A;_Z;_Z
A;ES612;2013;ESTA_MEDI_ABIE_ESTI;21.164964157;A;_Z;_Z
A;ES612;2012;ESTA_MEDI_ABIE_ESTI;22.393263309;A;_Z;_Z
A;ES612;2011;ESTA_MEDI_ABIE_ESTI;20.490945418;A;_Z;_Z
A;ES612;2010;ESTA_MEDI_ABIE_ESTI;20.910536557;A;_Z;_Z
A;ES612;2009;ESTA_MEDI_ABIE_ESTI;21.71644812;A;_Z;_Z
A;ES612;2008;ESTA_MEDI_ABIE_ESTI;21.792799678;A;_Z;_Z
A;ES612;2007;ESTA_MEDI_ABIE_ESTI;23.317286159;A;_Z;_Z
A;ES613;2020;ESTA_MEDI_ABIE_ESTI;5.29423265;A;_Z;_Z
A;ES613;2019;ESTA_MEDI_ABIE_ESTI;6.887634409;A;_Z;_Z
A;ES613;2018;ESTA_MEDI_ABIE_ESTI;6.858333333;A;_Z;_Z
A;ES613;2017;ESTA_MEDI_ABIE_ESTI;6.939516129;A;_Z;_Z
A;ES613;2016;ESTA_MEDI_ABIE_ESTI;6.850925926;A;_Z;_Z
A;ES613;2015;ESTA_MEDI_ABIE_ESTI;6.652598567;A;_Z;_Z
A;ES613;2014;ESTA_MEDI_ABIE_ESTI;6.669354839;A;_Z;_Z
A;ES613;2013;ESTA_MEDI_ABIE_ESTI;6.896505376;A;_Z;_Z
A;ES613;2012;ESTA_MEDI_ABIE_ESTI;6.833333334;A;_Z;_Z
A;ES613;2011;ESTA_MEDI_ABIE_ESTI;7.247311828;A;_Z;_Z
A;ES613;2010;ESTA_MEDI_ABIE_ESTI;7.331989247;A;_Z;_Z
A;ES613;2009;ESTA_MEDI_ABIE_ESTI;7.975806451;A;_Z;_Z
A;ES613;2008;ESTA_MEDI_ABIE_ESTI;7.623655914;A;_Z;_Z
A;ES613;2007;ESTA_MEDI_ABIE_ESTI;7.454883513;A;_Z;_Z
A;ES614;2020;ESTA_MEDI_ABIE_ESTI;15.631834475;A;_Z;_Z
A;ES614;2019;ESTA_MEDI_ABIE_ESTI;21.032828283;A;_Z;_Z
A;ES614;2018;ESTA_MEDI_ABIE_ESTI;20.772759857;A;_Z;_Z
A;ES614;2017;ESTA_MEDI_ABIE_ESTI;20.7640745;A;_Z;_Z
A;ES614;2016;ESTA_MEDI_ABIE_ESTI;22.596326164;A;_Z;_Z
A;ES614;2015;ESTA_MEDI_ABIE_ESTI;21.630197132;A;_Z;_Z
A;ES614;2014;ESTA_MEDI_ABIE_ESTI;22.213888888;A;_Z;_Z
A;ES614;2013;ESTA_MEDI_ABIE_ESTI;22.020250896;A;_Z;_Z
A;ES614;2012;ESTA_MEDI_ABIE_ESTI;22.267222222;A;_Z;_Z
A;ES614;2011;ESTA_MEDI_ABIE_ESTI;21.003464755;A;_Z;_Z
A;ES614;2010;ESTA_MEDI_ABIE_ESTI;20.191173835;A;_Z;_Z
A;ES614;2009;ESTA_MEDI_ABIE_ESTI;21.083960574;A;_Z;_Z
A;ES614;2008;ESTA_MEDI_ABIE_ESTI;21.295698925;A;_Z;_Z
A;ES614;2007;ESTA_MEDI_ABIE_ESTI;19.622401434;A;_Z;_Z
A;ES615;2020;ESTA_MEDI_ABIE_ESTI;7.340860214;A;_Z;_Z
A;ES615;2019;ESTA_MEDI_ABIE_ESTI;9.392473119;A;_Z;_Z
A;ES615;2018;ESTA_MEDI_ABIE_ESTI;8.312634409;A;_Z;_Z
A;ES615;2017;ESTA_MEDI_ABIE_ESTI;9.4422043;A;_Z;_Z
A;ES615;2016;ESTA_MEDI_ABIE_ESTI;10.682616487;A;_Z;_Z
A;ES615;2015;ESTA_MEDI_ABIE_ESTI;10.819892473;A;_Z;_Z
A;ES615;2014;ESTA_MEDI_ABIE_ESTI;9.693637993;A;_Z;_Z
A;ES615;2013;ESTA_MEDI_ABIE_ESTI;8.704480287;A;_Z;_Z
A;ES615;2012;ESTA_MEDI_ABIE_ESTI;9.028109937;A;_Z;_Z
A;ES615;2011;ESTA_MEDI_ABIE_ESTI;8.65483871;A;_Z;_Z
A;ES615;2010;ESTA_MEDI_ABIE_ESTI;10.980555556;A;_Z;_Z
A;ES615;2009;ESTA_MEDI_ABIE_ESTI;11.916666667;A;_Z;_Z
A;ES615;2008;ESTA_MEDI_ABIE_ESTI;11.459677419;A;_Z;_Z
A;ES615;2007;ESTA_MEDI_ABIE_ESTI;10.954301075;A;_Z;_Z
A;ES616;2020;ESTA_MEDI_ABIE_ESTI;6.242946708;A;_Z;_Z
A;ES616;2019;ESTA_MEDI_ABIE_ESTI;10.559856631;A;_Z;_Z
A;ES616;2018;ESTA_MEDI_ABIE_ESTI;10.659318996;A;_Z;_Z
A;ES616;2017;ESTA_MEDI_ABIE_ESTI;10.733781362;A;_Z;_Z
A;ES616;2016;ESTA_MEDI_ABIE_ESTI;11.517958225;A;_Z;_Z
A;ES616;2015;ESTA_MEDI_ABIE_ESTI;9.993100358;A;_Z;_Z
A;ES616;2014;ESTA_MEDI_ABIE_ESTI;9.487692012;A;_Z;_Z
A;ES616;2013;ESTA_MEDI_ABIE_ESTI;11.351583034;A;_Z;_Z
A;ES616;2012;ESTA_MEDI_ABIE_ESTI;11.083813364;A;_Z;_Z
A;ES616;2011;ESTA_MEDI_ABIE_ESTI;9.735111225;A;_Z;_Z
A;ES616;2010;ESTA_MEDI_ABIE_ESTI;11.553363201;A;_Z;_Z
A;ES616;2009;ESTA_MEDI_ABIE_ESTI;11.763511975;A;_Z;_Z
A;ES616;2008;ESTA_MEDI_ABIE_ESTI;9.846326165;A;_Z;_Z
A;ES616;2007;ESTA_MEDI_ABIE_ESTI;9.64281234;A;_Z;_Z
A;ES617;2020;ESTA_MEDI_ABIE_ESTI;24.653710121;A;_Z;_Z
A;ES617;2019;ESTA_MEDI_ABIE_ESTI;30.301344086;A;_Z;_Z
A;ES617;2018;ESTA_MEDI_ABIE_ESTI;28.590949821;A;_Z;_Z
A;ES617;2017;ESTA_MEDI_ABIE_ESTI;29.49516129;A;_Z;_Z
A;ES617;2016;ESTA_MEDI_ABIE_ESTI;30.574537037;A;_Z;_Z
A;ES617;2015;ESTA_MEDI_ABIE_ESTI;28.475070404;A;_Z;_Z
A;ES617;2014;ESTA_MEDI_ABIE_ESTI;27.929569893;A;_Z;_Z
A;ES617;2013;ESTA_MEDI_ABIE_ESTI;28.415604198;A;_Z;_Z
A;ES617;2012;ESTA_MEDI_ABIE_ESTI;27.772670252;A;_Z;_Z
A;ES617;2011;ESTA_MEDI_ABIE_ESTI;27.245014082;A;_Z;_Z
A;ES617;2010;ESTA_MEDI_ABIE_ESTI;27.455408346;A;_Z;_Z
A;ES617;2009;ESTA_MEDI_ABIE_ESTI;26.418625192;A;_Z;_Z
A;ES617;2008;ESTA_MEDI_ABIE_ESTI;25.606071561;A;_Z;_Z
A;ES617;2007;ESTA_MEDI_ABIE_ESTI;24.600537633;A;_Z;_Z
A;ES618;2020;ESTA_MEDI_ABIE_ESTI;2.905669599;A;_Z;_Z
A;ES618;2019;ESTA_MEDI_ABIE_ESTI;4.525985664;A;_Z;_Z
A;ES618;2018;ESTA_MEDI_ABIE_ESTI;4.34811828;A;_Z;_Z
A;ES618;2017;ESTA_MEDI_ABIE_ESTI;4.366039427;A;_Z;_Z
A;ES618;2016;ESTA_MEDI_ABIE_ESTI;4.059343715;A;_Z;_Z
A;ES618;2015;ESTA_MEDI_ABIE_ESTI;4.147670251;A;_Z;_Z
A;ES618;2014;ESTA_MEDI_ABIE_ESTI;4.531848438;A;_Z;_Z
A;ES618;2013;ESTA_MEDI_ABIE_ESTI;3.788082438;A;_Z;_Z
A;ES618;2012;ESTA_MEDI_ABIE_ESTI;3.647138796;A;_Z;_Z
A;ES618;2011;ESTA_MEDI_ABIE_ESTI;3.768010753;A;_Z;_Z
A;ES618;2010;ESTA_MEDI_ABIE_ESTI;4.681899642;A;_Z;_Z
A;ES618;2009;ESTA_MEDI_ABIE_ESTI;5.598352535;A;_Z;_Z
A;ES618;2008;ESTA_MEDI_ABIE_ESTI;7.21275322;A;_Z;_Z
A;ES618;2007;ESTA_MEDI_ABIE_ESTI;7.607834101;A;_Z;_Z
A;ES61;2020;ESTA_MEDI_ABIE_ESTI;95.374037788;A;_Z;_Z
A;ES61;2019;ESTA_MEDI_ABIE_ESTI;122.143171531;A;_Z;_Z
A;ES61;2018;ESTA_MEDI_ABIE_ESTI;116.818448381;A;_Z;_Z
A;ES61;2017;ESTA_MEDI_ABIE_ESTI;118.295705323;A;_Z;_Z
A;ES61;2016;ESTA_MEDI_ABIE_ESTI;124.014114168;A;_Z;_Z
A;ES61;2015;ESTA_MEDI_ABIE_ESTI;119.238648073;A;_Z;_Z
A;ES61;2014;ESTA_MEDI_ABIE_ESTI;119.259935651;A;_Z;_Z
A;ES61;2013;ESTA_MEDI_ABIE_ESTI;121.074803719;A;_Z;_Z
A;ES61;2012;ESTA_MEDI_ABIE_ESTI;121.525551214;A;_Z;_Z
A;ES61;2011;ESTA_MEDI_ABIE_ESTI;116.269696771;A;_Z;_Z
A;ES61;2010;ESTA_MEDI_ABIE_ESTI;120.602238212;A;_Z;_Z
A;ES61;2009;ESTA_MEDI_ABIE_ESTI;124.051149291;A;_Z;_Z
A;ES61;2008;ESTA_MEDI_ABIE_ESTI;122.257144172;A;_Z;_Z
A;ES61;2007;ESTA_MEDI_ABIE_ESTI;121.37828206;A;_Z;_Z
P;ES611;2021;ESTA_MEDI_ABIE_ESTI;24.123861309;A;_Z;_Z
P;ES612;2021;ESTA_MEDI_ABIE_ESTI;20.66154007;A;_Z;_Z
P;ES613;2021;ESTA_MEDI_ABIE_ESTI;5.958448541;A;_Z;_Z
P;ES614;2021;ESTA_MEDI_ABIE_ESTI;17.882787553;A;_Z;_Z
P;ES615;2021;ESTA_MEDI_ABIE_ESTI;8.907258065;A;_Z;_Z
P;ES616;2021;ESTA_MEDI_ABIE_ESTI;7.875656398;A;_Z;_Z
P;ES617;2021;ESTA_MEDI_ABIE_ESTI;30.025132809;A;_Z;_Z
P;ES618;2021;ESTA_MEDI_ABIE_ESTI;4.068503584;A;_Z;_Z
P;ES61;2021;ESTA_MEDI_ABIE_ESTI;119.503188329;A;_Z;_Z
