D_TEMPORAL_0;D_TERRITORIO_0;D_EDAD_0;D_G102_0;D_SEXO_0;INDICATOR;OBS_VALUE;FREQ
2020;2352;61620;57731;3689;Defunciones;449.0;A
2020;2352;61620;57731;3690;Defunciones;614.0;A
2020;2352;61620;57731;3691;Defunciones;1063.0;A
2020;2352;61620;583;3689;Defunciones;476.0;A
2020;2352;61620;583;3690;Defunciones;645.0;A
2020;2352;61620;583;3691;Defunciones;1121.0;A
2020;2352;61621;838410;3689;Defunciones;15.0;A
2020;2352;61621;838410;3690;Defunciones;21.0;A
2020;2352;61621;838410;3691;Defunciones;36.0;A
2020;2352;61621;838411;3689;Defunciones;1.0;A
2020;2352;61621;838411;3690;Defunciones;6.0;A
2020;2352;61621;838411;3691;Defunciones;7.0;A
2020;2352;61621;57731;3689;Defunciones;284.0;A
2020;2352;61621;57731;3690;Defunciones;476.0;A
2020;2352;61621;57731;3691;Defunciones;760.0;A
2020;2352;61621;583;3689;Defunciones;300.0;A
2020;2352;61621;583;3690;Defunciones;503.0;A
2020;2352;61621;583;3691;Defunciones;803.0;A
2020;2352;61622;838410;3689;Defunciones;3.0;A
2020;2352;61622;838410;3690;Defunciones;8.0;A
2020;2352;61622;838410;3691;Defunciones;11.0;A
2020;2352;61622;838411;3690;Defunciones;2.0;A
2020;2352;61622;838411;3691;Defunciones;2.0;A
2020;2352;61622;57731;3689;Defunciones;65.0;A
2020;2352;61622;57731;3690;Defunciones;182.0;A
2020;2352;61622;57731;3691;Defunciones;247.0;A
2020;2352;61622;583;3689;Defunciones;68.0;A
2020;2352;61622;583;3690;Defunciones;192.0;A
2020;2352;61622;583;3691;Defunciones;260.0;A
2020;2352;61623;838410;3689;Defunciones;1.0;A
2020;2352;61623;838410;3690;Defunciones;1.0;A
2020;2352;61623;838410;3691;Defunciones;2.0;A
2020;2352;61623;57731;3689;Defunciones;13.0;A
2020;2352;61623;57731;3690;Defunciones;30.0;A
2020;2352;61623;57731;3691;Defunciones;43.0;A
2020;2352;61623;583;3689;Defunciones;14.0;A
2020;2352;61623;583;3690;Defunciones;31.0;A
2020;2352;61623;583;3691;Defunciones;45.0;A
