D_TEMPORAL_0;D_CIE10_0;D_TERRITORIO_0;D_SEXO_0;INDICATOR;OBS_VALUE;FREQ
2020;56536;2352;3691;Defunciones;317.0;A
2020;56536;2352;3689;Defunciones;127.0;A
2020;56536;2352;3690;Defunciones;190.0;A
2020;56536;2402;3691;Defunciones;647.0;A
2020;56536;2402;3689;Defunciones;251.0;A
2020;56536;2402;3690;Defunciones;396.0;A
2020;56536;2482;3691;Defunciones;400.0;A
2020;56536;2482;3689;Defunciones;162.0;A
2020;56536;2482;3690;Defunciones;238.0;A
2020;56536;2713;3691;Defunciones;532.0;A
2020;56536;2713;3689;Defunciones;206.0;A
2020;56536;2713;3690;Defunciones;326.0;A
2020;56536;2797;3691;Defunciones;276.0;A
2020;56536;2797;3689;Defunciones;107.0;A
2020;56536;2797;3690;Defunciones;169.0;A
2020;56536;2911;3691;Defunciones;348.0;A
2020;56536;2911;3689;Defunciones;139.0;A
2020;56536;2911;3690;Defunciones;209.0;A
2020;56536;3023;3691;Defunciones;890.0;A
2020;56536;3023;3689;Defunciones;331.0;A
2020;56536;3023;3690;Defunciones;559.0;A
2020;56536;3142;3691;Defunciones;998.0;A
2020;56536;3142;3689;Defunciones;382.0;A
2020;56536;3142;3690;Defunciones;616.0;A
2020;56604;3143;3691;Defunciones;22508.0;A
2020;56604;3143;3689;Defunciones;10464.0;A
2020;56604;3143;3690;Defunciones;12044.0;A
2020;56604;2352;3691;Defunciones;1416.0;A
2020;56604;2352;3689;Defunciones;696.0;A
2020;56604;2352;3690;Defunciones;720.0;A
2020;56604;2402;3691;Defunciones;3087.0;A
2020;56604;2402;3689;Defunciones;1473.0;A
2020;56604;2402;3690;Defunciones;1614.0;A
2020;56604;2482;3691;Defunciones;2371.0;A
2020;56604;2482;3689;Defunciones;1046.0;A
2020;56604;2482;3690;Defunciones;1325.0;A
2020;56604;2713;3691;Defunciones;2617.0;A
2020;56604;2713;3689;Defunciones;1201.0;A
2020;56604;2713;3690;Defunciones;1416.0;A
2020;56604;2797;3691;Defunciones;1334.0;A
2020;56604;2797;3689;Defunciones;614.0;A
2020;56604;2797;3690;Defunciones;720.0;A
2020;56604;2911;3691;Defunciones;1837.0;A
2020;56604;2911;3689;Defunciones;847.0;A
2020;56604;2911;3690;Defunciones;990.0;A
2020;56604;3023;3691;Defunciones;4122.0;A
2020;56604;3023;3689;Defunciones;2005.0;A
2020;56604;3023;3690;Defunciones;2117.0;A
2020;56604;3142;3691;Defunciones;5724.0;A
2020;56604;3142;3689;Defunciones;2582.0;A
2020;56604;3142;3690;Defunciones;3142.0;A
2020;56669;3143;3691;Defunciones;6581.0;A
2020;56669;3143;3689;Defunciones;3929.0;A
2020;56669;3143;3690;Defunciones;2652.0;A
2020;56669;2352;3691;Defunciones;518.0;A
2020;56669;2352;3689;Defunciones;322.0;A
2020;56669;2352;3690;Defunciones;196.0;A
2020;56669;2402;3691;Defunciones;951.0;A
2020;56669;2402;3689;Defunciones;574.0;A
2020;56669;2402;3690;Defunciones;377.0;A
2020;56669;2482;3691;Defunciones;790.0;A
2020;56669;2482;3689;Defunciones;488.0;A
2020;56669;2482;3690;Defunciones;302.0;A
2020;56669;2713;3691;Defunciones;743.0;A
2020;56669;2713;3689;Defunciones;427.0;A
2020;56669;2713;3690;Defunciones;316.0;A
2020;56669;2797;3691;Defunciones;387.0;A
2020;56669;2797;3689;Defunciones;228.0;A
2020;56669;2797;3690;Defunciones;159.0;A
2020;56669;2911;3691;Defunciones;671.0;A
2020;56669;2911;3689;Defunciones;395.0;A
2020;56669;2911;3690;Defunciones;276.0;A
2020;56669;3023;3691;Defunciones;1108.0;A
2020;56669;3023;3689;Defunciones;666.0;A
2020;56669;3023;3690;Defunciones;442.0;A
2020;56669;3142;3691;Defunciones;1413.0;A
2020;56669;3142;3689;Defunciones;829.0;A
2020;56669;3142;3690;Defunciones;584.0;A
2020;56737;3143;3691;Defunciones;3972.0;A
2020;56737;3143;3689;Defunciones;2108.0;A
2020;56737;3143;3690;Defunciones;1864.0;A
2020;56737;2352;3691;Defunciones;261.0;A
2020;56737;2352;3689;Defunciones;160.0;A
2020;56737;2352;3690;Defunciones;101.0;A
2020;56737;2402;3691;Defunciones;579.0;A
2020;56737;2402;3689;Defunciones;320.0;A
2020;56737;2402;3690;Defunciones;259.0;A
2020;56737;2482;3691;Defunciones;461.0;A
2020;56737;2482;3689;Defunciones;223.0;A
2020;56737;2482;3690;Defunciones;238.0;A
2020;56737;2713;3691;Defunciones;420.0;A
2020;56737;2713;3689;Defunciones;199.0;A
2020;56737;2713;3690;Defunciones;221.0;A
2020;56737;2797;3691;Defunciones;254.0;A
2020;56737;2797;3689;Defunciones;144.0;A
2020;56737;2797;3690;Defunciones;110.0;A
2020;56737;2911;3691;Defunciones;389.0;A
2020;56737;2911;3689;Defunciones;193.0;A
2020;56737;2911;3690;Defunciones;196.0;A
2020;56737;3023;3691;Defunciones;711.0;A
2020;56737;3023;3689;Defunciones;382.0;A
2020;56737;3023;3690;Defunciones;329.0;A
2020;56737;3142;3691;Defunciones;897.0;A
2020;56737;3142;3689;Defunciones;487.0;A
2020;56737;3142;3690;Defunciones;410.0;A
2020;56805;3143;3691;Defunciones;280.0;A
2020;56805;3143;3689;Defunciones;86.0;A
2020;56805;3143;3690;Defunciones;194.0;A
2020;56805;2352;3691;Defunciones;12.0;A
2020;56805;2352;3689;Defunciones;4.0;A
2020;56805;2352;3690;Defunciones;8.0;A
2020;56805;2402;3691;Defunciones;52.0;A
2020;56805;2402;3689;Defunciones;18.0;A
2020;56805;2402;3690;Defunciones;34.0;A
2020;56805;2482;3691;Defunciones;35.0;A
2020;56805;2482;3689;Defunciones;15.0;A
2020;56805;2482;3690;Defunciones;20.0;A
2020;56805;2713;3691;Defunciones;35.0;A
2020;56805;2713;3689;Defunciones;13.0;A
2020;56805;2713;3690;Defunciones;22.0;A
2020;56805;2797;3691;Defunciones;16.0;A
2020;56805;2797;3689;Defunciones;4.0;A
2020;56805;2797;3690;Defunciones;12.0;A
2020;56805;2911;3691;Defunciones;24.0;A
2020;56805;2911;3689;Defunciones;6.0;A
2020;56805;2911;3690;Defunciones;18.0;A
2020;56805;3023;3691;Defunciones;51.0;A
2020;56805;3023;3689;Defunciones;12.0;A
2020;56805;3023;3690;Defunciones;39.0;A
2020;56805;3142;3691;Defunciones;55.0;A
2020;56805;3142;3689;Defunciones;14.0;A
2020;56805;3142;3690;Defunciones;41.0;A
2020;56873;3143;3691;Defunciones;756.0;A
2020;56873;3143;3689;Defunciones;254.0;A
2020;56873;3143;3690;Defunciones;502.0;A
2020;56873;2352;3691;Defunciones;61.0;A
2020;56873;2352;3689;Defunciones;21.0;A
2020;56873;2352;3690;Defunciones;40.0;A
2020;56873;2402;3691;Defunciones;101.0;A
2020;56873;2402;3689;Defunciones;32.0;A
2020;56873;2402;3690;Defunciones;69.0;A
2020;56873;2482;3691;Defunciones;89.0;A
2020;56873;2482;3689;Defunciones;26.0;A
2020;56873;2482;3690;Defunciones;63.0;A
2020;56873;2713;3691;Defunciones;103.0;A
2020;56873;2713;3689;Defunciones;36.0;A
2020;56873;2713;3690;Defunciones;67.0;A
2020;56873;2797;3691;Defunciones;59.0;A
2020;56873;2797;3689;Defunciones;19.0;A
2020;56873;2797;3690;Defunciones;40.0;A
2020;56873;2911;3691;Defunciones;97.0;A
2020;56873;2911;3689;Defunciones;30.0;A
2020;56873;2911;3690;Defunciones;67.0;A
