D_EDCA_LUGDEF_0;D_MES_0;D_G102_0;D_SEXO_0;D_TEMPORAL_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
838406;55916;583;3689;2020;3143;Defunciones;178.0;A
838406;55916;583;3690;2020;3143;Defunciones;326.0;A
838406;55916;583;3691;2020;3143;Defunciones;504.0;A
838406;55917;838410;3689;2020;3143;Defunciones;31.0;A
838406;55917;838410;3690;2020;3143;Defunciones;89.0;A
838406;55917;838410;3691;2020;3143;Defunciones;120.0;A
838406;55917;838411;3689;2020;3143;Defunciones;;A
838406;55917;838411;3690;2020;3143;Defunciones;;A
838406;55917;838411;3691;2020;3143;Defunciones;;A
838406;55917;57731;3689;2020;3143;Defunciones;183.0;A
838406;55917;57731;3690;2020;3143;Defunciones;312.0;A
838406;55917;57731;3691;2020;3143;Defunciones;495.0;A
838406;55917;583;3689;2020;3143;Defunciones;214.0;A
838406;55917;583;3690;2020;3143;Defunciones;401.0;A
838406;55917;583;3691;2020;3143;Defunciones;615.0;A
838406;55918;838410;3689;2020;3143;Defunciones;79.0;A
838406;55918;838410;3690;2020;3143;Defunciones;130.0;A
838406;55918;838410;3691;2020;3143;Defunciones;209.0;A
838406;55918;838411;3689;2020;3143;Defunciones;3.0;A
838406;55918;838411;3690;2020;3143;Defunciones;;A
838406;55918;838411;3691;2020;3143;Defunciones;3.0;A
838406;55918;57731;3689;2020;3143;Defunciones;189.0;A
838406;55918;57731;3690;2020;3143;Defunciones;318.0;A
838406;55918;57731;3691;2020;3143;Defunciones;507.0;A
838406;55918;583;3689;2020;3143;Defunciones;271.0;A
838406;55918;583;3690;2020;3143;Defunciones;448.0;A
838406;55918;583;3691;2020;3143;Defunciones;719.0;A
838406;55919;838410;3689;2020;3143;Defunciones;19.0;A
838406;55919;838410;3690;2020;3143;Defunciones;37.0;A
838406;55919;838410;3691;2020;3143;Defunciones;56.0;A
838406;55919;838411;3689;2020;3143;Defunciones;;A
838406;55919;838411;3690;2020;3143;Defunciones;2.0;A
838406;55919;838411;3691;2020;3143;Defunciones;2.0;A
838406;55919;57731;3689;2020;3143;Defunciones;182.0;A
838406;55919;57731;3690;2020;3143;Defunciones;341.0;A
838406;55919;57731;3691;2020;3143;Defunciones;523.0;A
838406;55919;583;3689;2020;3143;Defunciones;201.0;A
838406;55919;583;3690;2020;3143;Defunciones;380.0;A
838406;55919;583;3691;2020;3143;Defunciones;581.0;A
838406;55920;838410;3689;2020;3143;Defunciones;214.0;A
838406;55920;838410;3690;2020;3143;Defunciones;433.0;A
838406;55920;838410;3691;2020;3143;Defunciones;647.0;A
838406;55920;838411;3689;2020;3143;Defunciones;50.0;A
838406;55920;838411;3690;2020;3143;Defunciones;80.0;A
838406;55920;838411;3691;2020;3143;Defunciones;130.0;A
