D_G102_0;D_EDAD_0;D_TERRITORIO_0;D_TEMPORAL_0;D_MES_0;D_SEXO_0;INDICATOR;OBS_VALUE;FREQ
57630;4191;3143;2013;55912;3690;Defunciones;1.0;A
57630;4191;3143;2013;55917;3691;Defunciones;1.0;A
57630;4191;3143;2013;55917;3689;Defunciones;1.0;A
57630;4210;3143;2014;55920;3691;Defunciones;1.0;A
57630;4210;3143;2014;55920;3689;Defunciones;1.0;A
57630;4210;3143;2014;55912;3691;Defunciones;1.0;A
57630;4210;3143;2014;55912;3689;Defunciones;1.0;A
57630;4210;3143;2013;55920;3691;Defunciones;1.0;A
57630;4210;3143;2013;55920;3689;Defunciones;1.0;A
57630;4210;3143;2013;55915;3691;Defunciones;1.0;A
57630;4210;3143;2013;55915;3689;Defunciones;1.0;A
57630;4235;3143;2014;55920;3691;Defunciones;1.0;A
57630;4235;3143;2014;55920;3689;Defunciones;1.0;A
57630;4235;3143;2014;55911;3691;Defunciones;1.0;A
57630;4235;3143;2014;55911;3689;Defunciones;1.0;A
57630;4235;3143;2013;55920;3691;Defunciones;2.0;A
57630;4235;3143;2013;55920;3689;Defunciones;2.0;A
57630;4235;3143;2013;55909;3691;Defunciones;1.0;A
57630;4235;3143;2013;55909;3689;Defunciones;1.0;A
57630;4235;3143;2013;55910;3691;Defunciones;1.0;A
57630;4235;3143;2013;55910;3689;Defunciones;1.0;A
57630;4305;3143;2014;55920;3691;Defunciones;2.0;A
57630;4305;3143;2014;55920;3689;Defunciones;2.0;A
