TEMPORAL;TERRITORIO;EDAD;SEXO;INDICATOR;OBS_VALUE;FREQ
2020;2247;Y35-39;_T;NACI;2.0;A
2020;2247;Y35-39;M;NACI;2.0;A
2020;2250;TOTAL;_T;NACI;5.0;A
2020;2250;TOTAL;M;NACI;2.0;A
2020;2250;TOTAL;F;NACI;3.0;A
2020;2250;Y15-29;_T;NACI;1.0;A
2020;2250;Y15-29;F;NACI;1.0;A
2020;2250;Y25-29;_T;NACI;1.0;A
2020;2250;Y25-29;M;NACI;1.0;A
2020;2250;Y35-39;_T;NACI;3.0;A
2020;2250;Y35-39;M;NACI;1.0;A
2020;2250;Y35-39;F;NACI;2.0;A
2020;2251;TOTAL;_T;NACI;35.0;A
2020;2251;TOTAL;M;NACI;17.0;A
2020;2251;TOTAL;F;NACI;18.0;A
2020;2251;Y15-29;_T;NACI;1.0;A
2020;2251;Y15-29;F;NACI;1.0;A
2020;2251;Y20-24;_T;NACI;3.0;A
2020;2251;Y20-24;M;NACI;2.0;A
2020;2251;Y20-24;F;NACI;1.0;A
2020;2251;Y25-29;_T;NACI;9.0;A
2020;2251;Y25-29;M;NACI;6.0;A
2020;2251;Y25-29;F;NACI;3.0;A
2020;2251;Y30-34;_T;NACI;9.0;A
2020;2251;Y30-34;M;NACI;4.0;A
2020;2251;Y30-34;F;NACI;5.0;A
2020;2251;Y35-39;_T;NACI;10.0;A
2020;2251;Y35-39;M;NACI;5.0;A
2020;2251;Y35-39;F;NACI;5.0;A
2020;2251;Y30-44;_T;NACI;3.0;A
2020;2251;Y30-44;F;NACI;3.0;A
2020;2253;TOTAL;_T;NACI;1807.0;A
2020;2253;TOTAL;M;NACI;906.0;A
2020;2253;TOTAL;F;NACI;901.0;A
2020;2253;Y15-29;_T;NACI;60.0;A
2020;2253;Y15-29;M;NACI;22.0;A
2020;2253;Y15-29;F;NACI;38.0;A
2020;2253;Y20-24;_T;NACI;227.0;A
2020;2253;Y20-24;M;NACI;109.0;A
2020;2253;Y20-24;F;NACI;118.0;A
2020;2253;Y25-29;_T;NACI;335.0;A
2020;2253;Y25-29;M;NACI;178.0;A
2020;2253;Y25-29;F;NACI;157.0;A
2020;2253;Y30-34;_T;NACI;559.0;A
