TEMPORAL;SEXO;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2020;M;2537;NACI;4.0;A
2020;M;2538;NACI;4.0;A
2020;M;2707;NACI;5.0;A
2020;M;2541;NACI;16.0;A
2020;M;2542;NACI;30.0;A
2020;M;2549;NACI;7.0;A
2020;M;2550;NACI;2.0;A
2020;M;2551;NACI;5.0;A
2020;M;2553;NACI;8.0;A
2020;M;2554;NACI;3.0;A
2020;M;2555;NACI;7.0;A
2020;M;2556;NACI;3.0;A
2020;M;9565;NACI;6.0;A
2020;M;2558;NACI;18.0;A
2020;M;2559;NACI;4.0;A
2020;M;2563;NACI;5.0;A
2020;M;2564;NACI;1.0;A
2020;M;2565;NACI;1.0;A
2020;M;2566;NACI;23.0;A
2020;M;2700;NACI;113.0;A
2020;M;2569;NACI;2.0;A
2020;M;2571;NACI;18.0;A
2020;M;2572;NACI;1.0;A
2020;M;2574;NACI;862.0;A
2020;M;2575;NACI;12.0;A
2020;M;2576;NACI;69.0;A
2020;M;2580;NACI;17.0;A
2020;M;2581;NACI;5.0;A
2020;M;2582;NACI;19.0;A
2020;M;2584;NACI;3.0;A
2020;M;2585;NACI;24.0;A
2020;M;2586;NACI;3.0;A
2020;M;2587;NACI;49.0;A
2020;M;2588;NACI;33.0;A
2020;M;2589;NACI;39.0;A
2020;M;2590;NACI;3.0;A
2020;M;2592;NACI;31.0;A
2020;M;2594;NACI;2.0;A
2020;M;2595;NACI;1.0;A
2020;M;2596;NACI;2.0;A
2020;M;2598;NACI;19.0;A
2020;M;2603;NACI;15.0;A
2020;M;2604;NACI;18.0;A
2020;M;2605;NACI;1.0;A
2020;M;2608;NACI;1.0;A
2020;M;2610;NACI;81.0;A
2020;M;2611;NACI;1.0;A
2020;M;2612;NACI;2.0;A
2020;M;2614;NACI;3.0;A
2020;M;2616;NACI;83.0;A
2020;M;2617;NACI;4.0;A
2020;M;2621;NACI;7.0;A
2020;M;2622;NACI;8.0;A
2020;M;2623;NACI;30.0;A
2020;M;2624;NACI;20.0;A
2020;M;2625;NACI;2.0;A
2020;M;2627;NACI;6.0;A
2020;M;2704;NACI;3.0;A
2020;M;2629;NACI;244.0;A
2020;M;2632;NACI;5.0;A
2020;M;2633;NACI;3.0;A
2020;M;2634;NACI;56.0;A
2020;M;2635;NACI;4.0;A
2020;M;2636;NACI;22.0;A
2020;M;2637;NACI;2.0;A
2020;M;2639;NACI;33.0;A
2020;M;2640;NACI;2.0;A
2020;M;2641;NACI;5.0;A
2020;M;2642;NACI;50.0;A
2020;M;2643;NACI;9.0;A
2020;M;2705;NACI;1.0;A
2020;M;2646;NACI;5.0;A
2020;M;2647;NACI;43.0;A
2020;M;2648;NACI;2.0;A
2020;M;2651;NACI;8.0;A
2020;M;2653;NACI;14.0;A
2020;M;2654;NACI;17.0;A
2020;M;2656;NACI;8.0;A
2020;M;2657;NACI;3.0;A
2020;M;2660;NACI;10.0;A
2020;M;2662;NACI;24.0;A
2020;M;2664;NACI;45.0;A
2020;M;2666;NACI;6.0;A
2020;M;280350;NACI;15.0;A
2020;M;2668;NACI;2.0;A
2020;M;2669;NACI;2.0;A
2020;M;2671;NACI;11.0;A
2020;M;2709;NACI;5.0;A
2020;M;2697;NACI;1.0;A
2020;M;2702;NACI;6.0;A
2020;M;2672;NACI;3.0;A
2020;M;2706;NACI;52.0;A
2020;M;2673;NACI;8.0;A
2020;M;2674;NACI;1.0;A
2020;M;2638;NACI;28.0;A
