TEMPORAL;TERRITORIO;SEXO;EDAD;INDICATOR;OBS_VALUE;FREQ
2020;ES611;F;Y95-99;DEATHS;192.0;A
2020;ES611;F;Y_GE100;DEATHS;31.0;A
2020;2241;_T;TOTAL;DEATHS;8.0;A
2020;2241;_T;Y65-69;DEATHS;1.0;A
2020;2241;_T;Y80-84;DEATHS;2.0;A
2020;2241;_T;Y85-89;DEATHS;2.0;A
2020;2241;_T;Y90-94;DEATHS;3.0;A
2020;2241;M;TOTAL;DEATHS;3.0;A
2020;2241;M;Y65-69;DEATHS;1.0;A
2020;2241;M;Y80-84;DEATHS;1.0;A
2020;2241;M;Y90-94;DEATHS;1.0;A
2020;2241;F;TOTAL;DEATHS;5.0;A
2020;2241;F;Y80-84;DEATHS;1.0;A
2020;2241;F;Y85-89;DEATHS;2.0;A
2020;2241;F;Y90-94;DEATHS;2.0;A
2020;2242;_T;TOTAL;DEATHS;17.0;A
2020;2242;_T;Y50-54;DEATHS;1.0;A
2020;2242;_T;Y60-64;DEATHS;1.0;A
2020;2242;_T;Y75-79;DEATHS;1.0;A
2020;2242;_T;Y80-84;DEATHS;2.0;A
2020;2242;_T;Y85-89;DEATHS;3.0;A
2020;2242;_T;Y90-94;DEATHS;8.0;A
2020;2242;_T;Y_GE100;DEATHS;1.0;A
2020;2242;M;TOTAL;DEATHS;6.0;A
2020;2242;M;Y60-64;DEATHS;1.0;A
2020;2242;M;Y80-84;DEATHS;1.0;A
2020;2242;M;Y85-89;DEATHS;2.0;A
2020;2242;M;Y90-94;DEATHS;2.0;A
2020;2242;F;TOTAL;DEATHS;11.0;A
2020;2242;F;Y50-54;DEATHS;1.0;A
2020;2242;F;Y75-79;DEATHS;1.0;A
2020;2242;F;Y80-84;DEATHS;1.0;A
2020;2242;F;Y85-89;DEATHS;1.0;A
2020;2242;F;Y90-94;DEATHS;6.0;A
2020;2242;F;Y_GE100;DEATHS;1.0;A
2020;2243;_T;TOTAL;DEATHS;206.0;A
2020;2243;_T;Y1-4;DEATHS;1.0;A
2020;2243;_T;Y25-29;DEATHS;1.0;A
2020;2243;_T;Y30-34;DEATHS;2.0;A
2020;2243;_T;Y35-39;DEATHS;2.0;A
2020;2243;_T;Y40-44;DEATHS;1.0;A
2020;2243;_T;Y45-49;DEATHS;3.0;A
2020;2243;_T;Y50-54;DEATHS;8.0;A
2020;2243;_T;Y55-59;DEATHS;14.0;A
2020;2243;_T;Y60-64;DEATHS;13.0;A
2020;2243;_T;Y65-69;DEATHS;10.0;A
2020;2243;_T;Y70-74;DEATHS;16.0;A
2020;2243;_T;Y75-79;DEATHS;23.0;A
2020;2243;_T;Y80-84;DEATHS;36.0;A
2020;2243;_T;Y85-89;DEATHS;40.0;A
2020;2243;_T;Y90-94;DEATHS;30.0;A
2020;2243;_T;Y95-99;DEATHS;6.0;A
2020;2243;M;TOTAL;DEATHS;105.0;A
2020;2243;M;Y1-4;DEATHS;1.0;A
2020;2243;M;Y25-29;DEATHS;1.0;A
2020;2243;M;Y30-34;DEATHS;2.0;A
2020;2243;M;Y35-39;DEATHS;1.0;A
2020;2243;M;Y40-44;DEATHS;1.0;A
2020;2243;M;Y45-49;DEATHS;2.0;A
2020;2243;M;Y50-54;DEATHS;4.0;A
2020;2243;M;Y55-59;DEATHS;6.0;A
2020;2243;M;Y60-64;DEATHS;8.0;A
2020;2243;M;Y65-69;DEATHS;6.0;A
2020;2243;M;Y70-74;DEATHS;9.0;A
2020;2243;M;Y75-79;DEATHS;13.0;A
2020;2243;M;Y80-84;DEATHS;17.0;A
2020;2243;M;Y85-89;DEATHS;20.0;A
2020;2243;M;Y90-94;DEATHS;13.0;A
2020;2243;M;Y95-99;DEATHS;1.0;A
2020;2243;F;TOTAL;DEATHS;101.0;A
2020;2243;F;Y35-39;DEATHS;1.0;A
2020;2243;F;Y45-49;DEATHS;1.0;A
2020;2243;F;Y50-54;DEATHS;4.0;A
2020;2243;F;Y55-59;DEATHS;8.0;A
2020;2243;F;Y60-64;DEATHS;5.0;A
2020;2243;F;Y65-69;DEATHS;4.0;A
2020;2243;F;Y70-74;DEATHS;7.0;A
2020;2243;F;Y75-79;DEATHS;10.0;A
2020;2243;F;Y80-84;DEATHS;19.0;A
2020;2243;F;Y85-89;DEATHS;20.0;A
2020;2243;F;Y90-94;DEATHS;17.0;A
2020;2243;F;Y95-99;DEATHS;5.0;A
2020;2244;_T;TOTAL;DEATHS;13.0;A
2020;2244;_T;Y75-79;DEATHS;1.0;A
2020;2244;_T;Y80-84;DEATHS;2.0;A
2020;2244;_T;Y85-89;DEATHS;6.0;A
2020;2244;_T;Y90-94;DEATHS;4.0;A
2020;2244;M;TOTAL;DEATHS;5.0;A
2020;2244;M;Y75-79;DEATHS;1.0;A
2020;2244;M;Y80-84;DEATHS;1.0;A
2020;2244;M;Y85-89;DEATHS;2.0;A
2020;2244;M;Y90-94;DEATHS;1.0;A
2020;2244;F;TOTAL;DEATHS;8.0;A
2020;2244;F;Y80-84;DEATHS;1.0;A
2020;2244;F;Y85-89;DEATHS;4.0;A
2020;2244;F;Y90-94;DEATHS;3.0;A
2020;2245;_T;TOTAL;DEATHS;8.0;A
2020;2245;_T;Y75-79;DEATHS;2.0;A
2020;2245;_T;Y80-84;DEATHS;3.0;A
2020;2245;_T;Y90-94;DEATHS;3.0;A
2020;2245;M;TOTAL;DEATHS;6.0;A
2020;2245;M;Y75-79;DEATHS;2.0;A
2020;2245;M;Y80-84;DEATHS;2.0;A
2020;2245;M;Y90-94;DEATHS;2.0;A
2020;2245;F;TOTAL;DEATHS;2.0;A
2020;2245;F;Y80-84;DEATHS;1.0;A
2020;2245;F;Y90-94;DEATHS;1.0;A
2020;2246;_T;TOTAL;DEATHS;132.0;A
2020;2246;_T;Y15-19;DEATHS;2.0;A
2020;2246;_T;Y20-24;DEATHS;1.0;A
2020;2246;_T;Y35-39;DEATHS;4.0;A
2020;2246;_T;Y40-44;DEATHS;1.0;A
2020;2246;_T;Y45-49;DEATHS;2.0;A
2020;2246;_T;Y50-54;DEATHS;4.0;A
2020;2246;_T;Y55-59;DEATHS;2.0;A
2020;2246;_T;Y60-64;DEATHS;8.0;A
2020;2246;_T;Y65-69;DEATHS;10.0;A
2020;2246;_T;Y70-74;DEATHS;23.0;A
2020;2246;_T;Y75-79;DEATHS;8.0;A
2020;2246;_T;Y80-84;DEATHS;20.0;A
2020;2246;_T;Y85-89;DEATHS;26.0;A
2020;2246;_T;Y90-94;DEATHS;15.0;A
2020;2246;_T;Y95-99;DEATHS;6.0;A
2020;2246;M;TOTAL;DEATHS;77.0;A
2020;2246;M;Y15-19;DEATHS;2.0;A
2020;2246;M;Y35-39;DEATHS;2.0;A
2020;2246;M;Y40-44;DEATHS;1.0;A
2020;2246;M;Y45-49;DEATHS;1.0;A
2020;2246;M;Y50-54;DEATHS;2.0;A
2020;2246;M;Y60-64;DEATHS;6.0;A
2020;2246;M;Y65-69;DEATHS;8.0;A
2020;2246;M;Y70-74;DEATHS;16.0;A
2020;2246;M;Y75-79;DEATHS;7.0;A
2020;2246;M;Y80-84;DEATHS;13.0;A
2020;2246;M;Y85-89;DEATHS;11.0;A
2020;2246;M;Y90-94;DEATHS;6.0;A
2020;2246;M;Y95-99;DEATHS;2.0;A
2020;2246;F;TOTAL;DEATHS;55.0;A
2020;2246;F;Y20-24;DEATHS;1.0;A
2020;2246;F;Y35-39;DEATHS;2.0;A
2020;2246;F;Y45-49;DEATHS;1.0;A
2020;2246;F;Y50-54;DEATHS;2.0;A
2020;2246;F;Y55-59;DEATHS;2.0;A
2020;2246;F;Y60-64;DEATHS;2.0;A
2020;2246;F;Y65-69;DEATHS;2.0;A
2020;2246;F;Y70-74;DEATHS;7.0;A
2020;2246;F;Y75-79;DEATHS;1.0;A
2020;2246;F;Y80-84;DEATHS;7.0;A
2020;2246;F;Y85-89;DEATHS;15.0;A
2020;2246;F;Y90-94;DEATHS;9.0;A
2020;2246;F;Y95-99;DEATHS;4.0;A
2020;2247;_T;TOTAL;DEATHS;9.0;A
2020;2247;_T;Y65-69;DEATHS;1.0;A
2020;2247;_T;Y70-74;DEATHS;2.0;A
2020;2247;_T;Y80-84;DEATHS;1.0;A
2020;2247;_T;Y85-89;DEATHS;2.0;A
2020;2247;_T;Y90-94;DEATHS;2.0;A
2020;2247;_T;Y95-99;DEATHS;1.0;A
2020;2247;M;TOTAL;DEATHS;3.0;A
2020;2247;M;Y65-69;DEATHS;1.0;A
2020;2247;M;Y70-74;DEATHS;1.0;A
2020;2247;M;Y80-84;DEATHS;1.0;A
2020;2247;F;TOTAL;DEATHS;6.0;A
2020;2247;F;Y70-74;DEATHS;1.0;A
2020;2247;F;Y85-89;DEATHS;2.0;A
2020;2247;F;Y90-94;DEATHS;2.0;A
2020;2247;F;Y95-99;DEATHS;1.0;A
2020;2248;_T;TOTAL;DEATHS;6.0;A
2020;2248;_T;Y55-59;DEATHS;1.0;A
2020;2248;_T;Y60-64;DEATHS;1.0;A
2020;2248;_T;Y65-69;DEATHS;1.0;A
2020;2248;_T;Y85-89;DEATHS;1.0;A
2020;2248;_T;Y90-94;DEATHS;2.0;A
2020;2248;M;TOTAL;DEATHS;5.0;A
2020;2248;M;Y55-59;DEATHS;1.0;A
2020;2248;M;Y60-64;DEATHS;1.0;A
2020;2248;M;Y85-89;DEATHS;1.0;A
2020;2248;M;Y90-94;DEATHS;2.0;A
2020;2248;F;TOTAL;DEATHS;1.0;A
2020;2248;F;Y65-69;DEATHS;1.0;A
2020;2249;_T;TOTAL;DEATHS;2.0;A
2020;2249;_T;Y80-84;DEATHS;1.0;A
2020;2249;_T;Y95-99;DEATHS;1.0;A
2020;2249;M;TOTAL;DEATHS;2.0;A
2020;2249;M;Y80-84;DEATHS;1.0;A
2020;2249;M;Y95-99;DEATHS;1.0;A
2020;2250;_T;TOTAL;DEATHS;13.0;A
2020;2250;_T;Y55-59;DEATHS;1.0;A
2020;2250;_T;Y60-64;DEATHS;1.0;A
2020;2250;_T;Y65-69;DEATHS;2.0;A
2020;2250;_T;Y70-74;DEATHS;2.0;A
2020;2250;_T;Y75-79;DEATHS;1.0;A
2020;2250;_T;Y85-89;DEATHS;1.0;A
2020;2250;_T;Y90-94;DEATHS;4.0;A
2020;2250;_T;Y95-99;DEATHS;1.0;A
2020;2250;M;TOTAL;DEATHS;2.0;A
2020;2250;M;Y70-74;DEATHS;2.0;A
2020;2250;F;TOTAL;DEATHS;11.0;A
2020;2250;F;Y55-59;DEATHS;1.0;A
2020;2250;F;Y60-64;DEATHS;1.0;A
2020;2250;F;Y65-69;DEATHS;2.0;A
2020;2250;F;Y75-79;DEATHS;1.0;A
2020;2250;F;Y85-89;DEATHS;1.0;A
2020;2250;F;Y90-94;DEATHS;4.0;A
2020;2250;F;Y95-99;DEATHS;1.0;A
2020;2251;_T;TOTAL;DEATHS;48.0;A
2020;2251;_T;Y45-49;DEATHS;1.0;A
2020;2251;_T;Y50-54;DEATHS;1.0;A
2020;2251;_T;Y55-59;DEATHS;3.0;A
2020;2251;_T;Y60-64;DEATHS;1.0;A
2020;2251;_T;Y65-69;DEATHS;2.0;A
