TIME_PERIOD;REF_AREA;SEXO;EDAD;INDICATOR;OBS_VALUE;FREQ
2010;2241;M;Y80-84;DEATHS;1.0;A
2010;2241;M;Y85-89;DEATHS;3.0;A
2010;2241;M;Y90-94;DEATHS;2.0;A
2010;2241;M;Y_GE100;DEATHS;1.0;A
2010;2241;F;TOTAL;DEATHS;10.0;A
2010;2241;F;Y65-69;DEATHS;1.0;A
2010;2241;F;Y75-79;DEATHS;2.0;A
2010;2241;F;Y80-84;DEATHS;2.0;A
2010;2241;F;Y85-89;DEATHS;1.0;A
2010;2241;F;Y90-94;DEATHS;1.0;A
2010;2241;F;Y95-99;DEATHS;2.0;A
2010;2241;F;Y_GE100;DEATHS;1.0;A
2010;2242;_T;TOTAL;DEATHS;14.0;A
2010;2242;_T;Y50-54;DEATHS;2.0;A
2010;2242;_T;Y60-64;DEATHS;1.0;A
2010;2242;_T;Y70-74;DEATHS;2.0;A
2010;2242;_T;Y75-79;DEATHS;2.0;A
2010;2242;_T;Y80-84;DEATHS;2.0;A
2010;2242;_T;Y85-89;DEATHS;1.0;A
2010;2242;_T;Y90-94;DEATHS;2.0;A
2010;2242;_T;Y95-99;DEATHS;2.0;A
2010;2242;M;TOTAL;DEATHS;10.0;A
2010;2242;M;Y50-54;DEATHS;2.0;A
2010;2242;M;Y60-64;DEATHS;1.0;A
2010;2242;M;Y70-74;DEATHS;2.0;A
2010;2242;M;Y80-84;DEATHS;1.0;A
2010;2242;M;Y85-89;DEATHS;1.0;A
2010;2242;M;Y90-94;DEATHS;2.0;A
2010;2242;M;Y95-99;DEATHS;1.0;A
2010;2242;F;TOTAL;DEATHS;4.0;A
2010;2242;F;Y75-79;DEATHS;2.0;A
2010;2242;F;Y80-84;DEATHS;1.0;A
2010;2242;F;Y95-99;DEATHS;1.0;A
2010;2243;_T;TOTAL;DEATHS;181.0;A
2010;2243;_T;Y30-34;DEATHS;2.0;A
2010;2243;_T;Y35-39;DEATHS;2.0;A
2010;2243;_T;Y40-44;DEATHS;2.0;A
2010;2243;_T;Y45-49;DEATHS;2.0;A
2010;2243;_T;Y50-54;DEATHS;8.0;A
2010;2243;_T;Y55-59;DEATHS;7.0;A
2010;2243;_T;Y60-64;DEATHS;15.0;A
2010;2243;_T;Y65-69;DEATHS;7.0;A
2010;2243;_T;Y70-74;DEATHS;16.0;A
2010;2243;_T;Y75-79;DEATHS;38.0;A
2010;2243;_T;Y80-84;DEATHS;32.0;A
2010;2243;_T;Y85-89;DEATHS;28.0;A
2010;2243;_T;Y90-94;DEATHS;19.0;A
2010;2243;_T;Y95-99;DEATHS;3.0;A
2010;2243;M;TOTAL;DEATHS;98.0;A
2010;2243;M;Y30-34;DEATHS;1.0;A
2010;2243;M;Y35-39;DEATHS;2.0;A
2010;2243;M;Y40-44;DEATHS;1.0;A
2010;2243;M;Y45-49;DEATHS;2.0;A
2010;2243;M;Y50-54;DEATHS;7.0;A
2010;2243;M;Y55-59;DEATHS;6.0;A
2010;2243;M;Y60-64;DEATHS;12.0;A
2010;2243;M;Y65-69;DEATHS;3.0;A
2010;2243;M;Y70-74;DEATHS;11.0;A
2010;2243;M;Y75-79;DEATHS;22.0;A
2010;2243;M;Y80-84;DEATHS;13.0;A
2010;2243;M;Y85-89;DEATHS;14.0;A
2010;2243;M;Y90-94;DEATHS;4.0;A
2010;2243;F;TOTAL;DEATHS;83.0;A
2010;2243;F;Y30-34;DEATHS;1.0;A
2010;2243;F;Y40-44;DEATHS;1.0;A
2010;2243;F;Y50-54;DEATHS;1.0;A
2010;2243;F;Y55-59;DEATHS;1.0;A
2010;2243;F;Y60-64;DEATHS;3.0;A
2010;2243;F;Y65-69;DEATHS;4.0;A
2010;2243;F;Y70-74;DEATHS;5.0;A
2010;2243;F;Y75-79;DEATHS;16.0;A
2010;2243;F;Y80-84;DEATHS;19.0;A
2010;2243;F;Y85-89;DEATHS;14.0;A
2010;2243;F;Y90-94;DEATHS;15.0;A
2010;2243;F;Y95-99;DEATHS;3.0;A
2010;2244;_T;TOTAL;DEATHS;9.0;A
2010;2244;_T;Y60-64;DEATHS;1.0;A
2010;2244;_T;Y65-69;DEATHS;2.0;A
2010;2244;_T;Y70-74;DEATHS;1.0;A
2010;2244;_T;Y75-79;DEATHS;3.0;A
2010;2244;_T;Y80-84;DEATHS;1.0;A
2010;2244;_T;Y90-94;DEATHS;1.0;A
2010;2244;M;TOTAL;DEATHS;6.0;A
2010;2244;M;Y65-69;DEATHS;1.0;A
2010;2244;M;Y70-74;DEATHS;1.0;A
2010;2244;M;Y75-79;DEATHS;2.0;A
2010;2244;M;Y80-84;DEATHS;1.0;A
2010;2244;M;Y90-94;DEATHS;1.0;A
2010;2244;F;TOTAL;DEATHS;3.0;A
2010;2244;F;Y60-64;DEATHS;1.0;A
2010;2244;F;Y65-69;DEATHS;1.0;A
2010;2244;F;Y75-79;DEATHS;1.0;A
2010;2245;_T;TOTAL;DEATHS;13.0;A
2010;2245;_T;Y25-29;DEATHS;1.0;A
2010;2245;_T;Y60-64;DEATHS;1.0;A
2010;2245;_T;Y65-69;DEATHS;1.0;A
2010;2245;_T;Y70-74;DEATHS;2.0;A
2010;2245;_T;Y75-79;DEATHS;3.0;A
2010;2245;_T;Y85-89;DEATHS;2.0;A
2010;2245;_T;Y90-94;DEATHS;3.0;A
2010;2245;M;TOTAL;DEATHS;8.0;A
2010;2245;M;Y60-64;DEATHS;1.0;A
2010;2245;M;Y65-69;DEATHS;1.0;A
2010;2245;M;Y70-74;DEATHS;1.0;A
2010;2245;M;Y75-79;DEATHS;3.0;A
2010;2245;M;Y85-89;DEATHS;1.0;A
2010;2245;M;Y90-94;DEATHS;1.0;A
2010;2245;F;TOTAL;DEATHS;5.0;A
2010;2245;F;Y25-29;DEATHS;1.0;A
2010;2245;F;Y70-74;DEATHS;1.0;A
2010;2245;F;Y85-89;DEATHS;1.0;A
2010;2245;F;Y90-94;DEATHS;2.0;A
2010;2246;_T;TOTAL;DEATHS;94.0;A
2010;2246;_T;Y45-49;DEATHS;2.0;A
2010;2246;_T;Y50-54;DEATHS;3.0;A
2010;2246;_T;Y55-59;DEATHS;5.0;A
2010;2246;_T;Y60-64;DEATHS;2.0;A
2010;2246;_T;Y65-69;DEATHS;5.0;A
2010;2246;_T;Y70-74;DEATHS;8.0;A
2010;2246;_T;Y75-79;DEATHS;15.0;A
2010;2246;_T;Y80-84;DEATHS;17.0;A
2010;2246;_T;Y85-89;DEATHS;16.0;A
2010;2246;_T;Y90-94;DEATHS;13.0;A
2010;2246;_T;Y95-99;DEATHS;7.0;A
2010;2246;_T;Y_GE100;DEATHS;1.0;A
2010;2246;M;TOTAL;DEATHS;45.0;A
2010;2246;M;Y45-49;DEATHS;2.0;A
2010;2246;M;Y50-54;DEATHS;3.0;A
2010;2246;M;Y55-59;DEATHS;2.0;A
2010;2246;M;Y60-64;DEATHS;2.0;A
2010;2246;M;Y65-69;DEATHS;1.0;A
2010;2246;M;Y70-74;DEATHS;6.0;A
2010;2246;M;Y75-79;DEATHS;11.0;A
2010;2246;M;Y80-84;DEATHS;7.0;A
2010;2246;M;Y85-89;DEATHS;6.0;A
2010;2246;M;Y90-94;DEATHS;3.0;A
2010;2246;M;Y95-99;DEATHS;2.0;A
2010;2246;F;TOTAL;DEATHS;49.0;A
2010;2246;F;Y55-59;DEATHS;3.0;A
2010;2246;F;Y65-69;DEATHS;4.0;A
2010;2246;F;Y70-74;DEATHS;2.0;A
2010;2246;F;Y75-79;DEATHS;4.0;A
2010;2246;F;Y80-84;DEATHS;10.0;A
2010;2246;F;Y85-89;DEATHS;10.0;A
2010;2246;F;Y90-94;DEATHS;10.0;A
