TEMPORAL;TIPO_ALOJAM_ECTA;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2007;6790;ES61;ESTANCIA_MEDIA;6.238592077;A
2007;6791;ES61;ESTANCIA_MEDIA;3.196117647;A
2007;6792;ES61;ESTANCIA_MEDIA;6.88061203;A
2008;6793;ES61;ESTANCIA_MEDIA;8.55107921;A
2008;6784;ES61;ESTANCIA_MEDIA;5.79447922;A
2008;6785;ES61;ESTANCIA_MEDIA;4.646188904;A
2008;6786;ES61;ESTANCIA_MEDIA;14.951761105;A
2008;6787;ES61;ESTANCIA_MEDIA;16.01183406;A
2008;6789;ES61;ESTANCIA_MEDIA;8.618299456;A
2008;6790;ES61;ESTANCIA_MEDIA;7.432260089;A
2008;6791;ES61;ESTANCIA_MEDIA;3.977176543;A
2008;6792;ES61;ESTANCIA_MEDIA;6.10322066;A
2009;6793;ES61;ESTANCIA_MEDIA;8.788552838;A
2009;6784;ES61;ESTANCIA_MEDIA;5.501985533;A
2009;6785;ES61;ESTANCIA_MEDIA;3.935101523;A
2009;6786;ES61;ESTANCIA_MEDIA;15.476246114;A
2009;6787;ES61;ESTANCIA_MEDIA;15.366889461;A
2009;6789;ES61;ESTANCIA_MEDIA;8.760720575;A
2009;6790;ES61;ESTANCIA_MEDIA;5.492848648;A
2009;6791;ES61;ESTANCIA_MEDIA;4.275533266;A
2009;6792;ES61;ESTANCIA_MEDIA;7.197318118;A
2010;6793;ES61;ESTANCIA_MEDIA;9.011505791;A
2010;6784;ES61;ESTANCIA_MEDIA;5.627306466;A
2010;6785;ES61;ESTANCIA_MEDIA;3.419426884;A
2010;6786;ES61;ESTANCIA_MEDIA;14.836472994;A
2010;6787;ES61;ESTANCIA_MEDIA;15.591739482;A
2010;6789;ES61;ESTANCIA_MEDIA;8.736144201;A
2010;6790;ES61;ESTANCIA_MEDIA;6.956424706;A
2010;6791;ES61;ESTANCIA_MEDIA;2.518212566;A
2010;6792;ES61;ESTANCIA_MEDIA;7.662695192;A
2011;6793;ES61;ESTANCIA_MEDIA;9.053612601;A
2011;6784;ES61;ESTANCIA_MEDIA;5.543964491;A
2011;6785;ES61;ESTANCIA_MEDIA;3.064451178;A
2011;6786;ES61;ESTANCIA_MEDIA;14.507141532;A
2011;6787;ES61;ESTANCIA_MEDIA;15.115265838;A
2011;6789;ES61;ESTANCIA_MEDIA;7.729211969;A
2011;6790;ES61;ESTANCIA_MEDIA;6.554322873;A
2011;6791;ES61;ESTANCIA_MEDIA;1.90706041;A
2011;6792;ES61;ESTANCIA_MEDIA;4.928974763;A
2012;6793;ES61;ESTANCIA_MEDIA;9.145334408;A
2012;6784;ES61;ESTANCIA_MEDIA;5.327818787;A
2012;6785;ES61;ESTANCIA_MEDIA;3.582328147;A
2012;6786;ES61;ESTANCIA_MEDIA;14.205343076;A
2012;6787;ES61;ESTANCIA_MEDIA;15.064218391;A
2012;6789;ES61;ESTANCIA_MEDIA;8.603193334;A
2012;6790;ES61;ESTANCIA_MEDIA;4.959218114;A
2012;6791;ES61;ESTANCIA_MEDIA;2.172005879;A
2012;6792;ES61;ESTANCIA_MEDIA;5.89401639;A
2013;6793;ES61;ESTANCIA_MEDIA;9.022718259;A
2013;6784;ES61;ESTANCIA_MEDIA;5.33081999;A
2013;6785;ES61;ESTANCIA_MEDIA;4.425676032;A
2013;6786;ES61;ESTANCIA_MEDIA;13.409058751;A
2013;6787;ES61;ESTANCIA_MEDIA;15.688391594;A
2013;6789;ES61;ESTANCIA_MEDIA;7.344066886;A
2013;6790;ES61;ESTANCIA_MEDIA;5.746880331;A
2013;6791;ES61;ESTANCIA_MEDIA;1.682295297;A
2013;6792;ES61;ESTANCIA_MEDIA;6.256815994;A
2014;6793;ES61;ESTANCIA_MEDIA;8.867510014;A
2014;6784;ES61;ESTANCIA_MEDIA;4.853973342;A
2014;6785;ES61;ESTANCIA_MEDIA;4.048020006;A
2014;6786;ES61;ESTANCIA_MEDIA;12.099493114;A
2014;6787;ES61;ESTANCIA_MEDIA;13.876870082;A
2014;6789;ES61;ESTANCIA_MEDIA;6.410674332;A
2014;6790;ES61;ESTANCIA_MEDIA;5.880684661;A
2014;6791;ES61;ESTANCIA_MEDIA;1.795421854;A
2014;6792;ES61;ESTANCIA_MEDIA;6.406654425;A
2015;6793;ES61;ESTANCIA_MEDIA;8.694870927;A
2015;6784;ES61;ESTANCIA_MEDIA;5.11689088;A
2015;6785;ES61;ESTANCIA_MEDIA;4.471905974;A
2015;6786;ES61;ESTANCIA_MEDIA;11.664396862;A
2015;6787;ES61;ESTANCIA_MEDIA;13.159387685;A
2015;6789;ES61;ESTANCIA_MEDIA;7.20273064;A
2015;6790;ES61;ESTANCIA_MEDIA;7.329252227;A
