TEMPORAL;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2015;ES617;GAST_MEDI_DIAR;55.024505483;A
2015;ES618;GAST_MEDI_DIAR;82.657717861;A
2016;ES61;GAST_MEDI_DIAR;64.699298471;A
2016;ES611;GAST_MEDI_DIAR;56.551163057;A
2016;ES612;GAST_MEDI_DIAR;69.957578995;A
2016;ES613;GAST_MEDI_DIAR;58.954559448;A
2016;ES614;GAST_MEDI_DIAR;65.747362575;A
2016;ES615;GAST_MEDI_DIAR;54.486706708;A
2016;ES616;GAST_MEDI_DIAR;92.120199003;A
2016;ES617;GAST_MEDI_DIAR;57.973021713;A
2016;ES618;GAST_MEDI_DIAR;81.768880489;A
2017;ES61;GAST_MEDI_DIAR;66.087783156;A
2017;ES611;GAST_MEDI_DIAR;60.313873104;A
2017;ES612;GAST_MEDI_DIAR;69.582114743;A
2017;ES613;GAST_MEDI_DIAR;62.155433141;A
2017;ES614;GAST_MEDI_DIAR;66.183815811;A
2017;ES615;GAST_MEDI_DIAR;58.216734881;A
2017;ES616;GAST_MEDI_DIAR;82.310266767;A
2017;ES617;GAST_MEDI_DIAR;61.880898465;A
2017;ES618;GAST_MEDI_DIAR;78.893224038;A
2018;ES61;GAST_MEDI_DIAR;66.757279363;A
2018;ES611;GAST_MEDI_DIAR;61.494837843;A
2018;ES612;GAST_MEDI_DIAR;70.970218721;A
2018;ES613;GAST_MEDI_DIAR;63.937469635;A
2018;ES614;GAST_MEDI_DIAR;70.416129175;A
2018;ES615;GAST_MEDI_DIAR;58.618354621;A
2018;ES616;GAST_MEDI_DIAR;85.194470227;A
2018;ES617;GAST_MEDI_DIAR;61.367194563;A
2018;ES618;GAST_MEDI_DIAR;75.988011637;A
2019;ES61;GAST_MEDI_DIAR;67.566358632;A
2019;ES611;GAST_MEDI_DIAR;63.14161132;A
2019;ES612;GAST_MEDI_DIAR;77.1517901;A
2019;ES613;GAST_MEDI_DIAR;64.717558126;A
2019;ES614;GAST_MEDI_DIAR;69.310486006;A
2019;ES615;GAST_MEDI_DIAR;56.143762778;A
2019;ES616;GAST_MEDI_DIAR;79.384837427;A
2019;ES617;GAST_MEDI_DIAR;63.283256012;A
2019;ES618;GAST_MEDI_DIAR;73.034596076;A
2020;ES61;GAST_MEDI_DIAR;63.621797307;A
2020;ES611;GAST_MEDI_DIAR;59.960372988;A
2020;ES612;GAST_MEDI_DIAR;72.024205871;A
2020;ES613;GAST_MEDI_DIAR;65.178382817;A
2020;ES614;GAST_MEDI_DIAR;63.924344958;A
2020;ES615;GAST_MEDI_DIAR;52.353152218;A
2020;ES616;GAST_MEDI_DIAR;73.273861679;A
2020;ES617;GAST_MEDI_DIAR;56.501086097;A
2020;ES618;GAST_MEDI_DIAR;70.072988146;A
2021;ES61;GAST_MEDI_DIAR;68.553613728;A
2021;ES611;GAST_MEDI_DIAR;64.463495486;A
2021;ES612;GAST_MEDI_DIAR;78.284860465;A
2021;ES613;GAST_MEDI_DIAR;66.708799366;A
2021;ES614;GAST_MEDI_DIAR;67.310261167;A
2021;ES615;GAST_MEDI_DIAR;58.437681249;A
2021;ES616;GAST_MEDI_DIAR;74.548232555;A
2021;ES617;GAST_MEDI_DIAR;65.38706834;A
2021;ES618;GAST_MEDI_DIAR;72.547517445;A
1998;ES61;TASA_VARI_INTE;56.53224747471081;A
1998;ES611;TASA_VARI_INTE;23.77535422599307;A
1998;ES612;TASA_VARI_INTE;49.56034413570368;A
1998;ES613;TASA_VARI_INTE;119.71958695955911;A
1998;ES614;TASA_VARI_INTE;70.61851552436555;A
1998;ES615;TASA_VARI_INTE;43.72999176737763;A
1998;ES616;TASA_VARI_INTE;5.362559477928114;A
1998;ES617;TASA_VARI_INTE;81.15332657891156;A
1998;ES618;TASA_VARI_INTE;44.359818492485545;A
1999;ES61;TASA_VARI_INTE;-17.19273173161783;A
1999;ES611;TASA_VARI_INTE;-1.0122238567319386;A
1999;ES612;TASA_VARI_INTE;-30.412730581217513;A
1999;ES613;TASA_VARI_INTE;-21.36469212137763;A
1999;ES614;TASA_VARI_INTE;-14.790492623453977;A
1999;ES615;TASA_VARI_INTE;-19.686614247099993;A
1999;ES616;TASA_VARI_INTE;3.8588997338495807;A
1999;ES617;TASA_VARI_INTE;-28.891049164652483;A
1999;ES618;TASA_VARI_INTE;-9.892896858579588;A
2000;ES61;TASA_VARI_INTE;0.16497747925816447;A
2000;ES611;TASA_VARI_INTE;12.000049653636886;A
2000;ES612;TASA_VARI_INTE;15.939888046444183;A
2000;ES613;TASA_VARI_INTE;41.70417942824622;A
2000;ES614;TASA_VARI_INTE;-9.396275014445415;A
2000;ES615;TASA_VARI_INTE;8.404436869392118;A
2000;ES616;TASA_VARI_INTE;36.178982899413285;A
2000;ES617;TASA_VARI_INTE;-15.107852483557771;A
2000;ES618;TASA_VARI_INTE;0.509348217523225;A
2001;ES61;TASA_VARI_INTE;0.4871887911484962;A
2001;ES611;TASA_VARI_INTE;-1.8152164127189812;A
2001;ES612;TASA_VARI_INTE;14.474521512404989;A
2001;ES613;TASA_VARI_INTE;-9.128620360737253;A
2001;ES614;TASA_VARI_INTE;0.5081413385045636;A
2001;ES615;TASA_VARI_INTE;13.251338078431404;A
2001;ES616;TASA_VARI_INTE;0.6017263366125202;A
2001;ES617;TASA_VARI_INTE;-8.79621324321603;A
2001;ES618;TASA_VARI_INTE;19.899308343930855;A
2002;ES61;TASA_VARI_INTE;1.3440862338736643;A
2002;ES611;TASA_VARI_INTE;-3.33009730413854;A
2002;ES612;TASA_VARI_INTE;6.229928578397516;A
2002;ES613;TASA_VARI_INTE;-0.19563821153812644;A
2002;ES614;TASA_VARI_INTE;8.779468978488099;A
2002;ES615;TASA_VARI_INTE;2.648245719595736;A
2002;ES616;TASA_VARI_INTE;5.5670196553123485;A
2002;ES617;TASA_VARI_INTE;-5.018325579358317;A
2002;ES618;TASA_VARI_INTE;-5.131739461071683;A
2003;ES61;TASA_VARI_INTE;5.513282792204232;A
2003;ES611;TASA_VARI_INTE;6.0184164487137;A
2003;ES612;TASA_VARI_INTE;-0.9080249307464363;A
2003;ES613;TASA_VARI_INTE;-6.736735403807314;A
2003;ES614;TASA_VARI_INTE;4.7121992343257615;A
2003;ES615;TASA_VARI_INTE;-3.368991155505547;A
2003;ES616;TASA_VARI_INTE;16.760428613419588;A
