TERRITORIO;TEMPORAL;INDICATOR;OBS_VALUE;OBS_STATUS;FREQ
3350;2020;EUR_HAB;15.520754716981132;;A
3363;2004;EUR_HAB;4.079134747593793;;A
3363;2005;EUR_HAB;3.814008384867895;;A
3363;2006;EUR_HAB;4.893080211400343;;A
3363;2007;EUR_HAB;6.03981874753062;;A
3363;2008;EUR_HAB;6.931466990243178;;A
3363;2009;EUR_HAB;8.236521998434451;;A
3363;2010;EUR_HAB;9.599671167355886;;A
3363;2011;EUR_HAB;9.260666459047027;;A
3363;2012;EUR_HAB;8.594235694924526;;A
3363;2013;EUR_HAB;8.916747265828436;;A
3363;2014;EUR_HAB;8.991763703493326;;A
3363;2015;EUR_HAB;9.951644692545937;;A
3363;2016;EUR_HAB;10.01432925718588;;A
3363;2017;EUR_HAB;10.660803077779256;;A
3363;2018;EUR_HAB;11.057583287096229;;A
3363;2019;EUR_HAB;11.04136329173336;;A
3363;2020;EUR_HAB;12.367936893495749;;A
3367;2004;EUR_HAB;3.891531874405328;E;A
3367;2005;EUR_HAB;4.486717197733461;E;A
3367;2006;EUR_HAB;5.10550085141038;E;A
3367;2007;EUR_HAB;5.539504058381116;E;A
3367;2008;EUR_HAB;5.534219964136282;E;A
3367;2009;EUR_HAB;5.454817698585011;E;A
3367;2010;EUR_HAB;6.143403585089628;E;A
3367;2011;EUR_HAB;9.185530570805446;E;A
3367;2012;EUR_HAB;12.080440688198008;E;A
3367;2013;EUR_HAB;11.047568550219664;E;A
3367;2014;EUR_HAB;6.954704362365101;E;A
3367;2015;EUR_HAB;6.548389553034341;;A
3367;2016;EUR_HAB;4.939585074853713;;A
3367;2017;EUR_HAB;6.688963210702341;;A
3367;2018;EUR_HAB;4.093607150167156;;A
3367;2019;EUR_HAB;5.178061925393639;;A
3367;2020;EUR_HAB;7.494469442730515;;A
3355;2004;EUR_HAB;17.652858263283285;;A
3355;2005;EUR_HAB;21.730821468320837;;A
3355;2006;EUR_HAB;18.90004988489003;;A
3355;2007;EUR_HAB;23.021785472412493;;A
3355;2008;EUR_HAB;23.109225006894956;;A
3355;2009;EUR_HAB;20.312172983928708;;A
3355;2010;EUR_HAB;18.685152979207285;;A
3355;2011;EUR_HAB;20.377674979360233;;A
3355;2012;EUR_HAB;19.81537551332916;;A
3355;2013;EUR_HAB;19.501995653717284;;A
3355;2014;EUR_HAB;19.387592800367976;;A
3355;2015;EUR_HAB;19.379143356680586;;A
3355;2016;EUR_HAB;20.088481971956142;;A
3355;2017;EUR_HAB;20.490309790994676;;A
3355;2018;EUR_HAB;22.548424593418577;;A
3355;2019;EUR_HAB;19.564983550395056;;A
3355;2020;EUR_HAB;18.653382406386726;;A
3353;2004;EUR_HAB;2.5549604022214187;;A
3353;2005;EUR_HAB;3.0944677287972078;;A
3353;2006;EUR_HAB;3.72945059113153;;A
3353;2007;EUR_HAB;3.8497533601846405;;A
3353;2008;EUR_HAB;3.432070815121332;;A
3353;2009;EUR_HAB;2.7991306399016116;;A
3353;2010;EUR_HAB;2.601295882345536;;A
3353;2011;EUR_HAB;2.830256641152634;;A
3353;2012;EUR_HAB;2.4852784598335544;;A
3353;2013;EUR_HAB;2.5653793259427062;;A
3353;2014;EUR_HAB;2.7184166531250775;;A
3353;2015;EUR_HAB;2.7751696707131344;;A
3353;2016;EUR_HAB;3.060507665652993;;A
3353;2017;EUR_HAB;1.7415641533469088;;A
3353;2018;EUR_HAB;2.9814896081111426;;A
3353;2019;EUR_HAB;5.289347155961591;;A
3353;2020;EUR_HAB;4.0723715943451415;;A
3352;2004;EUR_HAB;5.431055108062844;;A
3352;2005;EUR_HAB;5.744047619047619;;A
3352;2006;EUR_HAB;3.4677168325236996;;A
3352;2007;EUR_HAB;3.702779557208256;;A
3352;2008;EUR_HAB;4.17954972731934;;A
3352;2009;EUR_HAB;4.471959438570457;;A
3352;2010;EUR_HAB;4.800726030979373;;A
3352;2011;EUR_HAB;5.632940456145722;;A
3352;2012;EUR_HAB;4.3821267002787465;;A
3352;2013;EUR_HAB;4.644800048491461;;A
3352;2014;EUR_HAB;5.325612257208348;;A
3352;2015;EUR_HAB;5.877923131223622;;A
3352;2016;EUR_HAB;6.0187487842468315;E;A
3352;2017;EUR_HAB;6.838399189463019;E;A
3352;2018;EUR_HAB;5.892199486593563;E;A
3352;2019;EUR_HAB;5.356456287708506;E;A
3352;2020;EUR_HAB;5.449250143777742;E;A
3371;2008;EUR_HAB;0.741843892662287;;A
3371;2009;EUR_HAB;0.5273644318118487;;A
3371;2010;EUR_HAB;0.5856133694880538;;A
3371;2011;EUR_HAB;0.8148646250688782;;A
3371;2012;EUR_HAB;0.5441478920418078;;A
3371;2013;EUR_HAB;0.22164923010386722;;A
3371;2014;EUR_HAB;1.5337365381982313;;A
3371;2015;EUR_HAB;1.0812763338315918;;A
3371;2016;EUR_HAB;2.017284850111685;;A
3371;2017;EUR_HAB;2.621886993474339;;A
3371;2018;EUR_HAB;1.9565520292749463;;A
3371;2019;EUR_HAB;2.8033959397228077;;A
3371;2020;EUR_HAB;2.6770918484528927;;A
