TERRITORIO;TEMPORAL;CNAE_O9_CRA_NEW;OBS_STATUS;INDICATOR;OBS_VALUE;FREQ
ES61;2018;273221;A;CON_INTER_PREC_ADQ;850986.0;A
ES61;2018;273255;A;CON_INTER_PREC_ADQ;3797809.0;A
ES61;2018;273153;A;CON_INTER_PREC_ADQ;3797809.0;A
ES61;2018;273222;A;CON_INTER_PREC_ADQ;3797809.0;A
ES61;2018;273256;A;CON_INTER_PREC_ADQ;8118847.0;A
ES61;2018;273154;A;CON_INTER_PREC_ADQ;3597252.0;A
ES61;2018;273223;A;CON_INTER_PREC_ADQ;1809463.0;A
ES61;2018;273224;A;CON_INTER_PREC_ADQ;1787789.0;A
ES61;2018;273155;A;CON_INTER_PREC_ADQ;274547.0;A
ES61;2018;273225;A;CON_INTER_PREC_ADQ;274547.0;A
ES61;2018;273156;A;CON_INTER_PREC_ADQ;806963.0;A
ES61;2018;273226;A;CON_INTER_PREC_ADQ;375249.0;A
ES61;2018;273227;A;CON_INTER_PREC_ADQ;310273.0;A
ES61;2018;273228;A;CON_INTER_PREC_ADQ;121441.0;A
ES61;2018;273157;A;CON_INTER_PREC_ADQ;3440085.0;A
ES61;2018;273229;A;CON_INTER_PREC_ADQ;615710.0;A
ES61;2018;273230;A;CON_INTER_PREC_ADQ;80358.0;A
ES61;2018;273231;A;CON_INTER_PREC_ADQ;916755.0;A
ES61;2018;273232;A;CON_INTER_PREC_ADQ;208211.0;A
ES61;2018;273233;A;CON_INTER_PREC_ADQ;768497.0;A
ES61;2018;273234;A;CON_INTER_PREC_ADQ;850554.0;A
ES61;2018;273257;A;CON_INTER_PREC_ADQ;12706405;A
ES61;2018;273158;A;CON_INTER_PREC_ADQ;4004365.0;A
ES61;2018;273235;A;CON_INTER_PREC_ADQ;4004365.0;A
ES61;2018;273159;A;CON_INTER_PREC_ADQ;1839549.0;A
ES61;2018;273236;A;CON_INTER_PREC_ADQ;1313074.0;A
ES61;2018;273237;A;CON_INTER_PREC_ADQ;526475.0;A
ES61;2018;273160;A;CON_INTER_PREC_ADQ;5446734.0;A
ES61;2018;273238;A;CON_INTER_PREC_ADQ;2806289.0;A
ES61;2018;273239;A;CON_INTER_PREC_ADQ;2640445.0;A
ES61;2018;273161;A;CON_INTER_PREC_ADQ;1415757.0;A
ES61;2018;273240;A;CON_INTER_PREC_ADQ;341670.0;A
ES61;2018;273241;A;CON_INTER_PREC_ADQ;1074087.0;A
ES61;2018;273259;A;CON_INTER_PREC_ADQ;4185203.0;A
ES61;2018;273162;A;CON_INTER_PREC_ADQ;2304791.0;A
ES61;2018;273242;A;CON_INTER_PREC_ADQ;1193421.0;A
ES61;2018;273243;A;CON_INTER_PREC_ADQ;1111370.0;A
ES61;2018;273163;A;CON_INTER_PREC_ADQ;1880412.0;A
ES61;2018;273244;A;CON_INTER_PREC_ADQ;743704.0;A
ES61;2018;273245;A;CON_INTER_PREC_ADQ;290061.0;A
ES61;2018;273246;A;CON_INTER_PREC_ADQ;846647.0;A
ES61;2018;273164;A;CON_INTER_PREC_ADQ;0.0;A
ES61;2018;273247;A;CON_INTER_PREC_ADQ;0.0;A
ES61;2018;273260;A;CON_INTER_PREC_ADQ;148179297;A
ES61;2017;273165;A;CON_INTER_PREC_ADQ;4162593.0;A
ES61;2017;273129;A;CON_INTER_PREC_ADQ;4162593.0;A
ES61;2017;273167;A;CON_INTER_PREC_ADQ;3795486.0;A
