MACROECO;TEMPORAL;OBS_STATUS;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
93069;2007;A;ES61;CLV_I15;100.645869014;A
93071;2021;1E;ES61;CLV_I15;124.686360191;A
93071;2020;AV;ES61;CLV_I15;118.437205932;A
93071;2019;P;ES61;CLV_I15;120.533371744;A
93071;2018;A;ES61;CLV_I15;113.729099125;A
93071;2017;A;ES61;CLV_I15;109.207781942;A
93071;2016;A;ES61;CLV_I15;105.045451634;A
93071;2015;A;ES61;CLV_I15;100.0;A
93071;2014;A;ES61;CLV_I15;95.856313025;A
93071;2013;A;ES61;CLV_I15;92.510075537;A
93071;2012;A;ES61;CLV_I15;93.546824393;A
93071;2011;A;ES61;CLV_I15;91.40879091;A
93071;2010;A;ES61;CLV_I15;92.772753248;A
93071;2009;A;ES61;CLV_I15;88.300519027;A
93071;2008;A;ES61;CLV_I15;86.278370087;A
93071;2007;A;ES61;CLV_I15;81.882623947;A
93072;2021;1E;ES61;CLV_I15;116.009508868;A
93072;2020;AV;ES61;CLV_I15;108.613017468;A
93072;2019;P;ES61;CLV_I15;102.931213988;A
93072;2018;A;ES61;CLV_I15;106.614137263;A
93072;2017;A;ES61;CLV_I15;100.357041191;A
93072;2016;A;ES61;CLV_I15;99.093644353;A
93072;2015;A;ES61;CLV_I15;100.0;A
93072;2014;A;ES61;CLV_I15;108.770016717;A
93072;2013;A;ES61;CLV_I15;111.522159149;A
93072;2012;A;ES61;CLV_I15;122.451667336;A
93072;2011;A;ES61;CLV_I15;121.895942572;A
93072;2010;A;ES61;CLV_I15;121.842290319;A
93072;2009;A;ES61;CLV_I15;123.826837167;A
93072;2008;A;ES61;CLV_I15;128.397177094;A
93072;2007;A;ES61;CLV_I15;123.515470986;A
93073;2021;1E;ES61;CLV_I15;109.140787375;A
93073;2020;AV;ES61;CLV_I15;106.741166436;A
93073;2019;P;ES61;CLV_I15;107.089366739;A
93073;2018;A;ES61;CLV_I15;104.478998038;A
93073;2017;A;ES61;CLV_I15;102.784678652;A
93073;2016;A;ES61;CLV_I15;101.226515964;A
93073;2015;A;ES61;CLV_I15;100.0;A
93073;2014;A;ES61;CLV_I15;99.392006794;A
93073;2013;A;ES61;CLV_I15;98.052733908;A
93073;2012;A;ES61;CLV_I15;97.455875298;A
93073;2011;A;ES61;CLV_I15;94.64442983;A
93073;2010;A;ES61;CLV_I15;94.087411597;A
93073;2009;A;ES61;CLV_I15;95.237495871;A
93073;2008;A;ES61;CLV_I15;93.440966924;A
93073;2007;A;ES61;CLV_I15;89.7289746;A
93074;2021;1E;ES61;CLV_I15;99.47889898;A
93074;2020;AV;ES61;CLV_I15;97.213748067;A
93074;2019;P;ES61;CLV_I15;121.266137438;A
93074;2018;A;ES61;CLV_I15;113.01570682;A
93074;2017;A;ES61;CLV_I15;108.552299775;A
93074;2016;A;ES61;CLV_I15;100.982577195;A
93074;2015;A;ES61;CLV_I15;100.0;A
93074;2014;A;ES61;CLV_I15;95.764491799;A
93074;2013;A;ES61;CLV_I15;89.824356559;A
93074;2012;A;ES61;CLV_I15;90.185963449;A
93074;2011;A;ES61;CLV_I15;95.446257481;A
93074;2010;A;ES61;CLV_I15;94.976369263;A
93074;2009;A;ES61;CLV_I15;93.806189822;A
93074;2008;A;ES61;CLV_I15;93.880249881;A
93074;2007;A;ES61;CLV_I15;96.148324249;A
93075;2021;1E;ES61;CLV_I15;112.391175935;A
93075;2020;AV;ES61;CLV_I15;107.36277693;A
93075;2019;P;ES61;CLV_I15;107.095873397;A
93075;2018;A;ES61;CLV_I15;105.503242035;A
93075;2017;A;ES61;CLV_I15;103.695814232;A
93075;2016;A;ES61;CLV_I15;101.59177171;A
93075;2015;A;ES61;CLV_I15;100.0;A
93075;2014;A;ES61;CLV_I15;98.44479797;A
93075;2013;A;ES61;CLV_I15;99.213314732;A
93075;2012;A;ES61;CLV_I15;99.729871559;A
93075;2011;A;ES61;CLV_I15;101.680778633;A
93075;2010;A;ES61;CLV_I15;99.895350472;A
93075;2009;A;ES61;CLV_I15;97.766767437;A
93075;2008;A;ES61;CLV_I15;95.268388621;A
93075;2007;A;ES61;CLV_I15;91.205740058;A
93076;2021;1E;ES61;CLV_I15;81.402310662;A
93076;2020;AV;ES61;CLV_I15;83.826780187;A
93076;2019;P;ES61;CLV_I15;109.600547084;A
93076;2018;A;ES61;CLV_I15;106.567554321;A
93076;2017;A;ES61;CLV_I15;104.761038211;A
93076;2016;A;ES61;CLV_I15;101.469173879;A
93076;2015;A;ES61;CLV_I15;100.0;A
93076;2014;A;ES61;CLV_I15;96.761494404;A
93076;2013;A;ES61;CLV_I15;96.146993688;A
93076;2012;A;ES61;CLV_I15;96.395574961;A
93076;2011;A;ES61;CLV_I15;99.523008435;A
93076;2010;A;ES61;CLV_I15;98.89071594;A
93076;2009;A;ES61;CLV_I15;102.521784556;A
93076;2008;A;ES61;CLV_I15;104.005768664;A
93076;2007;A;ES61;CLV_I15;101.231198045;A
93021;2021;1E;ES61;CLV_I15;105.314039495;A
93021;2020;AV;ES61;CLV_I15;98.796761277;A
93021;2019;P;ES61;CLV_I15;111.57072052;A
93021;2018;A;ES61;CLV_I15;110.180772668;A
93021;2017;A;ES61;CLV_I15;107.622510001;A
93021;2016;A;ES61;CLV_I15;105.33199014;A
93021;2015;A;ES61;CLV_I15;100.0;A
93021;2014;A;ES61;CLV_I15;92.457809082;A
93021;2013;A;ES61;CLV_I15;88.153683401;A
93021;2012;A;ES61;CLV_I15;91.459640108;A
93021;2011;A;ES61;CLV_I15;95.39414257;A
93021;2010;A;ES61;CLV_I15;100.50791726;A
93021;2009;A;ES61;CLV_I15;97.843984832;A
93021;2008;A;ES61;CLV_I15;106.577976577;A
93021;2007;A;ES61;CLV_I15;109.362533124;A
93024;2021;1E;ES61;CLV_I15;104.246218946;A
93024;2020;AV;ES61;CLV_I15;99.204905793;A
93024;2019;P;ES61;CLV_I15;110.536601534;A
93024;2018;A;ES61;CLV_I15;108.206569143;A
93024;2017;A;ES61;CLV_I15;105.754220444;A
93024;2016;A;ES61;CLV_I15;102.653342385;A
93024;2015;A;ES61;CLV_I15;100.0;A
93024;2014;A;ES61;CLV_I15;96.563923945;A
93024;2013;A;ES61;CLV_I15;95.190102015;A
93024;2012;A;ES61;CLV_I15;96.717682619;A
93024;2011;A;ES61;CLV_I15;99.831683126;A
93024;2010;A;ES61;CLV_I15;101.076123738;A
93024;2009;A;ES61;CLV_I15;102.227331136;A
93024;2008;A;ES61;CLV_I15;106.091678663;A
93024;2007;A;ES61;CLV_I15;105.518501996;A
