D_TEMPORAL_0;D_TERRITORIO_0;D_SEXO_0;D_PCSSA_JUBVIUDEDAD_0;INDICATOR;OBS_VALUE;FREQ
2019;2282;3689;212544;Número de pensionistas;46.0;A
2019;2282;3690;212544;Número de pensionistas;12.0;A
2019;2284;3691;212544;Número de pensionistas;75.0;A
2019;2284;3689;212544;Número de pensionistas;55.0;A
2019;2284;3690;212544;Número de pensionistas;20.0;A
2019;2285;3691;212544;Número de pensionistas;166.0;A
2019;2285;3689;212544;Número de pensionistas;136.0;A
2019;2285;3690;212544;Número de pensionistas;30.0;A
2019;2286;3691;212544;Número de pensionistas;316.0;A
2019;2286;3689;212544;Número de pensionistas;216.0;A
2019;2286;3690;212544;Número de pensionistas;100.0;A
2019;2287;3691;212544;Número de pensionistas;128.0;A
2019;2287;3689;212544;Número de pensionistas;97.0;A
2019;2287;3690;212544;Número de pensionistas;31.0;A
2019;2288;3691;212544;Número de pensionistas;272.0;A
2019;2288;3689;212544;Número de pensionistas;200.0;A
2019;2288;3690;212544;Número de pensionistas;72.0;A
2019;2289;3691;212544;Número de pensionistas;230.0;A
2019;2289;3689;212544;Número de pensionistas;169.0;A
2019;2289;3690;212544;Número de pensionistas;61.0;A
2019;2290;3691;212544;Número de pensionistas;628.0;A
2019;2290;3689;212544;Número de pensionistas;497.0;A
2019;2290;3690;212544;Número de pensionistas;131.0;A
2019;2291;3691;212544;Número de pensionistas;143.0;A
2019;2291;3689;212544;Número de pensionistas;97.0;A
2019;2291;3690;212544;Número de pensionistas;46.0;A
2019;2292;3691;212544;Número de pensionistas;57.0;A
2019;2292;3689;212544;Número de pensionistas;45.0;A
2019;2292;3690;212544;Número de pensionistas;12.0;A
2019;2293;3691;212544;Número de pensionistas;697.0;A
2019;2293;3689;212544;Número de pensionistas;565.0;A
2019;2293;3690;212544;Número de pensionistas;132.0;A
2019;2294;3691;212544;Número de pensionistas;1611.0;A
2019;2294;3689;212544;Número de pensionistas;1105.0;A
2019;2294;3690;212544;Número de pensionistas;506.0;A
2019;2295;3691;212544;Número de pensionistas;61.0;A
2019;2295;3689;212544;Número de pensionistas;47.0;A
2019;2295;3690;212544;Número de pensionistas;14.0;A
2019;2296;3691;212544;Número de pensionistas;68.0;A
2019;2296;3689;212544;Número de pensionistas;49.0;A
2019;2296;3690;212544;Número de pensionistas;19.0;A
2019;2297;3691;212544;Número de pensionistas;28.0;A
2019;2297;3689;212544;Número de pensionistas;22.0;A
2019;2297;3690;212544;Número de pensionistas;6.0;A
2019;2298;3691;212544;Número de pensionistas;209.0;A
2019;2298;3689;212544;Número de pensionistas;160.0;A
2019;2298;3690;212544;Número de pensionistas;49.0;A
2019;2299;3691;212544;Número de pensionistas;64.0;A
2019;2299;3689;212544;Número de pensionistas;52.0;A
2019;2299;3690;212544;Número de pensionistas;12.0;A
2019;2300;3691;212544;Número de pensionistas;282.0;A
2019;2300;3689;212544;Número de pensionistas;176.0;A
2019;2300;3690;212544;Número de pensionistas;106.0;A
2019;2301;3691;212544;Número de pensionistas;77.0;A
2019;2301;3689;212544;Número de pensionistas;55.0;A
2019;2301;3690;212544;Número de pensionistas;22.0;A
2019;2302;3691;212544;Número de pensionistas;106.0;A
2019;2302;3689;212544;Número de pensionistas;69.0;A
2019;2302;3690;212544;Número de pensionistas;37.0;A
2019;2303;3691;212544;Número de pensionistas;512.0;A
2019;2303;3689;212544;Número de pensionistas;461.0;A
2019;2303;3690;212544;Número de pensionistas;51.0;A
2019;2304;3691;212544;Número de pensionistas;253.0;A
2019;2304;3689;212544;Número de pensionistas;157.0;A
2019;2304;3690;212544;Número de pensionistas;96.0;A
2019;2305;3691;212544;Número de pensionistas;427.0;A
