D_TEMPORAL_0;D_TERRITORIO_0;D_CLASEDEPENSION_0;INDICATOR;OBS_VALUE;FREQ
2019;2286;5692;Número de pensiones;381.0;A
2019;2286;5693;Número de pensiones;143.0;A
2019;2286;275092;Número de pensiones;32.0;A
2019;2287;5691;Número de pensiones;20.0;A
2019;2287;5692;Número de pensiones;146.0;A
2019;2287;5693;Número de pensiones;78.0;A
2019;2287;275092;Número de pensiones;9.0;A
2019;2288;5691;Número de pensiones;53.0;A
2019;2288;5692;Número de pensiones;337.0;A
2019;2288;5693;Número de pensiones;157.0;A
2019;2288;275092;Número de pensiones;22.0;A
2019;2289;5691;Número de pensiones;40.0;A
2019;2289;5692;Número de pensiones;290.0;A
2019;2289;5693;Número de pensiones;117.0;A
2019;2289;275092;Número de pensiones;16.0;A
2019;2290;5691;Número de pensiones;112.0;A
2019;2290;5692;Número de pensiones;686.0;A
2019;2290;5693;Número de pensiones;283.0;A
2019;2290;275092;Número de pensiones;46.0;A
2019;2291;5691;Número de pensiones;22.0;A
2019;2291;5692;Número de pensiones;185.0;A
2019;2291;5693;Número de pensiones;81.0;A
2019;2291;275092;Número de pensiones;6.0;A
2019;2292;5691;Número de pensiones;6.0;A
2019;2292;5692;Número de pensiones;63.0;A
2019;2292;5693;Número de pensiones;31.0;A
2019;2292;275092;Número de pensiones;5.0;A
2019;2293;5691;Número de pensiones;248.0;A
2019;2293;5692;Número de pensiones;787.0;A
2019;2293;5693;Número de pensiones;377.0;A
2019;2293;275092;Número de pensiones;124.0;A
2019;2294;5691;Número de pensiones;235.0;A
2019;2294;5692;Número de pensiones;2003.0;A
2019;2294;5693;Número de pensiones;887.0;A
2019;2294;275092;Número de pensiones;128.0;A
2019;2295;5691;Número de pensiones;11.0;A
2019;2295;5692;Número de pensiones;64.0;A
2019;2295;5693;Número de pensiones;18.0;A
2019;2295;275092;Número de pensiones;10.0;A
2019;2296;5691;Número de pensiones;10.0;A
2019;2296;5692;Número de pensiones;79.0;A
2019;2296;5693;Número de pensiones;45.0;A
2019;2296;275092;Número de pensiones;se;A
2019;2297;5691;Número de pensiones;7.0;A
2019;2297;5692;Número de pensiones;30.0;A
2019;2297;5693;Número de pensiones;7.0;A
2019;2297;275092;Número de pensiones;se;A
2019;2298;5691;Número de pensiones;16.0;A
2019;2298;5692;Número de pensiones;236.0;A
2019;2298;5693;Número de pensiones;113.0;A
2019;2298;275092;Número de pensiones;13.0;A
2019;2299;5691;Número de pensiones;11.0;A
2019;2299;5692;Número de pensiones;77.0;A
2019;2299;5693;Número de pensiones;30.0;A
2019;2299;275092;Número de pensiones;se;A
2019;2300;5691;Número de pensiones;21.0;A
2019;2300;5692;Número de pensiones;368.0;A
2019;2300;5693;Número de pensiones;134.0;A
2019;2300;275092;Número de pensiones;24.0;A
2019;2301;5691;Número de pensiones;se;A
2019;2301;5692;Número de pensiones;100.0;A
2019;2301;5693;Número de pensiones;41.0;A
2019;2301;275092;Número de pensiones;5.0;A
2019;2302;5691;Número de pensiones;20.0;A
2019;2302;5692;Número de pensiones;131.0;A
2019;2302;5693;Número de pensiones;53.0;A
2019;2302;275092;Número de pensiones;9.0;A
2019;2303;5691;Número de pensiones;110.0;A
2019;2303;5692;Número de pensiones;556.0;A
2019;2303;5693;Número de pensiones;278.0;A
2019;2303;275092;Número de pensiones;44.0;A
2019;2304;5691;Número de pensiones;18.0;A
2019;2304;5692;Número de pensiones;312.0;A
2019;2304;5693;Número de pensiones;104.0;A
2019;2304;275092;Número de pensiones;10.0;A
2019;2305;5691;Número de pensiones;60.0;A
2019;2305;5692;Número de pensiones;509.0;A
2019;2305;5693;Número de pensiones;158.0;A
2019;2305;275092;Número de pensiones;23.0;A
2019;2348;5691;Número de pensiones;104.0;A
2019;2348;5692;Número de pensiones;605.0;A
2019;2348;5693;Número de pensiones;273.0;A
2019;2348;275092;Número de pensiones;57.0;A
2019;2306;5691;Número de pensiones;9.0;A
2019;2306;5692;Número de pensiones;101.0;A
2019;2306;5693;Número de pensiones;34.0;A
2019;2306;275092;Número de pensiones;se;A
2019;2307;5691;Número de pensiones;310.0;A
2019;2307;5692;Número de pensiones;2019.0;A
2019;2307;5693;Número de pensiones;885.0;A
2019;2307;275092;Número de pensiones;192.0;A
2019;2308;5691;Número de pensiones;7.0;A
2019;2308;5692;Número de pensiones;152.0;A
2019;2308;5693;Número de pensiones;66.0;A
2019;2308;275092;Número de pensiones;9.0;A
2019;2309;5691;Número de pensiones;se;A
2019;2309;5692;Número de pensiones;56.0;A
2019;2309;5693;Número de pensiones;11.0;A
2019;2309;275092;Número de pensiones;se;A
2019;2310;5691;Número de pensiones;100.0;A
2019;2310;5692;Número de pensiones;617.0;A
2019;2310;5693;Número de pensiones;293.0;A
2019;2310;275092;Número de pensiones;54.0;A
2019;2311;5691;Número de pensiones;38.0;A
2019;2311;5692;Número de pensiones;340.0;A
2019;2311;5693;Número de pensiones;140.0;A
2019;2311;275092;Número de pensiones;29.0;A
2019;2312;5691;Número de pensiones;10.0;A
2019;2312;5692;Número de pensiones;117.0;A
2019;2312;5693;Número de pensiones;61.0;A
2019;2312;275092;Número de pensiones;se;A
2019;2313;5691;Número de pensiones;se;A
2019;2313;5692;Número de pensiones;87.0;A
2019;2313;5693;Número de pensiones;35.0;A
2019;2313;275092;Número de pensiones;9.0;A
2019;2314;5691;Número de pensiones;11.0;A
2019;2314;5692;Número de pensiones;70.0;A
2019;2314;5693;Número de pensiones;32.0;A
2019;2314;275092;Número de pensiones;se;A
2019;2315;5691;Número de pensiones;90.0;A
2019;2315;5692;Número de pensiones;332.0;A
2019;2315;5693;Número de pensiones;135.0;A
2019;2315;275092;Número de pensiones;31.0;A
2019;2316;5691;Número de pensiones;151.0;A
2019;2316;5692;Número de pensiones;607.0;A
2019;2316;5693;Número de pensiones;256.0;A
2019;2316;275092;Número de pensiones;67.0;A
2019;2317;5691;Número de pensiones;27.0;A
2019;2317;5692;Número de pensiones;200.0;A
2019;2317;5693;Número de pensiones;95.0;A
2019;2317;275092;Número de pensiones;31.0;A
2019;2318;5691;Número de pensiones;7.0;A
2019;2318;5692;Número de pensiones;90.0;A
2019;2318;5693;Número de pensiones;28.0;A
2019;2318;275092;Número de pensiones;se;A
2019;2319;5691;Número de pensiones;29.0;A
2019;2319;5692;Número de pensiones;129.0;A
2019;2319;5693;Número de pensiones;81.0;A
2019;2319;275092;Número de pensiones;10.0;A
2019;2320;5691;Número de pensiones;1279.0;A
2019;2320;5692;Número de pensiones;5645.0;A
2019;2320;5693;Número de pensiones;2360.0;A
2019;2320;275092;Número de pensiones;558.0;A
2019;2321;5691;Número de pensiones;se;A
2019;2321;5692;Número de pensiones;46.0;A
2019;2321;5693;Número de pensiones;17.0;A
2019;2321;275092;Número de pensiones;se;A
2019;2322;5691;Número de pensiones;10.0;A
2019;2322;5692;Número de pensiones;70.0;A
2019;2322;5693;Número de pensiones;36.0;A
2019;2322;275092;Número de pensiones;8.0;A
2019;2323;5691;Número de pensiones;se;A
2019;2323;5692;Número de pensiones;67.0;A
2019;2323;5693;Número de pensiones;28.0;A
2019;2323;275092;Número de pensiones;se;A
2019;2324;5691;Número de pensiones;39.0;A
2019;2324;5692;Número de pensiones;358.0;A
2019;2324;5693;Número de pensiones;168.0;A
2019;2324;275092;Número de pensiones;34.0;A
2019;2325;5691;Número de pensiones;se;A
2019;2325;5692;Número de pensiones;70.0;A
2019;2325;5693;Número de pensiones;31.0;A
2019;2325;275092;Número de pensiones;se;A
2019;2326;5691;Número de pensiones;6.0;A
2019;2326;5692;Número de pensiones;68.0;A
2019;2326;5693;Número de pensiones;25.0;A
2019;2326;275092;Número de pensiones;se;A
2019;2327;5691;Número de pensiones;36.0;A
2019;2327;5692;Número de pensiones;439.0;A
2019;2327;5693;Número de pensiones;157.0;A
2019;2327;275092;Número de pensiones;30.0;A
2019;2328;5691;Número de pensiones;9.0;A
2019;2328;5692;Número de pensiones;22.0;A
2019;2328;5693;Número de pensiones;17.0;A
2019;2328;275092;Número de pensiones;se;A
2019;2329;5691;Número de pensiones;68.0;A
2019;2329;5692;Número de pensiones;531.0;A
2019;2329;5693;Número de pensiones;216.0;A
2019;2329;275092;Número de pensiones;39.0;A
2019;2330;5691;Número de pensiones;15.0;A
2019;2330;5692;Número de pensiones;165.0;A
2019;2330;5693;Número de pensiones;74.0;A
2019;2330;275092;Número de pensiones;5.0;A
2019;2331;5691;Número de pensiones;se;A
2019;2331;5692;Número de pensiones;79.0;A
2019;2331;5693;Número de pensiones;25.0;A
2019;2331;275092;Número de pensiones;se;A
2019;2332;5691;Número de pensiones;7.0;A
2019;2332;5692;Número de pensiones;69.0;A
2019;2332;5693;Número de pensiones;29.0;A
2019;2332;275092;Número de pensiones;9.0;A
2019;2333;5691;Número de pensiones;59.0;A
2019;2333;5692;Número de pensiones;481.0;A
2019;2333;5693;Número de pensiones;234.0;A
2019;2333;275092;Número de pensiones;47.0;A
2019;2346;5691;Número de pensiones;20.0;A
2019;2346;5692;Número de pensiones;130.0;A
2019;2346;5693;Número de pensiones;46.0;A
2019;2346;275092;Número de pensiones;9.0;A
2019;2334;5691;Número de pensiones;40.0;A
2019;2334;5692;Número de pensiones;353.0;A
2019;2334;5693;Número de pensiones;139.0;A
2019;2334;275092;Número de pensiones;35.0;A
2019;2335;5691;Número de pensiones;se;A
2019;2335;5692;Número de pensiones;52.0;A
2019;2335;5693;Número de pensiones;24.0;A
