ESTADO_DATO;TERRITORIO;TEMPORAL;INDICATOR;OBS_VALUE;FREQ;RESITUR;PARQUES_TURISMO;PUNTOS_TURISTICOS
A;ES615;2014;PERS_MEDI_REMU_FIJO;9.75;A;_Z;_Z;_Z
A;ES616;2020;PERS_MEDI_REMU_FIJO;29.431907328;A;_Z;_Z;_Z
A;ES616;2019;PERS_MEDI_REMU_FIJO;39.277809094;A;_Z;_Z;_Z
A;ES616;2018;PERS_MEDI_REMU_FIJO;32.298540122;A;_Z;_Z;_Z
A;ES616;2017;PERS_MEDI_REMU_FIJO;35.258266088;A;_Z;_Z;_Z
A;ES616;2016;PERS_MEDI_REMU_FIJO;35.281319128;A;_Z;_Z;_Z
A;ES616;2015;PERS_MEDI_REMU_FIJO;35.683577601;A;_Z;_Z;_Z
A;ES616;2014;PERS_MEDI_REMU_FIJO;49.621177985;A;_Z;_Z;_Z
A;ES617;2020;PERS_MEDI_REMU_FIJO;1275.487684953;A;_Z;_Z;_Z
A;ES617;2019;PERS_MEDI_REMU_FIJO;2046.308141392;A;_Z;_Z;_Z
A;ES617;2018;PERS_MEDI_REMU_FIJO;1908.6334668;A;_Z;_Z;_Z
A;ES617;2017;PERS_MEDI_REMU_FIJO;2010.2344687;A;_Z;_Z;_Z
A;ES617;2016;PERS_MEDI_REMU_FIJO;1816.0109145;A;_Z;_Z;_Z
A;ES617;2015;PERS_MEDI_REMU_FIJO;1744.8968239;A;_Z;_Z;_Z
A;ES617;2014;PERS_MEDI_REMU_FIJO;1667.4130805;A;_Z;_Z;_Z
A;ES618;2020;PERS_MEDI_REMU_FIJO;222.599732184;A;_Z;_Z;_Z
A;ES618;2019;PERS_MEDI_REMU_FIJO;369.523509201;A;_Z;_Z;_Z
A;ES618;2018;PERS_MEDI_REMU_FIJO;352.68116834;A;_Z;_Z;_Z
A;ES618;2017;PERS_MEDI_REMU_FIJO;279.1985767;A;_Z;_Z;_Z
A;ES618;2016;PERS_MEDI_REMU_FIJO;237.41821161;A;_Z;_Z;_Z
A;ES618;2015;PERS_MEDI_REMU_FIJO;224.27610599;A;_Z;_Z;_Z
A;ES618;2014;PERS_MEDI_REMU_FIJO;182.93296948;A;_Z;_Z;_Z
P;ES61;2021;PERS_MEDI_REMU_FIJO;2442.455441784;A;_Z;_Z;_Z
P;ES611;2021;PERS_MEDI_REMU_FIJO;136.940388049;A;_Z;_Z;_Z
P;ES612;2021;PERS_MEDI_REMU_FIJO;190.137139485;A;_Z;_Z;_Z
P;ES613;2021;PERS_MEDI_REMU_FIJO;42.424859482;A;_Z;_Z;_Z
P;ES614;2021;PERS_MEDI_REMU_FIJO;191.642744193;A;_Z;_Z;_Z
P;ES615;2021;PERS_MEDI_REMU_FIJO;47.978807758;A;_Z;_Z;_Z
P;ES616;2021;PERS_MEDI_REMU_FIJO;39.440078397;A;_Z;_Z;_Z
P;ES617;2021;PERS_MEDI_REMU_FIJO;1526.250549139;A;_Z;_Z;_Z
P;ES618;2021;PERS_MEDI_REMU_FIJO;267.640875281;A;_Z;_Z;_Z
A;ES61;2020;PERS_MEDI_REMU_EVEN;532.481062633;A;_Z;_Z;_Z
A;ES61;2019;PERS_MEDI_REMU_EVEN;1253.514149532;A;_Z;_Z;_Z
A;ES61;2018;PERS_MEDI_REMU_EVEN;1272.272276205;A;_Z;_Z;_Z
A;ES61;2017;PERS_MEDI_REMU_EVEN;1169.956082663;A;_Z;_Z;_Z
A;ES61;2016;PERS_MEDI_REMU_EVEN;1001.043816804;A;_Z;_Z;_Z
A;ES61;2015;PERS_MEDI_REMU_EVEN;991.780983626;A;_Z;_Z;_Z
A;ES61;2014;PERS_MEDI_REMU_EVEN;928.763277662;A;_Z;_Z;_Z
A;ES611;2020;PERS_MEDI_REMU_EVEN;65.417498073;A;_Z;_Z;_Z
A;ES611;2019;PERS_MEDI_REMU_EVEN;170.745972967;A;_Z;_Z;_Z
A;ES611;2018;PERS_MEDI_REMU_EVEN;147.20201351;A;_Z;_Z;_Z
A;ES611;2017;PERS_MEDI_REMU_EVEN;140.86062601;A;_Z;_Z;_Z
A;ES611;2016;PERS_MEDI_REMU_EVEN;126.83175941;A;_Z;_Z;_Z
A;ES611;2015;PERS_MEDI_REMU_EVEN;113.96599984;A;_Z;_Z;_Z
A;ES611;2014;PERS_MEDI_REMU_EVEN;101.83113811;A;_Z;_Z;_Z
A;ES612;2020;PERS_MEDI_REMU_EVEN;82.082853487;A;_Z;_Z;_Z
A;ES612;2019;PERS_MEDI_REMU_EVEN;114.548674038;A;_Z;_Z;_Z
A;ES612;2018;PERS_MEDI_REMU_EVEN;125.86619261;A;_Z;_Z;_Z
A;ES612;2017;PERS_MEDI_REMU_EVEN;93.123310182;A;_Z;_Z;_Z
A;ES612;2016;PERS_MEDI_REMU_EVEN;97.223834635;A;_Z;_Z;_Z
A;ES612;2015;PERS_MEDI_REMU_EVEN;102.57963692;A;_Z;_Z;_Z
A;ES612;2014;PERS_MEDI_REMU_EVEN;130.14171544;A;_Z;_Z;_Z
A;ES613;2020;PERS_MEDI_REMU_EVEN;15.979192792;A;_Z;_Z;_Z
A;ES613;2019;PERS_MEDI_REMU_EVEN;16.808727681;A;_Z;_Z;_Z
A;ES613;2018;PERS_MEDI_REMU_EVEN;19.423445125;A;_Z;_Z;_Z
A;ES613;2017;PERS_MEDI_REMU_EVEN;21.224302725;A;_Z;_Z;_Z
A;ES613;2016;PERS_MEDI_REMU_EVEN;24.45907822;A;_Z;_Z;_Z
A;ES613;2015;PERS_MEDI_REMU_EVEN;24.344742306;A;_Z;_Z;_Z
A;ES613;2014;PERS_MEDI_REMU_EVEN;15.247386771;A;_Z;_Z;_Z
A;ES614;2020;PERS_MEDI_REMU_EVEN;63.356190258;A;_Z;_Z;_Z
A;ES614;2019;PERS_MEDI_REMU_EVEN;131.589176528;A;_Z;_Z;_Z
A;ES614;2018;PERS_MEDI_REMU_EVEN;145.73530394;A;_Z;_Z;_Z
A;ES614;2017;PERS_MEDI_REMU_EVEN;117.40093222;A;_Z;_Z;_Z
