TEMPORAL;SEXO;MCVL_TIPOPRESTACION;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2008;F;55175;ES612;POP;42950.0;A
2008;F;55175;ES613;POP;41275.0;A
2008;F;55175;ES614;POP;33150.0;A
2008;F;55175;ES615;POP;21925.0;A
2008;F;55175;ES616;POP;32475.0;A
2008;F;55175;ES617;POP;32900.0;A
2008;F;55175;ES618;POP;77775.0;A
2008;F;55175;ES61;POP;298275.0;A
2008;F;55176;ES611;POP;2750.0;A
2008;F;55176;ES612;POP;4525.0;A
2008;F;55176;ES613;POP;2825.0;A
2008;F;55176;ES614;POP;2825.0;A
2008;F;55176;ES615;POP;2275.0;A
2008;F;55176;ES616;POP;2000.0;A
2008;F;55176;ES617;POP;6000.0;A
2008;F;55176;ES618;POP;7425.0;A
2008;F;55176;ES61;POP;30625.0;A
2008;F;55173;ES611;POP;180225.0;A
2008;F;55173;ES612;POP;305625.0;A
2008;F;55173;ES613;POP;235725.0;A
2008;F;55173;ES614;POP;262125.0;A
2008;F;55173;ES615;POP;173400.0;A
2008;F;55173;ES616;POP;186400.0;A
2008;F;55173;ES617;POP;415400.0;A
2008;F;55173;ES618;POP;550625.0;A
2008;F;55173;ES61;POP;2309525.0;A
2008;_T;55174;ES611;POP;61025.0;A
2008;_T;55174;ES612;POP;97525.0;A
2008;_T;55174;ES613;POP;52275.0;A
2008;_T;55174;ES614;POP;63625.0;A
2008;_T;55174;ES615;POP;45925.0;A
2008;_T;55174;ES616;POP;40900.0;A
2008;_T;55174;ES617;POP;123525.0;A
2008;_T;55174;ES618;POP;140925.0;A
2008;_T;55174;ES61;POP;625725.0;A
2008;_T;55175;ES611;POP;25075.0;A
2008;_T;55175;ES612;POP;68725.0;A
2008;_T;55175;ES613;POP;62450.0;A
2008;_T;55175;ES614;POP;52100.0;A
2008;_T;55175;ES615;POP;32025.0;A
2008;_T;55175;ES616;POP;51150.0;A
2008;_T;55175;ES617;POP;53575.0;A
2008;_T;55175;ES618;POP;118350.0;A
2008;_T;55175;ES61;POP;463450.0;A
2008;_T;55176;ES611;POP;5650.0;A
2008;_T;55176;ES612;POP;13125.0;A
2008;_T;55176;ES613;POP;7125.0;A
2008;_T;55176;ES614;POP;6775.0;A
2008;_T;55176;ES615;POP;5475.0;A
2008;_T;55176;ES616;POP;4900.0;A
2008;_T;55176;ES617;POP;12475.0;A
2008;_T;55176;ES618;POP;17100.0;A
2008;_T;55176;ES61;POP;72625.0;A
2008;_T;55173;ES611;POP;409925.0;A
2008;_T;55173;ES612;POP;710200.0;A
2008;_T;55173;ES613;POP;518025.0;A
2008;_T;55173;ES614;POP;573300.0;A
2008;_T;55173;ES615;POP;358225.0;A
2008;_T;55173;ES616;POP;426425.0;A
2008;_T;55173;ES617;POP;922375.0;A
2008;_T;55173;ES618;POP;1202075.0;A
2008;_T;55173;ES61;POP;5120550.0;A
2009;M;55174;ES611;POP;37900.0;A
2009;M;55174;ES612;POP;62050.0;A
2009;M;55174;ES613;POP;35350.0;A
2009;M;55174;ES614;POP;40650.0;A
2009;M;55174;ES615;POP;30775.0;A
2009;M;55174;ES616;POP;32325.0;A
2009;M;55174;ES617;POP;77450.0;A
2009;M;55174;ES618;POP;94525.0;A
2009;M;55174;ES61;POP;411025.0;A
2009;M;55175;ES611;POP;12650.0;A
2009;M;55175;ES612;POP;33575.0;A
2009;M;55175;ES613;POP;25450.0;A
2009;M;55175;ES614;POP;23650.0;A
2009;M;55175;ES615;POP;13250.0;A
2009;M;55175;ES616;POP;21100.0;A
2009;M;55175;ES617;POP;29400.0;A
2009;M;55175;ES618;POP;49225.0;A
2009;M;55175;ES61;POP;208300.0;A
2009;M;55176;ES611;POP;10700.0;A
2009;M;55176;ES612;POP;19525.0;A
2009;M;55176;ES613;POP;10775.0;A
2009;M;55176;ES614;POP;11575.0;A
2009;M;55176;ES615;POP;7775.0;A
2009;M;55176;ES616;POP;6125.0;A
2009;M;55176;ES617;POP;19675.0;A
2009;M;55176;ES618;POP;24725.0;A
2009;M;55176;ES61;POP;110875.0;A
2009;M;55173;ES611;POP;227875.0;A
2009;M;55173;ES612;POP;396500.0;A
2009;M;55173;ES613;POP;276500.0;A
2009;M;55173;ES614;POP;305525.0;A
2009;M;55173;ES615;POP;184200.0;A
2009;M;55173;ES616;POP;237825.0;A
2009;M;55173;ES617;POP;499475.0;A
2009;M;55173;ES618;POP;644375.0;A
2009;M;55173;ES61;POP;2772275.0;A
2009;F;55174;ES611;POP;22125.0;A
2009;F;55174;ES612;POP;30800.0;A
2009;F;55174;ES613;POP;15900.0;A
2009;F;55174;ES614;POP;21200.0;A
2009;F;55174;ES615;POP;16975.0;A
2009;F;55174;ES616;POP;13175.0;A
2009;F;55174;ES617;POP;43800.0;A
2009;F;55174;ES618;POP;46050.0;A
2009;F;55174;ES61;POP;210025.0;A
2009;F;55175;ES611;POP;18925.0;A
2009;F;55175;ES612;POP;49600.0;A
2009;F;55175;ES613;POP;42525.0;A
2009;F;55175;ES614;POP;36550.0;A
2009;F;55175;ES615;POP;23200.0;A
2009;F;55175;ES616;POP;33850.0;A
2009;F;55175;ES617;POP;40500.0;A
2009;F;55175;ES618;POP;84475.0;A
2009;F;55175;ES61;POP;329625.0;A
2009;F;55176;ES611;POP;6075.0;A
2009;F;55176;ES612;POP;8650.0;A
2009;F;55176;ES613;POP;5475.0;A
2009;F;55176;ES614;POP;6200.0;A
2009;F;55176;ES615;POP;4550.0;A
2009;F;55176;ES616;POP;2800.0;A
2009;F;55176;ES617;POP;11750.0;A
2009;F;55176;ES618;POP;13250.0;A
2009;F;55176;ES61;POP;58750.0;A
2009;F;55173;ES611;POP;183225.0;A
2009;F;55173;ES612;POP;310725.0;A
2009;F;55173;ES613;POP;236175.0;A
2009;F;55173;ES614;POP;263775.0;A
2009;F;55173;ES615;POP;174350.0;A
2009;F;55173;ES616;POP;189675.0;A
2009;F;55173;ES617;POP;419675.0;A
2009;F;55173;ES618;POP;553750.0;A
2009;F;55173;ES61;POP;2331350.0;A
2009;_T;55174;ES611;POP;60025.0;A
2009;_T;55174;ES612;POP;92850.0;A
2009;_T;55174;ES613;POP;51250.0;A
2009;_T;55174;ES614;POP;61850.0;A
2009;_T;55174;ES615;POP;47750.0;A
2009;_T;55174;ES616;POP;45500.0;A
2009;_T;55174;ES617;POP;121250.0;A
2009;_T;55174;ES618;POP;140575.0;A
2009;_T;55174;ES61;POP;621050.0;A
2009;_T;55175;ES611;POP;31575.0;A
2009;_T;55175;ES612;POP;83175.0;A
2009;_T;55175;ES613;POP;67975.0;A
2009;_T;55175;ES614;POP;60200.0;A
2009;_T;55175;ES615;POP;36450.0;A
2009;_T;55175;ES616;POP;54950.0;A
2009;_T;55175;ES617;POP;69900.0;A
2009;_T;55175;ES618;POP;133700.0;A
2009;_T;55175;ES61;POP;537925.0;A
2009;_T;55176;ES611;POP;16775.0;A
2009;_T;55176;ES612;POP;28175.0;A
2009;_T;55176;ES613;POP;16250.0;A
2009;_T;55176;ES614;POP;17775.0;A
2009;_T;55176;ES615;POP;12325.0;A
2009;_T;55176;ES616;POP;8925.0;A
