TEMPORAL;SEXO;DIASCOTIZANO;TERRITORIO;COTIZANTE;INDICATOR;OBS_VALUE;FREQ
2007;_T;53689;ES61;53591;POP;3906975.0;A
2008;M;53685;ES611;53591;POP;3000.0;A
2008;M;53685;ES612;53591;POP;7625.0;A
2008;M;53685;ES613;53591;POP;4175.0;A
2008;M;53685;ES614;53591;POP;4175.0;A
2008;M;53685;ES615;53591;POP;2450.0;A
2008;M;53685;ES616;53591;POP;3950.0;A
2008;M;53685;ES617;53591;POP;8450.0;A
2008;M;53685;ES618;53591;POP;10800.0;A
2008;M;53685;ES61;53591;POP;44625.0;A
2008;M;53686;ES611;53591;POP;6600.0;A
2008;M;53686;ES612;53591;POP;11850.0;A
2008;M;53686;ES613;53591;POP;8400.0;A
2008;M;53686;ES614;53591;POP;7800.0;A
2008;M;53686;ES615;53591;POP;5450.0;A
2008;M;53686;ES616;53591;POP;6525.0;A
2008;M;53686;ES617;53591;POP;13375.0;A
2008;M;53686;ES618;53591;POP;15200.0;A
2008;M;53686;ES61;53591;POP;75200.0;A
2008;M;53687;ES611;53591;POP;45875.0;A
2008;M;53687;ES612;53591;POP;91425.0;A
2008;M;53687;ES613;53591;POP;48100.0;A
2008;M;53687;ES614;53591;POP;59775.0;A
2008;M;53687;ES615;53591;POP;41575.0;A
2008;M;53687;ES616;53591;POP;38300.0;A
2008;M;53687;ES617;53591;POP;106200.0;A
2008;M;53687;ES618;53591;POP;126575.0;A
2008;M;53687;ES61;53591;POP;557825.0;A
2008;M;53688;ES611;53591;POP;134050.0;A
2008;M;53688;ES612;53591;POP;206550.0;A
2008;M;53688;ES613;53591;POP;156625.0;A
2008;M;53688;ES614;53591;POP;165350.0;A
2008;M;53688;ES615;53591;POP;95775.0;A
2008;M;53688;ES616;53591;POP;128125.0;A
2008;M;53688;ES617;53591;POP;277000.0;A
2008;M;53688;ES618;53591;POP;361475.0;A
2008;M;53688;ES61;53591;POP;1524950.0;A
2008;M;53689;ES611;53591;POP;189525.0;A
2008;M;53689;ES612;53591;POP;317450.0;A
2008;M;53689;ES613;53591;POP;217300.0;A
2008;M;53689;ES614;53591;POP;237100.0;A
2008;M;53689;ES615;53591;POP;145250.0;A
2008;M;53689;ES616;53591;POP;176900.0;A
2008;M;53689;ES617;53591;POP;405025.0;A
2008;M;53689;ES618;53591;POP;514050.0;A
2008;M;53689;ES61;53591;POP;2202600.0;A
2008;F;53685;ES611;53591;POP;3925.0;A
2008;F;53685;ES612;53591;POP;10050.0;A
2008;F;53685;ES613;53591;POP;4975.0;A
2008;F;53685;ES614;53591;POP;4875.0;A
2008;F;53685;ES615;53591;POP;5900.0;A
2008;F;53685;ES616;53591;POP;4575.0;A
2008;F;53685;ES617;53591;POP;10175.0;A
2008;F;53685;ES618;53591;POP;13000.0;A
2008;F;53685;ES61;53591;POP;57475.0;A
2008;F;53686;ES611;53591;POP;6975.0;A
2008;F;53686;ES612;53591;POP;15075.0;A
2008;F;53686;ES613;53591;POP;7050.0;A
2008;F;53686;ES614;53591;POP;8625.0;A
2008;F;53686;ES615;53591;POP;15500.0;A
2008;F;53686;ES616;53591;POP;7875.0;A
2008;F;53686;ES617;53591;POP;15775.0;A
2008;F;53686;ES618;53591;POP;18450.0;A
2008;F;53686;ES61;53591;POP;95325.0;A
2008;F;53687;ES611;53591;POP;40950.0;A
2008;F;53687;ES612;53591;POP;70300.0;A
2008;F;53687;ES613;53591;POP;39125.0;A
2008;F;53687;ES614;53591;POP;48050.0;A
2008;F;53687;ES615;53591;POP;45025.0;A
2008;F;53687;ES616;53591;POP;31500.0;A
2008;F;53687;ES617;53591;POP;90875.0;A
2008;F;53687;ES618;53591;POP;105050.0;A
2008;F;53687;ES61;53591;POP;470875.0;A
2008;F;53688;ES611;53591;POP;92400.0;A
2008;F;53688;ES612;53591;POP;140525.0;A
2008;F;53688;ES613;53591;POP;117900.0;A
2008;F;53688;ES614;53591;POP;131150.0;A
2008;F;53688;ES615;53591;POP;72200.0;A
2008;F;53688;ES616;53591;POP;92750.0;A
2008;F;53688;ES617;53591;POP;206275.0;A
2008;F;53688;ES618;53591;POP;273500.0;A
