TEMPORAL;SEXO;MCVL_TIPOPENSION;TERRITORIO;MCVL_PENSIONISTA;INDICATOR;OBS_VALUE;FREQ
2007;M;55186;ES615;55179;POP;31900.0;A
2007;M;55186;ES616;55179;POP;52700.0;A
2007;M;55186;ES617;55179;POP;78375.0;A
2007;M;55186;ES618;55179;POP;103725.0;A
2007;M;55186;ES61;55179;POP;480350.0;A
2007;M;55187;ES611;55179;POP;600.0;A
2007;M;55187;ES612;55179;POP;575.0;A
2007;M;55187;ES613;55179;POP;925.0;A
2007;M;55187;ES614;55179;POP;1075.0;A
2007;M;55187;ES615;55179;POP;625.0;A
2007;M;55187;ES616;55179;POP;825.0;A
2007;M;55187;ES617;55179;POP;1850.0;A
2007;M;55187;ES618;55179;POP;2575.0;A
2007;M;55187;ES61;55179;POP;9050.0;A
2007;M;55188;ES611;55179;POP;1925.0;A
2007;M;55188;ES612;55179;POP;5125.0;A
2007;M;55188;ES613;55179;POP;3225.0;A
2007;M;55188;ES614;55179;POP;3575.0;A
2007;M;55188;ES615;55179;POP;2075.0;A
2007;M;55188;ES616;55179;POP;2450.0;A
2007;M;55188;ES617;55179;POP;5100.0;A
2007;M;55188;ES618;55179;POP;7650.0;A
2007;M;55188;ES61;55179;POP;31125.0;A
2007;M;55192;ES611;55179;POP;1300.0;A
2007;M;55192;ES612;55179;POP;1375.0;A
2007;M;55192;ES613;55179;POP;2550.0;A
2007;M;55192;ES614;55179;POP;2975.0;A
2007;M;55192;ES615;55179;POP;775.0;A
2007;M;55192;ES616;55179;POP;1225.0;A
2007;M;55192;ES617;55179;POP;2475.0;A
2007;M;55192;ES618;55179;POP;3250.0;A
2007;M;55192;ES61;55179;POP;15925.0;A
2007;M;55190;ES611;55179;POP;1250.0;A
2007;M;55190;ES612;55179;POP;975.0;A
2007;M;55190;ES613;55179;POP;2350.0;A
2007;M;55190;ES614;55179;POP;2750.0;A
2007;M;55190;ES615;55179;POP;700.0;A
2007;M;55190;ES616;55179;POP;1125.0;A
2007;M;55190;ES617;55179;POP;2350.0;A
2007;M;55190;ES618;55179;POP;2900.0;A
2007;M;55190;ES61;55179;POP;14400.0;A
