TEMPORAL;SEXO;MCVL_TIPOHOGAR;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2006;F;273754;ES614;POP;31550.0;A
2006;F;273754;ES615;POP;15250.0;A
2006;F;273754;ES616;POP;21500.0;A
2006;F;273754;ES617;POP;49075.0;A
2006;F;273754;ES618;POP;62575.0;A
2006;F;273754;ES61;POP;258700.0;A
2006;F;273755;ES611;POP;11725.0;A
2006;F;273755;ES612;POP;17475.0;A
2006;F;273755;ES613;POP;23325.0;A
2006;F;273755;ES614;POP;22650.0;A
2006;F;273755;ES615;POP;9675.0;A
2006;F;273755;ES616;POP;15425.0;A
2006;F;273755;ES617;POP;25250.0;A
2006;F;273755;ES618;POP;37800.0;A
2006;F;273755;ES61;POP;163325.0;A
2006;F;273756;ES611;POP;11325.0;A
2006;F;273756;ES612;POP;21925.0;A
2006;F;273756;ES613;POP;17850.0;A
2006;F;273756;ES614;POP;13750.0;A
2006;F;273756;ES615;POP;10150.0;A
2006;F;273756;ES616;POP;13725.0;A
2006;F;273756;ES617;POP;26025.0;A
2006;F;273756;ES618;POP;44525.0;A
2006;F;273756;ES61;POP;159275.0;A
2006;F;273757;ES611;POP;12625.0;A
2006;F;273757;ES612;POP;21700.0;A
2006;F;273757;ES613;POP;18125.0;A
2006;F;273757;ES614;POP;18025.0;A
2006;F;273757;ES615;POP;10650.0;A
2006;F;273757;ES616;POP;15500.0;A
2006;F;273757;ES617;POP;27875.0;A
2006;F;273757;ES618;POP;42150.0;A
2006;F;273757;ES61;POP;166650.0;A
2006;F;273750;ES611;POP;74050.0;A
2006;F;273750;ES612;POP;116400.0;A
2006;F;273750;ES613;POP;93525.0;A
2006;F;273750;ES614;POP;96100.0;A
2006;F;273750;ES615;POP;56800.0;A
2006;F;273750;ES616;POP;65000.0;A
2006;F;273750;ES617;POP;162000.0;A
2006;F;273750;ES618;POP;223925.0;A
2006;F;273750;ES61;POP;887800.0;A
2006;F;273758;ES611;POP;46150.0;A
2006;F;273758;ES612;POP;77200.0;A
2006;F;273758;ES613;POP;64125.0;A
2006;F;273758;ES614;POP;68975.0;A
2006;F;273758;ES615;POP;38275.0;A
2006;F;273758;ES616;POP;44825.0;A
2006;F;273758;ES617;POP;109475.0;A
2006;F;273758;ES618;POP;155000.0;A
2006;F;273758;ES61;POP;604025.0;A
2006;F;273759;ES611;POP;27900.0;A
2006;F;273759;ES612;POP;39200.0;A
2006;F;273759;ES613;POP;29400.0;A
2006;F;273759;ES614;POP;27125.0;A
2006;F;273759;ES615;POP;18525.0;A
2006;F;273759;ES616;POP;20175.0;A
2006;F;273759;ES617;POP;52525.0;A
2006;F;273759;ES618;POP;68925.0;A
2006;F;273759;ES61;POP;283775.0;A
2006;F;273861;ES611;POP;8300.0;A
2006;F;273861;ES612;POP;8375.0;A
2006;F;273861;ES613;POP;6725.0;A
2006;F;273861;ES614;POP;14250.0;A
2006;F;273861;ES615;POP;31425.0;A
2006;F;273861;ES616;POP;6125.0;A
2006;F;273861;ES617;POP;24375.0;A
2006;F;273861;ES618;POP;15225.0;A
2006;F;273861;ES61;POP;114800.0;A
2006;F;273747;ES611;POP;164675.0;A
2006;F;273747;ES612;POP;274050.0;A
2006;F;273747;ES613;POP;221950.0;A
2006;F;273747;ES614;POP;248875.0;A
2006;F;273747;ES615;POP;159925.0;A
2006;F;273747;ES616;POP;174275.0;A
2006;F;273747;ES617;POP;390875.0;A
2006;F;273747;ES618;POP;508275.0;A
2006;F;273747;ES61;POP;2142900.0;A
2006;_T;273748;ES611;POP;57775.0;A
2006;_T;273748;ES612;POP;98525.0;A
2006;_T;273748;ES613;POP;65375.0;A
2006;_T;273748;ES614;POP;101350.0;A
2006;_T;273748;ES615;POP;49075.0;A
2006;_T;273748;ES616;POP;68200.0;A
2006;_T;273748;ES617;POP;144775.0;A
2006;_T;273748;ES618;POP;149375.0;A
2006;_T;273748;ES61;POP;734450.0;A
2006;_T;273751;ES611;POP;34800.0;A
2006;_T;273751;ES612;POP;58225.0;A
2006;_T;273751;ES613;POP;32675.0;A
2006;_T;273751;ES614;POP;56800.0;A
2006;_T;273751;ES615;POP;27925.0;A
2006;_T;273751;ES616;POP;33175.0;A
2006;_T;273751;ES617;POP;87425.0;A
2006;_T;273751;ES618;POP;82150.0;A
2006;_T;273751;ES61;POP;413175.0;A
2006;_T;273752;ES611;POP;16150.0;A
2006;_T;273752;ES612;POP;28650.0;A
2006;_T;273752;ES613;POP;27650.0;A
2006;_T;273752;ES614;POP;32350.0;A
2006;_T;273752;ES615;POP;15275.0;A
2006;_T;273752;ES616;POP;28100.0;A
2006;_T;273752;ES617;POP;40125.0;A
2006;_T;273752;ES618;POP;51500.0;A
2006;_T;273752;ES61;POP;239800.0;A
2006;_T;273753;ES611;POP;6825.0;A
2006;_T;273753;ES612;POP;11650.0;A
2006;_T;273753;ES613;POP;5050.0;A
2006;_T;273753;ES614;POP;12200.0;A
2006;_T;273753;ES615;POP;5875.0;A
2006;_T;273753;ES616;POP;6925.0;A
2006;_T;273753;ES617;POP;17225.0;A
2006;_T;273753;ES618;POP;15725.0;A
2006;_T;273753;ES61;POP;81475.0;A
2006;_T;273749;ES611;POP;121500.0;A
2006;_T;273749;ES612;POP;243100.0;A
2006;_T;273749;ES613;POP;189775.0;A
2006;_T;273749;ES614;POP;195700.0;A
2006;_T;273749;ES615;POP;104700.0;A
2006;_T;273749;ES616;POP;162025.0;A
2006;_T;273749;ES617;POP;298050.0;A
2006;_T;273749;ES618;POP;424425.0;A
2006;_T;273749;ES61;POP;1739275.0;A
2006;_T;273754;ES611;POP;39650.0;A
2006;_T;273754;ES612;POP;84800.0;A
2006;_T;273754;ES613;POP;52800.0;A
2006;_T;273754;ES614;POP;68650.0;A
2006;_T;273754;ES615;POP;33800.0;A
2006;_T;273754;ES616;POP;48725.0;A
2006;_T;273754;ES617;POP;108250.0;A
2006;_T;273754;ES618;POP;133950.0;A
2006;_T;273754;ES61;POP;570625.0;A
2006;_T;273755;ES611;POP;27450.0;A
2006;_T;273755;ES612;POP;48425.0;A
2006;_T;273755;ES613;POP;54050.0;A
2006;_T;273755;ES614;POP;53600.0;A
2006;_T;273755;ES615;POP;25325.0;A
2006;_T;273755;ES616;POP;45950.0;A
2006;_T;273755;ES617;POP;63825.0;A
2006;_T;273755;ES618;POP;89850.0;A
2006;_T;273755;ES61;POP;408475.0;A
2006;_T;273756;ES611;POP;26100.0;A
2006;_T;273756;ES612;POP;54775.0;A
2006;_T;273756;ES613;POP;41600.0;A
2006;_T;273756;ES614;POP;31125.0;A
2006;_T;273756;ES615;POP;21825.0;A
2006;_T;273756;ES616;POP;30850.0;A
2006;_T;273756;ES617;POP;61875.0;A
2006;_T;273756;ES618;POP;104150.0;A
2006;_T;273756;ES61;POP;372300.0;A
2006;_T;273757;ES611;POP;28300.0;A
2006;_T;273757;ES612;POP;55100.0;A
2006;_T;273757;ES613;POP;41325.0;A
2006;_T;273757;ES614;POP;42325.0;A
2006;_T;273757;ES615;POP;23750.0;A
2006;_T;273757;ES616;POP;36500.0;A
2006;_T;273757;ES617;POP;64100.0;A
2006;_T;273757;ES618;POP;96475.0;A
2006;_T;273757;ES61;POP;387875.0;A
2006;_T;273750;ES611;POP;186350.0;A
2006;_T;273750;ES612;POP;311300.0;A
2006;_T;273750;ES613;POP;225975.0;A
2006;_T;273750;ES614;POP;225900.0;A
2006;_T;273750;ES615;POP;145825.0;A
2006;_T;273750;ES616;POP;167475.0;A
2006;_T;273750;ES617;POP;391900.0;A
2006;_T;273750;ES618;POP;539800.0;A
2006;_T;273750;ES61;POP;2194525.0;A
2006;_T;273758;ES611;POP;120100.0;A
2006;_T;273758;ES612;POP;211000.0;A
2006;_T;273758;ES613;POP;155275.0;A
2006;_T;273758;ES614;POP;162325.0;A
2006;_T;273758;ES615;POP;100575.0;A
2006;_T;273758;ES616;POP;117775.0;A
2006;_T;273758;ES617;POP;265525.0;A
2006;_T;273758;ES618;POP;379375.0;A
2006;_T;273758;ES61;POP;1511950.0;A
2006;_T;273759;ES611;POP;66250.0;A
2006;_T;273759;ES612;POP;100300.0;A
2006;_T;273759;ES613;POP;70700.0;A
2006;_T;273759;ES614;POP;63575.0;A
2006;_T;273759;ES615;POP;45250.0;A
2006;_T;273759;ES616;POP;49700.0;A
2006;_T;273759;ES617;POP;126375.0;A
2006;_T;273759;ES618;POP;160425.0;A
2006;_T;273759;ES61;POP;682575.0;A
2006;_T;273861;ES611;POP;25100.0;A
2006;_T;273861;ES612;POP;20675.0;A
2006;_T;273861;ES613;POP;18175.0;A
2006;_T;273861;ES614;POP;33550.0;A
2006;_T;273861;ES615;POP;41075.0;A
2006;_T;273861;ES616;POP;13750.0;A
2006;_T;273861;ES617;POP;58050.0;A
2006;_T;273861;ES618;POP;34500.0;A
2006;_T;273861;ES61;POP;244875.0;A
2006;_T;273747;ES611;POP;390725.0;A
