TEMPORAL;SEXO;TIPODEHOGAR;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2008;_T;273747;ES611;POP;409925.0;A
2008;_T;273747;ES612;POP;710200.0;A
2008;_T;273747;ES613;POP;518025.0;A
2008;_T;273747;ES614;POP;573300.0;A
2008;_T;273747;ES615;POP;358225.0;A
2008;_T;273747;ES616;POP;426425.0;A
2008;_T;273747;ES617;POP;922375.0;A
2008;_T;273747;ES618;POP;1202075.0;A
2008;_T;273747;ES61;POP;5120550.0;A
2009;M;273748;ES611;POP;31325.0;A
2009;M;273748;ES612;POP;61575.0;A
2009;M;273748;ES613;POP;29675.0;A
2009;M;273748;ES614;POP;57500.0;A
2009;M;273748;ES615;POP;27950.0;A
2009;M;273748;ES616;POP;46550.0;A
2009;M;273748;ES617;POP;95025.0;A
2009;M;273748;ES618;POP;77550.0;A
2009;M;273748;ES61;POP;427150.0;A
2009;M;273749;ES611;POP;72925.0;A
2009;M;273749;ES612;POP;148900.0;A
2009;M;273749;ES613;POP;107250.0;A
2009;M;273749;ES614;POP;112975.0;A
2009;M;273749;ES615;POP;66175.0;A
2009;M;273749;ES616;POP;98775.0;A
2009;M;273749;ES617;POP;183725.0;A
2009;M;273749;ES618;POP;251000.0;A
2009;M;273749;ES61;POP;1041725.0;A
2009;M;273750;ES611;POP;104975.0;A
2009;M;273750;ES612;POP;175150.0;A
2009;M;273750;ES613;POP;129300.0;A
2009;M;273750;ES614;POP;117525.0;A
2009;M;273750;ES615;POP;78225.0;A
2009;M;273750;ES616;POP;84200.0;A
2009;M;273750;ES617;POP;195775.0;A
2009;M;273750;ES618;POP;297250.0;A
2009;M;273750;ES61;POP;1182400.0;A
2009;M;273861;ES611;POP;18650.0;A
2009;M;273861;ES612;POP;10875.0;A
2009;M;273861;ES613;POP;10275.0;A
2009;M;273861;ES614;POP;17525.0;A
2009;M;273861;ES615;POP;11850.0;A
2009;M;273861;ES616;POP;8300.0;A
2009;M;273861;ES617;POP;24950.0;A
2009;M;273861;ES618;POP;18575.0;A
2009;M;273861;ES61;POP;121000.0;A
2009;M;273747;ES611;POP;227875.0;A
2009;M;273747;ES612;POP;396500.0;A
2009;M;273747;ES613;POP;276500.0;A
2009;M;273747;ES614;POP;305525.0;A
2009;M;273747;ES615;POP;184200.0;A
2009;M;273747;ES616;POP;237825.0;A
2009;M;273747;ES617;POP;499475.0;A
2009;M;273747;ES618;POP;644375.0;A
2009;M;273747;ES61;POP;2772275.0;A
2009;F;273748;ES611;POP;33000.0;A
2009;F;273748;ES612;POP;65875.0;A
2009;F;273748;ES613;POP;39425.0;A
2009;F;273748;ES614;POP;61650.0;A
2009;F;273748;ES615;POP;32675.0;A
2009;F;273748;ES616;POP;50450.0;A
2009;F;273748;ES617;POP;101350.0;A
2009;F;273748;ES618;POP;96925.0;A
2009;F;273748;ES61;POP;481350.0;A
2009;F;273749;ES611;POP;60675.0;A
